,Discovery_male,Discovery_female,tuple,(Series_male,(Series_female,C)_male,C)_female,average_male,average_female,female-male
82,-0.44637114,-0.33972725,"('industrious', 'meek')",1.6239278,1.3655765,0.40451747,0.5418697,0.5273581,0.522573,-0.0047851
45,-0.44539818,-0.5830668,"('cooperative', 'exploitative')",-1.6187813,-1.3314496,-0.19530475,-0.5910491,-0.7531614,-0.8351885,-0.0820271
69,-0.44328797,-0.3755951,"('wise', 'foolish')",1.2340535,1.1148405,0.59393513,0.45111117,0.4615669,0.3967855,-0.0647814
67,-0.37402844,-0.43526486,"('discriminating', 'undiscriminating')",-0.3998747,-0.3241527,-1.8702484,-1.5973306,-0.8813839,-0.7855827,0.0958012
61,-0.36900097,-0.0016979575,"('rational', 'irrational')",2.4620304,2.5185635,0.37829423,0.4518805,0.8237746,0.989582,0.1658074
106,-0.36301813,-0.02039193,"('conventional', 'unconventional')",0.7128279,0.8413601,0.68555486,0.92908376,0.3451215,0.5833507,0.2382292
80,0.3598,0.30689925,"('independent', 'dependent')",0.06773204,0.22346348,0.42808104,0.6802374,0.2852044,0.4035334,0.118329
54,-0.35152256,-0.49000758,"('smart', 'stupid')",0.72656727,0.6027136,1.2808588,1.0129278,0.5519678,0.3752112,-0.1767566
0,0.34245312,0.3274849,"('sociable', 'unsociable')",-1.54143,-1.1917673,-0.654886,-0.2780469,-0.6179543,-0.3807764,0.2371779
70,0.33660287,0.36034614,"('wise', 'unwise')",1.6553273,1.4531639,-0.1331796,-0.018354118,0.6195835,0.5983853,-0.0211982
56,0.3361843,0.21226238,"('intelligent', 'dumb')",0.34343988,0.24531367,0.5336556,0.71554524,0.4044266,0.3910404,-0.0133862
78,0.30064923,0.2274105,"('active', 'inactive')",0.3572272,0.16914338,1.5200584,1.3130141,0.7259783,0.569856,-0.1561223
83,0.29275593,0.15966731,"('energetic', 'lethargic')",-2.0790875,-2.0272527,-0.16141465,-0.08850975,-0.6492487,-0.6520317,-0.002783
20,-0.27738118,-0.13664027,"('popular', 'unpopular')",1.6968175,1.644737,0.88710296,0.9453835,0.7688464,0.8178267,0.0489803
12,-0.27058083,-0.36946702,"('sympathetic', 'unsympathetic')",-1.2179569,-0.74892277,-0.5408819,-0.44979405,-0.6764732,-0.522728,0.1537452
37,0.25384063,0.39820564,"('good', 'evil')",2.6802,2.3587656,0.8250003,0.79964745,1.2530137,1.1855396,-0.0674741
30,0.21008864,0.19318637,"('honest', 'dishonest')",-0.8568071,-0.6124515,0.33636594,0.039547168,-0.1034509,-0.1265726,-0.0231217
26,-0.20991753,-0.5629604,"('trustworthy', 'untrustworthy')",-1.4608634,-1.2467148,-0.49475515,-0.6889536,-0.7218453,-0.8328763,-0.111031
17,-0.18912017,-0.01861012,"('social', 'antisocial')",-0.61333036,-0.42226553,0.08079052,0.1641959,-0.2405533,-0.0922266,0.1483267
96,0.18507582,0.17515749,"('powerful', 'powerless')",0.05722893,0.16583656,0.48642856,0.5615043,0.2429111,0.3008328,0.0579217
23,0.17522126,0.15233746,"('hospitable', 'inhospitable')",1.0201042,0.7141632,0.21624741,0.43855882,0.4705243,0.4350198,-0.0355045
9,-0.14875439,-0.34519485,"('sensitive', 'insensitive')",-1.140702,-0.68482137,-0.3225346,-0.4822268,-0.5373303,-0.504081,0.0332493
35,0.1397087,0.20494086,"('fair', 'unfair')",0.33387157,0.40588754,-0.037793607,0.064842716,0.1452622,0.2252237,0.0799615
71,0.1344235,-0.16616893,"('efficient', 'inefficient')",-2.6852183,-2.3510756,-0.33203658,-0.8753098,-0.9609438,-1.1308514,-0.1699076
25,0.1336031,0.080356896,"('moral', 'immoral')",-2.3665924,-2.057099,-0.4417022,-0.6663174,-0.8915638,-0.8810199,0.0105439
101,-0.12971564,-0.21586087,"('successful', 'unsuccessful')",0.40653783,0.68959653,0.18989229,0.16065478,0.1555715,0.2114635,0.055892
87,-0.1251091,0.1596722,"('dedicated', 'undedicated')",-1.3016795,-1.2153051,-0.5376016,-0.7090899,-0.6547967,-0.5882409,0.0665558
22,0.122353315,0.37517712,"('welcoming', 'disagreeable')",0.63010275,0.82543766,0.17209572,0.058170438,0.3081839,0.4195951,0.1114112
18,-0.0923775,-0.22244853,"('social', 'asocial')",-1.9146184,-1.7658434,-0.11937314,-0.3324216,-0.7087897,-0.7735712,-0.0647815
43,-0.073923215,0.08769858,"('genuine', 'fake')",-0.27448413,-0.22334653,0.7302021,0.82886386,0.1272649,0.231072,0.1038071
41,-0.07297385,0.1174016,"('incorrupt', 'corrupt')",2.3160949,2.0538971,0.7692393,1.0978147,1.0041202,1.0897045,0.0855843
58,0.07216698,0.1461832,"('able', 'clumsy')",-1.6039953,-1.4853518,-1.7284534,-1.551782,-1.0867606,-0.9636502,0.1231104
90,-0.06599003,-0.2811495,"('motivated', 'unmotivated')",-0.13011992,-0.119342595,0.6312644,0.32636684,0.1450515,-0.0247084,-0.1697599
42,0.05065489,0.4421996,"('amicable', 'hostile')",2.2442005,1.8618633,-0.3157593,-0.173092,0.6596987,0.7103237,0.050625
51,0.030328304,0.026103586,"('competent', 'incompetent')",-1.3180349,-1.0247302,-1.4308771,-1.4346344,-0.9061945,-0.811087,0.0951075
