,Penn_male,Penn_female,tuple,National_male,National_female,Gaming_male,Gaming_female,average_male,average_female,female-male
9,-0.37718356,-0.30781344,"('sensitive', 'insensitive')",-0.29651564,-0.24892262,-0.34188974,-0.43448955,-0.3385297,-0.3304085,0.0081212
57,0.36868197,0.16514532,"('able', 'unable')",0.35569906,0.2379002,-0.1764065,-0.34314358,0.1826582,0.0199673,-0.1626909
106,-0.36655325,-0.2937102,"('conventional', 'unconventional')",-0.6089726,-0.70296955,-0.5226295,-0.40668243,-0.4993851,-0.4677874,0.0315977
30,0.36388984,0.42014992,"('honest', 'dishonest')",-0.52339417,-0.47133058,-0.32004803,-0.3222103,-0.1598508,-0.1244637,0.0353871
23,-0.35120547,-0.6460326,"('hospitable', 'inhospitable')",0.2786489,0.1931616,0.271406,0.15662658,0.0662831,-0.0987481,-0.1650312
56,0.33357236,0.2898209,"('intelligent', 'dumb')",-0.29127783,-0.30648,1.7144297,1.7131424,0.5855747,0.5654945,-0.0200802
85,-0.32900232,-0.23982188,"('ambitious', 'unambitious')",-0.5514163,-0.51429033,-0.4038216,-0.42720538,-0.4280801,-0.3937725,0.0343076
55,0.3236397,0.28626016,"('intelligent', 'unintelligent')",-0.21650279,-0.06049475,-0.76128805,-0.7401582,-0.2180504,-0.1714643,0.0465861
38,-0.31482902,-0.051058188,"('kind', 'unkind')",-1.2687129,-0.98337185,-1.1098689,-0.8765551,-0.8978036,-0.636995,0.2608086
20,0.309437,0.21645644,"('popular', 'unpopular')",0.5432941,0.44296065,-0.82399,-0.7833968,0.0095804,-0.0413266,-0.050907
4,-0.3091578,-0.26603946,"('likable', 'unlikable')",-0.35108557,-0.24958354,-0.8668209,-0.86929834,-0.5090214,-0.4616404,0.047381
54,-0.30088854,-0.56756806,"('smart', 'stupid')",0.7671701,0.7570834,0.33617678,0.31815752,0.2674861,0.1692243,-0.0982618
12,0.2825765,0.3060879,"('sympathetic', 'unsympathetic')",-0.27821898,-0.3138433,-0.115763724,-0.060302705,-0.0371354,-0.022686,0.0144494
81,-0.26475376,-0.46188843,"('industrious', 'lazy')",0.43898565,0.3977822,1.6266086,1.5752857,0.6002802,0.5037265,-0.0965537
45,-0.2562194,-0.33047184,"('cooperative', 'exploitative')",-0.96358794,-0.9154189,-0.058097497,-0.14119166,-0.4259683,-0.4623608,-0.0363925
36,-0.2554437,-0.115920156,"('tolerant', 'intolerant')",-0.1969773,0.0078584105,-0.7732242,-0.72960097,-0.4085484,-0.2792209,0.1293275
19,-0.24575877,-0.18208885,"('funny', 'boring')",0.053821802,0.21990854,-0.38053006,-0.44069564,-0.1908223,-0.134292,0.0565303
13,-0.23657209,-0.19201615,"('helpful', 'unhelpful')",-0.985423,-0.90489584,-2.301239,-2.4033954,-1.1744114,-1.1667692,0.0076422
110,-0.1879164,-0.12441599,"('narrow-minded', 'open-minded')",-0.11742833,-0.29181486,0.39719248,0.36936402,0.0306159,-0.0156223,-0.0462382
69,-0.16324955,-0.07243252,"('wise', 'foolish')",-0.4359861,-0.31422192,-0.63940865,-0.63375795,-0.4128815,-0.3401375,0.072744
67,0.14863229,0.24681787,"('discriminating', 'undiscriminating')",-0.9638151,-0.98938805,-0.31414366,-0.18301037,-0.3764422,-0.3085268,0.0679154
73,-0.14018229,-0.31855634,"('brilliant', 'incompetent')",-0.5594907,-0.7683343,-0.9805456,-1.0885332,-0.5600728,-0.7251413,-0.1650685
93,0.1338825,0.3724197,"('dominating', 'dominated')",0.080981776,0.00048253685,0.8899149,0.939257,0.3682597,0.4373864,0.0691267
100,-0.10507813,0.054963488,"('influential', 'uninfluential')",-0.10465294,0.18074346,-0.79885423,-0.6129869,-0.3361951,-0.12576,0.2104351
37,-0.08258787,-0.2755673,"('good', 'evil')",-0.2685446,-0.3859491,1.2231791,1.2016319,0.2906822,0.1800385,-0.1106437
17,-0.08216667,0.19638145,"('social', 'antisocial')",-0.6428473,-0.44103155,-0.5594852,-0.37821758,-0.4281664,-0.2076226,0.2205438
101,0.0580353,0.11615068,"('successful', 'unsuccessful')",-0.41362965,-0.36296144,-0.86784446,-0.86481494,-0.4078129,-0.3705419,0.037271
84,-0.05614248,-0.18533802,"('self-confident', 'diffident')",-1.0774738,-1.0061285,-0.8835141,-1.0489743,-0.6723768,-0.7468136,-0.0744368
102,0.049782246,-0.090413995,"('eminent', 'low')",-0.36608475,-0.3789206,-0.25185698,-0.25202024,-0.1893865,-0.2404516,-0.0510651
74,0.044669047,0.041928142,"('insightful', 'unperceptive')",-0.7300788,-0.6706417,-0.5686624,-0.60999393,-0.4180241,-0.4129025,0.0051216
18,-0.0084426105,0.18335241,"('social', 'asocial')",-1.2809281,-1.097775,-0.666301,-0.625287,-0.6518906,-0.5132365,0.1386541
83,0.001240164,0.21913028,"('energetic', 'lethargic')",-0.40825397,-0.522387,0.42530936,0.47719833,0.0060985,0.0579805,0.051882
