,American_male,American_female,tuple,Airlines_male,Airlines_female,Group_male,Group_female,average_male,average_female,female-male
56,0.31842244,0.29722622,"('intelligent', 'dumb')",0.3210844,0.24757996,1.2655385,1.3052688,0.6350151,0.6166917,-0.0183234
9,-0.31372267,-0.35147703,"('sensitive', 'insensitive')",-0.865252,-0.98811245,-0.8002304,-0.91652274,-0.659735,-0.7520374,-0.0923024
82,0.3065063,0.3199879,"('industrious', 'meek')",-0.14745492,-0.080940306,0.9025123,1.1112237,0.3538546,0.4500904,0.0962358
85,0.28720713,0.2171942,"('ambitious', 'unambitious')",-0.8038672,-0.9954305,-0.9323306,-0.99152136,-0.4829969,-0.5899192,-0.1069223
93,0.24030963,0.36904758,"('dominating', 'dominated')",0.4647174,0.4442161,0.29059702,0.16884139,0.3318747,0.3273683,-0.0045064
57,0.23873019,0.1253762,"('able', 'unable')",-0.074219406,-0.1364014,0.22977036,0.315879,0.131427,0.1016179,-0.0298091
61,0.22599763,0.3197582,"('rational', 'irrational')",-0.5905612,-0.40481478,0.47612983,0.8306458,0.0371887,0.2485298,0.2113411
10,-0.2137361,-0.13141873,"('affectionate', 'unaffectionate')",-1.2719185,-1.2371576,-1.1393261,-0.8931228,-0.8749936,-0.7538997,0.1210939
7,0.2096338,0.010177359,"('outgoing', 'distant')",-0.48751712,-0.5472153,0.43886712,0.337091,0.0536613,-0.066649,-0.1203103
2,-0.19252372,-0.09130266,"('friendly', 'unfriendly')",0.90006816,0.80610204,-0.44472814,-0.44586506,0.0876054,0.0896448,0.0020394
19,0.19169688,0.14111722,"('funny', 'boring')",-0.69190335,-0.5452331,0.031997263,0.17675704,-0.1560697,-0.0757863,0.0802834
83,0.17792496,0.15059447,"('energetic', 'lethargic')",0.5334031,0.47187024,-0.09243578,-0.27982312,0.2062974,0.1142139,-0.0920835
91,-0.17612244,-0.1901718,"('resilient', 'nonresilient')",0.17188644,0.18251935,-0.19396849,-0.093790576,-0.0660682,-0.0338143,0.0322539
47,-0.17601562,-0.10507575,"('forgiving', 'unforgiving')",-0.6434268,-0.52097833,-0.9559828,-0.9265202,-0.5918084,-0.5175248,0.0742836
69,0.15362167,0.2411781,"('wise', 'foolish')",-0.3274623,-0.3705131,0.4258079,0.60023564,0.0839891,0.1569669,0.0729778
4,-0.13139611,-0.16742715,"('likable', 'unlikable')",-0.6929547,-0.8259798,-0.5960393,-0.56140864,-0.4734634,-0.5182719,-0.0448085
64,0.12614417,0.093235224,"('clever', 'incompetent')",0.47488505,0.45322943,-0.59013754,-0.609126,0.0036306,-0.0208871,-0.0245177
73,-0.07398754,-0.2754375,"('brilliant', 'incompetent')",-0.15394631,-0.43736082,-0.9880754,-1.3039889,-0.4053364,-0.6722624,-0.266926
80,-0.055482045,-0.05348797,"('independent', 'dependent')",0.545579,0.6912079,0.7788498,0.8744364,0.4229823,0.5040521,0.0810698
89,-0.054638132,-0.078836255,"('daring', 'anxious')",0.8609617,0.78792584,-0.09288578,-0.23951715,0.2378126,0.1565241,-0.0812885
96,0.0517729,-0.009592637,"('powerful', 'powerless')",0.19807847,0.13006802,0.41390386,0.47129026,0.2212517,0.1972552,-0.0239965
23,0.03554082,-0.20429438,"('hospitable', 'inhospitable')",0.25257134,0.22938353,0.839142,0.7548155,0.3757514,0.2599682,-0.1157832
30,-0.033292413,-0.06700951,"('honest', 'dishonest')",0.10493193,0.050898522,0.04217182,-0.04210545,0.0379371,-0.0194055,-0.0573426
22,0.023407876,-0.009248823,"('welcoming', 'disagreeable')",-0.044329897,0.006790325,0.5881824,0.64519274,0.1890868,0.2142447,0.0251579
