,Lamb_male,Lamb_female,tuple,Weston_male,Weston_female,average_male,average_female,female-male
31,-0.6862093,-0.51949537,"('altruistic', 'egoistic')",-1.3975242,-1.1264553,-1.0418668,-0.8229753,0.2188915
102,0.6675384,0.43166035,"('eminent', 'low')",-0.1066678,-0.23685984,0.2804353,0.0974003,-0.183035
103,0.66027856,0.6895957,"('traditional', 'modern')",1.010506,0.9699248,0.8353923,0.8297603,-0.005632
8,-0.6524941,-0.42841858,"('open', 'distant')",-1.1733793,-1.0061804,-0.9129367,-0.7172995,0.1956372
97,-0.6441272,-0.61678386,"('superior', 'inferior')",-0.48142958,-0.4748168,-0.5627784,-0.5458003,0.0169781
93,0.6353182,0.5205356,"('dominating', 'dominated')",0.6554462,0.4852278,0.6453822,0.5028817,-0.1425005
72,-0.6269617,-0.27122128,"('logical', 'illogical')",-0.64625037,-0.45217347,-0.636606,-0.3616974,0.2749086
54,0.6061129,0.3640544,"('smart', 'stupid')",0.045844138,-0.35714707,0.3259785,0.0034537,-0.3225248
43,-0.5750736,-0.6882825,"('genuine', 'fake')",0.13675618,0.09137687,-0.2191587,-0.2984528,-0.0792941
9,-0.5504539,-0.69049203,"('sensitive', 'insensitive')",-0.14023924,-0.22605418,-0.3453466,-0.4582731,-0.1129265
64,0.54131496,0.20480648,"('clever', 'incompetent')",0.20836562,0.019693494,0.3748403,0.11225,-0.2625903
73,0.53518915,0.10785031,"('brilliant', 'incompetent')",0.27354923,-0.08703634,0.4043692,0.010407,-0.3939622
56,0.5223763,0.4868777,"('intelligent', 'dumb')",0.30588865,0.2544974,0.4141325,0.3706875,-0.043445
2,0.50692993,0.24520767,"('friendly', 'unfriendly')",0.86354965,0.6402363,0.6852398,0.442722,-0.2425178
42,-0.5032532,-0.16685915,"('amicable', 'hostile')",-1.1991057,-0.918432,-0.8511795,-0.5426456,0.3085339
84,-0.5031035,-0.4978389,"('self-confident', 'diffident')",-0.72905815,-0.73270345,-0.6160808,-0.6152712,0.0008096
5,0.4800501,0.46804222,"('pleasant', 'repellent')",1.048071,0.92450887,0.7640606,0.6962755,-0.0677851
44,-0.47942182,-0.5290815,"('truthful', 'untruthful')",-0.7762315,-0.85229564,-0.6278267,-0.6906886,-0.0628619
65,0.4537943,0.06453729,"('practical', 'impractical')",0.44127893,0.09360203,0.4475366,0.0790697,-0.3684669
69,-0.44352072,-0.36073333,"('wise', 'foolish')",-0.45187443,-0.3794486,-0.4476976,-0.370091,0.0776066
88,0.42922264,0.45300287,"('impulsive', 'meek')",-0.17973244,-0.26522374,0.1247451,0.0938896,-0.0308555
70,0.40786922,0.5034777,"('wise', 'unwise')",-0.04932122,0.18454218,0.179274,0.3440099,0.1647359
82,0.40091568,0.52281463,"('industrious', 'meek')",0.04501313,0.15043706,0.2229644,0.3366258,0.1136614
107,0.36852866,0.60598135,"('conventional', 'modern')",2.02629,2.1947525,1.1974093,1.4003669,0.2029576
30,-0.35284495,-0.434026,"('honest', 'dishonest')",-0.056891024,-0.11421892,-0.204868,-0.2741225,-0.0692545
17,0.3524074,0.62953115,"('social', 'antisocial')",-0.058773994,0.03043285,0.1468167,0.329982,0.1831653
0,0.32612377,0.5485781,"('sociable', 'unsociable')",-0.08324474,0.07453185,0.1214395,0.311555,0.1901155
89,0.32505247,0.1302138,"('daring', 'anxious')",0.7382776,0.6152256,0.531665,0.3727197,-0.1589453
12,-0.31749547,-0.36301732,"('sympathetic', 'unsympathetic')",-0.2415553,-0.32776323,-0.2795254,-0.3453903,-0.0658649
39,-0.31631786,-0.057168826,"('right', 'wrong')",-0.51099396,-0.35835725,-0.4136559,-0.207763,0.2058929
74,0.311637,0.2969846,"('insightful', 'unperceptive')",-0.047779083,-0.100187615,0.131929,0.0983985,-0.0335305
100,0.29457343,0.48259598,"('influential', 'uninfluential')",-0.12705535,0.08093125,0.083759,0.2817636,0.1980046
62,-0.22040981,0.017308682,"('creative', 'uncreative')",-1.3146265,-1.1618502,-0.7675182,-0.5722708,0.1952474
91,-0.22031882,-0.24616542,"('resilient', 'nonresilient')",0.09294769,0.16951884,-0.0636856,-0.0383233,0.0253623
18,0.21576308,0.23806553,"('social', 'asocial')",0.10226449,0.122999966,0.1590138,0.1805328,0.021519
4,0.19281445,0.09202054,"('likable', 'unlikable')",-0.003393434,-0.20764077,0.0947105,-0.0578101,-0.1525206
20,0.19252054,0.45557162,"('popular', 'unpopular')",-0.85071737,-0.55709404,-0.3290984,-0.0507612,0.2783372
85,0.18627545,0.22630157,"('ambitious', 'unambitious')",0.15846375,0.068713754,0.1723696,0.1475077,-0.0248619
23,0.17605495,0.165308,"('hospitable', 'inhospitable')",0.022678554,-0.06452656,0.0993668,0.0503907,-0.0489761
21,0.16933411,0.14043957,"('nice', 'nasty')",-0.21040452,-0.30851752,-0.0205352,-0.084039,-0.0635038
36,-0.15517408,-0.32916403,"('tolerant', 'intolerant')",-0.5714276,-0.69972104,-0.3633008,-0.5144426,-0.1511418
45,-0.14816546,-0.3476863,"('cooperative', 'exploitative')",-0.12864998,-0.34330636,-0.1384077,-0.3454963,-0.2070886
57,0.14549387,-0.13438073,"('able', 'unable')",-0.23376423,-0.45610067,-0.0441352,-0.2952407,-0.2511055
83,-0.13245404,-0.196605,"('energetic', 'lethargic')",-0.26494968,-0.37427866,-0.1987019,-0.2854418,-0.0867399
77,-0.11790329,0.13263392,"('active', 'inactive')",-0.40818024,-0.35042554,-0.2630418,-0.1088958,0.154146
35,-0.10969526,0.08673765,"('fair', 'unfair')",-0.025155537,0.09304619,-0.0674254,0.0898919,0.1573173
19,-0.09443027,-0.17005193,"('funny', 'boring')",-0.6065964,-0.4906994,-0.3505133,-0.3303757,0.0201376
87,0.09406789,0.20853433,"('dedicated', 'undedicated')",0.15249315,0.20337573,0.1232805,0.205955,0.0826745
51,0.09144631,0.031029016,"('competent', 'incompetent')",-0.64378196,-0.65446067,-0.2761678,-0.3117158,-0.035548
59,0.061537504,0.24290837,"('skillful', 'clumsy')",0.6767897,0.77195317,0.3691636,0.5074308,0.1382672
61,0.051092684,0.4719005,"('rational', 'irrational')",-0.8118932,-0.42666227,-0.3804003,0.0226191,0.4030194
7,-0.04929179,0.037350357,"('outgoing', 'distant')",-0.6577754,-0.60441685,-0.3535336,-0.2835332,0.0700004
55,0.030365825,-0.13518417,"('intelligent', 'unintelligent')",-0.024552464,-0.020143986,0.0029067,-0.0776641,-0.0805708
101,0.008240238,0.0058038086,"('successful', 'unsuccessful')",-0.04744216,-0.13152622,-0.019601,-0.0628612,-0.0432602
67,0.0061518997,0.11959201,"('discriminating', 'undiscriminating')",-0.15977994,-0.2349565,-0.076814,-0.0576822,0.0191318
