,AT&T_male,AT&T_female,tuple,average_male,average_female,female-male
42,-1.5991044,-1.4922192,"('amicable', 'hostile')",-1.5991044,-1.4922192,0.1068852
37,-1.594481,-1.689529,"('good', 'evil')",-1.594481,-1.6895289,-0.0950479
83,1.5388737,1.5246166,"('energetic', 'lethargic')",1.5388737,1.5246166,-0.0142571
18,1.5208626,1.5308757,"('social', 'asocial')",1.5208626,1.5308757,0.0100131
2,1.5075176,1.5569975,"('friendly', 'unfriendly')",1.5075176,1.5569975,0.0494799
39,-1.4957443,-1.546567,"('right', 'wrong')",-1.4957443,-1.546567,-0.0508227
51,1.4681989,1.6182679,"('competent', 'incompetent')",1.4681989,1.6182679,0.150069
95,1.451863,1.4263643,"('rich', 'poor')",1.4518631,1.4263643,-0.0254988
61,-1.3918765,-1.214442,"('rational', 'irrational')",-1.3918765,-1.214442,0.1774345
53,1.312695,1.2817256,"('smart', 'stupid')",1.312695,1.2817256,-0.0309694
92,-1.2920663,-1.5649898,"('unwavering', 'wavering')",-1.2920663,-1.5649898,-0.2729235
79,1.2196847,1.0463688,"('determined', 'doubtful')",1.2196847,1.0463688,-0.1733159
20,-1.197323,-1.3714895,"('popular', 'unpopular')",-1.197323,-1.3714895,-0.1741665
6,-1.1774476,-1.1990317,"('liked', 'disliked')",-1.1774476,-1.1990317,-0.0215841
31,-1.1766382,-1.1369524,"('altruistic', 'egoistic')",-1.1766382,-1.1369524,0.0396858
89,1.1677965,1.1786237,"('daring', 'anxious')",1.1677965,1.1786237,0.0108272
101,-1.1667643,-1.2756804,"('successful', 'unsuccessful')",-1.1667643,-1.2756804,-0.1089161
69,-1.1483287,-1.2952306,"('wise', 'foolish')",-1.1483287,-1.2952306,-0.1469019
109,1.0833097,1.1376603,"('conservative', 'liberal')",1.0833097,1.1376603,0.0543506
108,1.0833097,1.1376603,"('conservative', 'liberal')",1.0833097,1.1376603,0.0543506
66,1.0706592,1.1777534,"('imaginative', 'unimaginative')",1.0706592,1.1777534,0.1070942
9,1.0418229,1.1869166,"('sensitive', 'insensitive')",1.0418229,1.1869166,0.1450937
86,-1.0404085,-1.1652565,"('self-reliant', 'helpless')",-1.0404085,-1.1652565,-0.124848
55,1.01818,1.2630246,"('intelligent', 'unintelligent')",1.01818,1.2630246,0.2448446
77,-1.0110006,-1.236548,"('active', 'inactive')",-1.0110006,-1.2365479,-0.2255473
33,1.005947,1.1905484,"('softhearted', 'hardhearted')",1.005947,1.1905484,0.1846014
28,0.9792484,1.0441886,"('honest', 'dishonest')",0.9792484,1.0441886,0.0649402
110,0.9727734,0.941363,"('narrow-minded', 'open-minded')",0.9727734,0.941363,-0.0314104
38,0.95380163,1.0761926,"('kind', 'unkind')",0.9538016,1.0761926,0.122391
5,0.93595594,1.0033946,"('pleasant', 'repellent')",0.9359559,1.0033946,0.0674387
7,-0.9346341,-1.0939186,"('outgoing', 'distant')",-0.9346341,-1.0939186,-0.1592845
47,0.9166266,1.0004141,"('forgiving', 'unforgiving')",0.9166266,1.0004141,0.0837875
4,-0.9106553,-1.0918676,"('likable', 'unlikable')",-0.9106553,-1.0918676,-0.1812123
23,-0.90356183,-1.0651913,"('hospitable', 'inhospitable')",-0.9035618,-1.0651913,-0.1616295
100,0.90013206,1.0705492,"('influential', 'uninfluential')",0.9001321,1.0705492,0.1704171
62,-0.88523555,-0.7579938,"('creative', 'uncreative')",-0.8852355,-0.7579938,0.1272417
63,-0.83090734,-0.96380746,"('capable', 'incapable')",-0.8309073,-0.9638075,-0.1329002
19,-0.8235809,-0.6923026,"('funny', 'boring')",-0.8235809,-0.6923026,0.1312783
46,-0.8080741,-0.70927703,"('generous', 'stingy')",-0.8080741,-0.709277,0.0987971
70,0.77881086,0.79490554,"('wise', 'unwise')",0.7788109,0.7949055,0.0160946
17,0.7321398,0.8671079,"('social', 'antisocial')",0.7321398,0.8671079,0.1349681
54,0.70585966,0.56986904,"('smart', 'stupid')",0.7058597,0.569869,-0.1359907
14,0.69907904,0.6833633,"('supportive', 'unsupportive')",0.699079,0.6833633,-0.0157157
44,0.6661184,0.5360602,"('truthful', 'untruthful')",0.6661184,0.5360602,-0.1300582
26,0.6351266,0.79015684,"('trustworthy', 'untrustworthy')",0.6351266,0.7901568,0.1550302
105,0.6303346,0.80484,"('conventional', 'modern')",0.6303346,0.80484,0.1745054
59,-0.6130172,-0.7146766,"('skillful', 'clumsy')",-0.6130172,-0.7146766,-0.1016594
74,0.58298415,0.56764257,"('insightful', 'unperceptive')",0.5829841,0.5676426,-0.0153415
84,-0.56300765,-0.61657465,"('self-confident', 'diffident')",-0.5630077,-0.6165746,-0.0535669
22,0.5601088,0.62279654,"('welcoming', 'disagreeable')",0.5601088,0.6227965,0.0626877
29,0.55361795,0.5970221,"('honest', 'immoral')",0.553618,0.5970221,0.0434041
60,0.5514166,0.6139832,"('educated', 'uneducated')",0.5514166,0.6139832,0.0625666
85,0.49044663,0.40487167,"('ambitious', 'unambitious')",0.4904466,0.4048717,-0.0855749
40,0.48522288,0.44313085,"('honorable', 'mean')",0.4852229,0.4431309,-0.042092
1,-0.47886747,-0.2956609,"('friendly', 'unfriendly')",-0.4788675,-0.2956609,0.1832066
90,0.4708621,0.30956846,"('motivated', 'unmotivated')",0.4708621,0.3095685,-0.1612936
72,-0.4553349,-0.227489,"('logical', 'illogical')",-0.4553349,-0.227489,0.2278459
10,0.41252244,0.54508364,"('affectionate', 'unaffectionate')",0.4125224,0.5450836,0.1325612
50,-0.39826414,-0.5966501,"('unprejudiced', 'prejudiced')",-0.3982641,-0.5966501,-0.198386
11,-0.37642288,-0.30108652,"('caring', 'unaffectionate')",-0.3764229,-0.3010865,0.0753364
97,0.34979162,0.53764945,"('superior', 'inferior')",0.3497916,0.5376495,0.1878579
56,-0.34155717,-0.4779499,"('intelligent', 'dumb')",-0.3415572,-0.4779499,-0.1363927
75,0.3401919,0.17654681,"('confident', 'shy')",0.3401919,0.1765468,-0.1636451
25,0.335314,0.39670932,"('moral', 'immoral')",0.335314,0.3967093,0.0613953
73,0.331981,0.24565694,"('brilliant', 'incompetent')",0.331981,0.2456569,-0.0863241
32,-0.31483936,-0.03594196,"('benevolent', 'hardhearted')",-0.3148394,-0.035942,0.2788974
30,-0.29901475,-0.34103963,"('honest', 'dishonest')",-0.2990147,-0.3410396,-0.0420249
91,0.27330202,0.26129147,"('resilient', 'nonresilient')",0.273302,0.2612915,-0.0120105
48,0.2725079,0.09873599,"('reliable', 'unreliable')",0.2725079,0.098736,-0.1737719
35,-0.2432383,-0.14281523,"('fair', 'unfair')",-0.2432383,-0.1428152,0.1004231
106,0.21968359,0.34143013,"('conventional', 'unconventional')",0.2196836,0.3414301,0.1217465
45,0.20194279,0.15711874,"('cooperative', 'exploitative')",0.2019428,0.1571187,-0.0448241
43,0.19153756,0.16983753,"('genuine', 'fake')",0.1915376,0.1698375,-0.0217001
103,0.15645947,0.32008627,"('traditional', 'modern')",0.1564595,0.3200863,0.1636268
57,0.1501526,0.08978531,"('able', 'unable')",0.1501526,0.0897853,-0.0603673
21,0.14914432,0.19686627,"('nice', 'nasty')",0.1491443,0.1968663,0.047722
93,-0.116312444,-0.1280089,"('dominating', 'dominated')",-0.1163124,-0.1280089,-0.0116965
68,-0.1044213,-0.29580715,"('clever', 'inept')",-0.1044213,-0.2958072,-0.1913859
87,-0.08142775,-0.05748707,"('dedicated', 'undedicated')",-0.0814278,-0.0574871,0.0239407
102,-0.0728559,-0.028865501,"('eminent', 'low')",-0.0728559,-0.0288655,0.0439904
80,-0.07165122,-0.15411988,"('independent', 'dependent')",-0.0716512,-0.1541199,-0.0824687
24,0.06674269,0.15026611,"('thoughtful', 'rough')",0.0667427,0.1502661,0.0835234
67,0.052555412,0.1869314,"('discriminating', 'undiscriminating')",0.0525554,0.1869314,0.134376
78,-0.04918635,-0.3146577,"('active', 'inactive')",-0.0491863,-0.3146577,-0.2654714
3,0.00813663,-0.14314473,"('likable', 'unlikable')",0.0081366,-0.1431447,-0.1512813
96,-0.0040038526,-0.06916854,"('powerful', 'powerless')",-0.0040039,-0.0691685,-0.0651646
