,Textron_male,Textron_female,tuple,average_male,average_female,female-male
23,1.0011592,0.7288536,"('hospitable', 'inhospitable')",1.0011592,0.7288536,-0.2723056
71,-0.9980862,-0.9706621,"('efficient', 'inefficient')",-0.9980862,-0.9706621,0.0274241
55,-0.9977555,-0.94129276,"('intelligent', 'unintelligent')",-0.9977555,-0.9412928,0.0564627
22,0.9830785,1.0244346,"('welcoming', 'disagreeable')",0.9830785,1.0244346,0.0413561
61,0.9760874,0.9509682,"('rational', 'irrational')",0.9760874,0.9509682,-0.0251192
78,0.9338162,0.56517005,"('active', 'inactive')",0.9338162,0.56517,-0.3686462
25,-0.919186,-0.49438584,"('moral', 'immoral')",-0.919186,-0.4943858,0.4248002
1,-0.89915454,-0.79593074,"('friendly', 'unfriendly')",-0.8991545,-0.7959307,0.1032238
100,-0.89462966,-0.26232117,"('influential', 'uninfluential')",-0.8946297,-0.2623212,0.6323085
38,-0.86888677,-0.5658945,"('kind', 'unkind')",-0.8688868,-0.5658945,0.3029923
24,-0.8529123,-0.8176316,"('thoughtful', 'rough')",-0.8529123,-0.8176316,0.0352807
74,-0.83909976,-0.57320505,"('insightful', 'unperceptive')",-0.8390998,-0.5732051,0.2658947
7,0.819287,0.4895035,"('outgoing', 'distant')",0.819287,0.4895035,-0.3297835
21,0.8048489,0.75309455,"('nice', 'nasty')",0.8048489,0.7530946,-0.0517543
8,0.7861658,0.46772578,"('open', 'distant')",0.7861658,0.4677258,-0.31844
97,-0.7552917,-0.6624104,"('superior', 'inferior')",-0.7552917,-0.6624104,0.0928813
28,-0.7468,-0.45238864,"('honest', 'dishonest')",-0.7468,-0.4523886,0.2944114
68,-0.7436389,-0.72036034,"('clever', 'inept')",-0.7436389,-0.7203603,0.0232786
62,-0.73150015,-0.43326026,"('creative', 'uncreative')",-0.7315001,-0.4332603,0.2982398
65,-0.730242,-0.41278595,"('practical', 'impractical')",-0.730242,-0.4127859,0.3174561
66,0.7149243,1.0135937,"('imaginative', 'unimaginative')",0.7149243,1.0135937,0.2986694
105,-0.6955813,-0.7392,"('conventional', 'modern')",-0.6955813,-0.7392,-0.0436187
58,-0.6781309,-0.15853207,"('able', 'clumsy')",-0.6781309,-0.1585321,0.5195988
2,-0.67229915,-0.36334568,"('friendly', 'unfriendly')",-0.6722991,-0.3633457,0.3089534
92,0.6603502,0.46781018,"('unwavering', 'wavering')",0.6603502,0.4678102,-0.19254
109,-0.6395574,-0.44398323,"('conservative', 'liberal')",-0.6395574,-0.4439832,0.1955742
108,-0.6395574,-0.44398323,"('conservative', 'liberal')",-0.6395574,-0.4439832,0.1955742
14,0.62035984,0.6323,"('supportive', 'unsupportive')",0.6203598,0.6323,0.0119402
20,0.61793953,0.4060034,"('popular', 'unpopular')",0.6179395,0.4060034,-0.2119361
73,-0.61427885,-0.56728107,"('brilliant', 'incompetent')",-0.6142789,-0.5672811,0.0469978
41,0.6098735,0.26050824,"('incorrupt', 'corrupt')",0.6098735,0.2605082,-0.3493653
49,-0.6053417,-0.386338,"('responsible', 'irresponsible')",-0.6053417,-0.386338,0.2190037
42,0.59639657,0.47207385,"('amicable', 'hostile')",0.5963966,0.4720739,-0.1243227
26,-0.5795061,-0.050484926,"('trustworthy', 'untrustworthy')",-0.5795061,-0.0504849,0.5290212
56,0.56642234,0.87977475,"('intelligent', 'dumb')",0.5664223,0.8797747,0.3133524
0,-0.53745735,-0.2622032,"('sociable', 'unsociable')",-0.5374573,-0.2622032,0.2752541
44,-0.5291643,-0.37900242,"('truthful', 'untruthful')",-0.5291643,-0.3790024,0.1501619
17,-0.5250021,-0.37286764,"('social', 'antisocial')",-0.5250021,-0.3728676,0.1521345
87,-0.5211959,-0.28923768,"('dedicated', 'undedicated')",-0.5211959,-0.2892377,0.2319582
89,-0.51639116,-0.24221432,"('daring', 'anxious')",-0.5163912,-0.2422143,0.2741769
32,-0.51032543,-0.30523473,"('benevolent', 'hardhearted')",-0.5103254,-0.3052347,0.2050907
104,-0.50032717,-0.4067712,"('conventional', 'unconventional')",-0.5003272,-0.4067712,0.093556
79,-0.4960255,-0.48456955,"('determined', 'doubtful')",-0.4960255,-0.4845695,0.011456
82,0.4957262,0.17925781,"('industrious', 'meek')",0.4957262,0.1792578,-0.3164684
81,0.47603032,0.12334367,"('industrious', 'lazy')",0.4760303,0.1233437,-0.3526866
11,-0.4664805,-0.36731964,"('caring', 'unaffectionate')",-0.4664805,-0.3673196,0.0991609
80,0.45843685,0.5158572,"('independent', 'dependent')",0.4584368,0.5158572,0.0574204
31,-0.45668653,-0.5179222,"('altruistic', 'egoistic')",-0.4566865,-0.5179222,-0.0612357
54,0.44880772,0.20250903,"('smart', 'stupid')",0.4488077,0.202509,-0.2462987
85,-0.4463219,-0.10040671,"('ambitious', 'unambitious')",-0.4463219,-0.1004067,0.3459152
59,0.4452626,0.4782055,"('skillful', 'clumsy')",0.4452626,0.4782055,0.0329429
4,-0.428944,-0.31748638,"('likable', 'unlikable')",-0.428944,-0.3174864,0.1114576
9,-0.42695844,-0.15918839,"('sensitive', 'insensitive')",-0.4269584,-0.1591884,0.26777
88,0.4154039,0.34422433,"('impulsive', 'meek')",0.4154039,0.3442243,-0.0711796
33,-0.40403038,-0.30625686,"('softhearted', 'hardhearted')",-0.4040304,-0.3062569,0.0977735
90,0.3881179,0.31467798,"('motivated', 'unmotivated')",0.3881179,0.314678,-0.0734399
110,0.38110697,0.21658498,"('narrow-minded', 'open-minded')",0.381107,0.216585,-0.164522
101,-0.36240715,-0.45504612,"('successful', 'unsuccessful')",-0.3624071,-0.4550461,-0.092639
51,-0.34342825,-0.18269162,"('competent', 'incompetent')",-0.3434283,-0.1826916,0.1607367
96,-0.32163912,-0.1880422,"('powerful', 'powerless')",-0.3216391,-0.1880422,0.1335969
69,0.28182042,0.3471083,"('wise', 'foolish')",0.2818204,0.3471083,0.0652879
35,0.2712771,0.3895191,"('fair', 'unfair')",0.2712771,0.3895191,0.118242
103,0.27109048,0.30563024,"('traditional', 'modern')",0.2710905,0.3056302,0.0345397
39,-0.2558714,-0.20375264,"('right', 'wrong')",-0.2558714,-0.2037526,0.0521188
99,0.2545515,0.18245557,"('prestigious', 'insignificant')",0.2545515,0.1824556,-0.0720959
19,-0.24832207,-0.009894609,"('funny', 'boring')",-0.2483221,-0.0098946,0.2384275
102,-0.2310034,-0.10684711,"('eminent', 'low')",-0.2310034,-0.1068471,0.1241563
43,-0.22595656,-0.13664612,"('genuine', 'fake')",-0.2259566,-0.1366461,0.0893105
98,0.21767919,0.032510266,"('prestigious', 'insignificant')",0.2176792,0.0325103,-0.1851689
10,-0.21685329,-0.039935157,"('affectionate', 'unaffectionate')",-0.2168533,-0.0399352,0.1769181
83,-0.2164679,0.12331033,"('energetic', 'lethargic')",-0.2164679,0.1233103,0.3397782
12,-0.2142328,0.12050221,"('sympathetic', 'unsympathetic')",-0.2142328,0.1205022,0.334735
5,0.1872586,0.17242342,"('pleasant', 'repellent')",0.1872586,0.1724234,-0.0148352
94,0.15528879,0.47381592,"('aggressive', 'submissive')",0.1552888,0.4738159,0.3185271
47,-0.15159017,-0.0045300126,"('forgiving', 'unforgiving')",-0.1515902,-0.00453,0.1470602
45,0.14873973,0.08898008,"('cooperative', 'exploitative')",0.1487397,0.0889801,-0.0597596
52,-0.12899518,0.08555263,"('competitive', 'uncompetitive')",-0.1289952,0.0855526,0.2145478
30,-0.122329414,-0.14171574,"('honest', 'dishonest')",-0.1223294,-0.1417157,-0.0193863
18,-0.112241834,0.3282646,"('social', 'asocial')",-0.1122418,0.3282646,0.4405064
76,-0.062801674,0.32624638,"('secure', 'insecure')",-0.0628017,0.3262464,0.3890481
93,0.06267169,0.43411598,"('dominating', 'dominated')",0.0626717,0.434116,0.3714443
91,0.055573344,-0.19611871,"('resilient', 'nonresilient')",0.0555733,-0.1961187,-0.251692
36,-0.051987723,0.1773862,"('tolerant', 'intolerant')",-0.0519877,0.1773862,0.2293739
57,-0.030673824,-0.20814258,"('able', 'unable')",-0.0306738,-0.2081426,-0.1774688
15,-0.006931111,0.3910752,"('polite', 'impolite')",-0.0069311,0.3910752,0.3980063
84,0.0040971264,-0.26197946,"('self-confident', 'diffident')",0.0040971,-0.2619795,-0.2660766
16,-0.0035022795,0.33750802,"('social', 'antisocial')",-0.0035023,0.337508,0.3410103
60,-0.0026336014,0.4750092,"('educated', 'uneducated')",-0.0026336,0.4750092,0.4776428
63,0.0018228143,-0.046413764,"('capable', 'incapable')",0.0018228,-0.0464138,-0.0482366
