,Mastercard_male,Mastercard_female,tuple,average_male,average_female,female-male
5,1.0943643,1.1273322,"('pleasant', 'repellent')",1.0943643,1.1273322,0.0329679
16,1.0924729,1.203604,"('social', 'antisocial')",1.0924729,1.203604,0.1111311
50,1.0659001,0.8407022,"('unprejudiced', 'prejudiced')",1.0659001,0.8407022,-0.2251979
105,-1.0629652,-0.82725024,"('conventional', 'modern')",-1.0629652,-0.8272502,0.235715
55,1.035955,1.0725012,"('intelligent', 'unintelligent')",1.035955,1.0725012,0.0365462
76,1.0352678,1.1195904,"('secure', 'insecure')",1.0352678,1.1195904,0.0843226
36,1.0320547,1.0133934,"('tolerant', 'intolerant')",1.0320547,1.0133934,-0.0186613
71,0.99586797,0.99040985,"('efficient', 'inefficient')",0.995868,0.9904099,-0.0054581
70,0.99238354,0.9797365,"('wise', 'unwise')",0.9923835,0.9797365,-0.012647
67,-0.950094,-0.88828516,"('discriminating', 'undiscriminating')",-0.950094,-0.8882852,0.0618088
60,0.9034277,1.0296001,"('educated', 'uneducated')",0.9034277,1.0296001,0.1261724
35,0.9021868,0.9333208,"('fair', 'unfair')",0.9021868,0.9333208,0.031134
57,0.8927521,0.834345,"('able', 'unable')",0.8927521,0.834345,-0.0584071
83,0.8652873,0.9102392,"('energetic', 'lethargic')",0.8652873,0.9102392,0.0449519
52,0.8631571,0.9619432,"('competitive', 'uncompetitive')",0.8631571,0.9619432,0.0987861
66,0.84810454,0.87809134,"('imaginative', 'unimaginative')",0.8481045,0.8780913,0.0299868
51,0.7779157,0.85328704,"('competent', 'incompetent')",0.7779157,0.853287,0.0753713
90,0.72171354,0.66469324,"('motivated', 'unmotivated')",0.7217135,0.6646932,-0.0570203
43,0.71553504,0.7866801,"('genuine', 'fake')",0.715535,0.7866801,0.0711451
48,0.6937512,0.42710108,"('reliable', 'unreliable')",0.6937512,0.4271011,-0.2666501
81,-0.6923924,-0.8596227,"('industrious', 'lazy')",-0.6923924,-0.8596227,-0.1672303
13,0.6682457,0.7098108,"('helpful', 'unhelpful')",0.6682457,0.7098108,0.0415651
20,-0.66767895,-0.75321585,"('popular', 'unpopular')",-0.667679,-0.7532158,-0.0855368
68,-0.6655843,-0.7542423,"('clever', 'inept')",-0.6655843,-0.7542423,-0.088658
14,0.6517868,0.51458,"('supportive', 'unsupportive')",0.6517868,0.51458,-0.1372068
23,-0.64866495,-0.7956494,"('hospitable', 'inhospitable')",-0.648665,-0.7956494,-0.1469844
59,-0.63215446,-0.71039635,"('skillful', 'clumsy')",-0.6321545,-0.7103963,-0.0782418
110,0.6292469,0.5938524,"('narrow-minded', 'open-minded')",0.6292469,0.5938524,-0.0353945
102,0.62306345,0.5798483,"('eminent', 'low')",0.6230634,0.5798483,-0.0432151
85,-0.6057915,-0.6241891,"('ambitious', 'unambitious')",-0.6057915,-0.6241891,-0.0183976
106,-0.5945386,-0.51314914,"('conventional', 'unconventional')",-0.5945386,-0.5131491,0.0813895
17,0.5834396,0.79141283,"('social', 'antisocial')",0.5834396,0.7914128,0.2079732
26,0.57456756,0.78409135,"('trustworthy', 'untrustworthy')",0.5745676,0.7840914,0.2095238
100,0.56033313,0.84966016,"('influential', 'uninfluential')",0.5603331,0.8496602,0.2893271
44,-0.48853636,-0.4955284,"('truthful', 'untruthful')",-0.4885364,-0.4955284,-0.006992
3,0.46160784,0.23332456,"('likable', 'unlikable')",0.4616078,0.2333246,-0.2282832
19,-0.4148358,-0.37376082,"('funny', 'boring')",-0.4148358,-0.3737608,0.041075
38,-0.4137713,-0.19316047,"('kind', 'unkind')",-0.4137713,-0.1931605,0.2206108
87,-0.4031627,-0.29671982,"('dedicated', 'undedicated')",-0.4031627,-0.2967198,0.1064429
74,-0.39592606,-0.40700263,"('insightful', 'unperceptive')",-0.3959261,-0.4070026,-0.0110765
88,-0.37246877,-0.4952914,"('impulsive', 'meek')",-0.3724688,-0.4952914,-0.1228226
34,-0.35793987,-0.1315666,"('loyal', 'disloyal')",-0.3579399,-0.1315666,0.2263733
30,0.3564444,0.3352903,"('honest', 'dishonest')",0.3564444,0.3352903,-0.0211541
96,-0.3018397,-0.34014982,"('powerful', 'powerless')",-0.3018397,-0.3401498,-0.0383101
28,-0.29498354,-0.21824856,"('honest', 'dishonest')",-0.2949835,-0.2182486,0.0767349
58,0.2933494,0.47564715,"('able', 'clumsy')",0.2933494,0.4756472,0.1822978
54,0.28679064,0.10315198,"('smart', 'stupid')",0.2867906,0.103152,-0.1836386
61,-0.28588772,-0.32149357,"('rational', 'irrational')",-0.2858877,-0.3214936,-0.0356059
46,-0.26031506,-0.16778201,"('generous', 'stingy')",-0.2603151,-0.167782,0.0925331
91,-0.25855273,-0.15688786,"('resilient', 'nonresilient')",-0.2585527,-0.1568879,0.1016648
73,0.2558838,0.036859214,"('brilliant', 'incompetent')",0.2558838,0.0368592,-0.2190246
49,-0.25256407,-0.33602023,"('responsible', 'irresponsible')",-0.2525641,-0.3360202,-0.0834561
79,-0.24928832,-0.40708554,"('determined', 'doubtful')",-0.2492883,-0.4070855,-0.1577972
21,0.24801482,0.0872128,"('nice', 'nasty')",0.2480148,0.0872128,-0.160802
69,-0.2440061,-0.42590034,"('wise', 'foolish')",-0.2440061,-0.4259003,-0.1818942
9,0.24236791,0.30923784,"('sensitive', 'insensitive')",0.2423679,0.3092378,0.0668699
72,-0.23734254,-0.09673047,"('logical', 'illogical')",-0.2373425,-0.0967305,0.140612
86,0.20788959,-0.06648636,"('self-reliant', 'helpless')",0.2078896,-0.0664864,-0.274376
65,0.20709783,0.13535604,"('practical', 'impractical')",0.2070978,0.135356,-0.0717418
33,-0.18693554,-0.036246777,"('softhearted', 'hardhearted')",-0.1869355,-0.0362468,0.1506887
45,-0.18465179,-0.28354952,"('cooperative', 'exploitative')",-0.1846518,-0.2835495,-0.0988977
24,-0.18389829,-0.16728486,"('thoughtful', 'rough')",-0.1838983,-0.1672849,0.0166134
47,-0.17669936,-0.12195881,"('forgiving', 'unforgiving')",-0.1766994,-0.1219588,0.0547406
89,0.16880366,0.0036230087,"('daring', 'anxious')",0.1688037,0.003623,-0.1651807
22,0.15904245,0.14290085,"('welcoming', 'disagreeable')",0.1590424,0.1429009,-0.0161415
0,0.09182423,0.25644207,"('sociable', 'unsociable')",0.0918242,0.2564421,0.1646179
41,-0.08456099,-0.11349881,"('incorrupt', 'corrupt')",-0.084561,-0.1134988,-0.0289378
78,-0.077659994,-0.2656309,"('active', 'inactive')",-0.07766,-0.2656309,-0.1879709
97,0.075565815,0.10194069,"('superior', 'inferior')",0.0755658,0.1019407,0.0263749
18,0.06703091,0.05269608,"('social', 'asocial')",0.0670309,0.0526961,-0.0143348
37,0.044707656,0.03829083,"('good', 'evil')",0.0447077,0.0382908,-0.0064169
29,-0.00797838,0.07501489,"('honest', 'immoral')",-0.0079784,0.0750149,0.0829933
