,Extra_male,Extra_female,tuple,Space_male,Space_female,Storage_male,Storage_female,average_male,average_female,female-male
35,1.530167,1.6218592,"('fair', 'unfair')",0.24167979,0.40867597,0.90239215,0.96774715,0.891413,0.9994275,0.1080145
87,-1.4489012,-1.3996086,"('dedicated', 'undedicated')",-0.8746499,-0.89910764,-0.15392368,-0.178985,-0.825825,-0.8259004,-7.54e-05
23,1.4130446,0.9900402,"('hospitable', 'inhospitable')",0.8383286,0.85318136,0.9977753,0.9212681,1.0830495,0.9214966,-0.1615529
66,1.4040594,1.5263186,"('imaginative', 'unimaginative')",1.725993,1.5076721,1.9022138,1.7246445,1.6774222,1.5862117,-0.0912105
9,-1.3953598,-1.244333,"('sensitive', 'insensitive')",-0.95790684,-1.1969913,-0.83887255,-1.1320739,-1.0640464,-1.1911327,-0.1270863
11,-1.388103,-1.475548,"('caring', 'unaffectionate')",-1.9041916,-1.8285244,-1.7095532,-1.7175539,-1.6672826,-1.6738755,-0.0065929
101,-1.3869785,-1.4951015,"('successful', 'unsuccessful')",-1.0829322,-1.1139656,0.009355694,-0.10969582,-0.8201849,-0.9062543,-0.0860694
33,-1.3835539,-1.0945463,"('softhearted', 'hardhearted')",-1.5100949,-1.4153337,-0.7238345,-0.6500917,-1.2058277,-1.0533239,0.1525038
30,-1.3408945,-1.3229694,"('honest', 'dishonest')",0.074552745,-0.030773401,-0.41831818,-0.48089093,-0.5615533,-0.6115446,-0.0499913
32,-1.3394078,-0.97939986,"('benevolent', 'hardhearted')",-1.6121207,-1.5130188,-1.7411807,-1.6771213,-1.5642363,-1.3898466,0.1743897
50,1.2933649,1.0256793,"('unprejudiced', 'prejudiced')",1.5072,1.3528981,1.4121274,1.4098182,1.4042308,1.2627985,-0.1414323
8,1.2845792,0.9158919,"('open', 'distant')",-0.0125050545,0.12808515,-0.21767841,-0.18612549,0.3514652,0.2859505,-0.0655147
70,1.2483544,1.0294714,"('wise', 'unwise')",0.571634,0.57205737,0.8539148,0.9313381,0.8913011,0.844289,-0.0470121
88,1.2348237,1.0329971,"('impulsive', 'meek')",0.8645277,0.83614635,1.4078786,1.4505701,1.1690767,1.1065712,-0.0625055
2,-1.2326274,-0.7646634,"('friendly', 'unfriendly')",-0.2691914,-0.4882656,0.24358821,0.18645638,-0.4194102,-0.3554908,0.0639194
41,1.2037499,0.97191083,"('incorrupt', 'corrupt')",0.41283643,0.7607499,1.1326354,1.3834193,0.9164073,1.0386933,0.122286
69,1.1837959,1.2016978,"('wise', 'foolish')",-0.5085157,-0.37680942,-0.33463496,-0.22370228,0.1135484,0.2003954,0.086847
0,-1.1281817,-0.78184634,"('sociable', 'unsociable')",-0.23420298,-0.14522886,-0.52516913,-0.4947108,-0.6291846,-0.4739287,0.1552559
22,1.1131744,1.2510228,"('welcoming', 'disagreeable')",0.52505857,0.6553788,0.72831,0.6787271,0.7888476,0.8617096,0.072862
56,1.1130708,1.1258807,"('intelligent', 'dumb')",1.6949573,1.6059978,1.5734599,1.6105546,1.4604959,1.4474777,-0.0130182
36,-1.1011286,-0.7239355,"('tolerant', 'intolerant')",-0.8408071,-0.94058585,-1.4137019,-1.3679996,-1.1185459,-1.0108403,0.1077056
51,-1.0592704,-0.9728644,"('competent', 'incompetent')",-0.41704372,-0.5761668,-0.40213305,-0.5692742,-0.626149,-0.7061018,-0.0799528
85,-1.0552237,-0.8889567,"('ambitious', 'unambitious')",-0.6556858,-0.77477753,0.0933125,0.07734513,-0.539199,-0.5287964,0.0104026
52,-1.0461035,-0.7116634,"('competitive', 'uncompetitive')",0.31777692,0.12239498,-0.7978072,-0.9044395,-0.5087113,-0.4979026,0.0108087
21,1.0100658,0.79392195,"('nice', 'nasty')",0.10596299,0.041858435,0.8056977,0.54459053,0.6405755,0.4601236,-0.1804519
25,-0.99278504,-0.89928913,"('moral', 'immoral')",-0.25878438,-0.45234543,-0.36060822,-0.4713403,-0.5373925,-0.6076583,-0.0702658
105,-0.9650232,-1.0779965,"('conventional', 'modern')",-0.9354161,-0.76911217,-1.3504332,-1.4045913,-1.0836242,-1.0839,-0.0002758
68,-0.9308907,-1.108531,"('clever', 'inept')",-0.84283257,-1.0047042,-0.4809205,-0.628886,-0.7515479,-0.9140404,-0.1624925
24,-0.901405,-0.80658257,"('thoughtful', 'rough')",-1.2284222,-1.2152581,-0.48097524,-0.48747587,-0.8702674,-0.8364388,0.0338286
47,-0.89284796,-0.61059016,"('forgiving', 'unforgiving')",-0.47042796,-0.3415975,-0.61092556,-0.5100801,-0.6580671,-0.4874226,0.1706445
44,-0.88422745,-1.0928378,"('truthful', 'untruthful')",-0.84721863,-0.8956777,-1.3498757,-1.249418,-1.0271072,-1.0793112,-0.052204
54,0.88161576,0.8746265,"('smart', 'stupid')",0.15602738,0.13691984,0.63965243,0.6181483,0.5590986,0.5432316,-0.015867
20,0.87168396,0.54589105,"('popular', 'unpopular')",-0.45092136,-0.26697826,-0.062431574,0.006085187,0.1194437,0.0949993,-0.0244444
14,0.8383855,0.81290746,"('supportive', 'unsupportive')",0.80258214,0.66012925,0.6757313,0.3693803,0.772233,0.614139,-0.158094
18,-0.83714485,-0.57886076,"('social', 'asocial')",-0.42999172,-0.5581007,-0.54626536,-0.49998826,-0.6044673,-0.5456499,0.0588174
93,-0.83392256,-0.57433,"('dominating', 'dominated')",0.59223735,0.4789993,0.651316,0.691598,0.1365436,0.1987558,0.0622122
64,-0.83119136,-0.6020223,"('clever', 'incompetent')",-0.7152311,-0.8981653,-0.56954104,-0.78769815,-0.7053212,-0.7626286,-0.0573074
39,0.8264441,0.86461055,"('right', 'wrong')",-0.648565,-0.46068862,-0.7643151,-0.5460521,-0.1954787,-0.0473767,0.148102
72,-0.8237082,-0.59403294,"('logical', 'illogical')",-1.392332,-1.1208711,-1.4033372,-1.1188564,-1.2064591,-0.9445868,0.2618723
59,0.7966196,0.6731169,"('skillful', 'clumsy')",0.24838863,0.26643318,0.6187877,0.66548127,0.5545986,0.5350105,-0.0195881
80,0.77442306,0.8593868,"('independent', 'dependent')",0.6684724,0.7071865,1.4239657,1.4304363,0.9556204,0.9990033,0.0433829
103,0.7188323,0.8501816,"('traditional', 'modern')",1.3317858,1.467544,1.4657458,1.4156947,1.1721214,1.2444735,0.0723521
31,0.70970696,0.68227726,"('altruistic', 'egoistic')",-0.92372483,-0.69625705,-0.9947225,-0.67527217,-0.4029135,-0.2297507,0.1731628
91,0.69000953,0.38267487,"('resilient', 'nonresilient')",0.27931526,0.24470489,0.48795,0.2857055,0.4857583,0.3043618,-0.1813965
98,0.68493676,0.5304258,"('prestigious', 'insignificant')",-0.71736765,-0.51425445,-0.11379628,-0.088293225,-0.0487424,-0.0240406,0.0247018
79,0.6814375,0.5741222,"('determined', 'doubtful')",0.30232745,0.23769009,0.365004,0.33920953,0.4495896,0.3836739,-0.0659157
55,-0.63536996,-0.5410896,"('intelligent', 'unintelligent')",-1.9848131,-1.9929602,0.10302788,0.039424658,-0.8390517,-0.8315417,0.00751
1,-0.61370146,-0.49051303,"('friendly', 'unfriendly')",-2.3392253,-2.0742607,-2.0092049,-1.7990031,-1.6540438,-1.4545924,0.1994514
100,-0.58347106,-0.2544005,"('influential', 'uninfluential')",-0.7575416,-0.5675538,-0.30616692,-0.113539755,-0.5490599,-0.3118314,0.2372285
92,0.56879836,0.16826996,"('unwavering', 'wavering')",-0.12593704,-0.04172334,1.0244756,1.0206178,0.4891123,0.3823882,-0.1067241
89,-0.55546236,-0.41253158,"('daring', 'anxious')",0.18113105,-0.090900145,0.8868643,0.69134027,0.1708443,0.0626362,-0.1082081
90,0.53741586,0.41982892,"('motivated', 'unmotivated')",0.8637923,0.75509053,1.2551272,1.187453,0.8854451,0.7874575,-0.0979876
104,-0.507117,-0.41283408,"('conventional', 'unconventional')",-0.89331985,-0.46952492,-0.72806066,-0.38390666,-0.7094992,-0.4220885,0.2874107
97,-0.48397112,-0.392987,"('superior', 'inferior')",-0.7811339,-0.6913981,-0.69800955,-0.6133332,-0.6543715,-0.5659061,0.0884654
45,-0.4721263,-0.170537,"('cooperative', 'exploitative')",-1.2019331,-1.2988434,0.006366387,-0.18183047,-0.5558977,-0.5504036,0.0054941
63,-0.47128156,-0.4795828,"('capable', 'incapable')",-0.92915714,-0.93468964,-0.29652935,-0.17545786,-0.565656,-0.5299101,0.0357459
74,-0.43592882,-0.34533662,"('insightful', 'unperceptive')",-0.80972123,-0.9634453,-1.0409393,-1.2312577,-0.7621965,-0.8466798,-0.0844833
106,-0.40634444,-0.42060396,"('conventional', 'unconventional')",-0.78199947,-0.55604595,-0.48134977,-0.29129025,-0.5565646,-0.4226467,0.1339179
76,-0.3871797,-0.010437831,"('secure', 'insecure')",0.05408621,-0.13214841,-0.09868756,-0.23271418,-0.143927,-0.1251001,0.0188269
19,0.3765434,0.3380143,"('funny', 'boring')",-0.3307991,-0.32093865,-0.6632978,-0.6698772,-0.2058512,-0.2176005,-0.0117493
26,-0.36722064,-0.0578686,"('trustworthy', 'untrustworthy')",0.33179194,0.2560445,-0.10449457,-0.24040014,-0.0466411,-0.0140747,0.0325664
96,0.36337814,0.42204976,"('powerful', 'powerless')",0.18904814,0.18386129,-0.03940007,0.046775505,0.1710087,0.2175622,0.0465535
16,-0.3620754,-0.01856041,"('social', 'antisocial')",0.26817977,0.11920795,-0.43423724,-0.45173407,-0.1760443,-0.1170288,0.0590155
94,-0.34822744,-0.07418908,"('aggressive', 'submissive')",0.9262918,0.7121023,0.4087675,0.38719767,0.328944,0.3417037,0.0127597
109,-0.34736913,-0.13003822,"('conservative', 'liberal')",1.1479087,1.1375299,0.21601143,0.26877028,0.3388503,0.4254206,0.0865703
108,-0.34736913,-0.13003822,"('conservative', 'liberal')",1.1479087,1.1375299,0.21601143,0.26877028,0.3388503,0.4254206,0.0865703
4,0.30926052,0.2142008,"('likable', 'unlikable')",-0.6362303,-0.7715653,-0.9690182,-0.9794854,-0.431996,-0.5122833,-0.0802873
57,-0.30538803,-0.5393522,"('able', 'unable')",-0.3697228,-0.51238704,0.63238883,0.36858413,-0.0142407,-0.2277184,-0.2134777
110,0.2956482,0.4902959,"('narrow-minded', 'open-minded')",-0.15244053,-0.13089979,0.52762115,0.52620226,0.2236096,0.2951995,0.0715899
60,0.2890336,0.6929703,"('educated', 'uneducated')",0.66509,0.77101433,0.842907,1.0626585,0.5990102,0.8422144,0.2432042
5,-0.28688693,-0.18533772,"('pleasant', 'repellent')",0.05991289,-0.06807841,0.15828833,-0.0012896061,-0.0228952,-0.0849019,-0.0620067
84,0.24216127,0.07825546,"('self-confident', 'diffident')",-1.2210964,-1.257026,-0.95368874,-1.096693,-0.644208,-0.7584879,-0.1142799
107,-0.22606543,-0.07065418,"('conventional', 'modern')",1.4127032,1.3171709,0.10016149,-0.0034909248,0.4289331,0.4143419,-0.0145912
43,-0.17120503,-0.122163326,"('genuine', 'fake')",-0.12696071,-0.20571852,-0.1049628,-0.07136333,-0.1343762,-0.1330817,0.0012945
62,0.08942613,0.18405357,"('creative', 'uncreative')",-0.9788598,-0.99248815,-0.94978386,-0.86778355,-0.6130725,-0.5587394,0.0543331
102,-0.088454425,-0.03534183,"('eminent', 'low')",-0.54883415,-0.54339063,-0.13438933,-0.15048611,-0.257226,-0.2430729,0.0141531
67,-0.05161147,0.062000215,"('discriminating', 'undiscriminating')",-0.7558455,-0.7773986,-0.946721,-1.0251617,-0.584726,-0.5801867,0.0045393
17,-0.032241374,0.22340882,"('social', 'antisocial')",-0.22970562,-0.19479991,-0.8330414,-0.67612803,-0.3649961,-0.2158397,0.1491564
15,-0.022299558,0.24034958,"('polite', 'impolite')",0.8456772,0.7547825,0.22038108,0.24762802,0.3479195,0.4142534,0.0663339
10,-0.0040142536,-0.0033386052,"('affectionate', 'unaffectionate')",-1.5398953,-1.340936,-1.3820143,-1.274936,-0.9753079,-0.8730702,0.1022377
