,McDonald's_male,McDonald's_female,tuple,average_male,average_female,female-male
77,-1.0618864,-0.9772618,"('active', 'inactive')",-1.0618864,-0.9772618,0.0846246
97,-1.0244937,-0.8444681,"('superior', 'inferior')",-1.0244937,-0.8444681,0.1800256
102,1.024133,1.0795511,"('eminent', 'low')",1.024133,1.0795511,0.0554181
86,-1.0177922,-0.87645704,"('self-reliant', 'helpless')",-1.0177922,-0.876457,0.1413352
68,-0.951293,-1.0182467,"('clever', 'inept')",-0.951293,-1.0182467,-0.0669537
80,0.8957036,0.91553783,"('independent', 'dependent')",0.8957036,0.9155378,0.0198342
91,-0.8873034,-1.1193019,"('resilient', 'nonresilient')",-0.8873034,-1.1193019,-0.2319985
49,0.8324704,0.7110704,"('responsible', 'irresponsible')",0.8324704,0.7110704,-0.1214
24,-0.8294146,-0.9207524,"('thoughtful', 'rough')",-0.8294146,-0.9207524,-0.0913378
43,0.79408616,0.8046655,"('genuine', 'fake')",0.7940862,0.8046655,0.0105793
95,0.7634448,0.79794896,"('rich', 'poor')",0.7634448,0.797949,0.0345042
70,-0.76078343,-0.7869295,"('wise', 'unwise')",-0.7607834,-0.7869295,-0.0261461
48,0.759066,0.70321137,"('reliable', 'unreliable')",0.759066,0.7032114,-0.0558546
79,0.7558149,0.7875446,"('determined', 'doubtful')",0.7558149,0.7875446,0.0317297
25,0.75388163,0.7016712,"('moral', 'immoral')",0.7538816,0.7016712,-0.0522104
27,0.6905736,0.6444552,"('sincere', 'insincere')",0.6905736,0.6444552,-0.0461184
38,0.69023323,0.75262153,"('kind', 'unkind')",0.6902332,0.7526215,0.0623883
18,-0.68159753,-0.6296227,"('social', 'asocial')",-0.6815975,-0.6296227,0.0519748
30,-0.6799506,-0.83375674,"('honest', 'dishonest')",-0.6799506,-0.8337567,-0.1538061
90,0.67837477,0.49907947,"('motivated', 'unmotivated')",0.6783748,0.4990795,-0.1792953
87,-0.6400878,-0.6220358,"('dedicated', 'undedicated')",-0.6400878,-0.6220358,0.018052
46,0.6352211,0.6336339,"('generous', 'stingy')",0.6352211,0.6336339,-0.0015872
53,0.63117224,0.6455143,"('smart', 'stupid')",0.6311722,0.6455143,0.0143421
74,0.59946597,0.35445505,"('insightful', 'unperceptive')",0.599466,0.3544551,-0.2450109
28,0.59625757,0.67085445,"('honest', 'dishonest')",0.5962576,0.6708544,0.0745968
72,-0.57015765,-0.45169562,"('logical', 'illogical')",-0.5701576,-0.4516956,0.118462
29,0.5204942,0.4761878,"('honest', 'immoral')",0.5204942,0.4761878,-0.0443064
22,0.40552256,0.4227592,"('welcoming', 'disagreeable')",0.4055226,0.4227592,0.0172366
62,-0.39994383,-0.44838873,"('creative', 'uncreative')",-0.3999438,-0.4483887,-0.0484449
45,-0.39784092,-0.52639365,"('cooperative', 'exploitative')",-0.3978409,-0.5263937,-0.1285528
65,0.37909883,0.16205293,"('practical', 'impractical')",0.3790988,0.1620529,-0.2170459
96,0.36429942,0.25801218,"('powerful', 'powerless')",0.3642994,0.2580122,-0.1062872
57,-0.34512228,-0.5082925,"('able', 'unable')",-0.3451223,-0.5082925,-0.1631702
0,0.27240014,0.26107454,"('sociable', 'unsociable')",0.2724001,0.2610745,-0.0113256
67,0.2714122,0.16622125,"('discriminating', 'undiscriminating')",0.2714122,0.1662212,-0.105191
14,-0.25929564,-0.43607265,"('supportive', 'unsupportive')",-0.2592956,-0.4360726,-0.176777
3,-0.25182432,-0.31138873,"('likable', 'unlikable')",-0.2518243,-0.3113887,-0.0595644
110,-0.24932554,-0.15491253,"('narrow-minded', 'open-minded')",-0.2493255,-0.1549125,0.094413
44,-0.19585666,-0.22889242,"('truthful', 'untruthful')",-0.1958567,-0.2288924,-0.0330357
21,-0.19256878,-0.32726097,"('nice', 'nasty')",-0.1925688,-0.327261,-0.1346922
17,0.19046366,0.22495466,"('social', 'antisocial')",0.1904637,0.2249547,0.034491
101,0.1867884,0.21340303,"('successful', 'unsuccessful')",0.1867884,0.213403,0.0266146
78,-0.17582907,-0.29753247,"('active', 'inactive')",-0.1758291,-0.2975325,-0.1217034
40,-0.16371451,-0.41423208,"('honorable', 'mean')",-0.1637145,-0.4142321,-0.2505176
106,-0.13031363,-0.17372698,"('conventional', 'unconventional')",-0.1303136,-0.173727,-0.0434134
35,-0.12023626,-0.15267715,"('fair', 'unfair')",-0.1202363,-0.1526771,-0.0324408
55,-0.118885934,-0.24173522,"('intelligent', 'unintelligent')",-0.1188859,-0.2417352,-0.1228493
33,-0.113169834,-0.069052756,"('softhearted', 'hardhearted')",-0.1131698,-0.0690528,0.044117
34,-0.10990901,-0.016338855,"('loyal', 'disloyal')",-0.109909,-0.0163389,0.0935701
59,0.10257822,0.12129623,"('skillful', 'clumsy')",0.1025782,0.1212962,0.018718
88,0.06693986,0.16268289,"('impulsive', 'meek')",0.0669399,0.1626829,0.095743
47,-0.013320327,-0.13598567,"('forgiving', 'unforgiving')",-0.0133203,-0.1359857,-0.1226654
