,Under_male,Under_female,tuple,Armour_male,Armour_female,(Class_male,(Class_female,C)_male,C)_female,average_male,average_female,female-male
78,1.494636,1.4421043,"('active', 'inactive')",1.3441026,1.1387107,1.0065038,0.6180062,1.5200584,1.3130141,1.3413253,1.1279589,-0.2133664
42,1.4888937,1.8110964,"('amicable', 'hostile')",-0.45382023,-0.16869098,3.262185,3.4364805,-0.3157593,-0.173092,0.9953748,1.2264485,0.2310737
30,-1.478451,-1.4796414,"('honest', 'dishonest')",-0.12365818,-0.38746214,-1.6147375,-1.6292945,0.33636594,0.039547168,-0.7201202,-0.8642127,-0.1440925
70,1.4659634,1.5608029,"('wise', 'unwise')",0.037842512,0.25402915,1.7300584,1.781521,-0.1331796,-0.018354118,0.7751712,0.8944997,0.1193285
71,-1.4534883,-1.8076766,"('efficient', 'inefficient')",0.29263824,-0.28176516,-3.550813,-3.8671255,-0.33203658,-0.8753098,-1.2609249,-1.7079693,-0.4470444
52,-1.4194883,-1.4290426,"('competitive', 'uncompetitive')",0.6641897,0.30959618,-2.591312,-2.5653224,0.19989699,0.18248701,-0.7866784,-0.8755704,-0.088892
36,-1.4143857,-1.5179999,"('tolerant', 'intolerant')",-0.78735894,-1.0141805,-2.2871711,-2.3356137,-0.20621686,-0.30636638,-1.1737831,-1.2935401,-0.119757
24,-1.3969443,-1.4259496,"('thoughtful', 'rough')",-0.25870496,-0.38978758,-1.7658828,-1.7701383,-0.5522605,-0.45866662,-0.9934481,-1.0111356,-0.0176875
32,-1.3962961,-1.1657914,"('benevolent', 'hardhearted')",-2.2643287,-1.9086818,-0.4618597,-0.40902478,-1.4623804,-1.1391169,-1.3962163,-1.1556537,0.2405626
46,1.3806874,1.75249,"('generous', 'stingy')",1.3209606,1.4986253,0.05508989,0.14815235,-0.47085488,-0.20929992,0.5714707,0.7974919,0.2260212
72,-1.3757954,-1.1243705,"('logical', 'illogical')",-0.4149876,-0.1970563,-2.214067,-2.0713823,-1.5614262,-1.5216339,-1.391569,-1.2286108,0.1629582
0,-1.369499,-1.1701112,"('sociable', 'unsociable')",-0.3707831,-0.24881107,-2.083098,-1.8422377,-0.654886,-0.2780469,-1.1195664,-0.8848017,0.2347647
8,1.342492,1.2350562,"('open', 'distant')",-0.9745383,-0.72394073,1.7274044,1.6734486,-0.105713576,-0.18660562,0.4974111,0.4994896,0.0020785
83,-1.3279842,-1.4167892,"('energetic', 'lethargic')",-0.30411878,-0.6150923,-2.7118573,-2.8518023,-0.16141465,-0.08850975,-1.1263437,-1.2430483,-0.1167046
41,1.3182044,1.6855223,"('incorrupt', 'corrupt')",0.120655835,0.5369663,3.2185874,3.4588056,0.7692393,1.0978147,1.3566718,1.6947773,0.3381055
25,-1.3173711,-1.3702112,"('moral', 'immoral')",0.3872434,0.010890409,-3.1482058,-3.169135,-0.4417022,-0.6663174,-1.1300089,-1.2986933,-0.1686844
85,-1.2967229,-1.3574393,"('ambitious', 'unambitious')",-0.5927257,-0.5313826,-1.0869163,-1.0641763,-1.0371243,-1.3226266,-1.0033723,-1.0689062,-0.0655339
68,-1.288455,-1.5016868,"('clever', 'inept')",-1.876657,-2.0195744,-1.1657104,-1.2473502,-0.19892323,-0.37047553,-1.1324364,-1.2847717,-0.1523353
47,-1.2585468,-1.0102412,"('forgiving', 'unforgiving')",-0.16398644,-0.03429708,-1.030971,-0.91206807,-1.2777518,-1.4571695,-0.932814,-0.853444,0.07937
82,1.1722069,1.2995518,"('industrious', 'meek')",0.07427353,0.09342992,2.6770213,2.7368886,0.40451747,0.5418697,1.0820048,1.167935,0.0859302
87,-1.144773,-1.0557865,"('dedicated', 'undedicated')",-0.54426396,-0.50562894,-1.4720745,-1.5971826,-0.5376016,-0.7090899,-0.9246782,-0.9669219,-0.0422437
76,-1.1230454,-1.1045573,"('secure', 'insecure')",0.048265874,-0.2542429,-2.0252907,-1.8485973,-0.4118701,-0.50323164,-0.8779851,-0.9276572,-0.0496721
63,-1.1011486,-1.2272242,"('capable', 'incapable')",-1.5566189,-1.5957942,0.2929799,0.31913555,-0.19617146,-0.028395094,-0.6402398,-0.6330695,0.0071703
1,-1.0739887,-1.0536461,"('friendly', 'unfriendly')",-2.1943548,-2.0268984,1.1512531,1.1907594,-0.6827871,-0.53864616,-0.6999694,-0.6071078,0.0928616
100,-1.0676687,-0.96140236,"('influential', 'uninfluential')",-1.1174264,-0.7877387,-2.20523,-2.223999,0.50752866,0.712782,-0.9706991,-0.8150895,0.1556096
11,-1.0569563,-1.0819197,"('caring', 'unaffectionate')",-2.0118718,-1.9976792,0.18552947,0.22913879,-0.7470925,-0.8999306,-0.9075978,-0.9375976,-0.0299998
61,1.0340418,1.3382734,"('rational', 'irrational')",0.5228748,0.92940015,2.5235248,2.8950996,0.37829423,0.4518805,1.1146839,1.4036634,0.2889795
103,1.0295566,0.9116128,"('traditional', 'modern')",1.7848136,1.7639455,-0.035205126,-0.045710772,-0.29321468,-0.3505695,0.6214876,0.5698195,-0.0516681
45,-0.9750083,-0.97794944,"('cooperative', 'exploitative')",0.7878778,0.29035348,-1.3658694,-1.3772883,-0.19530475,-0.5910491,-0.4370762,-0.6639833,-0.2269071
21,0.8759562,0.80239534,"('nice', 'nasty')",0.56961805,0.4089569,1.2575654,1.1888648,1.4993533,1.2911268,1.0506233,0.9228359,-0.1277874
92,0.859906,0.7486291,"('unwavering', 'wavering')",-0.5895225,-0.28539053,2.2467308,2.2658536,0.01522626,0.26118106,0.6330852,0.7475683,0.1144831
74,-0.85550404,-0.9284228,"('insightful', 'unperceptive')",-0.03778884,-0.11341046,-1.9355884,-2.0097587,-0.58126676,-0.6722473,-0.852537,-0.9309598,-0.0784228
22,0.84898955,0.89643884,"('welcoming', 'disagreeable')",1.1153266,1.1656015,0.92114586,0.8416206,0.17209572,0.058170438,0.7643895,0.7404579,-0.0239316
104,-0.7926755,-0.5297743,"('conventional', 'unconventional')",-1.2272983,-0.60024595,1.1514716,1.4172978,-0.36017603,0.01700157,-0.3071696,0.0760698,0.3832394
60,-0.79156154,-0.6976853,"('educated', 'uneducated')",0.45022514,0.61792386,-1.4612604,-1.3737682,-0.008094072,0.3001101,-0.4526727,-0.2883549,0.1643178
14,0.7810756,0.7638624,"('supportive', 'unsupportive')",0.13913517,-0.1385597,-1.2175213,-1.4761145,1.3653251,1.0232517,0.2670037,0.04311,-0.2238937
67,-0.77167106,-0.70874983,"('discriminating', 'undiscriminating')",-0.93210447,-0.7712933,-0.67471313,-0.6131556,-1.8702484,-1.5973306,-1.0621842,-0.9226323,0.1395519
15,-0.7708728,-0.74106985,"('polite', 'impolite')",0.3891487,0.24233341,-2.4377823,-2.5549872,1.250366,0.9880309,-0.3922851,-0.5164232,-0.1241381
35,0.7615647,0.9108975,"('fair', 'unfair')",0.8238949,0.7008723,0.97310126,0.93811333,-0.037793607,0.064842716,0.6301918,0.6536815,0.0234897
39,0.75163805,0.98366827,"('right', 'wrong')",-0.48789585,-0.2750396,1.0847247,0.8923976,0.032447934,-0.1484026,0.3452287,0.3631559,0.0179272
90,0.69603795,0.56071323,"('motivated', 'unmotivated')",1.5190707,1.1664033,-1.2076075,-1.324308,0.6312644,0.32636684,0.4096914,0.1822938,-0.2273976
106,-0.68472314,-0.66780823,"('conventional', 'unconventional')",-0.74408674,-0.44749448,0.31043455,0.3751856,0.68555486,0.92908376,-0.1082051,0.0472417,0.1554468
43,-0.64665693,-0.7117256,"('genuine', 'fake')",-0.041944623,-0.282858,-0.56797355,-0.594548,0.7302021,0.82886386,-0.1315933,-0.1900669,-0.0584736
16,-0.6335017,-0.62046754,"('social', 'antisocial')",0.17725965,0.11585361,-2.5884109,-2.4748847,-0.7472384,-0.7823777,-0.9479728,-0.9404691,0.0075037
31,-0.6079489,-0.37461174,"('altruistic', 'egoistic')",-0.60224617,-0.5445345,-0.09355545,0.025793642,-1.8068776,-1.4147905,-0.777657,-0.5770358,0.2006212
56,0.5629799,0.5105597,"('intelligent', 'dumb')",1.2386665,1.0863957,0.55135274,0.42843854,0.5336556,0.71554524,0.7216637,0.6852348,-0.0364289
44,0.5398133,0.36634514,"('truthful', 'untruthful')",-0.6858415,-0.72218955,0.59241927,0.34065938,0.66533446,0.53108376,0.2779314,0.1289747,-0.1489567
96,0.53830403,0.37101752,"('powerful', 'powerless')",0.36096114,0.23876697,-0.17994645,-0.33164352,0.48642856,0.5615043,0.3014368,0.2099113,-0.0915255
26,-0.5306168,-0.38695365,"('trustworthy', 'untrustworthy')",0.48987523,0.27172548,-1.4062817,-1.3428235,-0.49475515,-0.6889536,-0.4854446,-0.5367513,-0.0513067
89,-0.5008284,-0.68127143,"('daring', 'anxious')",0.0045954585,-0.1895541,-1.6247534,-1.6243827,0.47280103,0.60091627,-0.4120463,-0.473573,-0.0615267
57,-0.48526543,-0.7719245,"('able', 'unable')",-0.61452836,-0.97258604,-0.20569122,-0.3999892,0.40973088,0.46273634,-0.2239385,-0.4204409,-0.1965024
94,-0.4725822,-0.4147319,"('aggressive', 'submissive')",0.78412604,0.61513996,-2.4614258,-2.3823628,1.3241118,1.3315477,-0.2064425,-0.2126018,-0.0061593
77,0.46744183,0.5116134,"('active', 'inactive')",0.33774358,0.49413407,1.1002661,1.2641094,0.33235568,0.43965584,0.5594518,0.6773782,0.1179264
62,-0.4606616,-0.3791641,"('creative', 'uncreative')",-0.88628614,-0.79546547,-0.119347036,-0.104370594,0.038473755,-0.021055177,-0.3569553,-0.3250138,0.0319415
55,-0.42018592,-0.3925792,"('intelligent', 'unintelligent')",-0.7120781,-0.8243586,-0.45504588,-0.32252312,0.4286528,0.5118741,-0.2896643,-0.2568967,0.0327676
93,-0.41770023,-0.5012646,"('dominating', 'dominated')",0.9377252,0.80091536,-2.4614015,-2.5683308,1.4053566,1.4544376,-0.134005,-0.2035606,-0.0695556
80,0.40050343,0.39753768,"('independent', 'dependent')",1.5378006,1.5044277,0.045585223,0.009344578,0.42808104,0.6802374,0.6029925,0.6478869,0.0448944
19,0.39657885,0.45441222,"('funny', 'boring')",-1.5057333,-1.3670402,0.7072824,0.9479668,0.31820947,0.41659454,-0.0209156,0.1129834,0.133899
17,-0.38931444,-0.3137958,"('social', 'antisocial')",-0.41082656,-0.1565707,-0.8078465,-0.63620543,0.08079052,0.1641959,-0.3817992,-0.235594,0.1462052
105,-0.32751584,-0.43051356,"('conventional', 'modern')",-1.456821,-1.1704296,-0.09977904,-0.103993,-1.3643521,-1.2596827,-0.812117,-0.7411547,0.0709623
109,-0.30972755,-0.29425943,"('conservative', 'liberal')",1.938125,2.0336576,-2.8036952,-2.8481946,0.91290295,0.886866,-0.0655987,-0.0554826,0.0101161
108,-0.30972755,-0.29425943,"('conservative', 'liberal')",1.938125,2.0336576,-2.8036952,-2.8481946,0.91290295,0.886866,-0.0655987,-0.0554826,0.0101161
69,0.30471072,0.44536847,"('wise', 'foolish')",-0.66754466,-0.60709965,1.9853265,2.0340102,0.59393513,0.45111117,0.554107,0.5808475,0.0267405
107,-0.28213623,-0.19142139,"('conventional', 'modern')",0.39731956,0.49706924,-0.7297044,-0.75704426,-0.86342204,-1.0684886,-0.3694858,-0.3799713,-0.0104855
4,-0.2525514,-0.16846308,"('likable', 'unlikable')",-0.45887357,-0.63980305,-0.52085245,-0.71588755,-0.73296815,-1.0394402,-0.4913114,-0.6408985,-0.1495871
54,0.20240939,0.08787316,"('smart', 'stupid')",-0.47673178,-0.37216023,0.11571154,-0.0044036508,1.2808588,1.0129278,0.280562,0.1810593,-0.0995027
10,0.1996103,0.29624525,"('affectionate', 'unaffectionate')",-2.0545998,-1.7597606,1.6358064,1.7762074,-0.54937005,-0.509622,-0.1921383,-0.0492325,0.1429058
110,-0.1944189,-0.069547504,"('narrow-minded', 'open-minded')",0.06433949,-0.2599586,0.66111076,0.8353889,-1.4272056,-1.4663752,-0.2240435,-0.2401231,-0.0160796
102,0.14305928,0.009396657,"('eminent', 'low')",-0.31813672,-0.49950925,0.7926268,0.6071792,1.2501154,1.3035096,0.4669162,0.3551441,-0.1117721
5,-0.13769816,-0.27171433,"('pleasant', 'repellent')",1.1158144,0.76519763,-1.089236,-1.2252784,-0.9356384,-0.9965343,-0.2616895,-0.4320824,-0.1703929
79,0.120328695,0.17974055,"('determined', 'doubtful')",-0.33589205,-0.38687575,-0.7054883,-0.9758512,0.41027617,0.32386124,-0.1276939,-0.2147813,-0.0870874
18,-0.06855447,-0.124680065,"('social', 'asocial')",-0.31416824,-0.4743226,-1.7167008,-1.9080253,-0.11937314,-0.3324216,-0.5546991,-0.7098624,-0.1551633
59,-0.06278302,0.025898784,"('skillful', 'clumsy')",0.08409396,0.31827334,1.789376,1.8055041,-0.5851749,-0.55078393,0.306378,0.3997231,0.0933451
20,0.038814396,0.0806348,"('popular', 'unpopular')",0.263777,0.46456146,2.0782614,2.1596415,0.88710296,0.9453835,0.8169889,0.9125553,0.0955664
91,-0.010028049,-0.07047528,"('resilient', 'nonresilient')",0.4498247,0.36955354,0.7437324,0.7755221,0.5181097,0.57955813,0.4254097,0.4135396,-0.0118701
98,-0.005756557,-0.04530257,"('prestigious', 'insignificant')",-0.9858576,-0.8750829,1.6084197,1.6857772,-0.004248053,0.10767552,0.1531394,0.2182668,0.0651274
84,-0.0018592961,-0.13580146,"('self-confident', 'diffident')",-1.19095,-1.2111198,0.90300006,0.9079465,-0.186419,-0.31499052,-0.1190571,-0.1884913,-0.0694342
