,Booking_male,Booking_female,tuple,Holdings_male,Holdings_female,average_male,average_female,female-male
48,1.5664198,1.4452722,"('reliable', 'unreliable')",1.927223,1.8729181,1.7468214,1.6590952,-0.0877262
67,-1.4981349,-1.5302742,"('discriminating', 'undiscriminating')",-0.7929224,-0.69876355,-1.1455286,-1.1145189,0.0310097
103,1.421625,1.431107,"('traditional', 'modern')",0.6518871,0.69880337,1.036756,1.0649552,0.0281992
36,-1.4061882,-1.3546479,"('tolerant', 'intolerant')",-1.431808,-1.457063,-1.4189981,-1.4058554,0.0131427
74,-1.4021394,-1.4663305,"('insightful', 'unperceptive')",-1.6450893,-1.6180278,-1.5236144,-1.5421791,-0.0185647
90,1.3389791,1.2072434,"('motivated', 'unmotivated')",0.6138342,0.5219085,0.9764067,0.864576,-0.1118307
82,1.2710074,1.4178915,"('industrious', 'meek')",0.9025952,1.088924,1.0868013,1.2534077,0.1666064
44,-1.2074491,-1.251469,"('truthful', 'untruthful')",-0.5741142,-0.48518547,-0.8907816,-0.8683273,0.0224543
77,1.188985,1.2585647,"('active', 'inactive')",0.20107672,0.40737712,0.6950309,0.8329709,0.13794
93,1.1754405,1.1499829,"('dominating', 'dominated')",-0.03575471,-0.07542488,0.5698429,0.537279,-0.0325639
10,-1.1609201,-1.0157846,"('affectionate', 'unaffectionate')",-0.9422884,-0.78440297,-1.0516043,-0.9000938,0.1515105
41,1.1502266,1.3635743,"('incorrupt', 'corrupt')",1.6617771,1.785061,1.4060018,1.5743177,0.1683159
58,-1.1455356,-0.9845791,"('able', 'clumsy')",-1.6011219,-1.7400134,-1.3733287,-1.3622962,0.0110325
78,1.1369375,0.9558166,"('active', 'inactive')",1.1020818,1.0364933,1.1195097,0.996155,-0.1233547
84,-1.1030568,-1.2329464,"('self-confident', 'diffident')",-0.70446086,-0.6456789,-0.9037588,-0.9393126,-0.0355538
42,1.0849621,1.2342994,"('amicable', 'hostile')",1.2401377,1.5343299,1.16255,1.3843147,0.2217647
72,-1.0749965,-0.91350967,"('logical', 'illogical')",-1.2119658,-0.9754051,-1.1434811,-0.9444574,0.1990237
0,-1.0697839,-0.95809865,"('sociable', 'unsociable')",-0.33252084,-0.25615776,-0.7011524,-0.6071282,0.0940242
47,-1.067271,-1.0236757,"('forgiving', 'unforgiving')",-0.30767265,-0.19478285,-0.6874718,-0.6092293,0.0782425
105,-1.0655828,-1.0394967,"('conventional', 'modern')",-1.0260701,-0.8025127,-1.0458264,-0.9210047,0.1248217
68,-1.0040684,-1.1607095,"('clever', 'inept')",-1.1753154,-1.2729537,-1.0896919,-1.2168317,-0.1271398
12,-0.9946512,-1.0448605,"('sympathetic', 'unsympathetic')",-1.5255129,-1.6720942,-1.260082,-1.3584774,-0.0983954
85,-0.9446765,-0.9567324,"('ambitious', 'unambitious')",-0.9517262,-0.94953185,-0.9482014,-0.9531322,-0.0049308
5,0.93164796,0.7255969,"('pleasant', 'repellent')",-0.4506008,-0.5768983,0.2405236,0.0743493,-0.1661743
110,0.88009775,0.83347505,"('narrow-minded', 'open-minded')",0.29736853,0.16195415,0.5887331,0.4977146,-0.0910185
97,-0.8783257,-0.8249427,"('superior', 'inferior')",-0.6252186,-0.6348883,-0.7517722,-0.7299155,0.0218567
29,-0.86810696,-0.7932379,"('honest', 'immoral')",-1.2851284,-1.4237304,-1.0766177,-1.1084841,-0.0318664
9,-0.8268516,-0.86939776,"('sensitive', 'insensitive')",-1.3157903,-1.384822,-1.071321,-1.1271099,-0.0557889
23,0.8257281,0.6477282,"('hospitable', 'inhospitable')",0.6912536,0.7683786,0.7584909,0.7080534,-0.0504375
18,-0.818717,-0.82730776,"('social', 'asocial')",-0.5826282,-0.6447265,-0.7006726,-0.7360171,-0.0353445
62,-0.79865974,-0.7343664,"('creative', 'uncreative')",-0.9470894,-0.8174019,-0.8728746,-0.7758842,0.0969904
33,-0.78206956,-0.6559944,"('softhearted', 'hardhearted')",-1.5421362,-1.3844576,-1.1621029,-1.020226,0.1418769
100,-0.78094035,-0.49253976,"('influential', 'uninfluential')",-1.1068541,-0.89488035,-0.9438972,-0.6937101,0.2501871
61,0.77126616,1.204664,"('rational', 'irrational')",0.71663564,0.95739806,0.7439509,1.0810311,0.3370802
60,0.76438975,0.848038,"('educated', 'uneducated')",0.17678376,0.15001279,0.4705867,0.4990254,0.0284387
52,-0.7367799,-0.81509864,"('competitive', 'uncompetitive')",-1.072078,-1.0817062,-0.904429,-0.9484024,-0.0439734
35,0.7223301,0.8095465,"('fair', 'unfair')",0.7706454,0.940004,0.7464877,0.8747752,0.1282875
51,-0.72196335,-0.7856742,"('competent', 'incompetent')",-0.7738635,-0.7900835,-0.7479134,-0.7878789,-0.0399655
73,-0.7199459,-1.0460181,"('brilliant', 'incompetent')",-1.3035612,-1.488657,-1.0117536,-1.2673376,-0.255584
63,-0.68830407,-0.7173629,"('capable', 'incapable')",-0.9860907,-1.0958786,-0.8371974,-0.9066207,-0.0694233
106,-0.6724357,-0.7125274,"('conventional', 'unconventional')",-0.6379524,-0.50063896,-0.655194,-0.6065832,0.0486108
57,0.6704405,0.35682446,"('able', 'unable')",-0.0678391,-0.31326795,0.3013007,0.0217783,-0.2795224
104,-0.6467001,-0.33381343,"('conventional', 'unconventional')",-0.95587903,-0.62581134,-0.8012896,-0.4798124,0.3214772
83,-0.61857283,-0.57445776,"('energetic', 'lethargic')",-0.9789071,-1.1528296,-0.79874,-0.8636437,-0.0649037
87,-0.60642296,-0.6883432,"('dedicated', 'undedicated')",-0.789268,-0.70600635,-0.6978455,-0.6971748,0.0006707
16,-0.5954386,-0.5060676,"('social', 'antisocial')",-0.81649685,-0.8433245,-0.7059677,-0.674696,0.0312717
55,-0.59446096,-0.5862344,"('intelligent', 'unintelligent')",-0.6130238,-0.67422855,-0.6037424,-0.6302315,-0.0264891
70,0.5752873,0.60503894,"('wise', 'unwise')",1.1127582,1.1814883,0.8440228,0.8932636,0.0492408
17,-0.56462795,-0.37024266,"('social', 'antisocial')",-1.0197594,-0.88926303,-0.7921937,-0.6297529,0.1624408
76,-0.558672,-0.58639956,"('secure', 'insecure')",-0.5367232,-0.6464054,-0.5476976,-0.6164025,-0.0687049
92,0.4995727,0.4365126,"('unwavering', 'wavering')",0.43800604,0.4528344,0.4687894,0.4446735,-0.0241159
99,0.47844684,0.5054403,"('prestigious', 'insignificant')",0.57193094,0.7817144,0.5251889,0.6435773,0.1183884
31,-0.47664875,-0.20835449,"('altruistic', 'egoistic')",-0.5481435,-0.33933896,-0.5123961,-0.2738467,0.2385494
80,0.46240988,0.5288653,"('independent', 'dependent')",0.8969847,0.7855214,0.6796973,0.6571933,-0.022504
14,0.45363945,0.25476918,"('supportive', 'unsupportive')",0.65268236,0.7491678,0.5531609,0.5019685,-0.0511924
39,-0.4523334,-0.3304039,"('right', 'wrong')",0.050093748,0.31395388,-0.2011198,-0.008225,0.1928948
64,-0.44146287,-0.4908758,"('clever', 'incompetent')",-1.0129367,-1.1342475,-0.7271998,-0.8125617,-0.0853619
102,-0.4401365,-0.5965866,"('eminent', 'low')",-0.28169212,-0.33781815,-0.3609143,-0.4672024,-0.1062881
4,-0.43649426,-0.625604,"('likable', 'unlikable')",-1.0130436,-0.9065057,-0.7247689,-0.7660549,-0.041286
21,0.42224094,0.16577458,"('nice', 'nasty')",0.80907506,0.74621946,0.615658,0.455997,-0.159661
54,0.3692001,0.24470356,"('smart', 'stupid')",-0.20323744,-0.27700672,0.0829813,-0.0161516,-0.0991329
69,0.35618025,0.6067327,"('wise', 'foolish')",0.14622207,0.24196848,0.2512012,0.4243506,0.1731494
30,-0.3459032,-0.34798062,"('honest', 'dishonest')",-0.688877,-0.6710339,-0.5173901,-0.5095073,0.0078828
79,-0.3439356,-0.45390916,"('determined', 'doubtful')",0.031872034,-0.071029246,-0.1560318,-0.2624692,-0.1064374
101,-0.32027107,-0.46288207,"('successful', 'unsuccessful')",-1.3465159,-1.362719,-0.8333935,-0.9128006,-0.0794071
94,0.26109487,0.22666007,"('aggressive', 'submissive')",-0.0391998,-0.20455852,0.1109475,0.0110508,-0.0998967
109,0.2538518,0.22560269,"('conservative', 'liberal')",0.27579856,0.15446413,0.2648252,0.1900334,-0.0747918
108,0.2538518,0.22560269,"('conservative', 'liberal')",0.27579856,0.15446413,0.2648252,0.1900334,-0.0747918
19,-0.24216312,-0.15004885,"('funny', 'boring')",0.43809205,0.514699,0.0979645,0.1823251,0.0843606
7,0.23519123,0.20817518,"('outgoing', 'distant')",0.6511978,0.66848636,0.4431945,0.4383308,-0.0048637
59,0.21853887,0.29847723,"('skillful', 'clumsy')",0.214153,0.24642695,0.2163459,0.2724521,0.0561062
107,-0.2148987,-0.31234407,"('conventional', 'modern')",0.4082092,0.41461113,0.0966552,0.0511335,-0.0455217
22,0.20441446,0.19513737,"('welcoming', 'disagreeable')",1.2756431,1.2854227,0.7400288,0.74028,0.0002512
26,0.19593376,0.20917219,"('trustworthy', 'untrustworthy')",0.31661463,0.295809,0.2562742,0.2524906,-0.0037836
96,0.19273639,0.11421266,"('powerful', 'powerless')",-0.5209277,-0.4318687,-0.1640957,-0.158828,0.0052677
45,-0.16458613,-0.3170292,"('cooperative', 'exploitative')",-0.37545657,-0.44578585,-0.2700213,-0.3814075,-0.1113862
2,0.16184315,0.06596097,"('friendly', 'unfriendly')",-1.2115293,-1.3121631,-0.524843,-0.6231011,-0.0982581
24,-0.12775108,-0.2515058,"('thoughtful', 'rough')",-1.0124582,-1.0221801,-0.5701047,-0.636843,-0.0667383
89,0.10709609,-0.09544036,"('daring', 'anxious')",-0.25106674,-0.4007479,-0.0719853,-0.2480941,-0.1761088
8,0.10472816,0.19388258,"('open', 'distant')",0.38224447,0.43115175,0.2434863,0.3125172,0.0690309
25,0.09060311,-0.041547164,"('moral', 'immoral')",-0.86803424,-0.90857726,-0.3887156,-0.4750622,-0.0863466
20,-0.07583055,0.0341731,"('popular', 'unpopular')",0.66384465,0.5941822,0.2940071,0.3141776,0.0201705
91,-0.06776333,-0.25944373,"('resilient', 'nonresilient')",-0.030849218,0.01262185,-0.0493063,-0.1234109,-0.0741046
98,0.06666914,0.043708593,"('prestigious', 'insignificant')",-0.1211545,-0.02832143,-0.0272427,0.0076936,0.0349363
15,-0.010446817,0.007980242,"('polite', 'impolite')",0.46444476,0.42507023,0.226999,0.2165252,-0.0104738
43,-0.008290693,0.053683937,"('genuine', 'fake')",-0.80318093,-0.8452294,-0.4057358,-0.3957727,0.0099631
