,Brown–Forman_male,Brown–Forman_female,tuple,average_male,average_female,female-male
0,-0.8716474,-0.66664875,"('sociable', 'unsociable')",-0.8716474,-0.6666487,0.2049987
30,-0.8546487,-0.6795671,"('honest', 'dishonest')",-0.8546487,-0.6795671,0.1750816
99,-0.8535041,-1.1374902,"('prestigious', 'insignificant')",-0.8535041,-1.1374902,-0.2839861
14,-0.8522332,-0.9504821,"('supportive', 'unsupportive')",-0.8522332,-0.9504821,-0.0982489
50,0.8242948,0.80226374,"('unprejudiced', 'prejudiced')",0.8242948,0.8022637,-0.0220311
39,-0.7789738,-0.8532762,"('right', 'wrong')",-0.7789738,-0.8532762,-0.0743024
19,-0.7704451,-0.7711004,"('funny', 'boring')",-0.7704451,-0.7711004,-0.0006553
98,-0.7679195,-0.9748119,"('prestigious', 'insignificant')",-0.7679195,-0.9748119,-0.2068924
65,-0.7617219,-0.7163094,"('practical', 'impractical')",-0.7617219,-0.7163094,0.0454125
105,-0.7548878,-0.63435256,"('conventional', 'modern')",-0.7548878,-0.6343526,0.1205352
37,0.74361825,0.573505,"('good', 'evil')",0.7436182,0.573505,-0.1701132
49,-0.735615,-0.6289005,"('responsible', 'irresponsible')",-0.735615,-0.6289005,0.1067145
83,0.733562,0.82242644,"('energetic', 'lethargic')",0.733562,0.8224264,0.0888644
87,-0.71903884,-0.64806587,"('dedicated', 'undedicated')",-0.7190388,-0.6480659,0.0709729
82,-0.69362223,-0.8838519,"('industrious', 'meek')",-0.6936222,-0.8838519,-0.1902297
42,-0.6869203,-0.8573178,"('amicable', 'hostile')",-0.6869203,-0.8573178,-0.1703975
36,-0.67015475,-0.46923617,"('tolerant', 'intolerant')",-0.6701548,-0.4692362,0.2009186
2,-0.6402119,-0.5436214,"('friendly', 'unfriendly')",-0.6402119,-0.5436214,0.0965905
5,0.63726354,0.6912214,"('pleasant', 'repellent')",0.6372635,0.6912214,0.0539579
18,-0.6225598,-0.5325983,"('social', 'asocial')",-0.6225598,-0.5325983,0.0899615
9,-0.61034864,-0.61967313,"('sensitive', 'insensitive')",-0.6103486,-0.6196731,-0.0093245
72,-0.60780966,-0.47585475,"('logical', 'illogical')",-0.6078097,-0.4758548,0.1319549
15,-0.60215527,-0.5420301,"('polite', 'impolite')",-0.6021553,-0.5420301,0.0601252
24,0.58730066,0.51926774,"('thoughtful', 'rough')",0.5873007,0.5192677,-0.068033
89,0.58475864,0.6307135,"('daring', 'anxious')",0.5847586,0.6307135,0.0459549
27,0.5419825,0.6256889,"('sincere', 'insincere')",0.5419825,0.6256889,0.0837064
90,0.5400965,0.35663825,"('motivated', 'unmotivated')",0.5400965,0.3566383,-0.1834582
54,-0.53387254,-0.7206069,"('smart', 'stupid')",-0.5338725,-0.7206069,-0.1867344
80,0.52889633,0.48749894,"('independent', 'dependent')",0.5288963,0.4874989,-0.0413974
110,-0.504531,-0.4830083,"('narrow-minded', 'open-minded')",-0.504531,-0.4830083,0.0215227
22,-0.49005106,-0.7130064,"('welcoming', 'disagreeable')",-0.4900511,-0.7130064,-0.2229553
103,-0.47675315,-0.34805208,"('traditional', 'modern')",-0.4767531,-0.3480521,0.128701
10,-0.47331357,-0.53192675,"('affectionate', 'unaffectionate')",-0.4733136,-0.5319268,-0.0586132
4,-0.4716325,-0.5280685,"('likable', 'unlikable')",-0.4716325,-0.5280685,-0.056436
94,0.46722734,0.6311995,"('aggressive', 'submissive')",0.4672273,0.6311995,0.1639722
66,-0.46618122,-0.26060563,"('imaginative', 'unimaginative')",-0.4661812,-0.2606056,0.2055756
56,-0.4607179,-0.49118215,"('intelligent', 'dumb')",-0.4607179,-0.4911821,-0.0304642
57,0.45278755,0.40804392,"('able', 'unable')",0.4527875,0.4080439,-0.0447436
13,0.44109768,0.5214692,"('helpful', 'unhelpful')",0.4410977,0.5214692,0.0803715
76,0.42347902,0.56320393,"('secure', 'insecure')",0.423479,0.5632039,0.1397249
64,-0.4149939,-0.19262348,"('clever', 'incompetent')",-0.4149939,-0.1926235,0.2223704
61,-0.41495845,-0.5082772,"('rational', 'irrational')",-0.4149584,-0.5082772,-0.0933188
67,0.4118415,0.4399525,"('discriminating', 'undiscriminating')",0.4118415,0.4399525,0.028111
51,0.39968997,0.64732814,"('competent', 'incompetent')",0.39969,0.6473281,0.2476381
101,-0.39660767,-0.26195887,"('successful', 'unsuccessful')",-0.3966077,-0.2619589,0.1346488
41,-0.39284533,-0.41754043,"('incorrupt', 'corrupt')",-0.3928453,-0.4175404,-0.0246951
109,0.38738036,0.4960115,"('conservative', 'liberal')",0.3873804,0.4960115,0.1086311
108,0.38738036,0.4960115,"('conservative', 'liberal')",0.3873804,0.4960115,0.1086311
52,0.3804336,0.5626624,"('competitive', 'uncompetitive')",0.3804336,0.5626624,0.1822288
60,0.35103762,0.43412918,"('educated', 'uneducated')",0.3510376,0.4341292,0.0830916
85,0.3508799,0.32428467,"('ambitious', 'unambitious')",0.3508799,0.3242847,-0.0265952
58,-0.33415776,-0.08536135,"('able', 'clumsy')",-0.3341578,-0.0853613,0.2487965
59,0.32560134,0.2624875,"('skillful', 'clumsy')",0.3256013,0.2624875,-0.0631138
74,-0.32089794,-0.30680752,"('insightful', 'unperceptive')",-0.3208979,-0.3068075,0.0140904
53,0.31869563,0.3152737,"('smart', 'stupid')",0.3186956,0.3152737,-0.0034219
46,-0.3081011,-0.24603325,"('generous', 'stingy')",-0.3081011,-0.2460333,0.0620678
12,-0.29945612,-0.0769932,"('sympathetic', 'unsympathetic')",-0.2994561,-0.0769932,0.2224629
34,-0.29390347,-0.18003741,"('loyal', 'disloyal')",-0.2939035,-0.1800374,0.1138661
77,0.2901313,-0.040415287,"('active', 'inactive')",0.2901313,-0.0404153,-0.3305466
96,-0.28315115,-0.29844728,"('powerful', 'powerless')",-0.2831511,-0.2984473,-0.0152962
102,0.27186486,0.3080874,"('eminent', 'low')",0.2718649,0.3080874,0.0362225
62,-0.26740277,-0.48582703,"('creative', 'uncreative')",-0.2674028,-0.485827,-0.2184242
44,-0.21984203,-0.27044272,"('truthful', 'untruthful')",-0.219842,-0.2704427,-0.0506007
63,0.21416405,0.008177288,"('capable', 'incapable')",0.214164,0.0081773,-0.2059867
93,0.21364042,0.365297,"('dominating', 'dominated')",0.2136404,0.365297,0.1516566
91,-0.20723286,-0.27889395,"('resilient', 'nonresilient')",-0.2072329,-0.2788939,-0.071661
55,-0.19258535,-0.15967405,"('intelligent', 'unintelligent')",-0.1925853,-0.159674,0.0329113
3,-0.18223242,-0.12364898,"('likable', 'unlikable')",-0.1822324,-0.123649,0.0585834
73,0.17205143,0.27514166,"('brilliant', 'incompetent')",0.1720514,0.2751417,0.1030903
21,-0.15611652,-0.16272037,"('nice', 'nasty')",-0.1561165,-0.1627204,-0.0066039
47,-0.15436599,-0.07641393,"('forgiving', 'unforgiving')",-0.154366,-0.0764139,0.0779521
33,0.1492964,0.058679163,"('softhearted', 'hardhearted')",0.1492964,0.0586792,-0.0906172
100,-0.12276973,-0.01649633,"('influential', 'uninfluential')",-0.1227697,-0.0164963,0.1062734
6,0.116859466,0.16771564,"('liked', 'disliked')",0.1168595,0.1677156,0.0508561
23,-0.111608,-0.40291554,"('hospitable', 'inhospitable')",-0.111608,-0.4029155,-0.2913075
35,0.09480506,0.17121445,"('fair', 'unfair')",0.0948051,0.1712144,0.0764093
71,-0.091606975,-0.052515388,"('efficient', 'inefficient')",-0.091607,-0.0525154,0.0390916
26,-0.075859144,0.18468393,"('trustworthy', 'untrustworthy')",-0.0758591,0.1846839,0.260543
106,0.07338148,0.06673938,"('conventional', 'unconventional')",0.0733815,0.0667394,-0.0066421
75,-0.06089762,0.08616212,"('confident', 'shy')",-0.0608976,0.0861621,0.1470597
92,0.053551704,-0.047813714,"('unwavering', 'wavering')",0.0535517,-0.0478137,-0.1013654
43,-0.051607177,-0.09556362,"('genuine', 'fake')",-0.0516072,-0.0955636,-0.0439564
79,0.023435503,-0.029162347,"('determined', 'doubtful')",0.0234355,-0.0291623,-0.0525978
