,Philip_male,Philip_female,tuple,Morris_male,Morris_female,International_male,International_female,average_male,average_female,female-male
31,-0.37034658,-0.47220314,"('altruistic', 'egoistic')",-1.0263772,-0.9183063,-0.6768621,-0.42524296,-0.6911953,-0.6052508,0.0859445
77,0.32299474,0.2845347,"('active', 'inactive')",0.050780892,0.24135417,0.11710368,0.11085279,0.1636264,0.2122472,0.0486208
25,-0.30455673,-0.21873125,"('moral', 'immoral')",0.49911693,0.29113427,-0.6570062,-0.71630645,-0.1541487,-0.2146345,-0.0604858
69,0.29671597,0.14945275,"('wise', 'foolish')",-0.56237656,-0.33396202,-0.49858183,-0.31653446,-0.2547475,-0.1670146,0.0877329
110,-0.27469146,-0.3936467,"('narrow-minded', 'open-minded')",0.014552891,-0.09190613,0.67623246,0.5805007,0.138698,0.0316493,-0.1070487
93,-0.27239466,-0.040172458,"('dominating', 'dominated')",0.7453368,0.64062,-0.109985195,-0.26749402,0.1209856,0.1109845,-0.0100011
62,-0.24708627,-0.40027633,"('creative', 'uncreative')",-1.2501056,-1.164146,-0.2259494,-0.18085468,-0.5743804,-0.581759,-0.0073786
16,-0.24042132,-0.05043687,"('social', 'antisocial')",0.613454,0.38478914,-0.09575555,-0.0132716,0.0924257,0.1070269,0.0146012
39,0.22626683,0.32020253,"('right', 'wrong')",-0.9140743,-0.59747195,-0.3203309,-0.032197565,-0.3360461,-0.1031557,0.2328904
96,0.22438163,0.31605268,"('powerful', 'powerless')",0.36236146,0.40305647,-0.40749988,-0.40346423,0.0597477,0.105215,0.0454673
89,-0.21856785,-0.11732669,"('daring', 'anxious')",0.38893795,0.20367658,-0.9986146,-1.1726816,-0.2760815,-0.3621106,-0.0860291
4,-0.20638192,-0.4803893,"('likable', 'unlikable')",-0.16712332,-0.19890195,-0.91524863,-0.84401244,-0.4295846,-0.5077679,-0.0781833
76,-0.18313605,-0.23205742,"('secure', 'insecure')",0.93690264,0.6168456,-0.38263506,-0.26962233,0.1237105,0.0383886,-0.0853219
102,-0.17601305,-0.11225128,"('eminent', 'low')",-0.0018736422,0.06472987,-0.85955703,-0.73904496,-0.3458146,-0.2621888,0.0836258
5,-0.17340931,-0.11406875,"('pleasant', 'repellent')",0.39702886,0.20446551,0.5084083,0.31694922,0.2440093,0.135782,-0.1082273
26,-0.13581914,0.00050768256,"('trustworthy', 'untrustworthy')",0.8343292,0.82422817,-0.1403977,-0.11761686,0.1860375,0.2357063,0.0496688
15,0.13198075,0.28706652,"('polite', 'impolite')",1.3715112,1.2814202,0.546486,0.6936517,0.683326,0.7540461,0.0707201
98,-0.09090215,-0.23407288,"('prestigious', 'insignificant')",-1.3505898,-1.1810745,-0.48768127,-0.5970609,-0.6430577,-0.6707362,-0.0276785
92,0.080944195,-0.042058796,"('unwavering', 'wavering')",-0.46957242,-0.4402113,-0.51220614,-0.61145514,-0.3002781,-0.3645751,-0.064297
19,0.0736779,0.04044938,"('funny', 'boring')",-0.20265412,-0.075579286,-0.28610492,-0.07843876,-0.1383604,-0.0378562,0.1005042
79,-0.029339135,-0.06674212,"('determined', 'doubtful')",0.8326338,0.73803896,0.033679813,0.07503861,0.2789915,0.2487785,-0.030213
91,0.022390172,-0.058913678,"('resilient', 'nonresilient')",-0.41121918,-0.433212,-0.3920109,-0.46235928,-0.26028,-0.3181616,-0.0578816
54,-0.01637134,-0.23163515,"('smart', 'stupid')",0.41527498,0.23807052,0.79684246,0.59786206,0.398582,0.2014325,-0.1971495
84,0.015570879,-0.24138752,"('self-confident', 'diffident')",-0.7772745,-0.6805392,-0.7134869,-0.6776919,-0.4917302,-0.5332062,-0.041476
