,Hanesbrands_male,Hanesbrands_female,tuple,average_male,average_female,female-male
102,0.8921933,0.8757937,"('eminent', 'low')",0.8921933,0.8757937,-0.0163996
70,0.8662551,0.8305646,"('wise', 'unwise')",0.8662551,0.8305646,-0.0356905
54,0.8651055,0.57039034,"('smart', 'stupid')",0.8651055,0.5703903,-0.2947152
55,0.8611495,0.84489834,"('intelligent', 'unintelligent')",0.8611495,0.8448983,-0.0162512
68,-0.8247758,-0.97666657,"('clever', 'inept')",-0.8247758,-0.9766666,-0.1518908
25,0.8209062,0.72948086,"('moral', 'immoral')",0.8209062,0.7294809,-0.0914253
109,0.8188182,1.0021906,"('conservative', 'liberal')",0.8188182,1.0021906,0.1833724
108,0.8188182,1.0021906,"('conservative', 'liberal')",0.8188182,1.0021906,0.1833724
6,0.816423,0.7508044,"('liked', 'disliked')",0.816423,0.7508044,-0.0656186
38,0.80192006,0.95079684,"('kind', 'unkind')",0.8019201,0.9507968,0.1488767
0,0.7958256,0.8699672,"('sociable', 'unsociable')",0.7958256,0.8699672,0.0741416
15,0.795364,0.79739517,"('polite', 'impolite')",0.795364,0.7973952,0.0020312
62,0.79135394,0.70210624,"('creative', 'uncreative')",0.7913539,0.7021062,-0.0892477
40,-0.7652321,-0.94829684,"('honorable', 'mean')",-0.7652321,-0.9482968,-0.1830647
76,0.75848746,0.93123865,"('secure', 'insecure')",0.7584875,0.9312387,0.1727512
56,-0.7534659,-0.7537232,"('intelligent', 'dumb')",-0.7534659,-0.7537232,-0.0002573
53,-0.74378204,-0.86456525,"('smart', 'stupid')",-0.743782,-0.8645653,-0.1207833
73,0.7042698,0.49468732,"('brilliant', 'incompetent')",0.7042698,0.4946873,-0.2095825
34,0.68052125,0.74457455,"('loyal', 'disloyal')",0.6805212,0.7445745,0.0640533
99,-0.6653624,-0.7728978,"('prestigious', 'insignificant')",-0.6653624,-0.7728978,-0.1075354
22,0.6578312,0.6341666,"('welcoming', 'disagreeable')",0.6578312,0.6341666,-0.0236646
60,0.65130883,0.8472322,"('educated', 'uneducated')",0.6513088,0.8472322,0.1959234
35,0.6269394,0.689931,"('fair', 'unfair')",0.6269394,0.689931,0.0629916
21,0.62133133,0.49502605,"('nice', 'nasty')",0.6213313,0.4950261,-0.1263052
80,0.6212479,0.55570954,"('independent', 'dependent')",0.6212479,0.5557095,-0.0655384
46,0.6202835,0.7050792,"('generous', 'stingy')",0.6202835,0.7050792,0.0847957
1,0.6027958,0.57855725,"('friendly', 'unfriendly')",0.6027958,0.5785573,-0.0242385
74,0.5964658,0.44075277,"('insightful', 'unperceptive')",0.5964658,0.4407528,-0.155713
9,0.5957918,0.5641185,"('sensitive', 'insensitive')",0.5957918,0.5641185,-0.0316733
77,-0.5941287,-0.7856383,"('active', 'inactive')",-0.5941287,-0.7856383,-0.1915096
110,-0.5769012,-0.5518336,"('narrow-minded', 'open-minded')",-0.5769012,-0.5518336,0.0250676
19,-0.57108086,-0.5127328,"('funny', 'boring')",-0.5710809,-0.5127328,0.0583481
86,-0.5512414,-0.5327195,"('self-reliant', 'helpless')",-0.5512414,-0.5327195,0.0185219
59,-0.5414393,-0.47357142,"('skillful', 'clumsy')",-0.5414393,-0.4735714,0.0678679
39,-0.5340416,-0.5064736,"('right', 'wrong')",-0.5340416,-0.5064736,0.027568
58,0.4938189,0.600567,"('able', 'clumsy')",0.4938189,0.600567,0.1067481
64,0.4935348,0.47733057,"('clever', 'incompetent')",0.4935348,0.4773306,-0.0162042
45,-0.48071784,-0.5500253,"('cooperative', 'exploitative')",-0.4807178,-0.5500253,-0.0693075
92,-0.47659528,-0.58714175,"('unwavering', 'wavering')",-0.4765953,-0.5871418,-0.1105465
36,0.46751082,0.56722957,"('tolerant', 'intolerant')",0.4675108,0.5672296,0.0997188
103,0.45722094,0.6322396,"('traditional', 'modern')",0.4572209,0.6322396,0.1750187
69,-0.44783688,-0.42696017,"('wise', 'foolish')",-0.4478369,-0.4269602,0.0208767
78,0.43153673,0.104941815,"('active', 'inactive')",0.4315367,0.1049418,-0.3265949
52,0.42086506,0.39103585,"('competitive', 'uncompetitive')",0.4208651,0.3910359,-0.0298292
28,0.41337687,0.42526895,"('honest', 'dishonest')",0.4133769,0.4252689,0.011892
37,0.41147113,0.26770234,"('good', 'evil')",0.4114711,0.2677023,-0.1437688
33,-0.40746784,-0.3505168,"('softhearted', 'hardhearted')",-0.4074678,-0.3505168,0.056951
49,0.37231383,0.23328105,"('responsible', 'irresponsible')",0.3723138,0.233281,-0.1390328
83,0.36649275,0.32703722,"('energetic', 'lethargic')",0.3664927,0.3270372,-0.0394555
95,-0.3641166,-0.35390502,"('rich', 'poor')",-0.3641166,-0.353905,0.0102116
89,0.3532189,0.20119186,"('daring', 'anxious')",0.3532189,0.2011919,-0.152027
26,0.34670645,0.43216395,"('trustworthy', 'untrustworthy')",0.3467064,0.432164,0.0854576
27,-0.33528674,-0.1906943,"('sincere', 'insincere')",-0.3352867,-0.1906943,0.1445924
88,-0.33156055,-0.40133756,"('impulsive', 'meek')",-0.3315606,-0.4013376,-0.069777
79,-0.3112925,-0.42356494,"('determined', 'doubtful')",-0.3112925,-0.4235649,-0.1122724
51,0.30434096,0.15949497,"('competent', 'incompetent')",0.304341,0.159495,-0.144846
48,-0.29844517,-0.38478348,"('reliable', 'unreliable')",-0.2984452,-0.3847835,-0.0863383
91,-0.29476273,-0.35553208,"('resilient', 'nonresilient')",-0.2947627,-0.3555321,-0.0607694
96,0.2884956,0.25779217,"('powerful', 'powerless')",0.2884956,0.2577922,-0.0307034
63,-0.26676536,-0.34030676,"('capable', 'incapable')",-0.2667654,-0.3403068,-0.0735414
72,0.2665351,0.38683447,"('logical', 'illogical')",0.2665351,0.3868345,0.1202994
8,-0.26614946,-0.43722802,"('open', 'distant')",-0.2661495,-0.437228,-0.1710785
50,0.2511181,0.1937605,"('unprejudiced', 'prejudiced')",0.2511181,0.1937605,-0.0573576
67,0.24784693,0.17894751,"('discriminating', 'undiscriminating')",0.2478469,0.1789475,-0.0688994
43,-0.2421261,-0.30560094,"('genuine', 'fake')",-0.2421261,-0.3056009,-0.0634748
44,0.24054809,0.170939,"('truthful', 'untruthful')",0.2405481,0.170939,-0.0696091
32,-0.22793142,-0.15256569,"('benevolent', 'hardhearted')",-0.2279314,-0.1525657,0.0753657
87,-0.21918571,-0.27860564,"('dedicated', 'undedicated')",-0.2191857,-0.2786056,-0.0594199
10,-0.20805492,-0.103426866,"('affectionate', 'unaffectionate')",-0.2080549,-0.1034269,0.104628
106,-0.18741359,-0.1722498,"('conventional', 'unconventional')",-0.1874136,-0.1722498,0.0151638
30,-0.18282896,-0.3058666,"('honest', 'dishonest')",-0.182829,-0.3058666,-0.1230376
84,0.18257639,0.004403025,"('self-confident', 'diffident')",0.1825764,0.004403,-0.1781734
7,0.17968777,0.037257046,"('outgoing', 'distant')",0.1796878,0.037257,-0.1424308
97,-0.17423558,-0.2185341,"('superior', 'inferior')",-0.1742356,-0.2185341,-0.0442985
24,-0.16629747,-0.19630948,"('thoughtful', 'rough')",-0.1662975,-0.1963095,-0.030012
20,-0.16267306,-0.23952648,"('popular', 'unpopular')",-0.1626731,-0.2395265,-0.0768534
93,0.14943784,0.2170286,"('dominating', 'dominated')",0.1494378,0.2170286,0.0675908
65,0.14488779,0.045065448,"('practical', 'impractical')",0.1448878,0.0450654,-0.0998224
105,0.12551966,0.2519182,"('conventional', 'modern')",0.1255197,0.2519182,0.1263985
29,0.12482208,0.11113483,"('honest', 'immoral')",0.1248221,0.1111348,-0.0136873
42,0.09579849,0.031339973,"('amicable', 'hostile')",0.0957985,0.03134,-0.0644585
11,0.073207825,0.08506781,"('caring', 'unaffectionate')",0.0732078,0.0850678,0.01186
61,-0.060658067,-0.008213818,"('rational', 'irrational')",-0.0606581,-0.0082138,0.0524443
17,0.053248942,0.2439413,"('social', 'antisocial')",0.0532489,0.2439413,0.1906924
47,0.040465698,0.014589712,"('forgiving', 'unforgiving')",0.0404657,0.0145897,-0.025876
3,-0.036393933,-0.22031945,"('likable', 'unlikable')",-0.0363939,-0.2203194,-0.1839255
57,0.029855162,-0.19488887,"('able', 'unable')",0.0298552,-0.1948889,-0.2247441
23,0.025431558,-0.06395112,"('hospitable', 'inhospitable')",0.0254316,-0.0639511,-0.0893827
31,-0.016243637,-0.11956552,"('altruistic', 'egoistic')",-0.0162436,-0.1195655,-0.1033219
