,Danaher_male,Danaher_female,tuple,Corporation_male,Corporation_female,average_male,average_female,female-male
16,0.7386162,0.19856828,"('social', 'antisocial')",-1.0976408,-1.0759275,-0.1795123,-0.4386796,-0.2591673
31,-0.73256326,-0.36265242,"('altruistic', 'egoistic')",-0.59159064,-0.43182242,-0.662077,-0.3972374,0.2648396
10,-0.7313677,-0.20936464,"('affectionate', 'unaffectionate')",-1.2556378,-1.1272457,-0.9935027,-0.6683052,0.3251975
87,-0.721548,-0.87963194,"('dedicated', 'undedicated')",-0.9341625,-0.80697924,-0.8278552,-0.8433056,-0.0154504
96,0.71810055,0.45938802,"('powerful', 'powerless')",-0.17151986,-0.14666,0.2732903,0.156364,-0.1169263
2,0.7097045,0.26779294,"('friendly', 'unfriendly')",-1.0376813,-1.04854,-0.1639884,-0.3903735,-0.2263851
99,-0.70894766,-0.16899425,"('prestigious', 'insignificant')",-0.36734855,-0.14205799,-0.5381481,-0.1555261,0.382622
78,0.69035363,0.56486624,"('active', 'inactive')",2.0573277,1.9229861,1.3738407,1.2439262,-0.1299145
54,0.6849239,0.46006435,"('smart', 'stupid')",0.27648887,0.18502852,0.4807064,0.3225464,-0.15816
11,-0.66029143,-0.36011407,"('caring', 'unaffectionate')",-1.7873064,-1.7140722,-1.223799,-1.0370932,0.1867058
30,-0.6456653,-0.7773538,"('honest', 'dishonest')",-0.64388895,-0.610849,-0.6447771,-0.6941015,-0.0493244
79,0.64224774,0.3363534,"('determined', 'doubtful')",0.009210169,0.021496922,0.325729,0.1789252,-0.1468038
55,0.64106464,0.5326869,"('intelligent', 'unintelligent')",-0.8582853,-0.7608187,-0.1086103,-0.1140659,-0.0054556
32,-0.61140287,-0.475302,"('benevolent', 'hardhearted')",-2.5948312,-2.3815007,-1.603117,-1.4284014,0.1747156
45,-0.60898393,-0.9786581,"('cooperative', 'exploitative')",-0.7605086,-0.95082784,-0.6847463,-0.964743,-0.2799967
92,-0.59792894,-0.18357348,"('unwavering', 'wavering')",-0.4527764,-0.27781996,-0.5253527,-0.2306967,0.294656
21,0.5889562,0.6166376,"('nice', 'nasty')",0.083910525,0.049200058,0.3364334,0.3329188,-0.0035146
74,-0.5874412,-0.75718105,"('insightful', 'unperceptive')",-1.6700075,-1.6634356,-1.1287243,-1.2103083,-0.081584
40,-0.5745524,-0.78022945,"('honorable', 'mean')",-5.202524,-5.638261,-2.8885384,-3.2092452,-0.3207068
36,0.5734589,0.17992955,"('tolerant', 'intolerant')",-1.0738385,-1.2501924,-0.2501898,-0.5351315,-0.2849417
52,0.5729369,0.06148626,"('competitive', 'uncompetitive')",-1.0085267,-1.0554684,-0.2177949,-0.4969911,-0.2791962
37,-0.55888563,-0.048350304,"('good', 'evil')",1.363445,1.5317115,0.4022797,0.7416806,0.3394009
57,0.5557539,0.45819104,"('able', 'unable')",-0.059098035,-0.26861152,0.2483279,0.0947898,-0.1535381
69,-0.55448085,-0.2780363,"('wise', 'foolish')",0.46945584,0.6314868,-0.0425125,0.1767252,0.2192377
101,0.5513468,0.3676749,"('successful', 'unsuccessful')",-2.0361576,-1.8054595,-0.7424054,-0.7188923,0.0235131
107,0.53561586,0.6552195,"('conventional', 'modern')",0.15696877,0.04123503,0.3462923,0.3482273,0.001935
3,0.5308906,0.53937703,"('likable', 'unlikable')",1.2001915,1.255702,0.865541,0.8975395,0.0319985
102,0.51489663,0.44388086,"('eminent', 'low')",-1.6142371,-1.3247689,-0.5496702,-0.440444,0.1092262
17,-0.51137805,-0.36961398,"('social', 'antisocial')",-1.0290959,-0.7812415,-0.770237,-0.5754277,0.1948093
86,0.5074688,0.56280804,"('self-reliant', 'helpless')",2.936181,2.9082026,1.7218249,1.7355053,0.0136804
67,-0.49256328,-0.5148865,"('discriminating', 'undiscriminating')",-1.0061553,-1.0121269,-0.7493593,-0.7635067,-0.0141474
51,-0.48913327,-0.8244001,"('competent', 'incompetent')",-0.86257654,-0.8091742,-0.6758549,-0.8167871,-0.1409322
29,-0.48013222,-0.7369796,"('honest', 'immoral')",-0.900992,-0.90648067,-0.6905621,-0.8217301,-0.131168
84,-0.45336798,-0.25275844,"('self-confident', 'diffident')",-0.6401853,-0.46615046,-0.5467767,-0.3594545,0.1873222
58,0.4499283,0.09568517,"('able', 'clumsy')",-1.9668676,-1.9417025,-0.7584696,-0.9230087,-0.1645391
80,0.43813005,0.5162075,"('independent', 'dependent')",1.2020552,1.2808201,0.8200926,0.8985138,0.0784212
103,0.42513117,0.4103654,"('traditional', 'modern')",1.3085226,1.3149366,0.8668269,0.862651,-0.0041759
0,0.35359722,0.32967496,"('sociable', 'unsociable')",-1.0868596,-0.87454176,-0.3666312,-0.2724334,0.0941978
14,0.35287136,0.32629725,"('supportive', 'unsupportive')",0.2834552,0.3673225,0.3181633,0.3468099,0.0286466
65,-0.34868523,-0.90800154,"('practical', 'impractical')",-1.4706507,-1.5633919,-0.909668,-1.2356968,-0.3260288
83,-0.3368648,-0.7346468,"('energetic', 'lethargic')",-0.8529256,-0.97785556,-0.5948952,-0.8562512,-0.261356
39,-0.32656482,-0.04431644,"('right', 'wrong')",0.31192005,0.5375889,-0.0073224,0.2466362,0.2539586
8,-0.3193676,0.23483348,"('open', 'distant')",1.0239071,1.0725777,0.3522697,0.6537056,0.3014359
77,0.31275004,0.48959264,"('active', 'inactive')",0.2532639,0.4833073,0.283007,0.48645,0.203443
66,-0.30845872,-0.36500466,"('imaginative', 'unimaginative')",1.4616767,1.5624113,0.576609,0.5987033,0.0220943
20,0.3051538,0.72915196,"('popular', 'unpopular')",-0.4259438,-0.17401364,-0.060395,0.2775692,0.3379642
48,0.3031862,0.07679224,"('reliable', 'unreliable')",1.7940993,1.8037168,1.0486428,0.9402545,-0.1083883
44,-0.29663962,-0.25558588,"('truthful', 'untruthful')",-1.0502793,-1.0505736,-0.6734594,-0.6530797,0.0203797
61,0.29627126,0.83679736,"('rational', 'irrational')",0.24241582,0.5365246,0.2693436,0.686661,0.4173174
38,-0.28852314,-0.19606583,"('kind', 'unkind')",-2.3360877,-2.1750834,-1.3123055,-1.1855747,0.1267308
88,-0.28593466,-0.123768866,"('impulsive', 'meek')",1.1850227,1.1676286,0.449544,0.5219299,0.0723859
9,-0.26901925,-0.36950812,"('sensitive', 'insensitive')",-1.2989955,-1.4105285,-0.7840074,-0.8900183,-0.1060109
97,0.25517523,0.22383294,"('superior', 'inferior')",-1.1821775,-1.0645268,-0.4635012,-0.4203469,0.0431543
34,-0.24650143,-0.18398912,"('loyal', 'disloyal')",-1.952559,-1.8180134,-1.0995302,-1.0010012,0.098529
64,0.22341454,-0.31509432,"('clever', 'incompetent')",-1.1084907,-1.2355897,-0.4425381,-0.775342,-0.3328039
4,-0.20903684,-0.18528299,"('likable', 'unlikable')",-1.1267765,-1.0491971,-0.6679066,-0.61724,0.0506666
24,-0.18408458,-0.3318646,"('thoughtful', 'rough')",-0.6666918,-0.6926383,-0.4253882,-0.5122514,-0.0868632
13,0.18013866,-0.21529952,"('helpful', 'unhelpful')",-2.9682832,-3.1371207,-1.3940723,-1.6762102,-0.2821379
89,0.17692368,-0.16196181,"('daring', 'anxious')",0.20823935,0.014363587,0.1925815,-0.0737991,-0.2663806
7,-0.17329922,0.27299273,"('outgoing', 'distant')",1.2203294,1.2222133,0.5235151,0.747603,0.2240879
91,-0.1613645,0.009522527,"('resilient', 'nonresilient')",-0.13546547,-0.13475233,-0.148415,-0.0626149,0.0858001
46,0.13662514,0.41936594,"('generous', 'stingy')",1.4647251,1.7478253,0.8006752,1.0835956,0.2829204
81,-0.13509724,0.14768386,"('industrious', 'lazy')",1.5114976,1.6851848,0.6882002,0.9164343,0.2282341
49,0.13264239,-0.28414485,"('responsible', 'irresponsible')",-1.171669,-1.421817,-0.5195133,-0.8529809,-0.3334676
18,-0.12608358,-0.30036992,"('social', 'asocial')",-1.1269926,-1.1898576,-0.6265381,-0.7451137,-0.1185756
23,0.11701369,0.34633684,"('hospitable', 'inhospitable')",0.06715667,0.14862442,0.0920852,0.2474806,0.1553954
70,-0.10496451,0.20782477,"('wise', 'unwise')",-0.013055325,0.07970542,-0.0590099,0.1437651,0.202775
56,0.10272804,-0.08844131,"('intelligent', 'dumb')",1.060664,1.050429,0.581696,0.4809938,-0.1007022
12,0.093110204,-0.17273606,"('sympathetic', 'unsympathetic')",-0.8327242,-0.94881463,-0.369807,-0.5607753,-0.1909683
35,-0.0910462,0.09419143,"('fair', 'unfair')",0.836849,1.0450791,0.3729014,0.5696353,0.1967339
73,0.087019235,-0.47153273,"('brilliant', 'incompetent')",-1.335294,-1.5418103,-0.6241374,-1.0066715,-0.3825341
100,0.080736876,0.07681078,"('influential', 'uninfluential')",-1.2244661,-0.9625629,-0.5718646,-0.4428761,0.1289885
85,-0.0658918,-0.123575866,"('ambitious', 'unambitious')",-1.0209961,-0.9879769,-0.5434439,-0.5557764,-0.0123325
59,0.04585737,0.21860802,"('skillful', 'clumsy')",0.06462303,0.35131168,0.0552402,0.2849599,0.2297197
42,-0.027062476,0.6235988,"('amicable', 'hostile')",0.7175753,1.0475513,0.3452564,0.835575,0.4903186
72,-0.018680215,0.10922176,"('logical', 'illogical')",-0.87245774,-0.6190673,-0.445569,-0.2549228,0.1906462
93,0.008331507,-0.23256339,"('dominating', 'dominated')",-0.0038221478,0.034066856,0.0022547,-0.0992483,-0.101503
82,0.0054477155,0.3048675,"('industrious', 'meek')",0.82638836,1.0624516,0.4159181,0.6836596,0.2677415
