,Citigroup_male,Citigroup_female,tuple,average_male,average_female,female-male
77,-1.3475356,-1.4153184,"('active', 'inactive')",-1.3475356,-1.4153184,-0.0677828
1,-1.329597,-1.1401781,"('friendly', 'unfriendly')",-1.329597,-1.1401781,0.1894189
7,-1.2850789,-1.3296726,"('outgoing', 'distant')",-1.2850789,-1.3296726,-0.0445937
80,1.2810743,1.427068,"('independent', 'dependent')",1.2810743,1.427068,0.1459937
42,-1.2668986,-1.0089059,"('amicable', 'hostile')",-1.2668986,-1.0089059,0.2579927
51,1.2608454,1.1240544,"('competent', 'incompetent')",1.2608454,1.1240544,-0.136791
104,-1.2458787,-0.97762907,"('conventional', 'unconventional')",-1.2458787,-0.9776291,0.2682496
98,-1.236048,-1.0832263,"('prestigious', 'insignificant')",-1.236048,-1.0832263,0.1528217
31,-1.2278836,-1.1430532,"('altruistic', 'egoistic')",-1.2278836,-1.1430532,0.0848304
8,-1.2084582,-1.2551922,"('open', 'distant')",-1.2084582,-1.2551922,-0.046734
61,-1.1544596,-0.7531911,"('rational', 'irrational')",-1.1544596,-0.7531911,0.4012685
6,1.1523566,1.1538398,"('liked', 'disliked')",1.1523566,1.1538398,0.0014832
39,-1.148616,-1.0311991,"('right', 'wrong')",-1.148616,-1.0311991,0.1174169
70,1.0972496,1.155288,"('wise', 'unwise')",1.0972496,1.155288,0.0580384
90,1.0524697,1.0270995,"('motivated', 'unmotivated')",1.0524697,1.0270995,-0.0253702
53,-1.0496624,-1.2622862,"('smart', 'stupid')",-1.0496624,-1.2622862,-0.2126238
5,1.0229948,1.0087771,"('pleasant', 'repellent')",1.0229948,1.0087771,-0.0142177
55,0.9860513,1.0952348,"('intelligent', 'unintelligent')",0.9860513,1.0952348,0.1091835
40,-0.9708699,-1.1788255,"('honorable', 'mean')",-0.9708699,-1.1788255,-0.2079556
9,0.9464276,0.83548886,"('sensitive', 'insensitive')",0.9464276,0.8354889,-0.1109387
103,0.9214368,1.0988593,"('traditional', 'modern')",0.9214368,1.0988593,0.1774225
83,0.920714,0.6822337,"('energetic', 'lethargic')",0.920714,0.6822337,-0.2384803
69,-0.91693497,-0.7755126,"('wise', 'foolish')",-0.916935,-0.7755126,0.1414224
14,0.91070294,0.7357662,"('supportive', 'unsupportive')",0.9107029,0.7357662,-0.1749367
16,0.8986132,0.7990109,"('social', 'antisocial')",0.8986132,0.7990109,-0.0996023
57,0.8831068,0.6834829,"('able', 'unable')",0.8831068,0.6834829,-0.1996239
58,0.8538788,0.84033847,"('able', 'clumsy')",0.8538788,0.8403385,-0.0135403
37,-0.84526306,-0.874432,"('good', 'evil')",-0.8452631,-0.874432,-0.0291689
29,0.8369274,0.73095095,"('honest', 'immoral')",0.8369274,0.730951,-0.1059764
19,-0.82904214,-0.8301033,"('funny', 'boring')",-0.8290421,-0.8301033,-0.0010612
25,0.8121917,0.8249718,"('moral', 'immoral')",0.8121917,0.8249718,0.0127801
45,-0.803023,-0.8082689,"('cooperative', 'exploitative')",-0.803023,-0.8082689,-0.0052459
101,-0.79626,-0.90493155,"('successful', 'unsuccessful')",-0.79626,-0.9049315,-0.1086715
105,-0.7473171,-0.5103103,"('conventional', 'modern')",-0.7473171,-0.5103103,0.2370068
63,-0.7440611,-0.75078917,"('capable', 'incapable')",-0.7440611,-0.7507892,-0.0067281
36,0.7365201,0.70766205,"('tolerant', 'intolerant')",0.7365201,0.707662,-0.0288581
65,0.73222524,0.56981903,"('practical', 'impractical')",0.7322252,0.569819,-0.1624062
56,0.71647084,0.52091646,"('intelligent', 'dumb')",0.7164708,0.5209165,-0.1955543
11,-0.6295143,-0.5918346,"('caring', 'unaffectionate')",-0.6295143,-0.5918346,0.0376797
0,0.6267481,0.64329284,"('sociable', 'unsociable')",0.6267481,0.6432928,0.0165447
93,0.61838186,0.49877766,"('dominating', 'dominated')",0.6183819,0.4987777,-0.1196042
106,-0.58494216,-0.54896355,"('conventional', 'unconventional')",-0.5849422,-0.5489635,0.0359787
30,0.57473105,0.5135216,"('honest', 'dishonest')",0.5747311,0.5135216,-0.0612095
13,0.5563053,0.47470045,"('helpful', 'unhelpful')",0.5563053,0.4747005,-0.0816048
24,-0.5547097,-0.5980076,"('thoughtful', 'rough')",-0.5547097,-0.5980076,-0.0432979
10,-0.5257422,-0.46870643,"('affectionate', 'unaffectionate')",-0.5257422,-0.4687064,0.0570358
73,0.5023034,0.2370704,"('brilliant', 'incompetent')",0.5023034,0.2370704,-0.265233
79,-0.5016496,-0.49302632,"('determined', 'doubtful')",-0.5016496,-0.4930263,0.0086233
92,-0.49860352,-0.4391656,"('unwavering', 'wavering')",-0.4986035,-0.4391656,0.0594379
91,0.49296,0.40583497,"('resilient', 'nonresilient')",0.49296,0.405835,-0.087125
49,0.46147424,0.29476166,"('responsible', 'irresponsible')",0.4614742,0.2947617,-0.1667125
67,-0.4497692,-0.4138268,"('discriminating', 'undiscriminating')",-0.4497692,-0.4138268,0.0359424
33,-0.4414665,-0.48448163,"('softhearted', 'hardhearted')",-0.4414665,-0.4844816,-0.0430151
48,0.4392275,0.25143552,"('reliable', 'unreliable')",0.4392275,0.2514355,-0.187792
85,0.4233069,0.37258273,"('ambitious', 'unambitious')",0.4233069,0.3725827,-0.0507242
22,0.4075463,0.3793705,"('welcoming', 'disagreeable')",0.4075463,0.3793705,-0.0281758
18,0.3845755,0.2824998,"('social', 'asocial')",0.3845755,0.2824998,-0.1020757
102,0.37763873,0.42284438,"('eminent', 'low')",0.3776387,0.4228444,0.0452057
26,0.37582177,0.36619917,"('trustworthy', 'untrustworthy')",0.3758218,0.3661992,-0.0096226
89,0.3630349,0.1988626,"('daring', 'anxious')",0.3630349,0.1988626,-0.1641723
44,0.35809815,0.3362001,"('truthful', 'untruthful')",0.3580981,0.3362001,-0.021898
84,-0.35237637,-0.43424618,"('self-confident', 'diffident')",-0.3523764,-0.4342462,-0.0818698
86,-0.35056093,-0.31936136,"('self-reliant', 'helpless')",-0.3505609,-0.3193614,0.0311995
110,0.3437904,0.4094332,"('narrow-minded', 'open-minded')",0.3437904,0.4094332,0.0656428
20,-0.3363052,-0.42985636,"('popular', 'unpopular')",-0.3363052,-0.4298564,-0.0935512
74,0.32687676,0.17511305,"('insightful', 'unperceptive')",0.3268768,0.1751131,-0.1517637
97,-0.29638767,-0.022237137,"('superior', 'inferior')",-0.2963877,-0.0222371,0.2741506
88,-0.2554742,-0.30913582,"('impulsive', 'meek')",-0.2554742,-0.3091358,-0.0536616
54,0.24283285,0.044480473,"('smart', 'stupid')",0.2428329,0.0444805,-0.1983524
59,-0.21659991,-0.1651877,"('skillful', 'clumsy')",-0.2165999,-0.1651877,0.0514122
96,-0.21347636,-0.11459041,"('powerful', 'powerless')",-0.2134764,-0.1145904,0.098886
17,0.18697155,0.32081285,"('social', 'antisocial')",0.1869715,0.3208129,0.1338414
68,-0.17545332,-0.32965678,"('clever', 'inept')",-0.1754533,-0.3296568,-0.1542035
23,0.17022061,0.10360116,"('hospitable', 'inhospitable')",0.1702206,0.1036012,-0.0666194
87,-0.16032746,-0.2215783,"('dedicated', 'undedicated')",-0.1603275,-0.2215783,-0.0612508
38,0.15815076,0.17079863,"('kind', 'unkind')",0.1581508,0.1707986,0.0126478
28,-0.14762758,-0.10648696,"('honest', 'dishonest')",-0.1476276,-0.106487,0.0411406
43,-0.1268053,-0.17094758,"('genuine', 'fake')",-0.1268053,-0.1709476,-0.0441423
46,-0.117105305,-0.04591334,"('generous', 'stingy')",-0.1171053,-0.0459133,0.071192
34,-0.113086924,0.070223615,"('loyal', 'disloyal')",-0.1130869,0.0702236,0.1833105
35,0.10968013,0.34293348,"('fair', 'unfair')",0.1096801,0.3429335,0.2332534
47,0.0967609,0.065781794,"('forgiving', 'unforgiving')",0.0967609,0.0657818,-0.0309791
21,0.0489223,-0.04606816,"('nice', 'nasty')",0.0489223,-0.0460682,-0.0949905
72,-0.046975315,0.13213772,"('logical', 'illogical')",-0.0469753,0.1321377,0.179113
50,0.04511281,-0.066250466,"('unprejudiced', 'prejudiced')",0.0451128,-0.0662505,-0.1113633
95,0.041026205,-0.08231933,"('rich', 'poor')",0.0410262,-0.0823193,-0.1233455
3,0.03709802,-0.10194257,"('likable', 'unlikable')",0.037098,-0.1019426,-0.1390406
27,-0.031318232,-0.09982592,"('sincere', 'insincere')",-0.0313182,-0.0998259,-0.0685077
62,0.026642174,0.09326303,"('creative', 'uncreative')",0.0266422,0.093263,0.0666208
78,0.011142567,-0.25007883,"('active', 'inactive')",0.0111426,-0.2500788,-0.2612214
