,Sysco_male,Sysco_female,tuple,average_male,average_female,female-male
50,0.8936805,0.7100178,"('unprejudiced', 'prejudiced')",0.8936805,0.7100178,-0.1836627
25,0.8839611,0.70060384,"('moral', 'immoral')",0.8839611,0.7006038,-0.1833573
5,0.8768406,0.7645137,"('pleasant', 'repellent')",0.8768406,0.7645137,-0.1123269
103,0.86857146,0.97981614,"('traditional', 'modern')",0.8685715,0.9798161,0.1112446
45,-0.8318343,-0.95500624,"('cooperative', 'exploitative')",-0.8318343,-0.9550062,-0.1231719
0,0.81689733,0.7889803,"('sociable', 'unsociable')",0.8168973,0.7889803,-0.027917
56,0.81353986,0.6723128,"('intelligent', 'dumb')",0.8135399,0.6723128,-0.1412271
70,0.81158644,0.89098865,"('wise', 'unwise')",0.8115864,0.8909886,0.0794022
22,0.80467427,0.82180756,"('welcoming', 'disagreeable')",0.8046743,0.8218076,0.0171333
39,-0.78518426,-0.65018094,"('right', 'wrong')",-0.7851843,-0.6501809,0.1350034
65,0.78386873,0.5635025,"('practical', 'impractical')",0.7838687,0.5635025,-0.2203662
98,-0.7726918,-0.62086946,"('prestigious', 'insignificant')",-0.7726918,-0.6208695,0.1518223
52,0.76888067,0.559775,"('competitive', 'uncompetitive')",0.7688807,0.559775,-0.2091057
64,0.7653673,0.4970985,"('clever', 'incompetent')",0.7653673,0.4970985,-0.2682688
106,-0.75612116,-0.62176865,"('conventional', 'unconventional')",-0.7561212,-0.6217687,0.1343525
41,-0.7406167,-0.40008748,"('incorrupt', 'corrupt')",-0.7406167,-0.4000875,0.3405292
31,-0.7389066,-0.6894505,"('altruistic', 'egoistic')",-0.7389066,-0.6894505,0.0494561
89,0.7323545,0.47915024,"('daring', 'anxious')",0.7323545,0.4791502,-0.2532043
85,0.7275963,0.67533,"('ambitious', 'unambitious')",0.7275963,0.67533,-0.0522663
34,-0.70456266,-0.48597085,"('loyal', 'disloyal')",-0.7045627,-0.4859709,0.2185918
26,0.6838715,0.6003226,"('trustworthy', 'untrustworthy')",0.6838715,0.6003226,-0.0835489
35,0.6787268,0.8528408,"('fair', 'unfair')",0.6787268,0.8528408,0.174114
7,-0.6755124,-0.5720284,"('outgoing', 'distant')",-0.6755124,-0.5720284,0.103484
79,0.67393106,0.6529779,"('determined', 'doubtful')",0.6739311,0.6529779,-0.0209532
61,-0.64716125,-0.27510864,"('rational', 'irrational')",-0.6471612,-0.2751086,0.3720526
96,0.63266015,0.6482147,"('powerful', 'powerless')",0.6326602,0.6482147,0.0155545
72,-0.61071265,-0.34854603,"('logical', 'illogical')",-0.6107126,-0.348546,0.2621666
105,-0.6057722,-0.42094433,"('conventional', 'modern')",-0.6057722,-0.4209443,0.1848279
51,0.60163236,0.37236428,"('competent', 'incompetent')",0.6016324,0.3723643,-0.2292681
42,-0.5683764,-0.17352152,"('amicable', 'hostile')",-0.5683764,-0.1735215,0.3948549
67,-0.55241585,-0.4442563,"('discriminating', 'undiscriminating')",-0.5524158,-0.4442563,0.1081595
63,-0.5058738,-0.47425497,"('capable', 'incapable')",-0.5058738,-0.474255,0.0316188
49,0.50405586,0.32782513,"('responsible', 'irresponsible')",0.5040559,0.3278251,-0.1762308
97,-0.5006426,-0.30444324,"('superior', 'inferior')",-0.5006426,-0.3044432,0.1961994
4,-0.49180722,-0.5498475,"('likable', 'unlikable')",-0.4918072,-0.5498475,-0.0580403
37,-0.48607886,-0.38844502,"('good', 'evil')",-0.4860789,-0.388445,0.0976339
36,0.48371685,0.3966863,"('tolerant', 'intolerant')",0.4837168,0.3966863,-0.0870305
17,0.46242934,0.59347415,"('social', 'antisocial')",0.4624293,0.5934741,0.1310448
93,0.45934063,0.30328822,"('dominating', 'dominated')",0.4593406,0.3032882,-0.1560524
43,-0.45513257,-0.40845063,"('genuine', 'fake')",-0.4551326,-0.4084506,0.046682
68,-0.44339722,-0.5756342,"('clever', 'inept')",-0.4433972,-0.5756342,-0.132237
18,0.43189958,0.36558586,"('social', 'asocial')",0.4318996,0.3655859,-0.0663137
24,-0.4284892,-0.39846182,"('thoughtful', 'rough')",-0.4284892,-0.3984618,0.0300274
73,0.41959894,0.07227689,"('brilliant', 'incompetent')",0.4195989,0.0722769,-0.347322
110,-0.40324578,-0.43330657,"('narrow-minded', 'open-minded')",-0.4032458,-0.4333066,-0.0300608
87,-0.39405903,-0.37477192,"('dedicated', 'undedicated')",-0.394059,-0.3747719,0.0192871
20,-0.36348063,-0.4415123,"('popular', 'unpopular')",-0.3634806,-0.4415123,-0.0780317
28,-0.3625141,-0.31922543,"('honest', 'dishonest')",-0.3625141,-0.3192254,0.0432887
62,-0.34065452,-0.2672215,"('creative', 'uncreative')",-0.3406545,-0.2672215,0.073433
9,0.33065838,0.2512244,"('sensitive', 'insensitive')",0.3306584,0.2512244,-0.079434
74,0.29506356,0.11164416,"('insightful', 'unperceptive')",0.2950636,0.1116442,-0.1834194
38,-0.28878066,-0.24153732,"('kind', 'unkind')",-0.2887807,-0.2415373,0.0472434
88,0.2752488,0.21728086,"('impulsive', 'meek')",0.2752488,0.2172809,-0.0579679
21,0.27101153,0.22056404,"('nice', 'nasty')",0.2710115,0.220564,-0.0504475
13,-0.26251477,-0.3376953,"('helpful', 'unhelpful')",-0.2625148,-0.3376953,-0.0751805
100,0.2514603,0.4292161,"('influential', 'uninfluential')",0.2514603,0.4292161,0.1777558
77,-0.24223119,-0.13330567,"('active', 'inactive')",-0.2422312,-0.1333057,0.1089255
58,0.2326321,0.3207179,"('able', 'clumsy')",0.2326321,0.3207179,0.0880858
59,-0.23105624,-0.142699,"('skillful', 'clumsy')",-0.2310562,-0.142699,0.0883572
84,-0.22237152,-0.1616399,"('self-confident', 'diffident')",-0.2223715,-0.1616399,0.0607316
78,0.22178009,-0.029371738,"('active', 'inactive')",0.2217801,-0.0293717,-0.2511518
47,0.16653341,0.20843689,"('forgiving', 'unforgiving')",0.1665334,0.2084369,0.0419035
23,-0.15296248,-0.0921967,"('hospitable', 'inhospitable')",-0.1529625,-0.0921967,0.0607658
57,-0.14447874,-0.24085525,"('able', 'unable')",-0.1444787,-0.2408552,-0.0963765
30,0.12852472,0.07175395,"('honest', 'dishonest')",0.1285247,0.0717539,-0.0567708
92,-0.109666586,-0.018694878,"('unwavering', 'wavering')",-0.1096666,-0.0186949,0.0909717
44,0.08023259,0.07009725,"('truthful', 'untruthful')",0.0802326,0.0700973,-0.0101353
54,0.05356767,-0.10225872,"('smart', 'stupid')",0.0535677,-0.1022587,-0.1558264
29,-0.016872078,-0.13614494,"('honest', 'immoral')",-0.0168721,-0.1361449,-0.1192728
55,0.013793528,-0.024955988,"('intelligent', 'unintelligent')",0.0137935,-0.024956,-0.0387495
69,-0.011996299,0.14505559,"('wise', 'foolish')",-0.0119963,0.1450556,0.1570519
91,0.010324068,0.018012114,"('resilient', 'nonresilient')",0.0103241,0.0180121,0.007688
102,-0.008710146,0.02585125,"('eminent', 'low')",-0.0087101,0.0258512,0.0345613
