,Fox_male,Fox_female,tuple,Corporation_male,Corporation_female,(Class_male,(Class_female,B)_male,B)_female,average_male,average_female,female-male
1,-0.74933046,-0.88917804,"('friendly', 'unfriendly')",-1.9708536,-1.6629757,1.1512531,1.1907594,0.5384425,0.47514609,-0.2576221,-0.221562,0.0360601
21,0.7398224,0.65422904,"('nice', 'nasty')",0.083910525,0.049200058,1.2575654,1.1888648,0.7965084,0.71880424,0.7194517,0.6527746,-0.0666771
33,-0.7105456,-0.49611044,"('softhearted', 'hardhearted')",-0.68716663,-0.48124987,-0.050157964,0.06146735,-0.048924617,0.07275949,-0.3741987,-0.2107834,0.1634153
47,-0.6978453,-0.5525204,"('forgiving', 'unforgiving')",-1.3958423,-1.2360581,-1.030971,-0.91206807,0.018610984,-0.032774195,-0.7765119,-0.6833552,0.0931567
77,0.6518196,0.5856057,"('active', 'inactive')",0.2532639,0.4833073,1.1002661,1.2641094,0.38347602,0.39561474,0.5972064,0.6821593,0.0849529
97,-0.6277984,-0.624887,"('superior', 'inferior')",-1.1821775,-1.0645268,-0.23908162,-0.22759765,0.6251341,0.6035502,-0.3559808,-0.3283653,0.0276155
35,0.6214292,0.6334561,"('fair', 'unfair')",0.836849,1.0450791,0.97310126,0.93811333,0.37080345,0.56207836,0.7005457,0.7946818,0.0941361
45,-0.6205392,-0.55283433,"('cooperative', 'exploitative')",-0.7605086,-0.95082784,-1.3658694,-1.3772883,-0.49203137,-0.62812966,-0.8097371,-0.87727,-0.0675329
18,-0.6130785,-0.42094642,"('social', 'asocial')",-1.1269926,-1.1898576,-1.7167008,-1.9080253,-1.0941378,-1.1174672,-1.1377274,-1.1590741,-0.0213467
8,0.6098314,0.11116177,"('open', 'distant')",1.0239071,1.0725777,1.7274044,1.6734486,-0.1457932,-0.030133829,0.8038374,0.7067636,-0.0970738
2,-0.60699123,-0.013617098,"('friendly', 'unfriendly')",-1.0376813,-1.04854,-2.110894,-2.0865543,0.11363387,-0.06263107,-0.9104832,-0.8028356,0.1076476
44,-0.55715156,-0.61894846,"('truthful', 'untruthful')",-1.0502793,-1.0505736,0.59241927,0.34065938,-0.12093493,-0.2831453,-0.2839866,-0.403002,-0.1190154
41,0.53717726,0.374839,"('incorrupt', 'corrupt')",1.7075706,2.043691,3.2185874,3.4588056,0.6914737,0.8911388,1.5387022,1.6921186,0.1534164
19,-0.5368439,-0.8403477,"('funny', 'boring')",-0.5628154,-0.45039928,0.7072824,0.9479668,1.1728995,1.1364772,0.1951306,0.1984243,0.0032937
60,0.52326536,0.9827389,"('educated', 'uneducated')",-0.63648766,-0.49107665,-1.4612604,-1.3737682,-0.36167526,-0.3330962,-0.4840395,-0.3038005,0.180239
70,0.51093096,0.42227215,"('wise', 'unwise')",-0.013055325,0.07970542,1.7300584,1.781521,0.5835434,0.7030341,0.7028694,0.7466332,0.0437638
64,-0.51036525,-0.27338934,"('clever', 'incompetent')",-1.1084907,-1.2355897,-3.750302,-3.6834378,-0.82817966,-0.93117756,-1.5493344,-1.5308987,0.0184357
94,0.50648624,0.93651843,"('aggressive', 'submissive')",0.5067985,0.31398696,-2.4614258,-2.3823628,0.74879456,0.64662147,-0.1748366,-0.121309,0.0535276
43,-0.5060808,-0.43887147,"('genuine', 'fake')",-0.4597743,-0.51524913,-0.56797355,-0.594548,0.5915549,0.58578604,-0.2355685,-0.2407206,-0.0051521
20,0.4999411,0.45007256,"('popular', 'unpopular')",-0.4259438,-0.17401364,2.0782614,2.1596415,0.9763434,0.9153024,0.7821505,0.8377507,0.0556002
42,0.49269956,0.1384967,"('amicable', 'hostile')",0.7175753,1.0475513,3.262185,3.4364805,0.23545542,0.44364536,1.1769788,1.2665435,0.0895647
100,-0.46600324,-0.1232847,"('influential', 'uninfluential')",-1.2244661,-0.9625629,-2.20523,-2.223999,0.19952112,0.058122933,-0.9240445,-0.8129309,0.1111136
62,0.41916892,0.13718441,"('creative', 'uncreative')",-0.59355617,-0.54130137,-0.119347036,-0.104370594,0.82705903,0.65397096,0.1333312,0.0363708,-0.0969604
25,-0.4147571,-0.22029215,"('moral', 'immoral')",-0.66990954,-0.86645496,-3.1482058,-3.169135,-0.5678815,-0.85406744,-1.2001885,-1.2774874,-0.0772989
24,-0.40358952,-0.314869,"('thoughtful', 'rough')",-0.6666918,-0.6926383,-1.7658828,-1.7701383,0.7024068,0.68808335,-0.5334393,-0.5223905,0.0110488
110,-0.37259927,-0.3065219,"('narrow-minded', 'open-minded')",0.20299102,0.08157921,0.66111076,0.8353889,-1.6249418,-1.4652267,-0.2833598,-0.2136951,0.0696647
98,-0.36382145,-0.6216949,"('prestigious', 'insignificant')",-0.4130975,-0.3233846,1.6084197,1.6857772,-0.4725002,-0.36446515,0.0897501,0.0940581,0.004308
84,0.32560074,0.06192556,"('self-confident', 'diffident')",-0.6401853,-0.46615046,0.90300006,0.9079465,0.11385585,-0.12986332,0.1755678,0.0934646,-0.0821032
88,0.32216167,-0.010774951,"('impulsive', 'meek')",1.1850227,1.1676286,1.8782971,1.7812171,0.65248597,0.61353076,1.0094918,0.8879004,-0.1215914
67,-0.3185229,-0.4317543,"('discriminating', 'undiscriminating')",-1.0061553,-1.0121269,-0.67471313,-0.6131556,-0.82656085,-0.6771551,-0.706488,-0.683548,0.02294
90,0.3168366,0.3298069,"('motivated', 'unmotivated')",1.4671855,1.2563818,-1.2076075,-1.324308,0.17856324,-0.14429319,0.1887445,0.0293969,-0.1593476
106,-0.31558806,-0.110231146,"('conventional', 'unconventional')",-0.35674915,-0.2866406,0.31043455,0.3751856,0.02036199,0.18239662,-0.0853852,0.0401776,0.1255628
51,-0.28263763,-0.075133115,"('competent', 'incompetent')",-0.86257654,-0.8091742,-2.3126538,-2.2577577,-1.9068539,-2.04715,-1.3411806,-1.2973037,0.0438769
71,-0.27838093,-0.042850822,"('efficient', 'inefficient')",-0.31214243,-0.66582847,-3.550813,-3.8671255,-0.759162,-0.99345917,-1.2251246,-1.392316,-0.1671914
55,-0.2582175,-0.066977665,"('intelligent', 'unintelligent')",-0.8582853,-0.7608187,-0.45504588,-0.32252312,0.83066773,0.6949902,-0.1852202,-0.1138323,0.0713879
30,-0.24161547,-0.09450102,"('honest', 'dishonest')",-0.64388895,-0.610849,-1.6147375,-1.6292945,-0.36824217,-0.5532327,-0.7171211,-0.7219693,-0.0048482
99,-0.23446971,-0.67747504,"('prestigious', 'insignificant')",-0.36734855,-0.14205799,3.3702264,3.287652,0.013220713,0.050833553,0.6954072,0.6297382,-0.065669
91,0.22483027,0.24369597,"('resilient', 'nonresilient')",-0.13546547,-0.13475233,0.7437324,0.7755221,1.1164961,0.9991769,0.4873983,0.4709107,-0.0164876
57,0.22326949,-0.044959307,"('able', 'unable')",-0.059098035,-0.26861152,-0.20569122,-0.3999892,0.8683664,0.6789685,0.2067117,-0.0086479,-0.2153596
39,0.22222003,0.08643602,"('right', 'wrong')",0.31192005,0.5375889,1.0847247,0.8923976,-0.12083423,-0.28097606,0.3745076,0.3088616,-0.065646
76,0.21992445,0.42645574,"('secure', 'insecure')",-0.25611198,-0.39448076,-2.0252907,-1.8485973,-0.116652876,-0.028047442,-0.5445328,-0.4611674,0.0833654
92,-0.19590123,-0.6030834,"('unwavering', 'wavering')",-0.4527764,-0.27781996,2.2467308,2.2658536,-0.55854356,-0.32200107,0.2598774,0.2657373,0.0058599
4,0.19094282,-0.08121134,"('likable', 'unlikable')",-1.1267765,-1.0491971,-0.52085245,-0.71588755,-0.44597203,-0.68478346,-0.4756645,-0.6327698,-0.1571053
52,-0.170172,0.21485385,"('competitive', 'uncompetitive')",-1.0085267,-1.0554684,-2.591312,-2.5653224,0.0931955,0.12238318,-0.9192038,-0.8208885,0.0983153
107,0.16571265,0.4973625,"('conventional', 'modern')",0.15696877,0.04123503,-0.7297044,-0.75704426,-1.081756,-1.0528374,-0.3721947,-0.317821,0.0543737
102,0.16391689,-0.029990435,"('eminent', 'low')",-1.6142371,-1.3247689,0.7926268,0.6071792,1.4436727,1.347772,0.1964948,0.150048,-0.0464468
72,-0.15781754,0.23768443,"('logical', 'illogical')",-0.87245774,-0.6190673,-2.214067,-2.0713823,-1.6507801,-1.4815679,-1.2237806,-0.9835833,0.2401973
96,-0.15068592,0.0037718117,"('powerful', 'powerless')",-0.17151986,-0.14666,-0.17994645,-0.33164352,0.53494704,0.43397412,0.0081987,-0.0101394,-0.0183381
54,0.14986283,0.18648876,"('smart', 'stupid')",0.27648887,0.18502852,0.11571154,-0.0044036508,-0.25050354,-0.36619568,0.0728899,0.0002295,-0.0726604
103,-0.14252584,0.04285112,"('traditional', 'modern')",1.3085226,1.3149366,-0.035205126,-0.045710772,-0.6279679,-0.5892972,0.1257059,0.1806949,0.054989
69,-0.13681611,-0.33534783,"('wise', 'foolish')",0.46945584,0.6314868,1.9853265,2.0340102,0.33425498,0.31856018,0.6630553,0.6621773,-0.000878
74,0.1321494,0.14833885,"('insightful', 'unperceptive')",-1.6700075,-1.6634356,-1.9355884,-2.0097587,-0.291287,-0.44090864,-0.9411833,-0.991441,-0.0502577
16,-0.129185,0.3441504,"('social', 'antisocial')",-1.0976408,-1.0759275,-2.5884109,-2.4748847,-0.83287853,-0.8984881,-1.1620288,-1.0262874,0.1357414
26,0.09030116,0.14362901,"('trustworthy', 'untrustworthy')",-0.31007636,-0.3223795,-1.4062817,-1.3428235,-0.7154318,-0.8978588,-0.5853722,-0.6048582,-0.019486
101,-0.07630879,0.06853472,"('successful', 'unsuccessful')",-2.0361576,-1.8054595,0.11204144,0.19663689,-0.3998884,-0.5477572,-0.6000783,-0.5220113,0.078067
0,-0.06952065,0.45168385,"('sociable', 'unsociable')",-1.0868596,-0.87454176,-2.083098,-1.8422377,0.009801719,-0.031194061,-0.8074191,-0.5740724,0.2333467
17,0.062565744,0.41813007,"('social', 'antisocial')",-1.0290959,-0.7812415,-0.8078465,-0.63620543,0.65728647,0.55943924,-0.2792726,-0.1099694,0.1693032
31,-0.05108863,-0.23355603,"('altruistic', 'egoistic')",-0.59159064,-0.43182242,-0.09355545,0.025793642,-0.3489843,-0.26631033,-0.2713048,-0.2264738,0.044831
85,0.04168217,-0.04619597,"('ambitious', 'unambitious')",-1.0209961,-0.9879769,-1.0869163,-1.0641763,-1.3367488,-1.3874995,-0.8507448,-0.8714621,-0.0207173
93,0.024306506,0.4870301,"('dominating', 'dominated')",-0.0038221478,0.034066856,-2.4614015,-2.5683308,0.22080086,0.14388466,-0.555029,-0.4758373,0.0791917
5,0.0126552135,0.16154194,"('pleasant', 'repellent')",-0.25773704,-0.39348692,-1.089236,-1.2252784,-0.93032926,-0.8533274,-0.5661618,-0.5776377,-0.0114759
89,-0.009892933,-0.011409298,"('daring', 'anxious')",0.20823935,0.014363587,-1.6247534,-1.6243827,0.07457134,0.18663475,-0.3379589,-0.3586984,-0.0207395
