,Bath_male,Bath_female,tuple,&_male,&_female,Body_male,Body_female,Works_male,Works_female,Inc._male,Inc._female,average_male,average_female,female-male
10,-1.6586655,-1.480139,"('affectionate', 'unaffectionate')",-0.13022053,-0.12991127,0.14091656,0.13586196,-0.92190075,-0.8945253,-0.56783605,-0.40719336,-0.6275413,-0.5551814,0.0723599
8,-1.6518244,-1.5077677,"('open', 'distant')",-1.6857467,-1.8954618,0.92200816,0.14956048,0.84832424,0.64954007,-0.41122773,-0.4340127,-0.3956933,-0.6076283,-0.211935
104,-1.6460469,-1.3456621,"('conventional', 'unconventional')",-0.8351057,-0.5749416,-0.20741144,0.08188923,-0.2692544,-0.022144854,-0.9688383,-0.9983645,-0.7853313,-0.5718448,0.2134865
90,1.5932347,1.4658475,"('motivated', 'unmotivated')",0.99778837,0.8682364,0.59216547,0.3508127,1.0737803,0.8888025,0.16589978,0.06851305,0.8845737,0.7284425,-0.1561312
62,-1.4874907,-1.2670711,"('creative', 'uncreative')",-2.2667456,-2.3764453,0.00576064,-0.1757833,-1.078631,-1.1039872,-0.6831802,-0.65819865,-1.1020574,-1.1162972,-0.0142398
98,-1.4678981,-1.3675474,"('prestigious', 'insignificant')",-0.75881976,-1.1497474,-0.21396834,-0.84887487,0.24668443,0.23240402,-0.8482008,-0.8127509,-0.6084405,-0.7893033,-0.1808628
99,-1.4205788,-1.3842571,"('prestigious', 'insignificant')",-0.93465394,-1.3091881,0.49687368,-0.22039568,0.6766119,0.7167102,-1.463496,-1.4505801,-0.5290486,-0.7295422,-0.2004936
107,1.4189315,1.5608159,"('conventional', 'modern')",0.75842726,0.7066419,-0.09790002,0.25125802,-0.16489068,-0.10206336,2.1061425,2.195211,0.8041421,0.9223726,0.1182305
87,-1.31428,-1.1955613,"('dedicated', 'undedicated')",-1.0476332,-1.0999688,-1.7542474,-1.7963969,-0.6101226,-0.59482765,-0.6929084,-0.72134864,-1.0838383,-1.0816207,0.0022176
72,-1.3000304,-1.0564594,"('logical', 'illogical')",-2.02136,-1.9372089,-1.5156374,-1.108284,-0.15754092,0.09381106,-0.9993412,-0.79105514,-1.1987819,-0.9598393,0.2389426
51,-1.2647774,-1.1923971,"('competent', 'incompetent')",-0.37260705,-0.1885972,-1.6300502,-1.4064574,-0.26856065,-0.25241548,1.007435,0.7741124,-0.505712,-0.4531509,0.0525611
103,1.2640858,1.4761,"('traditional', 'modern')",0.03736037,0.15558687,1.1080928,1.3358777,1.5658149,1.5977247,1.2483182,1.4023161,1.0447344,1.1935211,0.1487867
67,-1.2288713,-0.978596,"('discriminating', 'undiscriminating')",-0.8109486,-0.59599626,-1.0513749,-1.0153291,-0.32056332,-0.28948325,-0.9375009,-1.0080781,-0.8698518,-0.7774966,0.0923552
5,1.2285783,1.0977563,"('pleasant', 'repellent')",0.23307134,0.2290945,-0.57401556,-0.4661975,-0.21428752,-0.19240782,1.084139,0.9704193,0.3514971,0.3277329,-0.0237642
49,-1.2047986,-1.2985308,"('responsible', 'irresponsible')",-0.44786936,-0.6318982,-2.8274982,-2.7901936,-0.45474586,-0.5434965,-0.31453165,-0.48915505,-1.0498888,-1.1506548,-0.100766
100,-1.1959987,-0.947055,"('influential', 'uninfluential')",-0.44486135,-0.20431024,-1.1981487,-0.729872,-0.7656571,-0.36203226,-0.7178668,-0.7203488,-0.8645065,-0.5927237,0.2717828
15,1.1798408,1.2653517,"('polite', 'impolite')",0.98071355,1.0655968,-0.35342416,0.075997114,0.4643222,0.6426382,1.9425535,1.912642,0.8428012,0.9924452,0.149644
34,-1.1662827,-0.9489279,"('loyal', 'disloyal')",-1.4374508,-1.1385919,-1.7982013,-1.2128489,-1.0314487,-0.60361016,0.0028195083,0.017873377,-1.0861128,-0.7772211,0.3088917
58,-1.1382526,-1.0207148,"('able', 'clumsy')",-1.5213186,-1.4960544,-1.6197593,-0.9899609,-0.81486887,-0.59733427,0.56137174,0.6105894,-0.9065655,-0.698695,0.2078705
29,-1.1110566,-1.1124219,"('honest', 'immoral')",-2.2696831,-2.1455472,-2.0544572,-1.6865487,-0.72243637,-0.69124365,0.09313175,-0.04479742,-1.2129004,-1.1361117,0.0767887
13,-1.0951803,-1.1902598,"('helpful', 'unhelpful')",-1.3339632,-1.4054737,-2.8076243,-2.2617252,-2.129541,-1.9442742,0.058687687,-0.046207756,-1.4615242,-1.3695882,0.091936
9,-1.0940945,-1.0551295,"('sensitive', 'insensitive')",-0.44833702,-0.32138565,-1.6325442,-1.1772674,-0.39274508,-0.23653981,0.25430608,0.21939069,-0.662683,-0.5141863,0.1484967
64,-1.0726976,-1.254995,"('clever', 'incompetent')",-0.06654215,0.15274763,-1.3551967,-0.6585072,-0.061475366,-0.057314575,0.17105773,-0.009419978,-0.4769708,-0.3654978,0.111473
63,-1.0723739,-1.029596,"('capable', 'incapable')",-0.65003437,-0.85764754,-0.6718554,-0.80940104,0.3859502,0.3442179,-0.851731,-0.8572783,-0.5720089,-0.641941,-0.0699321
12,-1.0545156,-0.9197744,"('sympathetic', 'unsympathetic')",-0.7277793,-0.38210905,-1.4521959,-0.87802935,-0.47222543,-0.2284146,0.8218956,0.6687667,-0.5769641,-0.3479121,0.229052
79,1.0512305,0.90577596,"('determined', 'doubtful')",1.2731994,1.1395522,-0.21860947,-0.34834135,-0.023695469,-0.0040980577,-0.07530017,-0.060929783,0.4013649,0.3263918,-0.0749731
97,-1.0317612,-0.90289366,"('superior', 'inferior')",-0.9101333,-0.9269796,-0.769175,-0.959109,-0.22466192,-0.1640909,-1.2583398,-1.1278979,-0.8388143,-0.8161942,0.0226201
48,1.0276124,0.9137079,"('reliable', 'unreliable')",1.6273811,1.4869235,1.5204446,1.1510894,1.7899342,1.6579202,0.47432882,0.2669512,1.2879402,1.0953184,-0.1926218
105,-1.0194944,-0.92858416,"('conventional', 'modern')",-1.3557854,-1.2913095,-0.5996364,-0.7164522,-0.28801313,-0.39401075,-0.050325662,-0.055343747,-0.662651,-0.67714,-0.014489
81,0.9873024,0.976419,"('industrious', 'lazy')",1.0677396,0.93206155,1.8419762,1.1612096,1.1992149,1.0786299,-1.1521536,-1.0750413,0.788816,0.6146558,-0.1741602
82,0.96965486,0.88972104,"('industrious', 'meek')",0.9066853,0.731109,2.030612,1.7562177,0.18419325,0.088584006,-0.7865882,-0.6692104,0.6609115,0.5592843,-0.1016272
85,-0.9125775,-0.974658,"('ambitious', 'unambitious')",0.5252911,0.4314575,-1.0702668,-1.1014161,-1.7113336,-1.7601136,-0.1208272,-0.17583728,-0.6579428,-0.7161135,-0.0581707
94,0.8928071,0.85041267,"('aggressive', 'submissive')",0.95377517,1.0504544,-0.06578079,0.8151969,-0.003016509,0.16978996,1.1796136,0.9861386,0.5914797,0.7743985,0.1829188
71,0.82000244,0.38176006,"('efficient', 'inefficient')",-0.15187824,-0.23354709,-2.0435693,-1.8461503,-0.25444186,-0.42218673,0.24444145,0.12981474,-0.2770891,-0.3980618,-0.1209727
36,-0.81311834,-0.691629,"('tolerant', 'intolerant')",-0.3733943,-0.31044215,-1.7440293,-1.3803046,-0.23084322,-0.14448051,-0.4471465,-0.39839303,-0.7217063,-0.5850498,0.1366565
55,-0.8023484,-0.8763273,"('intelligent', 'unintelligent')",-0.24816978,0.06497896,-1.0794613,-1.0243652,-0.3695079,-0.24716124,-0.72299796,-0.843257,-0.6444971,-0.5852263,0.0592708
88,0.7971064,0.78418314,"('impulsive', 'meek')",0.98271424,0.5905908,1.8103075,1.3309864,0.46204373,0.22233903,0.17452483,0.15119234,0.8453393,0.6158584,-0.2294809
47,-0.7935059,-0.779179,"('forgiving', 'unforgiving')",-0.7401072,-0.5953251,-0.4896453,-0.08610337,-0.8211349,-0.7200967,-0.40875304,-0.4907701,-0.6506292,-0.5342948,0.1163344
25,0.7823881,0.551859,"('moral', 'immoral')",-0.15499687,-0.11594057,-1.8223392,-1.5047143,-0.40301582,-0.3275992,-0.48773643,-0.60894835,-0.4171401,-0.4010687,0.0160714
31,-0.7680969,-0.8067445,"('altruistic', 'egoistic')",-0.5368643,-0.654704,0.14850527,0.28081113,-1.0045009,-0.9043285,-1.2583694,-1.1155598,-0.6838653,-0.6401052,0.0437601
19,-0.7506693,-0.6330821,"('funny', 'boring')",0.09913957,-0.005131036,0.26753968,-0.058442116,-0.2625733,-0.15037191,-0.5084594,-0.39177564,-0.2310045,-0.2477606,-0.0167561
7,-0.72210836,-0.6202346,"('outgoing', 'distant')",-0.7594186,-1.0346279,0.6520497,-0.24740633,0.98517334,0.6645681,-0.77903825,-0.7658204,-0.1246684,-0.4007042,-0.2760358
59,0.70977473,0.8047554,"('skillful', 'clumsy')",0.11509335,0.12287372,-0.21527852,-0.33513898,0.6363908,0.7770207,0.26998997,0.37649727,0.3031941,0.3492016,0.0460075
92,-0.67701006,-0.5265006,"('unwavering', 'wavering')",-1.3427869,-1.4157473,0.100212246,-0.5139528,0.17036264,0.30534518,0.21187377,0.1307925,-0.3074697,-0.4040126,-0.0965429
74,-0.67631793,-0.5864743,"('insightful', 'unperceptive')",-2.0510526,-2.2101963,-1.6979444,-1.4502625,-0.5552276,-0.4490908,-1.2022517,-1.4035387,-1.2365589,-1.2199125,0.0166464
18,-0.671673,-0.6890573,"('social', 'asocial')",-0.16941583,-0.10184574,-1.1086606,-0.7057514,-0.8599385,-0.86398,-0.17301878,-0.24296968,-0.5965414,-0.5207209,0.0758205
38,-0.6382468,-0.6116527,"('kind', 'unkind')",-1.6716217,-1.6502889,-1.8872864,-1.2956406,-1.4199748,-1.079072,-0.39899027,-0.37404895,-1.203224,-1.0021406,0.2010834
43,-0.6338301,-0.73610437,"('genuine', 'fake')",0.45401642,0.48974708,-0.76902,-0.43583655,-0.4229924,-0.26270527,0.17795661,0.23598105,-0.2387739,-0.1417836,0.0969903
101,-0.6243149,-0.6721276,"('successful', 'unsuccessful')",-0.633511,-0.66783416,-1.3805791,-1.2571058,-0.59121567,-0.46937165,-1.2089937,-1.2469898,-0.8877228,-0.8626858,0.025037
30,-0.62150013,-0.7189168,"('honest', 'dishonest')",-1.3446836,-1.4505508,-1.6269473,-1.5919979,-0.32348594,-0.31809646,-0.18042222,-0.30566266,-0.8194078,-0.8770449,-0.0576371
110,0.58887255,0.3573996,"('narrow-minded', 'open-minded')",0.7476208,0.66271204,0.8620623,1.2418766,-0.04194507,-0.2383363,1.0149854,1.0087056,0.6343192,0.6064715,-0.0278477
24,-0.580006,-0.64015305,"('thoughtful', 'rough')",-0.3752486,-0.3377083,-1.1058683,-0.80131483,-0.032831937,-0.08943093,-1.3985718,-1.4601865,-0.6985053,-0.6657587,0.0327466
54,0.57565683,0.42339247,"('smart', 'stupid')",1.0514773,1.1036994,0.8865745,0.87757957,1.0388281,1.0327585,0.10659821,-0.027833894,0.731827,0.6819192,-0.0499078
20,-0.55407155,-0.40817955,"('popular', 'unpopular')",-0.19214627,-0.33684558,0.48348355,0.0836463,-0.09743914,0.099859655,0.20547813,0.14199194,-0.0309391,-0.0839055,-0.0529664
73,-0.54852355,-0.82381576,"('brilliant', 'incompetent')",0.59921503,0.37608182,-1.9878435,-1.694544,-0.57718307,-0.7005738,-0.2718151,-0.435324,-0.55723,-0.6556351,-0.0984051
80,0.54544854,0.6574841,"('independent', 'dependent')",0.35335627,0.2956241,0.039780974,-0.07551494,1.9105837,1.9987508,-0.16922851,-0.08293481,0.5359882,0.5586819,0.0226937
4,-0.5240468,-0.6497261,"('likable', 'unlikable')",-0.6069189,-0.83828163,-1.2303523,-1.5522208,-0.54793847,-0.56754124,-0.7675859,-0.80072767,-0.7353684,-0.8816996,-0.1463312
65,-0.5172446,-0.78271544,"('practical', 'impractical')",-0.059535027,-0.025037318,-2.121963,-2.0928333,-1.9874412,-1.9589885,-0.36972082,-0.49203146,-1.011181,-1.0703213,-0.0591403
21,0.50623393,0.44219303,"('nice', 'nasty')",0.701074,0.7809905,0.4112841,-0.1113897,0.30612618,0.120682776,1.0300719,1.0194855,0.590958,0.4503924,-0.1405656
84,-0.4908594,-0.47801068,"('self-confident', 'diffident')",0.119012654,-0.027711093,-0.99181104,-1.5264899,0.044028014,-0.040005088,-0.7324471,-0.8095562,-0.4104154,-0.5763546,-0.1659392
93,0.46530414,0.383935,"('dominating', 'dominated')",1.7850899,1.8938642,-0.17262,0.66912025,0.43337506,0.66226566,1.0653489,1.0834538,0.7152996,0.9385278,0.2232282
69,-0.43777293,-0.28795785,"('wise', 'foolish')",-0.45903856,-0.70321673,0.39929277,0.090979934,0.3911466,0.42748865,-0.13414243,-0.018051982,-0.0481029,-0.0981516,-0.0500487
77,-0.40212172,-0.2974325,"('active', 'inactive')",-0.33979833,-0.24004993,1.3432088,1.2332835,1.3471713,1.4106858,0.67205083,0.671433,0.5241022,0.555584,0.0314818
61,-0.39375943,-0.14741977,"('rational', 'irrational')",-0.11714852,-0.13652503,1.2296469,1.0256379,0.58144075,0.6952809,0.43142968,0.7529904,0.3463219,0.4379929,0.091671
42,-0.39115196,-0.17877162,"('amicable', 'hostile')",0.48472708,0.43818986,1.8162488,1.4329011,0.50972986,0.5783077,-0.11243957,0.027688444,0.4614228,0.4596631,-0.0017597
0,-0.38068745,-0.0819245,"('sociable', 'unsociable')",-0.044442117,0.25629807,-1.3716042,-0.85788006,-0.26387328,0.020348132,-0.08741483,-0.14447755,-0.4296043,-0.1615272,0.2680771
41,0.3519677,0.65648186,"('incorrupt', 'corrupt')",0.081804395,0.09784329,1.9459658,1.6350521,1.3525705,1.5381299,-0.33407527,-0.11910397,0.6796466,0.7616806,0.082034
39,-0.35184917,-0.1851246,"('right', 'wrong')",0.786576,0.6752243,-0.13361225,-0.5053527,0.1935257,0.3025867,-0.56856817,-0.46726194,-0.0147856,-0.0359856,-0.0212
70,-0.34594163,-0.16092192,"('wise', 'unwise')",-0.21861404,-0.04340157,0.6162099,0.34944275,0.16428202,0.29908252,0.009866476,0.006896436,0.0451606,0.0902196,0.045059
83,-0.34316143,-0.27520528,"('energetic', 'lethargic')",-0.4276148,-0.4433389,-1.4879737,-0.8724351,-0.029512167,0.111610234,0.5652917,0.4928882,-0.3445941,-0.1972962,0.1472979
46,0.33798006,0.6885705,"('generous', 'stingy')",0.9779319,1.3595903,1.4126724,1.4344836,1.4102912,1.3795341,-0.00015188754,-0.050065413,0.8277447,0.9624227,0.134678
102,-0.32724452,-0.39041036,"('eminent', 'low')",-0.16702682,-0.39734355,-0.82687676,-0.7863803,-0.74380934,-0.39095587,-0.52090275,-0.4365393,-0.5171721,-0.4803259,0.0368462
57,-0.28774124,-0.4549393,"('able', 'unable')",0.37963194,0.24697638,-0.510678,-0.62465215,0.8301182,0.5186677,-1.1044681,-1.1058309,-0.1386274,-0.2839557,-0.1453283
45,0.2824093,0.064097464,"('cooperative', 'exploitative')",0.23082179,-0.03409016,-1.0465024,-0.55850214,0.9036925,0.74654734,-1.223157,-1.2391102,-0.1705472,-0.2042115,-0.0336643
26,-0.28096497,-0.13428642,"('trustworthy', 'untrustworthy')",-0.018105805,-0.078443706,-0.60796463,-0.28192547,0.3338913,0.23035124,-0.40734404,-0.4692056,-0.1960976,-0.146702,0.0493956
22,0.27935207,0.3613324,"('welcoming', 'disagreeable')",0.038684845,0.15846825,0.34340322,0.24295357,1.3707452,1.3047321,0.03783846,-0.05603707,0.4140048,0.4022899,-0.0117149
14,0.27102715,0.17932907,"('supportive', 'unsupportive')",1.0383558,0.95381886,0.14438838,-0.18233386,0.24531451,0.17630516,-0.35793585,-0.48046756,0.26823,0.1293303,-0.1388997
44,-0.246391,-0.4257824,"('truthful', 'untruthful')",-0.12342109,-0.31923357,-1.2590876,-1.5463755,-0.92189413,-0.7017917,0.00973222,-0.072593406,-0.5082123,-0.6131553,-0.104943
16,0.24152851,0.11612424,"('social', 'antisocial')",0.3824269,0.6116088,-0.9915952,-0.34413218,-0.3201306,-0.18312263,0.24849847,0.17003132,-0.0878544,0.0741019,0.1619563
91,-0.22318715,-0.16005275,"('resilient', 'nonresilient')",0.5080771,0.5576559,0.06699127,0.09774216,0.76303804,0.7495027,-0.40848306,-0.5148659,0.1412872,0.1459964,0.0047092
89,0.20954457,0.15701626,"('daring', 'anxious')",-0.8747365,-0.8151448,-0.3746311,-0.06681462,0.45120087,0.4846892,0.41691953,0.27376622,-0.0343405,0.0067025,0.041043
96,-0.20619811,-0.34062195,"('powerful', 'powerless')",1.9636645,1.9360857,-0.115400866,-0.22077116,0.30981207,0.47216156,-0.34392625,-0.38948202,0.3215903,0.2914744,-0.0301159
37,0.20006478,0.20733932,"('good', 'evil')",0.07831633,-0.064050555,1.9127091,1.2868836,1.4969456,1.1168503,0.086292505,0.08880693,0.7548656,0.5271659,-0.2276997
66,-0.18353301,-0.059454143,"('imaginative', 'unimaginative')",1.7447815,1.9615765,1.8207748,1.8059678,0.3927365,0.40997532,0.7271618,0.5852603,0.9003843,0.9406651,0.0402808
56,-0.18212678,-0.13165635,"('intelligent', 'dumb')",0.76069665,0.8657912,1.1352553,1.4272747,1.0858215,1.1805977,0.09510825,-0.2200465,0.578951,0.6243921,0.0454411
78,0.15421727,-0.061688572,"('active', 'inactive')",0.9306501,0.6888624,1.5083488,0.9518,1.5227516,1.338849,0.48622227,0.29968497,0.920438,0.6435016,-0.2769364
60,-0.14943379,0.04435569,"('educated', 'uneducated')",-1.3512951,-1.1294242,-0.34664935,0.37572464,0.48514122,0.9348066,0.73795444,0.8055401,-0.1248565,0.2062006,0.3310571
76,-0.13871631,-0.23349622,"('secure', 'insecure')",0.07124257,0.43655747,-0.994956,-0.3542797,0.33277562,0.3836303,1.2701898,1.40996,0.1081071,0.3284744,0.2203673
35,-0.11002408,-0.068955615,"('fair', 'unfair')",-0.09260261,-0.09437056,0.38774085,0.28611726,0.7562683,0.7189814,0.18207012,0.2886328,0.2246905,0.226081,0.0013905
23,-0.05135864,0.030045807,"('hospitable', 'inhospitable')",-0.058319896,-0.25578153,0.84663177,0.32167703,1.3931539,1.2478776,-0.48833227,-0.5055125,0.328355,0.1676613,-0.1606937
2,-0.048081845,-0.06478447,"('friendly', 'unfriendly')",0.20569074,0.5273682,-1.251029,-0.3583954,0.4730323,0.65106153,0.5498252,0.42012024,-0.0141125,0.235074,0.2491865
106,0.04163587,0.07065573,"('conventional', 'unconventional')",0.789896,1.0880945,-0.46172574,-0.50203127,-0.030941807,-0.03838946,-0.18496102,-0.20776188,0.0307807,0.0821135,0.0513328
52,0.02559179,0.11573458,"('competitive', 'uncompetitive')",-0.0034922361,0.08378959,-0.71016836,-0.12134333,-0.33204222,-0.20344049,0.40245855,0.34036416,-0.1235305,0.0430209,0.1665514
17,0.02482602,0.18247682,"('social', 'antisocial')",0.33525267,0.45708948,-0.58093274,-0.057875037,-0.34669492,-0.22041467,-0.2763907,-0.14043814,-0.1687879,0.0441677,0.2129556
