,Charter_male,Charter_female,tuple,Communications_male,Communications_female,average_male,average_female,female-male
97,-0.34608614,-0.27893993,"('superior', 'inferior')",-0.6385864,-0.5856215,-0.4923363,-0.4322807,0.0600556
77,-0.29067254,-0.12461202,"('active', 'inactive')",0.3083185,0.16482729,0.008823,0.0201076,0.0112846
93,0.269941,0.27159828,"('dominating', 'dominated')",0.5107739,0.5290842,0.3903574,0.4003412,0.0099838
106,-0.25845551,-0.13864875,"('conventional', 'unconventional')",-0.33306798,-0.13176449,-0.2957618,-0.1352066,0.1605552
37,0.25440073,0.5119165,"('good', 'evil')",0.3890042,0.45314717,0.3217025,0.4825318,0.1608293
7,-0.2248444,-0.25078964,"('outgoing', 'distant')",-0.5713444,-0.7206477,-0.3980944,-0.4857187,-0.0876243
30,0.21867377,0.037932336,"('honest', 'dishonest')",-0.51318127,-0.5060903,-0.1472538,-0.234079,-0.0868252
83,-0.2177006,-0.3693382,"('energetic', 'lethargic')",0.0517475,-0.09182781,-0.0829765,-0.230583,-0.1476065
23,0.21182823,0.19078696,"('hospitable', 'inhospitable')",0.5680157,0.43170613,0.389922,0.3112465,-0.0786755
59,0.20118812,0.4206781,"('skillful', 'clumsy')",-0.13798517,0.04346302,0.0316015,0.2320706,0.2004691
29,-0.19487429,-0.30094248,"('honest', 'immoral')",-0.82209826,-0.8537328,-0.5084863,-0.5773376,-0.0688513
43,-0.19082102,-0.11891255,"('genuine', 'fake')",-0.2532003,-0.31544232,-0.2220107,-0.2171774,0.0048333
41,0.18401134,0.696021,"('incorrupt', 'corrupt')",0.8610281,1.0849308,0.5225197,0.8904759,0.3679562
81,0.1722103,0.32555497,"('industrious', 'lazy')",0.2963101,0.29303324,0.2342602,0.3092941,0.0750339
89,0.16035426,-0.07331312,"('daring', 'anxious')",-0.0545955,-0.17616019,0.0528794,-0.1247367,-0.1776161
64,-0.15991974,-0.3965037,"('clever', 'incompetent')",-0.009638131,0.1333338,-0.0847789,-0.1315849,-0.046806
5,-0.15848559,-0.36847308,"('pleasant', 'repellent')",0.16271476,-0.025676444,0.0021146,-0.1970748,-0.1991894
44,-0.12509908,-0.25105497,"('truthful', 'untruthful')",-1.2006232,-1.2226119,-0.6628611,-0.7368335,-0.0739724
82,0.1216836,0.28618294,"('industrious', 'meek')",0.42035815,0.5404886,0.2710209,0.4133358,0.1423149
35,0.114090204,0.26871216,"('fair', 'unfair')",0.33395502,0.44077057,0.2240226,0.3547414,0.1307188
22,0.11268614,0.20443508,"('welcoming', 'disagreeable')",0.438806,0.5896688,0.2757461,0.3970519,0.1213058
65,-0.10277474,-0.63092864,"('practical', 'impractical')",-0.9902092,-1.2971946,-0.546492,-0.9640616,-0.4175696
57,0.084698856,-0.18160291,"('able', 'unable')",0.014597118,-0.100540996,0.049648,-0.1410719,-0.1907199
20,0.07352996,0.19086751,"('popular', 'unpopular')",-0.18222086,-0.004488915,-0.0543455,0.0931893,0.1475348
110,0.07175109,0.067520425,"('narrow-minded', 'open-minded')",0.31180948,0.27271402,0.1917803,0.1701172,-0.0216631
74,-0.06721559,-0.25734574,"('insightful', 'unperceptive')",-0.78563845,-0.94884783,-0.426427,-0.6030968,-0.1766698
25,0.05644367,-0.41397595,"('moral', 'immoral')",-0.44200474,-0.45512724,-0.1927805,-0.4345516,-0.2417711
0,0.048684955,0.037526965,"('sociable', 'unsociable')",0.08451989,0.2641642,0.0666024,0.1508456,0.0842432
12,-0.0437057,-0.15967286,"('sympathetic', 'unsympathetic')",-0.19428611,-0.32712182,-0.1189959,-0.2433973,-0.1244014
26,0.033015788,0.03364089,"('trustworthy', 'untrustworthy')",-0.27416146,-0.27449903,-0.1205728,-0.1204291,0.0001437
55,-0.0027959943,-0.065873295,"('intelligent', 'unintelligent')",-0.3020742,-0.08944772,-0.1524351,-0.0776605,0.0747746
