,Huntington_male,Huntington_female,tuple,Ingalls_male,Ingalls_female,Industries_male,Industries_female,average_male,average_female,female-male
56,1.7704135,1.95838,"('intelligent', 'dumb')",-0.016133264,-0.032662973,0.5888846,0.59614944,0.781055,0.8406221,0.0595671
105,-1.755683,-1.8688898,"('conventional', 'modern')",-1.0386741,-0.96034867,-0.05533836,0.010050893,-0.9498985,-0.9397292,0.0101693
62,-1.6367922,-1.6420465,"('creative', 'uncreative')",0.0013757497,0.16230276,-0.8645601,-0.8346119,-0.8333255,-0.7714519,0.0618736
10,-1.6192608,-1.4784925,"('affectionate', 'unaffectionate')",-1.617974,-1.4395745,-0.65659845,-0.48965618,-1.2979444,-1.1359077,0.1620367
93,1.5972614,1.6252065,"('dominating', 'dominated')",0.74174786,0.79399,-0.176082,-0.24158423,0.7209758,0.7258708,0.004895
16,1.5525615,1.4380944,"('social', 'antisocial')",1.387587,1.3054967,-0.89125395,-0.8695431,0.6829648,0.6246827,-0.0582821
94,1.5359553,1.3129914,"('aggressive', 'submissive')",2.1968682,2.0873458,-0.6474413,-0.558233,1.0284607,0.9473681,-0.0810926
66,1.5041093,1.4386423,"('imaginative', 'unimaginative')",0.5816314,0.73955667,0.8740356,0.94887614,0.9865921,1.0423583,0.0557662
109,1.5011437,1.3118712,"('conservative', 'liberal')",2.6298633,2.4987583,1.0978332,1.0623202,1.7429468,1.6243165,-0.1186303
108,1.5011437,1.3118712,"('conservative', 'liberal')",2.6298633,2.4987583,1.0978332,1.0623202,1.7429468,1.6243165,-0.1186303
104,-1.4439721,-1.1331227,"('conventional', 'unconventional')",-1.5920676,-1.4548607,-0.51838446,-0.11572916,-1.1848081,-0.9012375,0.2835706
107,1.3143184,1.369866,"('conventional', 'modern')",1.0836217,1.2266171,0.65144384,0.73251873,1.0164614,1.1096673,0.0932059
76,1.2963161,1.2049915,"('secure', 'insecure')",1.6681137,1.7755538,0.55031323,0.34369132,1.171581,1.1080789,-0.0635021
71,1.2737483,0.77312696,"('efficient', 'inefficient')",2.2923124,2.1706078,-1.2974857,-1.4408964,0.7561916,0.5009461,-0.2552455
65,1.2643682,0.9393509,"('practical', 'impractical')",0.43975556,0.37271184,-2.0819013,-2.088668,-0.1259259,-0.2588685,-0.1329426
9,-1.1250646,-1.2500577,"('sensitive', 'insensitive')",0.8043721,0.83701956,-1.0515615,-1.187205,-0.457418,-0.5334144,-0.0759964
28,-1.1104507,-1.0388919,"('honest', 'dishonest')",0.46911585,0.5543568,-1.325875,-1.3901795,-0.6557366,-0.6249049,0.0308317
52,1.0930902,0.97311544,"('competitive', 'uncompetitive')",1.0386224,1.1083304,-0.9349282,-0.7886499,0.3989281,0.4309319,0.0320038
84,-1.0762684,-1.1352613,"('self-confident', 'diffident')",-1.0545598,-1.1537021,0.09464367,0.038878262,-0.6787283,-0.7500284,-0.0713001
89,0.96581095,0.84026253,"('daring', 'anxious')",1.1730326,1.2184517,-0.19368844,-0.3065796,0.648385,0.5840449,-0.0643401
31,-0.9434961,-0.8538432,"('altruistic', 'egoistic')",-1.4817464,-1.5141948,-0.3285761,-0.18031588,-0.9179395,-0.8494514,0.0684881
24,-0.9287782,-0.95789564,"('thoughtful', 'rough')",-0.13948368,-0.08417992,-0.4619283,-0.5629409,-0.5100634,-0.5350055,-0.0249421
8,-0.9253702,-0.65776944,"('open', 'distant')",-1.6498245,-1.6921649,0.96041614,0.94498664,-0.5382596,-0.4683159,0.0699437
47,-0.9233171,-0.9909935,"('forgiving', 'unforgiving')",0.007753402,0.11116481,-0.3370908,-0.0126862265,-0.4175515,-0.297505,0.1200465
42,-0.88436747,-0.5543301,"('amicable', 'hostile')",-1.2012938,-1.0781965,0.84750926,1.166899,-0.4127174,-0.1552092,0.2575082
20,-0.88340896,-0.86651903,"('popular', 'unpopular')",-0.20018232,-0.30800828,-0.73114204,-0.18789211,-0.6049111,-0.4541398,0.1507713
78,0.85362506,0.6040614,"('active', 'inactive')",0.47072282,0.25460726,1.6679761,1.4239768,0.9974413,0.7608818,-0.2365595
25,0.8349102,0.5933953,"('moral', 'immoral')",2.5114813,2.351527,-0.72002727,-0.68102133,0.8754547,0.7546336,-0.1208211
63,-0.8274722,-0.81258535,"('capable', 'incapable')",-0.69391227,-0.6151356,-0.23824418,-0.27044034,-0.5865429,-0.5660538,0.0204891
59,0.82444865,0.9660255,"('skillful', 'clumsy')",-0.5388606,-0.32725927,-0.47754994,-0.18815401,-0.0639873,0.1502041,0.2141914
90,0.8243609,0.5320646,"('motivated', 'unmotivated')",1.9208821,1.8000916,1.4812958,1.224264,1.4088462,1.1854734,-0.2233728
96,0.7861867,0.6293732,"('powerful', 'powerless')",0.14993636,-0.0070880353,-0.4062827,-0.31003895,0.1766135,0.1040821,-0.0725314
60,0.78047496,1.0460845,"('educated', 'uneducated')",1.9674488,1.9090269,-0.5713663,-0.08983433,0.7255192,0.9550924,0.2295732
39,-0.7626239,-0.61218107,"('right', 'wrong')",-0.8957708,-0.7485626,0.1467777,0.41028675,-0.5038723,-0.316819,0.1870533
79,0.7297168,0.6580568,"('determined', 'doubtful')",0.67764395,0.5916629,-0.066639334,-0.0014395118,0.4469072,0.4160933,-0.0308139
18,0.7041492,0.81512606,"('social', 'asocial')",1.0201093,1.1837058,-0.3149988,-0.47563744,0.4697532,0.5077315,0.0379783
34,-0.7011895,-0.55182457,"('loyal', 'disloyal')",0.34674984,0.4991808,-1.4613776,-1.2748494,-0.6052725,-0.4424977,0.1627748
22,-0.6942721,-0.54734063,"('welcoming', 'disagreeable')",0.7126884,0.79252917,1.0259509,1.1422787,0.3481224,0.462489,0.1143666
23,-0.68363255,-0.67477566,"('hospitable', 'inhospitable')",-0.13635665,-0.25976402,1.1481532,1.1584556,0.109388,0.0746386,-0.0347494
14,0.6566616,0.5003284,"('supportive', 'unsupportive')",0.9860498,1.0805478,0.10205868,0.12419796,0.58159,0.5683581,-0.0132319
54,0.6489087,0.36420974,"('smart', 'stupid')",0.40528387,0.040122226,-0.22168295,-0.1659868,0.2775032,0.0794484,-0.1980548
72,-0.62550414,-0.44994277,"('logical', 'illogical')",0.21173045,0.22389452,-0.6204004,-0.19337752,-0.3447247,-0.1398086,0.2049161
17,0.624802,0.6892597,"('social', 'antisocial')",-0.17134184,-0.08205575,-1.2292439,-0.9359433,-0.2585946,-0.1095798,0.1490148
30,0.6209548,0.5182948,"('honest', 'dishonest')",0.24176693,0.23873258,-0.90294576,-0.82668793,-0.013408,-0.0232202,-0.0098122
64,0.5935169,0.34520155,"('clever', 'incompetent')",1.0414902,1.0240119,-0.81846863,-0.7613552,0.2721795,0.2026194,-0.0695601
68,-0.5906025,-0.84525037,"('clever', 'inept')",-1.2338355,-1.2619398,-0.95809555,-1.0989124,-0.9275112,-1.0687008,-0.1411896
2,0.52606153,0.36771154,"('friendly', 'unfriendly')",2.0881631,2.0923884,-0.52847886,-0.48660094,0.6952486,0.657833,-0.0374156
55,-0.5145432,-0.65277404,"('intelligent', 'unintelligent')",1.3352559,1.3695183,-0.71839297,-0.46990395,0.0341066,0.0822801,0.0481735
101,-0.49952266,-0.6984797,"('successful', 'unsuccessful')",-0.4079585,-0.5495256,-2.0965204,-1.8320664,-1.0013339,-1.0266906,-0.0253567
92,-0.49528003,-0.2945902,"('unwavering', 'wavering')",-1.6173186,-1.5025227,0.14390731,0.28245085,-0.6562304,-0.5048873,0.1513431
103,0.47363937,0.38626242,"('traditional', 'modern')",0.50708276,0.46992654,1.3096968,1.5146306,0.763473,0.7902732,0.0268002
73,0.46954405,0.108363956,"('brilliant', 'incompetent')",1.3505049,1.2322775,-1.4745528,-1.5318446,0.1151654,-0.0637344,-0.1788998
51,0.4469002,0.33164895,"('competent', 'incompetent')",0.28660488,0.34234297,-0.8661257,-0.7777065,-0.0442069,-0.0345715,0.0096354
12,-0.44411588,-0.5419346,"('sympathetic', 'unsympathetic')",2.016758,2.0723715,-1.174154,-1.2030296,0.1328293,0.1091357,-0.0236936
38,-0.44147998,-0.32109383,"('kind', 'unkind')",0.14221987,0.37191826,-2.2023685,-1.762721,-0.8338762,-0.5706322,0.263244
61,-0.440875,-0.06692982,"('rational', 'irrational')",0.25281608,0.27606976,0.5371382,0.8631108,0.1163598,0.3574169,0.2410571
29,0.42435974,0.33479214,"('honest', 'immoral')",0.7738649,0.7743399,-0.554641,-0.5835709,0.2145279,0.1751871,-0.0393408
81,0.41053796,0.4813344,"('industrious', 'lazy')",-1.7995577,-1.9830616,0.61784387,0.666038,-0.2570586,-0.278563,-0.0215044
5,0.40278274,0.2811343,"('pleasant', 'repellent')",1.7508155,1.780353,-0.053643815,-0.18354139,0.6999849,0.6259819,-0.074003
41,-0.38414633,0.026299953,"('incorrupt', 'corrupt')",-1.8469685,-1.7065363,1.2936033,1.5560434,-0.3125039,-0.0413977,0.2711062
0,0.36554563,0.4810468,"('sociable', 'unsociable')",0.95816064,0.97387135,-0.67727435,-0.38381505,0.2154773,0.3570344,0.1415571
67,-0.36305228,-0.3434301,"('discriminating', 'undiscriminating')",-0.219349,-0.27928984,-1.1599871,-1.0052924,-0.5807961,-0.5426708,0.0381253
4,-0.35401976,-0.46804965,"('likable', 'unlikable')",-0.1450895,-0.23433656,-0.6075755,-0.51352745,-0.3688949,-0.4053046,-0.0364097
87,-0.3518247,-0.38321,"('dedicated', 'undedicated')",0.2555332,0.26360804,-1.3518368,-1.1681541,-0.4827094,-0.429252,0.0534574
80,0.3432611,0.35411114,"('independent', 'dependent')",0.87480855,0.7744052,1.2029655,1.2265767,0.8070118,0.785031,-0.0219808
74,-0.33489358,-0.38372827,"('insightful', 'unperceptive')",0.8932674,0.93366903,-1.1392156,-1.0978262,-0.1936139,-0.1826285,0.0109854
35,0.29519403,0.37286758,"('fair', 'unfair')",-0.1663562,-0.009270206,1.362152,1.4033424,0.4969966,0.5889799,0.0919833
106,0.27811217,0.3323878,"('conventional', 'unconventional')",-0.14200614,-0.23369206,-0.30726954,-0.22972384,-0.0570545,-0.043676,0.0133785
36,-0.26874208,-0.23028907,"('tolerant', 'intolerant')",0.9833244,0.9922712,-1.6477032,-1.6476488,-0.3110403,-0.2952222,0.0158181
44,-0.2662833,-0.29070637,"('truthful', 'untruthful')",0.12998165,0.16596638,-0.9586052,-0.9283687,-0.3649689,-0.3510362,0.0139327
26,0.2628521,0.36555076,"('trustworthy', 'untrustworthy')",0.70344794,0.86836547,1.5367117,1.2633225,0.8343372,0.8324129,-0.0019243
46,-0.24481982,0.05854869,"('generous', 'stingy')",0.28930515,0.5052769,2.0119221,2.1115098,0.6854692,0.8917785,0.2063093
7,-0.24306059,-0.08469927,"('outgoing', 'distant')",-1.3242242,-1.4487257,1.3329443,1.1758041,-0.0781135,-0.1192069,-0.0410934
83,0.22764388,0.2894784,"('energetic', 'lethargic')",0.60292125,0.7026112,-0.36365747,-0.42694953,0.1556359,0.18838,0.0327441
110,0.22541517,0.13190754,"('narrow-minded', 'open-minded')",-1.0613184,-1.0259743,0.16329029,0.0330846,-0.2242043,-0.2869941,-0.0627898
19,0.2240361,0.3305807,"('funny', 'boring')",-1.1839211,-1.1243901,-0.1013006,0.08245766,-0.3537285,-0.2371173,0.1166112
58,-0.22264034,-0.027196586,"('able', 'clumsy')",0.53525794,0.7250111,-1.7971747,-1.6473671,-0.4948524,-0.3165175,0.1783349
91,0.18987715,-0.01635883,"('resilient', 'nonresilient')",-0.5432016,-0.5651189,0.110311896,0.08934936,-0.0810042,-0.1640428,-0.0830386
45,-0.14756842,-0.35441852,"('cooperative', 'exploitative')",0.5244948,0.42953598,0.5912817,0.2693385,0.322736,0.1148187,-0.2079173
70,-0.14178738,0.030778661,"('wise', 'unwise')",0.48889536,0.7260624,0.6337862,0.7821122,0.3269647,0.5129844,0.1860197
13,-0.13522393,-0.29645753,"('helpful', 'unhelpful')",1.0588446,1.1582985,-3.0136943,-3.036629,-0.6966912,-0.7249293,-0.0282381
88,-0.13016099,-0.15477347,"('impulsive', 'meek')",-0.8928572,-0.8495531,1.0268459,0.9599415,0.0012759,-0.014795,-0.0160709
21,0.119407535,-0.006158948,"('nice', 'nasty')",0.5391675,0.39728218,1.117293,0.8667153,0.591956,0.4192795,-0.1726765
102,-0.11044848,-0.1352033,"('eminent', 'low')",0.45305076,0.35674423,-2.149385,-1.7078035,-0.6022609,-0.4954209,0.10684
82,0.09741545,0.08646369,"('industrious', 'meek')",-1.362436,-1.5322325,-0.67390954,-0.49639627,-0.6463101,-0.6473884,-0.0010783
43,0.095593244,0.08978322,"('genuine', 'fake')",0.1274566,0.14396594,-0.953267,-0.9596858,-0.2434057,-0.2419789,0.0014268
69,-0.08708513,0.21587586,"('wise', 'foolish')",-0.7926897,-0.6681191,0.038376376,0.14034276,-0.2804661,-0.1039668,0.1764993
85,-0.08651096,-0.26311123,"('ambitious', 'unambitious')",1.3123946,1.377315,-0.9171675,-0.96541893,0.1029054,0.049595,-0.0533104
37,-0.072026014,0.06605017,"('good', 'evil')",-0.7883852,-0.83153677,1.7805061,1.8664982,0.3066983,0.3670039,0.0603056
77,0.070982695,0.2708534,"('active', 'inactive')",-0.63385004,-0.82119954,-0.0065146238,0.18430719,-0.189794,-0.122013,0.067781
97,-0.057372034,0.076438725,"('superior', 'inferior')",-0.18700549,-0.26973283,0.026606798,0.11813608,-0.0725902,-0.0250527,0.0475375
100,-0.045718133,0.16004784,"('influential', 'uninfluential')",1.2776265,1.4749106,-1.3240211,-0.8147355,-0.0307043,0.2734077,0.304112
57,-0.034574613,-0.15697937,"('able', 'unable')",0.483971,0.3763893,0.2744552,-0.05615598,0.2412839,0.054418,-0.1868659
49,-0.003014207,-0.19087672,"('responsible', 'irresponsible')",0.81678855,0.8705867,-1.1303648,-1.4164565,-0.1055301,-0.2455822,-0.1400521
