,Thermo_male,Thermo_female,tuple,Fisher_male,Fisher_female,Scientific_male,Scientific_female,average_male,average_female,female-male
33,-0.9155985,-0.7314341,"('softhearted', 'hardhearted')",-1.2377542,-0.8615365,-0.8007975,-0.81822646,-0.9847167,-0.8037324,0.1809843
50,0.8569309,0.61498654,"('unprejudiced', 'prejudiced')",1.7999277,1.5827733,1.6253083,1.5424886,1.427389,1.2467495,-0.1806395
106,-0.85151947,-0.6443715,"('conventional', 'unconventional')",-0.66970396,-0.46839553,-0.70317566,-0.5147182,-0.7414664,-0.5424951,0.1989713
66,0.8508942,0.77367103,"('imaginative', 'unimaginative')",2.529664,2.3674197,2.2079859,2.2185245,1.862848,1.7865384,-0.0763096
15,0.78697836,0.5858804,"('polite', 'impolite')",1.5222428,1.428759,0.45915493,0.48437876,0.922792,0.8330061,-0.0897859
85,-0.7632657,-0.7283005,"('ambitious', 'unambitious')",0.2015211,0.32855904,-0.48537886,-0.53775585,-0.3490411,-0.3124991,0.036542
104,-0.76153535,-0.47460237,"('conventional', 'unconventional')",-2.196569,-1.8946114,-1.3991207,-1.170934,-1.4524083,-1.1800493,0.272359
21,0.75882673,0.63375694,"('nice', 'nasty')",0.27096188,0.10065246,0.48980367,0.5015655,0.5065308,0.4119916,-0.0945392
47,-0.73743975,-0.5650837,"('forgiving', 'unforgiving')",-1.4236332,-1.4358876,-0.77751964,-0.6530022,-0.9795309,-0.8846579,0.094873
103,0.71140873,0.78974396,"('traditional', 'modern')",0.088601045,-0.02714677,0.8020975,0.869279,0.5340358,0.5439587,0.0099229
91,0.71048975,0.73072374,"('resilient', 'nonresilient')",0.11096021,-0.037948698,0.115449786,0.08997902,0.3122999,0.260918,-0.0513819
79,-0.70054877,-0.61851746,"('determined', 'doubtful')",0.42065784,0.3542903,0.35881984,0.34616432,0.0263096,0.0273124,0.0010028
105,-0.6956098,-0.317386,"('conventional', 'modern')",-1.6219476,-1.4294137,-1.3611476,-1.2549803,-1.226235,-1.0005933,0.2256417
24,-0.6815649,-0.44014156,"('thoughtful', 'rough')",-1.0328236,-1.0793576,-1.4462328,-1.4810643,-1.0535404,-1.0001879,0.0533525
48,0.66235256,0.6238488,"('reliable', 'unreliable')",2.854956,2.5266643,2.4686065,2.4081821,1.9953051,1.8528984,-0.1424067
90,0.6595882,0.5355288,"('motivated', 'unmotivated')",0.82046604,0.46898004,1.0191661,0.83857363,0.8330735,0.6143608,-0.2187127
36,-0.63563544,-0.73180735,"('tolerant', 'intolerant')",-0.3603035,-0.38245034,-0.9450152,-0.93718517,-0.6469847,-0.6838143,-0.0368296
3,0.6257528,0.4127515,"('likable', 'unlikable')",1.8370256,1.373886,2.1697807,2.2767007,1.5441864,1.3544461,-0.1897403
26,-0.5980505,-0.4846554,"('trustworthy', 'untrustworthy')",0.69621164,0.5838799,0.28490007,0.24815819,0.1276871,0.1157942,-0.0118929
64,-0.5751402,-0.64268553,"('clever', 'incompetent')",0.08640346,-0.087697774,-1.1299888,-1.219526,-0.5395752,-0.6499698,-0.1103946
38,-0.54719234,-0.35712913,"('kind', 'unkind')",-0.6251075,-0.44055113,-2.018517,-1.8335003,-1.0636056,-0.8770602,0.1865454
1,-0.52667445,-0.21344852,"('friendly', 'unfriendly')",-1.9823232,-1.876559,-1.8544742,-1.6762197,-1.4544907,-1.2554091,0.1990816
12,0.51776695,0.5378103,"('sympathetic', 'unsympathetic')",-0.66897154,-0.9346909,-0.57230604,-0.71394926,-0.2411702,-0.3702766,-0.1291064
31,-0.4958453,-0.30423403,"('altruistic', 'egoistic')",-1.0891814,-0.9555216,-1.0392773,-0.90740466,-0.874768,-0.7223868,0.1523812
5,0.49098575,0.47033837,"('pleasant', 'repellent')",0.6533275,0.593298,0.23493606,0.21365774,0.4597498,0.4257647,-0.0339851
73,-0.4871555,-0.818643,"('brilliant', 'incompetent')",-0.32970303,-0.6265578,-0.68968165,-0.93666744,-0.5021801,-0.7939561,-0.291776
107,0.48429975,0.79385626,"('conventional', 'modern')",1.147788,1.2595872,0.6228867,0.7770263,0.7516582,0.9434899,0.1918317
68,-0.47980717,-0.62252957,"('clever', 'inept')",-1.2666054,-1.5360821,-0.57662463,-0.6663394,-0.7743457,-0.9416504,-0.1673047
39,-0.46091086,-0.29118764,"('right', 'wrong')",-0.71672493,-0.57979256,-0.19873777,0.06114319,-0.4587912,-0.2699457,0.1888455
28,-0.447422,-0.32866353,"('honest', 'dishonest')",-1.5246669,-1.5165995,-1.52672,-1.6052997,-1.1662696,-1.1501876,0.016082
72,-0.44729775,-0.38426557,"('logical', 'illogical')",-0.8117001,-0.49725413,-1.1098619,-0.9652685,-0.7896199,-0.6155961,0.1740238
7,0.4344514,0.6121588,"('outgoing', 'distant')",0.27878946,0.3270946,0.7098845,0.4743987,0.4743751,0.4712174,-0.0031577
25,-0.42207944,-0.3606284,"('moral', 'immoral')",0.80319893,0.55783474,-0.5028913,-0.43019468,-0.0405906,-0.0776628,-0.0370722
58,-0.41198987,-0.38993698,"('able', 'clumsy')",-1.5453027,-1.387141,-1.2670369,-1.171504,-1.0747765,-0.9828606,0.0919159
44,0.38928604,0.32239306,"('truthful', 'untruthful')",-0.62551343,-0.7513974,-1.0747129,-1.0179375,-0.4369801,-0.482314,-0.0453339
60,0.37982678,0.54750645,"('educated', 'uneducated')",1.1116583,1.3008553,-0.34180945,-0.11554295,0.3832252,0.5776063,0.1943811
59,0.37493706,0.45904192,"('skillful', 'clumsy')",0.23907417,0.39674336,-0.029368237,0.19559093,0.194881,0.3504587,0.1555777
74,-0.3627688,-0.44337305,"('insightful', 'unperceptive')",0.035280704,-0.009874657,-0.5699662,-0.6299212,-0.2991514,-0.3610563,-0.0619049
41,-0.36065617,-0.1357204,"('incorrupt', 'corrupt')",-0.26593167,-0.08914578,0.83222264,0.9391598,0.0685449,0.2380979,0.169553
87,-0.35869712,-0.3118676,"('dedicated', 'undedicated')",-0.42724574,-0.35770926,-0.5861825,-0.46269697,-0.4573751,-0.3774246,0.0799505
43,-0.35274708,-0.292906,"('genuine', 'fake')",-0.7341918,-0.8011277,-0.3946058,-0.42660213,-0.4938482,-0.5068786,-0.0130304
42,0.34815472,0.84276795,"('amicable', 'hostile')",-0.35039455,-0.21143246,0.53924054,0.82451653,0.1790002,0.485284,0.3062838
76,0.33865747,0.21795811,"('secure', 'insecure')",0.66851646,0.43509185,-0.158714,-0.33971533,0.28282,0.1044449,-0.1783751
94,0.33589876,0.028714702,"('aggressive', 'submissive')",1.7981222,1.6237712,0.40756825,0.4054209,0.8471963,0.6859689,-0.1612274
99,-0.33299246,-0.036078833,"('prestigious', 'insignificant')",-0.9213428,-0.75347054,-1.0351459,-0.74653167,-0.7631604,-0.512027,0.2511334
57,0.31883556,0.032803692,"('able', 'unable')",0.32916665,0.11154521,0.013130538,-0.19433075,0.2203776,-0.0166606,-0.2370382
65,-0.315252,-0.4740594,"('practical', 'impractical')",0.11899943,-0.1775546,-0.9514797,-0.9828658,-0.3825774,-0.5448266,-0.1622492
37,0.31437635,0.48931003,"('good', 'evil')",1.1080825,1.174581,1.4354002,1.4354931,0.9526197,1.0331281,0.0805084
102,0.30219805,0.24932654,"('eminent', 'low')",0.5926908,0.56104374,-0.82282543,-0.676357,0.0240211,0.0446711,0.02065
18,-0.29391605,-0.25819954,"('social', 'asocial')",-0.18443246,-0.060260665,-0.9313136,-0.7904736,-0.4698873,-0.3696446,0.1002427
100,0.2752794,0.5383601,"('influential', 'uninfluential')",-0.06926569,0.2932501,-0.49638632,-0.4209628,-0.0967909,0.1368825,0.2336734
93,0.25682718,0.1465514,"('dominating', 'dominated')",0.19570562,0.049073637,0.47572088,0.36274636,0.3094179,0.1861238,-0.1232941
49,-0.2503233,-0.41973132,"('responsible', 'irresponsible')",-0.8895949,-0.9390754,-1.3759395,-1.6270442,-0.8386192,-0.9952836,-0.1566644
30,0.22540602,0.23598048,"('honest', 'dishonest')",-0.27337676,-0.45872647,-0.16211176,-0.21854892,-0.0700275,-0.1470983,-0.0770708
35,-0.2252459,0.08456373,"('fair', 'unfair')",0.40921277,0.57955426,0.5928141,0.6849288,0.258927,0.4496822,0.1907552
69,-0.21940586,-0.004296709,"('wise', 'foolish')",-0.42589965,-0.2765828,-0.18265755,-0.03898587,-0.2759877,-0.1066218,0.1693659
110,-0.2100625,-0.2076958,"('narrow-minded', 'open-minded')",-0.67091477,-0.6749915,0.21147725,0.27697194,-0.2231667,-0.2019051,0.0212616
81,-0.20629793,-0.21954386,"('industrious', 'lazy')",0.6839255,0.6297213,1.2033322,1.1682866,0.5603199,0.5261547,-0.0341652
86,0.19865426,0.10259281,"('self-reliant', 'helpless')",2.998475,2.8260448,2.880121,2.9130735,2.0257502,1.947237,-0.0785132
34,-0.19739527,0.07958871,"('loyal', 'disloyal')",-1.6397152,-1.4478025,-2.0835698,-1.8048202,-1.3068934,-1.0576781,0.2492153
17,-0.19634843,-0.1051069,"('social', 'antisocial')",0.13239002,0.30018553,-0.35910112,-0.19722256,-0.1410198,-0.0007146,0.1403052
88,0.1795721,0.2107997,"('impulsive', 'meek')",1.1508805,1.1693052,1.030561,1.0836577,0.7870045,0.8212543,0.0342498
51,-0.17681456,-0.1744518,"('competent', 'incompetent')",-0.09529284,-0.18752241,-0.3656361,-0.43493998,-0.2125812,-0.2656381,-0.0530569
52,0.16729385,0.037757635,"('competitive', 'uncompetitive')",0.45898747,0.23234582,0.47147763,0.4609999,0.3659197,0.2437011,-0.1222186
29,-0.15807755,-0.22204524,"('honest', 'immoral')",-0.9260751,-1.1124731,-1.2461818,-1.3881183,-0.7767782,-0.9075456,-0.1307674
98,-0.1501046,-0.064655215,"('prestigious', 'insignificant')",-1.0673213,-0.93608594,-0.36697626,-0.300036,-0.5281341,-0.4335924,0.0945417
22,0.14553382,0.2663946,"('welcoming', 'disagreeable')",0.801306,0.92381465,0.5542456,0.63916963,0.5003618,0.6097929,0.1094311
10,0.1453393,0.36756775,"('affectionate', 'unaffectionate')",-1.6407343,-1.3944869,-1.0278463,-0.86669147,-0.8410805,-0.6312035,0.209877
19,-0.14396232,-0.10783461,"('funny', 'boring')",-0.08536488,-0.099915266,-0.27058923,-0.23096132,-0.1666388,-0.1462371,0.0204017
96,-0.14290577,-0.04142508,"('powerful', 'powerless')",0.18216921,0.21397462,0.08002907,0.13292187,0.0397642,0.1018238,0.0620596
0,-0.14213055,-0.06278231,"('sociable', 'unsociable')",-0.15292454,-0.078521505,-0.22116613,-0.20923722,-0.1720737,-0.116847,0.0552267
46,-0.12744093,0.22323936,"('generous', 'stingy')",1.3709095,1.5271292,1.5612121,1.5814481,0.9348935,1.1106056,0.1757121
84,0.12300489,0.08781973,"('self-confident', 'diffident')",-0.5899075,-0.6156306,-0.85620767,-0.9585518,-0.4410368,-0.4954542,-0.0544174
11,0.117781326,0.25436962,"('caring', 'unaffectionate')",-2.5289657,-2.413192,-1.7121277,-1.7167194,-1.3744373,-1.2918473,0.08259
16,-0.11331685,-0.14961374,"('social', 'antisocial')",0.73002565,0.6838661,-0.1638704,0.003782481,0.1509461,0.1793449,0.0283988
89,0.10932524,-0.27115703,"('daring', 'anxious')",0.7875329,0.59298146,-0.1070407,-0.21237098,0.2632725,0.0364845,-0.226788
62,0.10115163,0.17296275,"('creative', 'uncreative')",-0.848309,-0.80309546,-1.1034608,-1.1112088,-0.6168727,-0.5804472,0.0364255
101,-0.08509373,-0.29897067,"('successful', 'unsuccessful')",-0.16902924,-0.234578,-0.11238699,-0.21798798,-0.12217,-0.2505122,-0.1283422
61,0.08434647,0.3749666,"('rational', 'irrational')",-0.46802512,-0.21642964,0.046119757,0.34293085,-0.1125196,0.1671559,0.2796755
9,0.07476683,0.046348214,"('sensitive', 'insensitive')",-0.8984943,-1.063628,-0.42276293,-0.604234,-0.4154968,-0.5405046,-0.1250078
55,-0.0689998,-0.17950833,"('intelligent', 'unintelligent')",-0.08235532,-0.1344606,-1.179769,-1.3168113,-0.4437081,-0.5435934,-0.0998853
2,-0.067113735,-0.16737366,"('friendly', 'unfriendly')",-0.10665679,-0.360346,-0.43154633,-0.55202657,-0.2017723,-0.3599154,-0.1581431
80,-0.06494175,0.036551014,"('independent', 'dependent')",1.44524,1.4697132,0.47773087,0.46146372,0.619343,0.6559093,0.0365663
109,0.062380068,-0.034210883,"('conservative', 'liberal')",1.6145991,1.5159138,0.70935,0.6484447,0.7954431,0.7100492,-0.0853939
108,0.062380068,-0.034210883,"('conservative', 'liberal')",1.6145991,1.5159138,0.70935,0.6484447,0.7954431,0.7100492,-0.0853939
82,-0.059437037,-0.025685847,"('industrious', 'meek')",-0.1872564,-0.16754344,0.7426647,0.8400773,0.1653238,0.215616,0.0502922
8,-0.040008187,0.21473369,"('open', 'distant')",-0.31920943,-0.20247662,0.31651714,0.15404254,-0.0142335,0.0554332,0.0696667
63,0.02821891,0.11653169,"('capable', 'incapable')",-0.9091647,-0.94474506,-1.1902385,-1.1058794,-0.6903947,-0.6446976,0.0456971
71,-0.025865972,-0.50945705,"('efficient', 'inefficient')",0.85856426,0.51036143,-0.15398312,-0.47851372,0.2262384,-0.1592031,-0.3854415
83,0.02051562,-0.055874646,"('energetic', 'lethargic')",0.056135148,0.111637965,-0.09928158,-0.23838107,-0.0075436,-0.0608726,-0.053329
56,-0.018438116,-0.07606792,"('intelligent', 'dumb')",1.2971671,1.3545333,0.82500196,0.73937577,0.7012436,0.6726137,-0.0286299
13,0.009297803,-0.16986644,"('helpful', 'unhelpful')",-1.5068461,-1.6286911,-2.477356,-2.401779,-1.324968,-1.4001122,-0.0751442
45,-0.007965192,-0.31582683,"('cooperative', 'exploitative')",-0.9922036,-1.2628566,-0.39230174,-0.54688215,-0.4641569,-0.7085218,-0.2443649
54,-0.0054112226,-0.25396472,"('smart', 'stupid')",-0.042168334,-0.20468979,-0.09354778,-0.34053737,-0.0470424,-0.2663973,-0.2193549
20,0.0017630011,0.18305975,"('popular', 'unpopular')",0.31558105,0.34652078,-0.46037945,-0.20407489,-0.0476785,0.1085019,0.1561804
