,Church_male,Church_female,tuple,&_male,&_female,Dwight_male,Dwight_female,average_male,average_female,female-male
58,-1.2336066,-1.0757232,"('able', 'clumsy')",-1.5213186,-1.4960544,-1.7305923,-1.5454974,-1.4951725,-1.3724251,0.1227474
68,-1.1810181,-1.3193747,"('clever', 'inept')",-1.2612541,-1.2794638,-0.5658513,-0.7226486,-1.0027078,-1.1071623,-0.1044545
107,-1.1791291,-1.1991016,"('conventional', 'modern')",0.75842726,0.7066419,1.0875148,1.1492087,0.222271,0.2189163,-0.0033547
61,1.0835652,1.2279172,"('rational', 'irrational')",-0.11714852,-0.13652503,-0.42198277,-0.2991801,0.181478,0.2640707,0.0825927
100,-1.0785884,-0.73332345,"('influential', 'uninfluential')",-0.44486135,-0.20431024,-0.26723436,-0.0143452585,-0.5968947,-0.3173263,0.2795684
1,-1.0422571,-0.97825634,"('friendly', 'unfriendly')",-1.9249371,-2.0063403,-1.8010848,-1.7975738,-1.5894264,-1.5940568,-0.0046304
90,1.0197568,0.75319755,"('motivated', 'unmotivated')",0.99778837,0.8682364,1.1852152,0.9883363,1.0675868,0.8699234,-0.1976634
33,-0.98968995,-0.69587344,"('softhearted', 'hardhearted')",-0.9873034,-0.58702207,-1.9866114,-1.676868,-1.3212016,-0.9865878,0.3346138
26,-0.9872176,-1.1417266,"('trustworthy', 'untrustworthy')",-0.018105805,-0.078443706,0.42762524,0.44510734,-0.1925661,-0.2583543,-0.0657882
88,0.9869596,0.78497875,"('impulsive', 'meek')",0.98271424,0.5905908,1.1203965,0.92449534,1.0300234,0.7666883,-0.2633351
0,-0.967307,-0.6592941,"('sociable', 'unsociable')",-0.044442117,0.25629807,0.29214635,0.45428318,-0.2398676,0.0170957,0.2569633
84,-0.96253276,-1.0861373,"('self-confident', 'diffident')",0.119012654,-0.027711093,-0.3000683,-0.39529762,-0.3811961,-0.5030487,-0.1218526
11,-0.9344224,-0.96358013,"('caring', 'unaffectionate')",-1.1255009,-1.1691706,-2.1262043,-2.0691392,-1.3953759,-1.40063,-0.0052541
8,0.90853715,0.757401,"('open', 'distant')",-1.6857467,-1.8954618,-0.7138641,-0.7758794,-0.4970245,-0.6379801,-0.1409556
54,0.901472,0.794537,"('smart', 'stupid')",1.0514773,1.1036994,-0.2058002,-0.3631177,0.582383,0.5117063,-0.0706767
49,-0.8863506,-1.2234318,"('responsible', 'irresponsible')",-0.44786936,-0.6318982,-0.88528746,-0.94629186,-0.7398358,-0.933874,-0.1940382
83,-0.86513275,-0.91559684,"('energetic', 'lethargic')",-0.4276148,-0.4433389,-0.1498375,-0.008677036,-0.4808617,-0.4558709,0.0249908
66,0.85029966,0.7928087,"('imaginative', 'unimaginative')",1.7447815,1.9615765,3.1396756,3.0611303,1.9115855,1.9385052,0.0269197
44,-0.81283003,-0.8832532,"('truthful', 'untruthful')",-0.12342109,-0.31923357,-0.6555915,-0.91234696,-0.5306142,-0.7049446,-0.1743304
46,0.78388584,0.84970504,"('generous', 'stingy')",0.9779319,1.3595903,1.4463947,1.716044,1.0694041,1.3084464,0.2390423
18,-0.7730791,-0.98681235,"('social', 'asocial')",-0.16941583,-0.10184574,-0.5413509,-0.4120955,-0.4946153,-0.5002512,-0.0056359
4,-0.7674078,-1.0468843,"('likable', 'unlikable')",-0.6069189,-0.83828163,-0.027475461,-0.19464858,-0.4672674,-0.6932715,-0.2260041
3,0.76091504,0.44482166,"('likable', 'unlikable')",0.63658047,0.41305497,2.6856623,2.3321557,1.3610525,1.0633442,-0.2977083
23,-0.6932618,-0.72338736,"('hospitable', 'inhospitable')",-0.058319896,-0.25578153,-0.23575574,-0.38895595,-0.3291125,-0.4560416,-0.1269291
109,0.68356013,0.7093382,"('conservative', 'liberal')",2.0191998,2.2564962,1.570609,1.4648002,1.4244563,1.4768782,0.0524219
108,0.68356013,0.7093382,"('conservative', 'liberal')",2.0191998,2.2564962,1.570609,1.4648002,1.4244563,1.4768782,0.0524219
59,0.6820881,0.8294016,"('skillful', 'clumsy')",0.11509335,0.12287372,0.5950993,0.71059036,0.4640936,0.5542885,0.0901949
67,-0.67364395,-0.4975345,"('discriminating', 'undiscriminating')",-0.8109486,-0.59599626,-0.096270934,-0.039202467,-0.5269545,-0.3775777,0.1493768
102,0.66324097,0.7184829,"('eminent', 'low')",-0.16702682,-0.39734355,0.31011677,0.28738374,0.268777,0.202841,-0.065936
99,0.6630051,0.8080332,"('prestigious', 'insignificant')",-0.93465394,-1.3091881,-0.75997394,-0.65463924,-0.3438743,-0.3852647,-0.0413904
70,-0.64001465,-0.44410497,"('wise', 'unwise')",-0.21861404,-0.04340157,0.121105164,0.06165275,-0.2458412,-0.1419513,0.1038899
43,-0.63168216,-0.65228546,"('genuine', 'fake')",0.45401642,0.48974708,-0.26818258,-0.2693157,-0.1486161,-0.1439514,0.0046647
45,-0.62549555,-0.99086297,"('cooperative', 'exploitative')",0.23082179,-0.03409016,-0.80080146,-0.88660127,-0.3984917,-0.6371848,-0.2386931
110,-0.61314017,-0.60552716,"('narrow-minded', 'open-minded')",0.7476208,0.66271204,-0.10230565,-0.12560615,0.010725,-0.0228071,-0.0335321
73,-0.57512635,-1.0661705,"('brilliant', 'incompetent')",0.59921503,0.37608182,-0.31796697,-0.5823691,-0.0979594,-0.4241526,-0.3261932
72,-0.57305986,-0.29663643,"('logical', 'illogical')",-2.02136,-1.9372089,-0.87544423,-0.6894068,-1.1566213,-0.9744174,0.1822039
103,0.5585924,0.7825626,"('traditional', 'modern')",0.03736037,0.15558687,1.103826,1.1260267,0.5665929,0.6880587,0.1214658
55,-0.5553392,-0.3444068,"('intelligent', 'unintelligent')",-0.24816978,0.06497896,-0.014528871,0.0415473,-0.2726793,-0.0792935,0.1933858
98,0.5510763,0.6326976,"('prestigious', 'insignificant')",-0.75881976,-1.1497474,-0.8992896,-0.8475455,-0.369011,-0.4548651,-0.0858541
85,0.5318886,0.27106333,"('ambitious', 'unambitious')",0.5252911,0.4314575,-0.20166922,-0.16362678,0.2851702,0.1796314,-0.1055388
21,-0.5068907,-0.5253494,"('nice', 'nasty')",0.701074,0.7809905,0.5256513,0.47089797,0.2399449,0.2421797,0.0022348
64,-0.48926398,-0.49700058,"('clever', 'incompetent')",-0.06654215,0.15274763,0.4773333,0.42927182,-0.0261576,0.0283396,0.0544972
22,0.47799405,0.2299355,"('welcoming', 'disagreeable')",0.038684845,0.15846825,-0.2409492,-0.16812746,0.0919099,0.0734254,-0.0184845
41,0.4757417,0.8767299,"('incorrupt', 'corrupt')",0.081804395,0.09784329,0.07031715,0.24837416,0.2092878,0.4076491,0.1983613
12,-0.4742484,-0.29766184,"('sympathetic', 'unsympathetic')",-0.7277793,-0.38210905,-0.21506101,-0.111385405,-0.4723629,-0.2637188,0.2086441
87,-0.45546255,-0.5426171,"('dedicated', 'undedicated')",-1.0476332,-1.0999688,0.06184402,0.22049925,-0.4804173,-0.4740289,0.0063884
31,-0.40395162,-0.27312908,"('altruistic', 'egoistic')",-0.5368643,-0.654704,-1.0208659,-0.9718629,-0.6538939,-0.633232,0.0206619
5,-0.39366645,-0.48145562,"('pleasant', 'repellent')",0.23307134,0.2290945,0.85900295,0.8007139,0.2328026,0.1827843,-0.0500183
35,0.36688638,0.42728353,"('fair', 'unfair')",-0.09260261,-0.09437056,0.85267276,0.9764655,0.3756522,0.4364595,0.0608073
24,-0.36431757,-0.31156325,"('thoughtful', 'rough')",-0.3752486,-0.3377083,-0.391221,-0.26748964,-0.376929,-0.3055871,0.0713419
76,-0.3440866,-0.43444753,"('secure', 'insecure')",0.07124257,0.43655747,0.57810223,0.6142444,0.1017527,0.2054514,0.1036987
101,-0.33053803,-0.3137308,"('successful', 'unsuccessful')",-0.633511,-0.66783416,0.5861896,0.48984414,-0.1259531,-0.163907,-0.0379539
77,0.32857263,0.3954532,"('active', 'inactive')",-0.33979833,-0.24004993,0.2223994,0.41975912,0.0703912,0.1917208,0.1213296
19,-0.32806855,-0.20847249,"('funny', 'boring')",0.09913957,-0.005131036,0.14486879,0.2084927,-0.0280201,-0.0017036,0.0263165
10,-0.3165213,-0.21488398,"('affectionate', 'unaffectionate')",-0.13022053,-0.12991127,-1.4519855,-1.2659643,-0.6329091,-0.5369198,0.0959893
79,0.3046251,0.20042914,"('determined', 'doubtful')",1.2731994,1.1395522,0.3934252,0.2910775,0.6570833,0.5436863,-0.113397
57,0.2747998,-0.052330077,"('able', 'unable')",0.37963194,0.24697638,0.083220154,-0.16383347,0.2458839,0.0102709,-0.235613
60,-0.26368725,-0.05249825,"('educated', 'uneducated')",-1.3512951,-1.1294242,0.34425044,0.4203213,-0.4235773,-0.2538671,0.1697102
94,0.25725412,0.115514815,"('aggressive', 'submissive')",0.95377517,1.0504544,1.622078,1.5320082,0.9443691,0.8993258,-0.0450433
15,-0.25251636,-0.3257422,"('polite', 'impolite')",0.98071355,1.0655968,0.8462336,0.7821553,0.5248103,0.5073366,-0.0174737
20,-0.24368316,0.14507431,"('popular', 'unpopular')",-0.19214627,-0.33684558,0.66907597,0.6793091,0.0777488,0.1625126,0.0847638
17,0.2400316,0.4012221,"('social', 'antisocial')",0.33525267,0.45708948,0.91470754,1.2024193,0.4966639,0.6869103,0.1902464
96,0.23899148,0.18418145,"('powerful', 'powerless')",1.9636645,1.9360857,0.41182706,0.46975857,0.8714944,0.8633419,-0.0081525
69,-0.23080969,-0.26763386,"('wise', 'foolish')",-0.45903856,-0.70321673,-0.27274382,-0.32242483,-0.320864,-0.4310918,-0.1102278
71,0.21932602,-0.3080538,"('efficient', 'inefficient')",-0.15187824,-0.23354709,0.3479389,0.063663006,0.1384622,-0.1593126,-0.2977748
89,-0.18303451,-0.27239156,"('daring', 'anxious')",-0.8747365,-0.8151448,0.7054908,0.8233397,-0.1174267,-0.0880655,0.0293612
42,-0.17790055,0.21364594,"('amicable', 'hostile')",0.48472708,0.43818986,-0.30019855,-0.32211602,0.0022093,0.1099066,0.1076973
56,0.16959059,0.18003955,"('intelligent', 'dumb')",0.76069665,0.8657912,1.1224465,1.1656889,0.6842446,0.7371732,0.0529286
62,-0.14929396,-0.16631365,"('creative', 'uncreative')",-2.2667456,-2.3764453,-0.5688681,-0.5098025,-0.9949692,-1.0175205,-0.0225513
97,-0.14209718,0.07261968,"('superior', 'inferior')",-0.9101333,-0.9269796,-0.40423697,-0.25339407,-0.4854891,-0.3692513,0.1162378
63,-0.13860114,-0.28581735,"('capable', 'incapable')",-0.65003437,-0.85764754,-1.7341228,-1.9452041,-0.8409194,-1.0295564,-0.188637
52,-0.13703096,-0.10652596,"('competitive', 'uncompetitive')",-0.0034922361,0.08378959,0.93061525,0.9813648,0.263364,0.3195428,0.0561788
16,0.12050754,-0.0377317,"('social', 'antisocial')",0.3824269,0.6116088,1.4860065,1.7814739,0.6629803,0.785117,0.1221367
2,-0.116283715,-0.09116894,"('friendly', 'unfriendly')",0.20569074,0.5273682,0.7173625,0.76681864,0.2689232,0.401006,0.1320828
93,0.094742745,0.16385773,"('dominating', 'dominated')",1.7850899,1.8938642,0.79007363,0.92411,0.8899687,0.9939439,0.1039752
106,0.034309976,0.3107891,"('conventional', 'unconventional')",0.789896,1.0880945,-0.25095326,-0.09894508,0.1910842,0.4333128,0.2422286
36,0.031189144,-0.077322446,"('tolerant', 'intolerant')",-0.3733943,-0.31044215,-0.6572244,-0.657107,-0.3331432,-0.3482905,-0.0151473
39,-0.023161381,0.019235902,"('right', 'wrong')",0.786576,0.6752243,-0.5418149,-0.5514907,0.0738666,0.0476565,-0.0262101
14,-0.015252441,-0.2580154,"('supportive', 'unsupportive')",1.0383558,0.95381886,0.9755525,0.82109016,0.6662186,0.5056312,-0.1605874
91,-0.012556031,0.012666933,"('resilient', 'nonresilient')",0.5080771,0.5576559,0.08252196,0.055558845,0.192681,0.2086272,0.0159462
