,Kinder_male,Kinder_female,tuple,Morgan_male,Morgan_female,average_male,average_female,female-male
27,0.21990776,-0.2819618,"('responsible', 'irresponsible')",-1.3014299,-1.3297482,-0.5407610535621643,-0.8058549761772156,-0.26509392261505127
32,0.21921529,-0.41270167,"('able', 'unable')",0.18070063,0.07227546,0.1999579668045044,-0.17021310329437256,-0.37017107009887695
15,-0.19068855,-0.12452772,"('loyal', 'disloyal')",-1.7924279,-1.7216313,-0.9915581941604614,-0.9230794906616211,0.06847870349884033
8,0.18301123,0.583868,"('popular', 'unpopular')",-0.054326832,-0.13992801,0.064342200756073,0.22197000682353973,0.15762780606746674
25,0.17887875,-0.2574091,"('forgiving', 'unforgiving')",-0.71289694,-0.6746807,-0.26700907945632935,-0.46604490280151367,-0.19903582334518433
5,-0.17727223,-0.64031863,"('helpful', 'unhelpful')",-2.1990547,-2.0676465,-1.1881635189056396,-1.3539825677871704,-0.16581904888153076
2,-0.1722772,-0.2251417,"('likable', 'unlikable')",-0.23377535,-0.0803524,-0.20302626490592957,-0.1527470499277115,0.05027921497821808
4,0.1447463,-0.17750767,"('sensitive', 'insensitive')",-0.89776844,-1.0819899,-0.3765110671520233,-0.6297487616539001,-0.25323769450187683
22,-0.14287794,0.6152753,"('amicable', 'hostile')",0.8573259,0.89209634,0.3572239875793457,0.7536858320236206,0.3964618444442749
29,0.1403197,-0.4355052,"('competent', 'incompetent')",-0.12314868,-0.24406064,0.008585512638092041,-0.3397829234600067,-0.34836843609809875
46,0.11271896,-0.13882206,"('energetic', 'lethargic')",-0.16084485,-0.10772747,-0.02406294271349907,-0.12327476590871811,-0.09921182319521904
18,-0.11100322,0.41586947,"('good', 'evil')",0.85650593,0.8380478,0.3727513551712036,0.6269586086273193,0.2542072534561157
1,-0.10192937,0.032832563,"('friendly', 'unfriendly')",-1.9436455,-1.832191,-1.0227874517440796,-0.8996791839599609,0.12310826778411865
17,0.10158259,-0.29441965,"('tolerant', 'intolerant')",-0.57462806,-0.5873849,-0.23652273416519165,-0.4409022629261017,-0.20437952876091003
43,-0.094392434,0.05014149,"('active', 'inactive')",-0.21892963,0.12447286,-0.1566610336303711,0.0873071700334549,0.243968203663826
53,-0.023033947,-0.39895695,"('influential', 'uninfluential')",-0.35145104,-0.025602162,-0.18724249303340912,-0.2122795581817627,-0.025037065148353577
54,0.01597476,-0.07503915,"('successful', 'unsuccessful')",-0.35148013,-0.29758444,-0.1677526831626892,-0.18631179630756378,-0.018559113144874573
