,American_male,American_female,tuple,International_male,International_female,Group_male,Group_female,average_male,average_female,female-male
0,0.7523543,1.0161762,"('sociable', 'unsociable')",-1.2653099,-0.813823,-1.1157601,-0.7282528,-0.5429052511850992,-0.175299863020579,0.36760538816452026
79,0.7493828,0.74181044,"('determined', 'doubtful')",-0.31663656,-0.18557051,-0.38879615,-0.3186389,0.01465002695719401,0.07920035719871521,0.0645503302415212
84,-0.74656564,-0.9726409,"('self-confident', 'diffident')",-0.5107722,-0.52280045,-0.43305594,-0.3952307,-0.5634645620981852,-0.6302239894866943,-0.06675942738850915
52,0.72068316,0.9990907,"('competitive', 'uncompetitive')",-0.823648,-0.44145668,-0.7786321,-0.5827871,-0.2938656409581502,-0.008384366830190023,0.2854812741279602
14,0.7183439,0.72492,"('supportive', 'unsupportive')",0.025962263,0.073874116,0.23018403,-0.03547913,0.3248300751050313,0.254438320795695,-0.07039175430933631
90,0.6917201,0.70028526,"('motivated', 'unmotivated')",0.106437355,0.17302895,0.1419695,0.14157754,0.31337565183639526,0.3382972478866577,0.02492159605026245
26,0.6869412,0.91323054,"('trustworthy', 'untrustworthy')",-0.26996118,-0.11237903,-0.3533585,-0.23793119,0.021207173665364582,0.187640110651652,0.16643293698628742
20,0.67731255,0.49856648,"('popular', 'unpopular')",-0.09411006,0.030417264,1.0082709,1.0216434,0.5304911136627197,0.516875704129537,-0.013615409533182743
67,-0.6623893,-0.6333669,"('discriminating', 'undiscriminating')",-0.9257226,-0.8969815,-1.3161902,-1.0050048,-0.9681007067362467,-0.8451177279154459,0.12298297882080078
68,-0.66051096,-0.99293125,"('clever', 'inept')",-1.4584932,-1.5369847,-0.7937468,-1.0387912,-0.9709170659383138,-1.1895689964294434,-0.21865193049112952
74,-0.6580763,-0.5082096,"('insightful', 'unperceptive')",-1.8090441,-1.6322012,-1.6465073,-1.5502472,-1.3712091445922852,-1.2302193641662598,0.1409897804260254
37,0.63822806,0.25493068,"('good', 'evil')",2.059823,1.710595,1.7279257,1.7371286,1.475325584411621,1.2342181205749512,-0.24110746383666992
100,-0.61397076,-0.38942665,"('influential', 'uninfluential')",-0.82501674,-0.46806818,-1.0314844,-0.7394237,-0.8234906196594238,-0.5323061943054199,0.2911844253540039
17,0.60698164,0.85663664,"('social', 'antisocial')",0.03538558,0.2455725,-1.47078,-1.2230585,-0.2761375904083252,-0.0402831236521403,0.2358544667561849
103,0.60374653,0.7121521,"('traditional', 'modern')",1.0115128,1.1095326,0.46084702,0.7360275,0.692035436630249,0.8525706926981608,0.16053525606791175
43,0.6030249,0.62616533,"('genuine', 'fake')",-0.114418864,-0.1124223,-0.969697,-1.0235386,-0.16036365429560342,-0.16993184884389242,-0.009568194548289
42,0.5981049,0.24104035,"('amicable', 'hostile')",0.34724063,0.20905173,1.4234809,1.5795428,0.7896087964375814,0.676544984181722,-0.11306381225585938
109,0.56688213,0.9412311,"('conservative', 'liberal')",-0.34464288,-0.07558623,-1.1766788,-1.1526232,-0.3181465069452922,-0.09565945466359456,0.22248705228169763
108,0.56688213,0.9412311,"('conservative', 'liberal')",-0.34464288,-0.07558623,-1.1766788,-1.1526232,-0.3181465069452922,-0.09565945466359456,0.22248705228169763
88,0.5658872,0.36432815,"('impulsive', 'meek')",0.86245847,0.6638564,2.2571058,2.0581946,1.2284838358561199,1.0287930170694988,-0.1996908187866211
83,0.55825686,0.70206976,"('energetic', 'lethargic')",-0.89610374,-0.7211351,-0.29718047,-0.34872067,-0.21167578299840292,-0.12259533007939656,0.08908045291900636
36,-0.55515605,-0.3832142,"('tolerant', 'intolerant')",-1.4221469,-1.1436408,-0.75403845,-0.63169855,-0.9104471206665039,-0.7195178667704264,0.1909292538960775
51,0.553535,0.66019297,"('competent', 'incompetent')",-0.8389757,-0.6886757,-0.7016839,-0.645089,-0.3290415406227112,-0.2245239019393921,0.10451763868331909
70,0.55314064,0.4784389,"('wise', 'unwise')",1.1806103,1.0229962,1.4460618,1.4543662,1.0599376360575359,0.9852670828501383,-0.07467055320739757
87,-0.5474919,-0.4337973,"('dedicated', 'undedicated')",-1.5840076,-1.4616315,-1.7366168,-1.5679417,-1.2893721262613933,-1.1544568538665771,0.13491527239481615
72,-0.54728395,-0.39952892,"('logical', 'illogical')",-0.45527747,-0.2069935,-0.8196918,-0.51261544,-0.6074177424112955,-0.37304596106211346,0.23437178134918207
110,0.5325699,0.48872197,"('narrow-minded', 'open-minded')",0.9867214,0.7465326,0.18353903,0.075898826,0.5676101048787435,0.43705113728841144,-0.1305589675903321
41,0.52731943,0.2553727,"('incorrupt', 'corrupt')",1.1222132,0.96130174,1.6210029,1.6867807,1.0901784896850586,0.9678184191385905,-0.12236007054646814
59,0.5178311,0.5419079,"('skillful', 'clumsy')",-0.2745158,-0.1149542,0.77878106,0.86766374,0.3406987984975179,0.4315391381581624,0.09084033966064453
5,0.51579905,0.6461543,"('pleasant', 'repellent')",-0.11495739,-0.03350295,-0.39181098,-0.37406296,0.003010223309199015,0.07952946424484253,0.07651924093564351
65,-0.5117688,-0.3787496,"('practical', 'impractical')",-2.3834305,-2.0585659,-2.043039,-2.0109487,-1.646079381306966,-1.4827547073364258,0.1633246739705403
38,-0.5103563,-0.26839733,"('kind', 'unkind')",-1.8160008,-1.3723699,-1.9359932,-1.716505,-1.4207833607991536,-1.1190907160441081,0.3016926447550454
97,-0.51001704,-0.4765666,"('superior', 'inferior')",-1.2022979,-0.99935764,-0.6158573,-0.5000367,-0.7760574022928873,-0.6586536566416422,0.11740374565124512
101,-0.48043737,-0.41846982,"('successful', 'unsuccessful')",-1.7151933,-1.4365993,-1.0340345,-0.81662524,-1.0765550136566162,-0.890564759572347,0.18599025408426917
96,-0.46742034,-0.40958154,"('powerful', 'powerless')",-0.87530464,-0.73072636,-0.18959212,0.002394706,-0.5107723871866862,-0.3793044090270996,0.13146797815958655
49,-0.42020065,-0.37930745,"('responsible', 'irresponsible')",-1.7443471,-1.6050742,-2.1645157,-2.230853,-1.4430211385091145,-1.4050782521565754,0.03794288635253906
85,0.4096622,0.4455679,"('ambitious', 'unambitious')",0.21648605,0.21595848,-0.8348314,-0.83987784,-0.06956106424331665,-0.05945048729578654,0.010110576947530113
105,-0.39314848,-0.45869023,"('conventional', 'modern')",1.1424013,1.0702004,-0.7391451,-0.56725574,0.0033692518870035806,0.01475149393081665,0.01138224204381307
62,-0.3838717,-0.44427636,"('creative', 'uncreative')",-0.098593056,-0.18771952,-0.27544188,-0.40071613,-0.25263555844624835,-0.3442373275756836,-0.09160176912943524
56,0.3589375,0.3517047,"('intelligent', 'dumb')",0.5737123,0.574834,1.733365,1.6238256,0.8886716365814209,0.8501214186350504,-0.03855021794637048
39,-0.35524932,-0.45247453,"('right', 'wrong')",0.21793544,0.28164324,0.3137683,0.48879585,0.05881814161936442,0.10598818461100261,0.04717004299163819
54,0.327895,0.1670277,"('smart', 'stupid')",0.86132634,0.65840745,0.51124406,0.28450105,0.566821813583374,0.3699787457784017,-0.19684306780497235
47,-0.319494,-0.2426702,"('forgiving', 'unforgiving')",-0.67771614,-0.5561573,-1.3525063,-1.2682215,-0.7832388083140055,-0.6890163421630859,0.09422246615091956
71,0.3191356,0.62584436,"('efficient', 'inefficient')",-1.0418648,-0.70072407,-1.6916533,-1.684596,-0.8047941525777181,-0.5864919026692709,0.21830224990844727
18,-0.31617606,-0.14265604,"('social', 'asocial')",-0.7477702,-0.55296695,-1.0514355,-0.86090803,-0.7051272392272949,-0.5188436508178711,0.18628358840942383
9,-0.3105232,-0.13991076,"('sensitive', 'insensitive')",-1.1136655,-0.8509408,-1.3231671,-1.3260179,-0.9157852331797282,-0.7722898324330648,0.14349540074666334
76,0.2980369,0.6513301,"('secure', 'insecure')",-1.1052368,-0.76828873,-0.8066608,-0.61894083,-0.5379535357157389,-0.2452998161315918,0.2926537195841471
8,-0.27681118,-0.7798516,"('open', 'distant')",0.50583357,-0.00076802075,1.1023654,0.75858015,0.44379591941833496,-0.007346491018931071,-0.45114241043726605
12,-0.2762956,-0.06766653,"('sympathetic', 'unsympathetic')",-1.2716076,-0.97232556,-1.5432942,-1.4397454,-1.0303991635640461,-0.8265791734059652,0.20381999015808094
81,0.26994592,-0.07709442,"('industrious', 'lazy')",0.8034052,0.49967223,1.9114699,1.8021244,0.9949403603871664,0.7415673732757568,-0.25337298711140954
64,0.2670999,0.47025537,"('clever', 'incompetent')",-0.85765785,-0.55732083,-1.4463694,-1.316491,-0.6789757410685221,-0.4678521553675334,0.21112358570098871
7,0.22268829,-0.22849806,"('outgoing', 'distant')",0.99279284,0.48027906,1.2472475,0.8397579,0.8209095001220703,0.3638463020324707,-0.4570631980895996
77,0.22040385,-0.024058402,"('active', 'inactive')",0.46500355,0.31371045,1.0798613,1.1776149,0.5884228944778442,0.4890890121459961,-0.09933388233184814
23,-0.20891948,-0.47907433,"('hospitable', 'inhospitable')",0.6887044,0.4909879,0.8936063,0.6695029,0.4577970504760742,0.2271388371785482,-0.23065821329752603
57,-0.1962331,-0.25588837,"('able', 'unable')",-0.80721974,-0.8104011,-0.17505473,-0.21569885,-0.3928358554840088,-0.427329421043396,-0.03449356555938721
10,-0.18504524,-0.29475683,"('affectionate', 'unaffectionate')",-0.20973197,-0.30440617,-0.797673,-0.87591875,-0.3974833885828654,-0.4916938940684001,-0.09421050548553467
106,-0.18195622,-0.22400294,"('conventional', 'unconventional')",-0.23191574,-0.030936249,-0.8112285,-0.35909978,-0.4083668390909831,-0.20467964808146158,0.2036871910095215
93,0.17834194,0.50165564,"('dominating', 'dominated')",-0.5671986,-0.32848465,-0.2053335,-0.037721723,-0.19806337356567383,0.04514975349108378,0.2432131270567576
82,0.16926286,-0.009499103,"('industrious', 'meek')",0.40768737,0.374795,1.5385609,1.6063236,0.7051703135172526,0.6572064956029257,-0.04796381791432691
61,0.15722631,0.036214054,"('rational', 'irrational')",1.2416413,1.0383806,1.1793873,1.331265,0.8594183127085367,0.8019532362620035,-0.0574650764465332
89,0.13463295,0.31110084,"('daring', 'anxious')",-1.4468725,-1.3584311,-0.5957978,-0.5568205,-0.6360124349594116,-0.5347169240315756,0.10129551092783606
4,-0.13429305,-0.1818851,"('likable', 'unlikable')",-0.82478666,-0.8439507,-0.38389045,-0.46535423,-0.44765671094258624,-0.4970633188883464,-0.04940660794576013
30,0.13135344,0.1729818,"('honest', 'dishonest')",-1.0175533,-0.7693776,-0.49386823,-0.49659815,-0.4600226879119873,-0.36433132489522296,0.09569136301676434
2,0.12693083,0.5063859,"('friendly', 'unfriendly')",-1.4845258,-1.0125425,-1.1833041,-0.83397424,-0.8469663461049398,-0.4467102686564128,0.40025607744852704
19,-0.10338849,-0.08062637,"('funny', 'boring')",-0.052633524,0.0795832,0.2915444,0.2404201,0.04517413179079691,0.07979231079419453,0.03461817900339762
69,0.089770466,-0.0155572,"('wise', 'foolish')",0.10337828,-0.035898,1.0712998,0.98728347,0.4214828411738078,0.3119427561759949,-0.10954008499781293
22,0.07515459,-0.065381624,"('welcoming', 'disagreeable')",-0.20588344,-0.2853104,0.9713837,0.89815235,0.28021828333536786,0.18248677253723145,-0.09773151079813641
21,0.07099223,0.002440691,"('nice', 'nasty')",1.0501921,1.0101808,1.1140192,0.8075779,0.745067834854126,0.6067331631978353,-0.13833467165629065
73,0.07028872,0.07766551,"('brilliant', 'incompetent')",-1.6141058,-1.5568221,-1.2650023,-1.4658844,-0.9362730979919434,-0.9816803137461344,-0.045407215754191044
91,-0.059883535,-0.107448414,"('resilient', 'nonresilient')",-0.559612,-0.4650722,-0.565452,-0.3666001,-0.3949824968973796,-0.31304023663202923,0.08194226026535034
80,-0.05623904,0.038742453,"('independent', 'dependent')",-0.068887115,0.019133441,0.35079432,0.5369884,0.07522272070248921,0.19828808307647705,0.12306536237398784
31,0.021996766,-0.07993385,"('altruistic', 'egoistic')",0.18531752,0.2359178,0.38379222,0.5512524,0.19703551133473715,0.23574546972910562,0.03870995839436847
