,EOG_male,EOG_female,tuple,Resources_male,Resources_female,average_male,average_female,female-male
101,-0.22344053,-0.25347108,"('successful', 'unsuccessful')",-1.186913,-1.0992694,-0.7051768,-0.6763703,0.0288065
44,0.22186287,0.1795719,"('truthful', 'untruthful')",-2.0016742,-1.9136328,-0.8899056,-0.8670304,0.0228752
110,-0.22058134,-0.23005912,"('narrow-minded', 'open-minded')",0.8429061,0.69845486,0.3111624,0.2341979,-0.0769645
14,0.21830875,0.1349186,"('supportive', 'unsupportive')",-0.9399171,-1.3406422,-0.3608042,-0.6028618,-0.2420576
29,-0.18715727,-0.10717937,"('honest', 'immoral')",-0.97021323,-1.2961828,-0.5786853,-0.7016811,-0.1229958
83,-0.16272885,-0.2718273,"('energetic', 'lethargic')",-1.229742,-1.4472021,-0.6962354,-0.8595147,-0.1632793
100,0.13181663,0.2269681,"('influential', 'uninfluential')",-0.63087195,-0.4964363,-0.2495277,-0.1347341,0.1147936
65,0.12440282,-0.1459316,"('practical', 'impractical')",-1.8134782,-2.128304,-0.8445377,-1.1371179,-0.2925802
77,-0.11600435,-0.18346497,"('active', 'inactive')",0.5013662,0.53614795,0.1926809,0.1763415,-0.0163394
73,0.11501098,-0.09035547,"('brilliant', 'incompetent')",-1.0280023,-1.2277291,-0.4564956,-0.6590423,-0.2025467
35,-0.09196702,-0.031160355,"('fair', 'unfair')",-0.45475873,-0.3335582,-0.2733629,-0.1823593,0.0910036
56,-0.07427062,-0.10425013,"('intelligent', 'dumb')",-0.25537875,-0.42371434,-0.1648247,-0.2639822,-0.0991575
26,-0.045543842,-0.02939161,"('trustworthy', 'untrustworthy')",-0.0386326,-0.19867077,-0.0420882,-0.1140312,-0.071943
106,0.03940165,0.025195286,"('conventional', 'unconventional')",-0.173356,-0.07349051,-0.0669772,-0.0241476,0.0428296
49,0.01951766,-0.18390822,"('responsible', 'irresponsible')",-1.9531428,-2.1749349,-0.9668126,-1.1794215,-0.2126089
102,0.018636227,-0.07668792,"('eminent', 'low')",-0.14556104,-0.14732611,-0.0634624,-0.112007,-0.0485446
46,-0.008576572,0.1308791,"('generous', 'stingy')",1.2278851,1.2692996,0.6096543,0.7000893,0.090435
13,-0.006452322,-0.04547304,"('helpful', 'unhelpful')",-3.0896702,-3.3647947,-1.5480613,-1.7051339,-0.1570726
