,Truist_male,Truist_female,tuple,Financial_male,Financial_female,average_male,average_female,female-male
20,0.36626709,0.35277823,"('popular', 'unpopular')",-0.25725776,-0.10263015,0.0545047,0.125074,0.0705693
52,0.36608917,0.4219785,"('competitive', 'uncompetitive')",-0.6497122,-0.63137233,-0.1418115,-0.1046969,0.0371146
84,0.33984715,0.3547168,"('self-confident', 'diffident')",-1.319589,-1.3958285,-0.4898709,-0.5205559,-0.030685
73,-0.33876023,-0.3540919,"('brilliant', 'incompetent')",-1.0457304,-1.2152592,-0.6922453,-0.7846755,-0.0924302
63,-0.33740103,-0.07928294,"('capable', 'incapable')",-1.2718705,-1.3393334,-0.8046358,-0.7093081,0.0953277
81,-0.33247268,-0.6355435,"('industrious', 'lazy')",0.317926,0.30935726,-0.0072733,-0.1630931,-0.1558198
44,-0.32981935,-0.10684863,"('truthful', 'untruthful')",-1.4571501,-1.4671568,-0.8934847,-0.7870027,0.106482
78,0.32979286,0.16094023,"('active', 'inactive')",0.6825396,0.59249675,0.5061662,0.3767185,-0.1294477
86,-0.31862104,-0.5138362,"('self-reliant', 'helpless')",1.3150358,1.1790104,0.4982074,0.3325871,-0.1656203
90,0.31427264,0.31908417,"('motivated', 'unmotivated')",0.29928714,0.17462759,0.3067799,0.2468559,-0.059924
48,0.30743408,0.22927588,"('reliable', 'unreliable')",1.3649476,1.2105336,0.8361908,0.7199048,-0.116286
7,-0.30597168,-0.3758495,"('outgoing', 'distant')",-0.5264447,-0.6172856,-0.4162082,-0.4965675,-0.0803593
15,0.3030774,0.43378872,"('polite', 'impolite')",0.8088763,0.7895725,0.5559769,0.6116806,0.0557037
110,0.29664403,0.14651597,"('narrow-minded', 'open-minded')",0.3611421,0.29999533,0.3288931,0.2232556,-0.1056375
47,-0.2948631,-0.07231033,"('forgiving', 'unforgiving')",-0.77257895,-0.6672277,-0.533721,-0.369769,0.163952
13,-0.28819627,-0.048101,"('helpful', 'unhelpful')",-2.2760975,-2.2777429,-1.2821469,-1.1629219,0.119225
5,0.2852194,0.33106765,"('pleasant', 'repellent')",0.22028732,0.24765569,0.2527534,0.2893617,0.0366083
36,-0.28283003,-0.121861696,"('tolerant', 'intolerant')",-0.56742775,-0.5796146,-0.4251289,-0.3507381,0.0743908
14,0.2819002,0.386397,"('supportive', 'unsupportive')",-0.13465393,-0.21401061,0.0736231,0.0861932,0.0125701
16,0.27952352,0.29549694,"('social', 'antisocial')",-1.0814204,-1.0658014,-0.4009485,-0.3851522,0.0157963
9,0.279441,0.3736617,"('sensitive', 'insensitive')",-1.0371133,-1.161496,-0.3788362,-0.3939172,-0.015081
85,0.24020867,0.4200163,"('ambitious', 'unambitious')",-0.47917792,-0.5106808,-0.1194846,-0.0453323,0.0741523
30,0.2349585,0.2694373,"('honest', 'dishonest')",-1.3887684,-1.4942825,-0.576905,-0.6124226,-0.0355176
79,-0.23427387,-0.30525747,"('determined', 'doubtful')",0.066500366,0.0592124,-0.0838868,-0.1230225,-0.0391357
98,-0.22079502,-0.2844341,"('prestigious', 'insignificant')",-1.0860571,-1.0329998,-0.6534261,-0.6587169,-0.0052908
91,0.19923729,0.346088,"('resilient', 'nonresilient')",-0.04737408,0.006076984,0.0759316,0.1760825,0.1001509
46,0.19672197,0.4299347,"('generous', 'stingy')",0.5892862,0.6592742,0.3930041,0.5446045,0.1516004
32,-0.17073444,0.021010935,"('benevolent', 'hardhearted')",-2.23539,-2.1081681,-1.2030622,-1.0435786,0.1594836
89,0.16907737,0.06710395,"('daring', 'anxious')",0.31217372,0.2187143,0.2406255,0.1429091,-0.0977164
18,0.15601574,0.27344802,"('social', 'asocial')",-1.114405,-1.1622992,-0.4791946,-0.4444256,0.034769
49,-0.1543997,-0.034766555,"('responsible', 'irresponsible')",-1.37281,-1.4741999,-0.7636049,-0.7544832,0.0091217
42,0.13507184,0.2047743,"('amicable', 'hostile')",-0.1426804,0.058492064,-0.0038043,0.1316332,0.1354375
37,-0.12716922,-0.31768614,"('good', 'evil')",0.95265126,0.96206886,0.412741,0.3221914,-0.0905496
71,-0.12456334,-0.21555749,"('efficient', 'inefficient')",0.2292329,0.06208402,0.0523348,-0.0767367,-0.1290715
88,0.12314893,-0.046252713,"('impulsive', 'meek')",0.82328093,0.72860104,0.4732149,0.3411742,-0.1320407
54,-0.12220487,-0.21979007,"('smart', 'stupid')",-0.8042147,-0.8774627,-0.4632098,-0.5486264,-0.0854166
51,-0.119483635,-0.061142087,"('competent', 'incompetent')",-0.34897345,-0.37082464,-0.2342286,-0.2159834,0.0182452
11,-0.09208009,0.26724046,"('caring', 'unaffectionate')",-1.9998477,-1.94819,-1.0459639,-0.8404747,0.2054892
55,0.08614598,0.35869348,"('intelligent', 'unintelligent')",-0.20168805,-0.17347366,-0.057771,0.0926099,0.1503809
0,-0.07044262,0.20223024,"('sociable', 'unsociable')",-0.17022467,-0.09733319,-0.1203336,0.0524485,0.1727821
66,-0.06336686,0.032159984,"('imaginative', 'unimaginative')",1.3270609,1.2727424,0.631847,0.6524512,0.0206042
34,0.060252845,0.44998014,"('loyal', 'disloyal')",-1.6305583,-1.4922998,-0.7851527,-0.5211598,0.2639929
100,0.059293717,0.42338178,"('influential', 'uninfluential')",-0.53337073,-0.3531929,-0.2370385,0.0350944,0.2721329
3,-0.043219686,0.052282274,"('likable', 'unlikable')",0.6114188,0.5054382,0.2840995,0.2788602,-0.0052393
10,-0.035264105,0.2561884,"('affectionate', 'unaffectionate')",-1.0143348,-0.8721992,-0.5247995,-0.3080054,0.2167941
101,0.03250584,-0.06230253,"('successful', 'unsuccessful')",-1.7174957,-1.725234,-0.8424949,-0.8937683,-0.0512734
82,0.011051744,-0.104577236,"('industrious', 'meek')",-0.3084588,-0.33355302,-0.1487035,-0.2190651,-0.0703616
56,0.007773159,-0.048203923,"('intelligent', 'dumb')",0.3124116,0.22421822,0.1600924,0.0880072,-0.0720852
57,0.0069505125,-0.087408274,"('able', 'unable')",0.5576433,0.47293493,0.2822969,0.1927633,-0.0895336
28,-0.00029465556,0.22839317,"('honest', 'dishonest')",-1.7297734,-1.7434843,-0.865034,-0.7575455,0.1074885
