,Broadridge_male,Broadridge_female,tuple,Financial_male,Financial_female,Solutions_male,Solutions_female,average_male,average_female,female-male
47,-0.41012356,-0.33583733,"('forgiving', 'unforgiving')",-0.77257895,-0.6672277,-1.1688707,-1.0603349,-0.7838577,-0.6877999,0.0960578
92,-0.3922401,-0.346323,"('unwavering', 'wavering')",0.015115827,0.0032449812,0.5052265,0.4119236,0.0427007,0.0229485,-0.0197522
35,-0.38740292,-0.31418246,"('fair', 'unfair')",0.54867184,0.61384666,0.73861575,0.9752199,0.2999616,0.4249614,0.1249998
64,0.3807519,0.18240023,"('clever', 'incompetent')",-0.025381118,-0.051229566,-0.9749001,-1.0231107,-0.2065098,-0.2973134,-0.0908036
61,0.37711078,0.7535486,"('rational', 'irrational')",-0.15054579,0.11090632,0.3656147,0.51907486,0.1973932,0.4611766,0.2637834
26,-0.37065005,-0.26482677,"('trustworthy', 'untrustworthy')",0.2738226,0.17931658,0.16201577,0.17418943,0.0217294,0.0295597,0.0078303
93,-0.34955487,-0.4410602,"('dominating', 'dominated')",-0.0009125918,-0.03836397,0.03881915,-0.11467821,-0.1038828,-0.1980341,-0.0941513
82,0.34698617,0.34432456,"('industrious', 'meek')",-0.3084588,-0.33355302,0.6122786,0.61498153,0.2169353,0.2085843,-0.008351
31,-0.3335021,-0.08806479,"('altruistic', 'egoistic')",-0.4553873,-0.38855752,-0.6891481,-0.47233638,-0.4926792,-0.3163196,0.1763596
20,-0.330851,-0.25578344,"('popular', 'unpopular')",-0.25725776,-0.10263015,0.4775987,0.4513753,-0.0368367,0.0309872,0.0678239
30,-0.305546,-0.44644397,"('honest', 'dishonest')",-1.3887684,-1.4942825,-0.6742903,-0.77713454,-0.7895349,-0.9059537,-0.1164188
42,-0.280753,-0.0127957165,"('amicable', 'hostile')",-0.1426804,0.058492064,0.92387426,1.0681905,0.1668136,0.3712956,0.204482
96,0.2704191,-0.001079917,"('powerful', 'powerless')",-0.38936475,-0.3229598,0.024430662,0.076853916,-0.031505,-0.0823953,-0.0508903
78,0.26666433,0.13377064,"('active', 'inactive')",0.6825396,0.59249675,1.3288995,1.2794356,0.7593678,0.6685677,-0.0908001
36,0.25968546,0.18896575,"('tolerant', 'intolerant')",-0.56742775,-0.5796146,-1.6146024,-1.6179537,-0.6407816,-0.6695342,-0.0287526
21,0.23462108,0.055408537,"('nice', 'nasty')",0.55230683,0.43588716,0.7480301,0.63985515,0.5116527,0.3770503,-0.1346024
81,0.23095028,0.22050053,"('industrious', 'lazy')",0.317926,0.30935726,0.80900204,0.8050085,0.4526261,0.4449554,-0.0076707
87,-0.22596636,-0.33126712,"('dedicated', 'undedicated')",-0.7574401,-0.69228804,-1.2263471,-1.0981503,-0.7365845,-0.7072352,0.0293493
77,-0.22404379,-0.29066074,"('active', 'inactive')",-0.82057357,-0.717518,1.0622922,1.066005,0.0058916,0.0192754,0.0133838
74,-0.2230683,-0.41986442,"('insightful', 'unperceptive')",-1.3837895,-1.3504968,-1.6162009,-1.740014,-1.0743529,-1.170125,-0.0957721
70,0.21984062,0.45086443,"('wise', 'unwise')",1.205356,1.2741499,0.8350246,0.811404,0.7534071,0.8454728,0.0920657
19,0.21944574,0.25864357,"('funny', 'boring')",-0.5063149,-0.41566932,-0.14326602,-0.1602413,-0.1433784,-0.1057557,0.0376227
54,0.2160672,0.022361152,"('smart', 'stupid')",-0.8042147,-0.8774627,0.06268941,-0.04231912,-0.1751527,-0.2991402,-0.1239875
56,-0.20515801,-0.17648908,"('intelligent', 'dumb')",0.3124116,0.22421822,1.2112727,1.09528,0.4395088,0.3810031,-0.0585057
83,-0.20092782,-0.24565138,"('energetic', 'lethargic')",-0.4395604,-0.4761371,-0.54276335,-0.6824161,-0.3944172,-0.4680682,-0.073651
86,0.19782141,0.042569697,"('self-reliant', 'helpless')",1.3150358,1.1790104,3.173033,3.105229,1.5619634,1.4422696,-0.1196938
44,-0.19579628,-0.2812659,"('truthful', 'untruthful')",-1.4571501,-1.4671568,-1.224769,-1.263089,-0.9592384,-1.0038372,-0.0445988
