,Norwegian_male,Norwegian_female,tuple,Cruise_male,Cruise_female,Line_male,Line_female,Holdings_male,Holdings_female,average_male,average_female,female-male
32,-1.6964818,-1.4057958,"('benevolent', 'hardhearted')",-2.8646169,-2.7483451,-1.2180446,-0.91484183,-1.5835083,-1.3266119,-1.840663,-1.5988986,0.2417644
28,-1.6811751,-1.712711,"('honest', 'dishonest')",-1.2113688,-0.87971056,-0.6146138,-0.7646406,-1.7536324,-1.6971569,-1.3151975,-1.2635548,0.0516427
50,1.5818142,1.464428,"('unprejudiced', 'prejudiced')",1.6598232,1.4512169,0.9557332,0.7342899,2.1942754,2.0939815,1.5979115,1.4359791,-0.1619324
1,-1.5245893,-1.2653587,"('friendly', 'unfriendly')",-3.5537195,-3.4220304,-1.8483849,-1.4817996,-1.4866563,-1.2327037,-2.1033375,-1.8504732,0.2528643
38,-1.4607391,-1.244323,"('kind', 'unkind')",-1.2066028,-1.058487,-0.314965,-0.41538343,-1.6338652,-1.5485029,-1.1540431,-1.0666741,0.087369
88,1.4443477,1.5240588,"('impulsive', 'meek')",0.5737782,0.58321214,0.1565089,0.39140064,1.3172727,1.2400988,0.8729769,0.9346926,0.0617157
46,1.4300913,1.5627326,"('generous', 'stingy')",0.51534396,0.20586546,0.032925695,0.2441088,1.689038,1.930471,0.9168497,0.9857944,0.0689447
80,1.395669,1.3411235,"('independent', 'dependent')",1.0438917,1.2561367,1.5403706,1.4244461,0.8969847,0.7855214,1.219229,1.2018069,-0.0174221
31,-1.3352578,-1.1353761,"('altruistic', 'egoistic')",-1.445654,-1.1576617,-1.6311998,-1.1674416,-0.5481435,-0.33933896,-1.2400638,-0.9499546,0.2901092
81,1.2706604,1.3830581,"('industrious', 'lazy')",0.91281915,0.6843535,-0.64832807,-0.19059128,1.6567396,1.7982906,0.7979728,0.9187777,0.1208049
45,-1.2483944,-1.4190218,"('cooperative', 'exploitative')",-0.30663288,-0.38228115,-0.43182647,-0.77540874,-0.37545657,-0.44578585,-0.5905776,-0.7556244,-0.1650468
29,-1.2191024,-1.4420825,"('honest', 'immoral')",-0.037133753,0.33067346,0.171727,-0.20309967,-1.2851284,-1.4237304,-0.5924094,-0.6845598,-0.0921504
105,-1.2131951,-1.1905833,"('conventional', 'modern')",-1.8433781,-1.9829233,-1.104501,-1.0774006,-1.0260701,-0.8025127,-1.2967861,-1.263355,0.0334311
99,-1.1824752,-0.889339,"('prestigious', 'insignificant')",-1.8192507,-1.9347659,-0.7318437,-0.41086575,0.57193094,0.7817144,-0.7904097,-0.6133141,0.1770956
107,1.1788173,1.2148018,"('conventional', 'modern')",1.3496307,1.3119538,0.5262532,0.3713662,0.4082092,0.41461113,0.8657277,0.8281832,-0.0375445
10,-1.1217818,-0.91325843,"('affectionate', 'unaffectionate')",-2.6151242,-2.5850067,-1.3686686,-1.0320269,-0.9422884,-0.78440297,-1.5119658,-1.3286737,0.1832921
36,-1.1178963,-1.145528,"('tolerant', 'intolerant')",-0.43539068,-0.18744281,0.22768307,-0.08234347,-1.431808,-1.457063,-0.689353,-0.7180943,-0.0287413
37,1.1163733,1.188823,"('good', 'evil')",0.48284793,0.38118827,0.36146793,0.7185363,2.051951,2.2093322,1.00316,1.12447,0.12131
90,1.094273,0.9721644,"('motivated', 'unmotivated')",1.0713145,0.6803469,1.0462815,0.78964424,0.6138342,0.5219085,0.9564257,0.741016,-0.2154097
109,1.0490552,1.0270823,"('conservative', 'liberal')",2.0638683,2.126358,1.1033186,0.9946854,0.27579856,0.15446413,1.1230102,1.0756475,-0.0473627
108,1.0490552,1.0270823,"('conservative', 'liberal')",2.0638683,2.126358,1.1033186,0.9946854,0.27579856,0.15446413,1.1230102,1.0756475,-0.0473627
33,-1.0342275,-0.768744,"('softhearted', 'hardhearted')",-1.8677881,-1.4608881,-0.32275075,-0.33910003,-1.5421362,-1.3844576,-1.1917257,-0.9882975,0.2034282
94,1.0105419,1.0287237,"('aggressive', 'submissive')",1.4509728,1.3411484,0.8242041,0.6904628,-0.0391998,-0.20455852,0.8116298,0.7139441,-0.0976857
14,0.97256273,0.9675422,"('supportive', 'unsupportive')",0.22172588,-0.4057175,0.48563832,0.20863107,0.65268236,0.7491678,0.5831523,0.3799059,-0.2032464
65,-0.86516714,-1.0474052,"('practical', 'impractical')",0.0805513,-0.10566169,-0.6757202,-1.3175671,-1.3147187,-1.412966,-0.6937637,-0.9709,-0.2771363
18,-0.8370427,-0.8117693,"('social', 'asocial')",-0.47720096,-0.47021365,-0.44276854,-0.5602911,-0.5826282,-0.6447265,-0.5849101,-0.6217501,-0.03684
7,0.83694553,0.79631186,"('outgoing', 'distant')",-0.9476096,-1.149342,0.18480572,0.46020627,0.6511978,0.66848636,0.1813349,0.1939156,0.0125807
35,0.82684267,0.9728193,"('fair', 'unfair')",0.3077814,0.38910395,0.061887547,0.1885947,0.7706454,0.940004,0.4917892,0.6226305,0.1308413
63,-0.82355237,-0.8208326,"('capable', 'incapable')",-1.8688927,-1.7965032,0.30210936,0.12520085,-0.9860907,-1.0958786,-0.8441066,-0.8970034,-0.0528968
24,-0.80734086,-0.8152642,"('thoughtful', 'rough')",-0.42627245,-0.2020207,0.04379683,-0.17526048,-1.0124582,-1.0221801,-0.5505687,-0.5536814,-0.0031127
97,-0.7909833,-0.7540675,"('superior', 'inferior')",-0.96040344,-1.0183525,-0.37528703,-0.23534,-0.6252186,-0.6348883,-0.6879731,-0.6606621,0.027311
82,0.7874097,0.9508717,"('industrious', 'meek')",0.085689485,0.15659624,-0.39378133,0.34602094,0.9025952,1.088924,0.3454783,0.6356032,0.2901249
23,0.76382077,0.678614,"('hospitable', 'inhospitable')",0.1601519,-0.08961791,0.60547256,0.59628415,0.6912536,0.7683786,0.5551747,0.4884147,-0.06676
64,-0.757237,-0.86146593,"('clever', 'incompetent')",0.14731377,0.16096139,0.9075577,0.25873506,-1.0129367,-1.1342475,-0.1788256,-0.3940043,-0.2151787
49,-0.6955902,-0.96296096,"('responsible', 'irresponsible')",-1.469537,-1.4489632,-0.10204494,-0.58355814,-1.8212101,-1.9522045,-1.0220957,-1.2369217,-0.214826
47,-0.68834686,-0.50200987,"('forgiving', 'unforgiving')",-0.9104918,-1.041154,-0.6599996,-0.82390845,-0.30767265,-0.19478285,-0.6416277,-0.6404638,0.0011639
77,0.6766095,0.826545,"('active', 'inactive')",-0.2309868,-0.52731115,0.21805745,0.5071149,0.20107672,0.40737712,0.2161892,0.3034315,0.0872423
68,-0.6622179,-0.68510044,"('clever', 'inept')",-1.1676509,-1.1390809,0.4276052,0.006866887,-1.1753154,-1.2729537,-0.6443948,-0.772567,-0.1281722
102,-0.6499252,-0.5769819,"('eminent', 'low')",-0.39255464,-0.62447774,0.09073896,0.22475581,-0.28169212,-0.33781815,-0.3083582,-0.3286305,-0.0202723
15,0.6409794,0.6902485,"('polite', 'impolite')",0.34545887,0.20787513,0.8931891,0.5896918,0.46444476,0.42507023,0.586018,0.4782214,-0.1077966
103,0.63853353,0.7758342,"('traditional', 'modern')",2.1019914,1.9158365,1.0614138,0.76882887,0.6518871,0.69880337,1.1134565,1.0398257,-0.0736308
84,-0.6252366,-0.6072625,"('self-confident', 'diffident')",-1.5535593,-1.8206613,-0.5471449,-0.6351508,-0.70446086,-0.6456789,-0.8576004,-0.9271884,-0.069588
70,0.6173696,0.66496176,"('wise', 'unwise')",0.46447402,0.522331,0.9337966,0.9408998,1.1127582,1.1814883,0.7820996,0.8274202,0.0453206
12,-0.61362875,-0.7176376,"('sympathetic', 'unsympathetic')",-0.049284637,-0.14620388,0.3001126,-0.18687628,-1.5255129,-1.6720942,-0.4720784,-0.680703,-0.2086246
79,0.5826663,0.50440854,"('determined', 'doubtful')",0.45273018,0.49510613,-0.2285974,-0.19936395,0.031872034,-0.071029246,0.2096678,0.1822804,-0.0273874
62,-0.5796735,-0.4582469,"('creative', 'uncreative')",-1.9789448,-1.8191338,-0.062033087,-0.0036394894,-0.9470894,-0.8174019,-0.8919352,-0.7746055,0.1173297
72,-0.5744201,-0.38391352,"('logical', 'illogical')",-0.9685198,-0.88874525,-0.43881094,-0.38217235,-1.2119658,-0.9754051,-0.7984291,-0.657559,0.1408701
92,-0.56512,-0.5224643,"('unwavering', 'wavering')",-0.32546145,-0.27958804,-0.04809141,0.09128603,0.43800604,0.4528344,-0.1251667,-0.064483,0.0606837
87,-0.55007625,-0.3944134,"('dedicated', 'undedicated')",-0.49851456,-0.53575236,-0.083049975,-0.25680923,-0.789268,-0.70600635,-0.4802272,-0.4732453,0.0069819
52,0.5427598,0.56319106,"('competitive', 'uncompetitive')",1.0331548,0.94680095,0.91507363,0.46418542,-1.072078,-1.0817062,0.3547276,0.2231178,-0.1316098
55,-0.5399207,-0.57830685,"('intelligent', 'unintelligent')",-1.2349923,-1.1484891,0.7214648,0.47655836,-0.6130238,-0.67422855,-0.416618,-0.4811165,-0.0644985
16,0.5363557,0.61570793,"('social', 'antisocial')",-0.15603814,-0.42076752,0.8829346,0.6233259,-0.81649685,-0.8433245,0.1116888,-0.0062646,-0.1179534
44,-0.52278674,-0.57030207,"('truthful', 'untruthful')",-0.46837264,-0.37784314,-0.43957576,-0.43089068,-0.5741142,-0.48518547,-0.5012124,-0.4660554,0.035157
67,0.51911354,0.4977705,"('discriminating', 'undiscriminating')",-0.9016182,-1.1661812,-0.62044585,-0.6781571,-0.7929224,-0.69876355,-0.4489682,-0.5113329,-0.0623647
56,0.5085229,0.5570587,"('intelligent', 'dumb')",1.4719719,1.4598246,0.50961906,0.54414845,0.6708163,0.69431937,0.7902325,0.8138378,0.0236053
59,0.49034065,0.69155705,"('skillful', 'clumsy')",-0.054782473,-0.0330873,0.7439881,1.0684445,0.214153,0.24642695,0.3484248,0.4933353,0.1449105
96,-0.48520976,-0.55966365,"('powerful', 'powerless')",0.42030895,0.28132984,0.38152838,0.33547288,-0.5209277,-0.4318687,-0.051075,-0.0936824,-0.0426074
106,-0.48237696,-0.48778757,"('conventional', 'unconventional')",-0.5912108,-0.4458258,-0.48040903,-0.4709059,-0.6379524,-0.50063896,-0.5479873,-0.4762896,0.0716977
9,-0.46891028,-0.5582947,"('sensitive', 'insensitive')",-1.3409299,-1.5543841,-0.3201908,-0.6290473,-1.3157903,-1.384822,-0.8614553,-1.031637,-0.1701817
19,-0.45717406,-0.26949304,"('funny', 'boring')",-1.4651898,-1.5410552,-0.89332646,-0.56345636,0.43809205,0.514699,-0.5943996,-0.4648264,0.1295732
98,-0.44683105,-0.3425573,"('prestigious', 'insignificant')",-1.4971398,-1.614931,-0.39969772,-0.084115714,-0.1211545,-0.02832143,-0.6162058,-0.5174814,0.0987244
93,0.40955278,0.40309584,"('dominating', 'dominated')",1.194318,1.2447141,0.18734556,0.2463491,-0.03575471,-0.07542488,0.4388654,0.4546835,0.0158181
4,-0.38549817,-0.33606753,"('likable', 'unlikable')",-2.0272565,-2.3146906,-0.51398414,-0.6672851,-1.0130436,-0.9065057,-0.9849456,-1.0561372,-0.0711916
54,0.35300547,0.1683051,"('smart', 'stupid')",0.4296545,0.47678372,1.145092,1.0336969,-0.20323744,-0.27700672,0.4311287,0.3504447,-0.080684
22,0.3477587,0.4213713,"('welcoming', 'disagreeable')",-0.9183072,-1.077062,1.1006162,0.91058856,1.2756431,1.2854227,0.4514277,0.3850802,-0.0663475
8,-0.29126406,-0.27724138,"('open', 'distant')",-1.2749872,-1.4053922,-0.35550627,-0.043920025,0.38224447,0.43115175,-0.3848783,-0.3238505,0.0610278
100,-0.2896378,-0.03187561,"('influential', 'uninfluential')",0.11681205,0.565915,0.3009798,0.4204945,-1.1068541,-0.89488035,-0.244675,0.0149134,0.2595884
17,0.27422103,0.5416286,"('social', 'antisocial')",-0.29577965,-0.3035042,0.023630455,0.091964155,-1.0197594,-0.88926303,-0.2544219,-0.1397936,0.1146283
20,-0.262812,0.013715446,"('popular', 'unpopular')",-1.1949654,-1.2941836,0.18471764,0.31234902,0.66384465,0.5941822,-0.1523038,-0.0934843,0.0588195
110,-0.25230122,-0.18870103,"('narrow-minded', 'open-minded')",0.7704147,0.72463036,-0.93806416,-0.96594495,0.29736853,0.16195415,-0.0306455,-0.0670154,-0.0363699
74,-0.24774164,-0.286378,"('insightful', 'unperceptive')",-0.5581399,-0.5109636,0.36114213,0.15300122,-1.6450893,-1.6180278,-0.5224572,-0.5655921,-0.0431349
71,0.24648547,-0.047236383,"('efficient', 'inefficient')",0.8030702,0.8326349,0.37707245,-0.3519152,-1.1656657,-1.3629558,0.0652406,-0.2323681,-0.2976087
2,-0.24608278,-0.31859112,"('friendly', 'unfriendly')",0.76498944,0.8011812,1.0639429,0.7348398,-1.2115293,-1.3121631,0.0928301,-0.0236833,-0.1165134
73,-0.21208972,-0.47294614,"('brilliant', 'incompetent')",-0.5957303,-0.6332945,0.18612468,-0.35389793,-1.3035612,-1.488657,-0.4813141,-0.7371989,-0.2558848
41,0.20786476,0.38463414,"('incorrupt', 'corrupt')",0.1312648,0.22482753,-0.6336745,-0.059402347,1.6617771,1.785061,0.3418081,0.5837801,0.241972
76,0.19260511,-0.025838792,"('secure', 'insecure')",0.7063376,0.60415727,0.19391537,-0.13200957,-0.5367232,-0.6464054,0.1390337,-0.0500241,-0.1890578
39,-0.18542907,0.048413917,"('right', 'wrong')",-1.2566494,-1.3175493,-1.0929347,-0.89287615,0.050093748,0.31395388,-0.6212299,-0.4620144,0.1592155
30,-0.18484783,-0.12201512,"('honest', 'dishonest')",0.06803322,-0.023598313,0.571584,0.27140772,-0.688877,-0.6710339,-0.0585269,-0.1363099,-0.077783
83,-0.18462461,-0.18547136,"('energetic', 'lethargic')",0.45601752,0.649927,0.054471534,-0.173297,-0.9789071,-1.1528296,-0.1632607,-0.2154177,-0.052157
89,-0.17468043,-0.3551217,"('daring', 'anxious')",0.22601342,0.07342562,1.0429636,0.58904165,-0.25106674,-0.4007479,0.2108075,-0.0233506,-0.2341581
43,-0.16076303,-0.22108047,"('genuine', 'fake')",-0.35774943,-0.16885836,-0.54910696,-0.47848314,-0.80318093,-0.8452294,-0.4677001,-0.4284129,0.0392872
21,0.1558063,0.15806174,"('nice', 'nasty')",0.3699336,0.11908668,-0.27798122,-0.35695392,0.80907506,0.74621946,0.2642084,0.1666035,-0.0976049
0,0.14571267,0.29073554,"('sociable', 'unsociable')",-0.7198275,-0.98853266,0.81460345,0.5784804,-0.33252084,-0.25615776,-0.023008,-0.0938686,-0.0708606
51,0.11299041,0.1807533,"('competent', 'incompetent')",-0.259004,-0.47971272,0.6108326,0.12873542,-0.7738635,-0.7900835,-0.0772611,-0.2400769,-0.1628158
101,-0.10683635,0.10182908,"('successful', 'unsuccessful')",-0.77382016,-1.0706522,0.2176432,0.15996757,-1.3465159,-1.362719,-0.5023823,-0.5428936,-0.0405113
85,0.1066511,-0.01715742,"('ambitious', 'unambitious')",-0.06570792,-0.019591242,-0.2776079,-0.14610022,-0.9517262,-0.94953185,-0.2970977,-0.2830952,0.0140025
91,0.099389225,0.090524316,"('resilient', 'nonresilient')",-0.04527182,-0.14227368,1.3331462,1.1775762,-0.030849218,0.01262185,0.3391036,0.2846122,-0.0544914
69,-0.096108794,-0.013186008,"('wise', 'foolish')",-0.8996789,-0.9070311,-1.0105001,-0.5837952,0.14622207,0.24196848,-0.4650164,-0.315511,0.1495054
25,-0.09277108,-0.09226784,"('moral', 'immoral')",0.550288,0.49989414,0.2818631,-0.11432098,-0.86803424,-0.90857726,-0.0321636,-0.153818,-0.1216544
5,0.08758583,0.045070335,"('pleasant', 'repellent')",1.1436586,1.0876027,0.47673872,0.18777147,-0.4506008,-0.5768983,0.3143456,0.1858865,-0.1284591
57,0.08311209,0.041535884,"('able', 'unable')",-0.39625877,-0.4403265,1.3287759,0.9308071,-0.0678391,-0.31326795,0.2369475,0.0546871,-0.1822604
26,0.082248986,0.13109346,"('trustworthy', 'untrustworthy')",0.5235069,0.55586386,0.21753168,-0.034082472,0.31661463,0.295809,0.2849755,0.237171,-0.0478045
61,-0.07115951,0.25998557,"('rational', 'irrational')",-0.9132558,-1.0102618,-0.83415276,-0.22603261,0.71663564,0.95739806,-0.2754831,-0.0047277,0.2707554
42,0.06367767,0.3531003,"('amicable', 'hostile')",-0.55922425,-0.716298,-0.8868817,-0.26497805,1.2401377,1.5343299,-0.0355726,0.2265385,0.2621111
60,-0.00093978643,0.189906,"('educated', 'uneducated')",0.7867168,1.0729554,1.8829303,1.9003017,0.17678376,0.15001279,0.7113728,0.828294,0.1169212
