,Merck_male,Merck_female,tuple,&_male,&_female,Co._male,Co._female,average_male,average_female,female-male
3,0.27692825,0.24169146,"('likable', 'unlikable')",0.5202945,0.25173515,-0.7254191,-0.74938107,0.023934543132781982,-0.08531814813613892,-0.1092526912689209
13,0.2665816,0.7507273,"('helpful', 'unhelpful')",-1.4792297,-1.5617889,-0.6522835,-0.5078883,-0.621643861134847,-0.4396499792734782,0.18199388186136883
57,-0.2657484,-0.37710115,"('able', 'unable')",0.14282426,-0.0006297827,0.17571571,-0.07904898,0.01759718855222066,-0.15225996573766074,-0.1698571542898814
30,0.25380433,0.40536425,"('honest', 'dishonest')",-1.5715175,-1.6089077,-1.0314708,-0.89567107,-0.7830613454182943,-0.6997381846110026,0.08332316080729174
77,-0.24825922,-0.515832,"('active', 'inactive')",-0.078360364,-0.27548856,1.1205325,1.144274,0.26463764905929565,0.11765114466349284,-0.1469865043958028
18,0.24234551,0.42362562,"('social', 'asocial')",-0.2036233,-0.10633722,-1.4435323,-1.1990644,-0.46827006340026855,-0.29392532507578534,0.17434473832448322
73,0.23865783,0.42005682,"('brilliant', 'incompetent')",0.13757253,-0.0800339,-0.9768781,-1.1759812,-0.20021591583887735,-0.27865274747212726,-0.07843683163324991
29,0.22831005,0.34421146,"('honest', 'immoral')",-2.492492,-2.3022342,0.20510209,-0.060477585,-0.6863598823547363,-0.6728334426879883,0.013526439666748047
88,-0.21669686,-0.23399031,"('impulsive', 'meek')",1.1357977,0.689323,0.5823437,0.7728484,0.5004815260569254,0.4093937079111735,-0.0910878181457519
79,0.21324974,0.32857794,"('determined', 'doubtful')",0.8897472,0.8180775,-0.21612751,-0.31238312,0.2956231435139974,0.27809077501296997,-0.017532368501027407
43,-0.20269708,-0.31044865,"('genuine', 'fake')",0.49274534,0.51856124,-0.038898014,0.013310164,0.08371674021085103,0.07380758722623189,-0.00990915298461914
22,-0.18488395,-0.2486897,"('welcoming', 'disagreeable')",-0.26900083,-0.2040399,0.76318383,0.5713323,0.1030996839205424,0.03953423102696737,-0.06356545289357504
54,-0.1824788,-0.67380106,"('smart', 'stupid')",1.0975463,1.0455928,1.4021955,0.81912166,0.7724210421244303,0.3969711462656657,-0.3754498958587646
91,0.17803194,0.24415421,"('resilient', 'nonresilient')",0.63446367,0.73370516,0.23921737,-0.025794193,0.3505709966023763,0.3173550566037496,-0.03321593999862671
56,-0.12651196,-0.011083126,"('intelligent', 'dumb')",0.74053323,0.7549103,0.7380979,0.55834323,0.45070640246073407,0.4340567986170451,-0.016649603843688965
59,-0.11493212,0.03209625,"('skillful', 'clumsy')",0.059923977,-0.009785771,0.84315574,0.9710032,0.2627158562342326,0.3311045567194621,0.06838870048522949
72,-0.10968071,-0.120577484,"('logical', 'illogical')",-2.088004,-1.9749874,-0.28849572,-0.21778655,-0.8287268479665121,-0.7711171309153239,0.057609717051188225
35,0.10272002,0.16603297,"('fair', 'unfair')",0.016712442,-0.0033596903,-0.13433269,-0.080543555,-0.004966740806897481,0.02737657477458318,0.03234331558148066
86,0.08592901,-0.037275255,"('self-reliant', 'helpless')",3.6254056,3.315715,-1.4707252,-1.4478197,0.7468697230021158,0.610206683476766,-0.13666303952534986
65,0.08135116,0.46958238,"('practical', 'impractical')",-0.5269672,-0.39912766,-0.9004864,-1.0243759,-0.4487008253733317,-0.3179737329483032,0.1307270924250285
28,0.061037704,0.1884804,"('honest', 'dishonest')",-2.4815605,-2.3089046,-0.74667066,-0.77291024,-1.0557311375935872,-0.9644447962443033,0.09128634134928382
44,-0.049216405,0.107140705,"('truthful', 'untruthful')",-0.52573866,-0.6208297,0.35097486,0.32055447,-0.07466006278991699,-0.06437817215919495,0.010281890630722046
105,0.032363728,0.17478597,"('conventional', 'modern')",-1.011471,-1.0496438,-0.18340474,-0.4538503,-0.38750402132670086,-0.44290268421173096,-0.05539866288503009
47,0.00025815517,0.15919201,"('forgiving', 'unforgiving')",-0.74930066,-0.5109968,-0.5821495,-0.9225409,-0.4437306722005208,-0.42478187878926593,0.018948793411254883
