,Activision_male,Activision_female,tuple,Blizzard_male,Blizzard_female,average_male,average_female,female-male
14,1.3530755,1.3385886,"('supportive', 'unsupportive')",1.430589,1.3097117,1.3918322,1.3241501,-0.0676821
10,-1.3257791,-1.0813143,"('affectionate', 'unaffectionate')",-1.7776873,-1.6630615,-1.5517333,-1.3721879,0.1795454
1,-1.2491565,-0.98250455,"('friendly', 'unfriendly')",-2.1127203,-1.8746886,-1.6809384,-1.4285966,0.2523418
84,-1.208325,-1.3160664,"('self-confident', 'diffident')",-0.9405368,-1.0083609,-1.0744309,-1.1622136,-0.0877827
88,-1.1992304,-1.3023391,"('impulsive', 'meek')",1.2692614,1.2386177,0.0350155,-0.0318607,-0.0668762
104,-1.1895175,-1.0301667,"('conventional', 'unconventional')",-1.6485677,-1.3948388,-1.4190426,-1.2125027,0.2065399
19,-1.1338081,-1.1011394,"('funny', 'boring')",-0.04913932,-0.011862636,-0.5914737,-0.556501,0.0349727
38,1.1085529,1.1398946,"('kind', 'unkind')",-1.6639119,-1.4668115,-0.2776795,-0.1634585,0.114221
32,-1.1079937,-0.9578537,"('benevolent', 'hardhearted')",-1.5502888,-1.3350784,-1.3291413,-1.146466,0.1826753
13,1.0764637,1.0894297,"('helpful', 'unhelpful')",-1.7138662,-1.9123445,-0.3187013,-0.4114574,-0.0927561
87,1.0045304,1.0007442,"('dedicated', 'undedicated')",-0.48900217,-0.48596376,0.2577641,0.2573902,-0.0003739
85,0.9954597,0.94330263,"('ambitious', 'unambitious')",-0.02657175,-0.16221559,0.484444,0.3905435,-0.0939005
29,0.9902449,1.0217404,"('honest', 'immoral')",-1.5014539,-1.5480273,-0.2556045,-0.2631434,-0.0075389
62,-0.98723185,-0.8490394,"('creative', 'uncreative')",-1.0153983,-1.0373683,-1.0013151,-0.9432038,0.0581113
44,0.9340478,0.82118756,"('truthful', 'untruthful')",-0.109319925,-0.21538672,0.4123639,0.3029004,-0.1094635
43,0.91530895,0.8561782,"('genuine', 'fake')",-0.6498424,-0.6116439,0.1327333,0.1222672,-0.0104661
58,0.9042744,0.99385554,"('able', 'clumsy')",-1.3371533,-1.3399138,-0.2164395,-0.1730292,0.0434103
50,0.88573146,0.6611182,"('unprejudiced', 'prejudiced')",2.1118426,2.0358005,1.498787,1.3484594,-0.1503276
92,-0.8578397,-0.8542316,"('unwavering', 'wavering')",-0.18090063,-0.23004174,-0.5193702,-0.5421367,-0.0227665
57,-0.8576203,-0.91124254,"('able', 'unable')",-0.24841443,-0.21642284,-0.5530174,-0.5638327,-0.0108153
39,-0.79681325,-0.71508086,"('right', 'wrong')",0.074871615,0.15999338,-0.3609708,-0.2775437,0.0834271
17,0.74080706,0.9271184,"('social', 'antisocial')",0.14891718,0.29751933,0.4448621,0.6123189,0.1674568
97,-0.7380669,-0.556695,"('superior', 'inferior')",-1.0512707,-0.95993847,-0.8946688,-0.7583168,0.136352
11,-0.73175573,-0.5272606,"('caring', 'unaffectionate')",-2.4685726,-2.459911,-1.6001642,-1.4935858,0.1065784
53,0.6435473,0.6163224,"('smart', 'stupid')",-5.077709,-5.135396,-2.2170811,-2.2595367,-0.0424556
90,0.6206782,0.6503459,"('motivated', 'unmotivated')",1.1629657,0.9463525,0.8918219,0.7983492,-0.0934727
74,0.6144346,0.5920925,"('insightful', 'unperceptive')",-0.5787417,-0.72981554,0.0178464,-0.0688615,-0.0867079
40,-0.5991528,-0.6732216,"('honorable', 'mean')",-4.692669,-4.83782,-2.6459107,-2.7555208,-0.1096101
21,0.5697019,0.5131828,"('nice', 'nasty')",1.4424058,1.3605403,1.0060539,0.9368615,-0.0691924
6,0.54600877,0.4518921,"('liked', 'disliked')",7.3629313,7.4687557,3.9544699,3.9603238,0.0058539
27,0.5258645,0.6697813,"('sincere', 'insincere')",-6.0843353,-6.1090937,-2.7792354,-2.7196562,0.0595792
100,0.50649774,0.8583284,"('influential', 'uninfluential')",-0.9111346,-0.7267869,-0.2023184,0.0657707,0.2680891
70,0.5031673,0.64687157,"('wise', 'unwise')",0.6171478,0.6637918,0.5601575,0.6553317,0.0951742
103,0.4689667,0.57177615,"('traditional', 'modern')",0.36821994,0.41647694,0.4185933,0.4941266,0.0755333
80,0.44856852,0.4119507,"('independent', 'dependent')",1.0487524,1.1387068,0.7486604,0.7753288,0.0266684
59,-0.35653433,-0.42712516,"('skillful', 'clumsy')",0.39959973,0.45188653,0.0215327,0.0123807,-0.009152
34,0.29752254,0.5176889,"('loyal', 'disloyal')",-1.5855603,-1.4804199,-0.6440189,-0.4813655,0.1626534
46,0.2846349,0.43144903,"('generous', 'stingy')",2.2129588,2.2899323,1.2487968,1.3606906,0.1118938
24,0.27845088,0.32958442,"('thoughtful', 'rough')",-0.7715566,-0.67451537,-0.2465529,-0.1724655,0.0740874
96,0.26906428,0.31930888,"('powerful', 'powerless')",0.53317994,0.4962225,0.4011221,0.4077657,0.0066436
79,-0.26551518,-0.34996873,"('determined', 'doubtful')",0.65075433,0.5022293,0.1926196,0.0761303,-0.1164893
78,-0.24863857,-0.18347377,"('active', 'inactive')",1.1685163,1.0409846,0.4599389,0.4287554,-0.0311835
45,0.24433252,0.2280324,"('cooperative', 'exploitative')",-0.8080449,-0.94190764,-0.2818562,-0.3569376,-0.0750814
4,-0.2422959,-0.25697964,"('likable', 'unlikable')",0.4174065,0.32606173,0.0875553,0.034541,-0.0530143
105,-0.22936523,-0.11947769,"('conventional', 'modern')",-1.4461554,-1.3169515,-0.8377603,-0.7182146,0.1195457
77,0.2178919,0.22684841,"('active', 'inactive')",0.9343045,1.0683776,0.5760982,0.647613,0.0715148
68,0.21353889,0.15047541,"('clever', 'inept')",-0.64300245,-0.74865913,-0.2147318,-0.2990919,-0.0843601
33,-0.2059291,0.023716629,"('softhearted', 'hardhearted')",-1.44647,-1.2223417,-0.8261995,-0.5993125,0.226887
106,-0.20142731,-0.1238271,"('conventional', 'unconventional')",-0.30323827,-0.21286361,-0.2523328,-0.1683454,0.0839874
23,-0.19304863,-0.2319912,"('hospitable', 'inhospitable')",0.55351394,0.47074133,0.1802327,0.1193751,-0.0608576
95,-0.17140704,-0.16089574,"('rich', 'poor')",-5.98071,-6.027298,-3.0760586,-3.0940969,-0.0180383
22,0.14427176,0.115793005,"('welcoming', 'disagreeable')",0.96686655,0.95171714,0.5555692,0.5337551,-0.0218141
110,-0.14315996,-0.17037517,"('narrow-minded', 'open-minded')",-0.068876415,-0.082227975,-0.1060182,-0.1263016,-0.0202834
54,0.13174167,0.15617587,"('smart', 'stupid')",0.20645459,-0.022121236,0.1690981,0.0670273,-0.1020708
91,0.12815595,0.27672625,"('resilient', 'nonresilient')",-0.54605204,-0.563661,-0.208948,-0.1434674,0.0654806
86,-0.11689448,-0.32825243,"('self-reliant', 'helpless')",3.5579388,3.3946786,1.7205222,1.5332131,-0.1873091
55,0.10970178,0.23785454,"('intelligent', 'unintelligent')",-0.75501883,-0.7665341,-0.3226585,-0.2643398,0.0583187
101,-0.10854906,-0.19477096,"('successful', 'unsuccessful')",-0.48789564,-0.4514694,-0.2982224,-0.3231202,-0.0248978
35,0.08672425,0.20367013,"('fair', 'unfair')",0.7542205,0.98507935,0.4204724,0.5943747,0.1739023
102,-0.06832732,-0.15846446,"('eminent', 'low')",-0.8087323,-0.8180515,-0.4385298,-0.488258,-0.0497282
67,-0.060225353,0.07371695,"('discriminating', 'undiscriminating')",0.41432437,0.49275416,0.1770495,0.2832355,0.106186
72,0.051683426,0.25677264,"('logical', 'illogical')",-0.94312245,-0.78969187,-0.4457195,-0.2664596,0.1792599
