,Synopsys_male,Synopsys_female,tuple,average_male,average_female,female-male
78,0.8531207,0.82827425,"('active', 'inactive')",0.8531207,0.8282743,-0.0248464
98,-0.8516067,-0.78431237,"('prestigious', 'insignificant')",-0.8516067,-0.7843124,0.0672943
86,0.84082437,0.7255255,"('self-reliant', 'helpless')",0.8408244,0.7255255,-0.1152989
31,-0.8186352,-0.63127244,"('altruistic', 'egoistic')",-0.8186352,-0.6312724,0.1873628
58,0.80821145,0.9007953,"('able', 'clumsy')",0.8082114,0.9007953,0.0925839
49,0.7984984,0.79438096,"('responsible', 'irresponsible')",0.7984984,0.794381,-0.0041174
19,-0.7767485,-0.70302343,"('funny', 'boring')",-0.7767485,-0.7030234,0.0737251
81,-0.7590008,-0.741398,"('industrious', 'lazy')",-0.7590008,-0.741398,0.0176028
10,-0.75409114,-0.3390079,"('affectionate', 'unaffectionate')",-0.7540911,-0.3390079,0.4150832
70,0.7436522,0.79623204,"('wise', 'unwise')",0.7436522,0.796232,0.0525798
99,-0.7313542,-0.47869492,"('prestigious', 'insignificant')",-0.7313542,-0.4786949,0.2526593
2,0.6997657,0.6459746,"('friendly', 'unfriendly')",0.6997657,0.6459746,-0.0537911
97,-0.68816876,-0.71722525,"('superior', 'inferior')",-0.6881688,-0.7172253,-0.0290565
72,-0.66185975,-0.48059767,"('logical', 'illogical')",-0.6618598,-0.4805977,0.1812621
30,0.64520246,0.6298152,"('honest', 'dishonest')",0.6452025,0.6298152,-0.0153873
52,0.6416383,0.5778041,"('competitive', 'uncompetitive')",0.6416383,0.5778041,-0.0638342
45,-0.639472,-0.6151354,"('cooperative', 'exploitative')",-0.639472,-0.6151354,0.0243366
48,0.6364181,0.49474508,"('reliable', 'unreliable')",0.6364181,0.4947451,-0.141673
100,0.6155398,0.85857594,"('influential', 'uninfluential')",0.6155398,0.8585759,0.2430361
67,-0.60456336,-0.50889266,"('discriminating', 'undiscriminating')",-0.6045634,-0.5088927,0.0956707
60,0.5959826,0.6856086,"('educated', 'uneducated')",0.5959826,0.6856086,0.089626
77,0.5937906,0.5778928,"('active', 'inactive')",0.5937906,0.5778928,-0.0158978
41,-0.5689194,-0.45919985,"('incorrupt', 'corrupt')",-0.5689194,-0.4591998,0.1097196
85,0.5611219,0.68093055,"('ambitious', 'unambitious')",0.5611219,0.6809306,0.1198087
90,0.5102977,0.5174988,"('motivated', 'unmotivated')",0.5102977,0.5174988,0.0072011
106,-0.50327927,-0.40161976,"('conventional', 'unconventional')",-0.5032793,-0.4016198,0.1016595
35,-0.49471778,-0.41241306,"('fair', 'unfair')",-0.4947178,-0.4124131,0.0823047
55,-0.4927404,-0.2746647,"('intelligent', 'unintelligent')",-0.4927404,-0.2746647,0.2180757
33,-0.4879073,-0.34348875,"('softhearted', 'hardhearted')",-0.4879073,-0.3434888,0.1444185
5,0.47923473,0.41249663,"('pleasant', 'repellent')",0.4792347,0.4124966,-0.0667381
28,0.46411815,0.6134405,"('honest', 'dishonest')",0.4641182,0.6134405,0.1493223
76,0.4266503,0.34429625,"('secure', 'insecure')",0.4266503,0.3442962,-0.0823541
68,-0.42644683,-0.5917616,"('clever', 'inept')",-0.4264468,-0.5917616,-0.1653148
9,0.42584157,0.44152182,"('sensitive', 'insensitive')",0.4258416,0.4415218,0.0156802
11,-0.42565536,-0.033017665,"('caring', 'unaffectionate')",-0.4256554,-0.0330177,0.3926377
51,0.4216252,0.42321855,"('competent', 'incompetent')",0.4216252,0.4232185,0.0015933
82,-0.40727824,-0.35924095,"('industrious', 'meek')",-0.4072782,-0.3592409,0.0480373
21,0.40507174,0.32537815,"('nice', 'nasty')",0.4050717,0.3253781,-0.0796936
44,0.40477455,0.52548724,"('truthful', 'untruthful')",0.4047745,0.5254872,0.1207127
26,-0.3831865,-0.26053557,"('trustworthy', 'untrustworthy')",-0.3831865,-0.2605356,0.1226509
110,-0.3784957,-0.45926,"('narrow-minded', 'open-minded')",-0.3784957,-0.45926,-0.0807643
7,-0.36585546,-0.27017382,"('outgoing', 'distant')",-0.3658555,-0.2701738,0.0956817
16,0.3652767,0.29855478,"('social', 'antisocial')",0.3652767,0.2985548,-0.0667219
56,0.3388553,0.31842506,"('intelligent', 'dumb')",0.3388553,0.3184251,-0.0204302
101,-0.33492967,-0.41647032,"('successful', 'unsuccessful')",-0.3349297,-0.4164703,-0.0815406
4,-0.3305782,-0.27127472,"('likable', 'unlikable')",-0.3305782,-0.2712747,0.0593035
62,-0.31625277,-0.0032849312,"('creative', 'uncreative')",-0.3162528,-0.0032849,0.3129679
37,-0.31565636,-0.13028572,"('good', 'evil')",-0.3156564,-0.1302857,0.1853707
79,0.2965193,0.16449703,"('determined', 'doubtful')",0.2965193,0.164497,-0.1320223
84,-0.28479275,-0.15416043,"('self-confident', 'diffident')",-0.2847928,-0.1541604,0.1306324
92,0.2769134,0.19534951,"('unwavering', 'wavering')",0.2769134,0.1953495,-0.0815639
65,0.26693633,0.1587027,"('practical', 'impractical')",0.2669363,0.1587027,-0.1082336
20,0.26558143,0.37298393,"('popular', 'unpopular')",0.2655814,0.3729839,0.1074025
93,0.26408586,0.067030326,"('dominating', 'dominated')",0.2640859,0.0670303,-0.1970556
43,-0.24560793,-0.2122322,"('genuine', 'fake')",-0.2456079,-0.2122322,0.0333757
71,0.23245955,0.03641641,"('efficient', 'inefficient')",0.2324595,0.0364164,-0.1960431
36,0.21808586,0.2808471,"('tolerant', 'intolerant')",0.2180859,0.2808471,0.0627612
57,-0.21639061,-0.3261505,"('able', 'unable')",-0.2163906,-0.3261505,-0.1097599
42,-0.20460534,0.13190934,"('amicable', 'hostile')",-0.2046053,0.1319093,0.3365146
47,-0.20392592,0.06337702,"('forgiving', 'unforgiving')",-0.2039259,0.063377,0.2673029
102,0.19997628,0.23820217,"('eminent', 'low')",0.1999763,0.2382022,0.0382259
38,-0.18779808,0.027809113,"('kind', 'unkind')",-0.1877981,0.0278091,0.2156072
17,-0.18560132,0.0019385815,"('social', 'antisocial')",-0.1856013,0.0019386,0.1875399
54,0.16818225,0.1731045,"('smart', 'stupid')",0.1681823,0.1731045,0.0049222
13,-0.16621011,-0.2164051,"('helpful', 'unhelpful')",-0.1662101,-0.2164051,-0.050195
73,0.16163215,-0.014791101,"('brilliant', 'incompetent')",0.1616322,-0.0147911,-0.1764233
96,0.14544797,0.21203092,"('powerful', 'powerless')",0.145448,0.2120309,0.0665829
22,-0.14419854,0.041202683,"('welcoming', 'disagreeable')",-0.1441985,0.0412027,0.1854012
63,-0.12837169,-0.0730605,"('capable', 'incapable')",-0.1283717,-0.0730605,0.0553112
29,-0.1279381,-0.18665893,"('honest', 'immoral')",-0.1279381,-0.1866589,-0.0587208
88,0.12543415,0.037865803,"('impulsive', 'meek')",0.1254341,0.0378658,-0.0875683
50,0.12329435,-0.1252835,"('unprejudiced', 'prejudiced')",0.1232944,-0.1252835,-0.2485779
46,-0.121973485,0.025486201,"('generous', 'stingy')",-0.1219735,0.0254862,0.1474597
89,0.1198209,-0.1804159,"('daring', 'anxious')",0.1198209,-0.1804159,-0.3002368
64,-0.118961275,-0.24888206,"('clever', 'incompetent')",-0.1189613,-0.2488821,-0.1299208
0,0.107355,0.19829187,"('sociable', 'unsociable')",0.107355,0.1982919,0.0909369
74,-0.09929483,-0.004845783,"('insightful', 'unperceptive')",-0.0992948,-0.0048458,0.094449
87,0.08236092,0.17264378,"('dedicated', 'undedicated')",0.0823609,0.1726438,0.0902829
34,0.07870417,0.35732767,"('loyal', 'disloyal')",0.0787042,0.3573277,0.2786235
103,-0.074181765,0.13721034,"('traditional', 'modern')",-0.0741818,0.1372103,0.2113921
39,-0.06685625,0.04784494,"('right', 'wrong')",-0.0668563,0.0478449,0.1147012
69,-0.0628295,0.16461214,"('wise', 'foolish')",-0.0628295,0.1646121,0.2274416
91,0.046768934,0.1820797,"('resilient', 'nonresilient')",0.0467689,0.1820797,0.1353108
25,0.03526388,0.040057436,"('moral', 'immoral')",0.0352639,0.0400574,0.0047935
59,0.004448116,0.117089316,"('skillful', 'clumsy')",0.0044481,0.1170893,0.1126412
80,-0.0023943782,-0.082815334,"('independent', 'dependent')",-0.0023944,-0.0828153,-0.0804209
