,W._male,W._female,tuple,R._male,R._female,Berkley_male,Berkley_female,Corporation_male,Corporation_female,average_male,average_female,female-male
104,-1.0601656,-1.0262604,"('conventional', 'unconventional')",-0.35707664,-0.25743937,-1.9089327,-1.8035133,-0.8936192,-0.5166974,-1.0549486,-0.9009776,0.153971
61,1.0552974,1.3175211,"('rational', 'irrational')",0.29198068,0.5694271,-0.28009593,-0.16247815,0.24241582,0.5365246,0.3273995,0.5652486,0.2378491
17,-1.0552609,-0.85937023,"('social', 'antisocial')",-0.4478045,-0.26917753,0.6871884,0.72901213,-1.0290959,-0.7812415,-0.4612432,-0.2951943,0.1660489
64,-1.0373342,-1.2979639,"('clever', 'incompetent')",-1.1876075,-1.4229143,1.6389515,1.5909275,-1.1084907,-1.2355897,-0.4236202,-0.5913851,-0.1677649
11,-1.0079498,-1.0729861,"('caring', 'unaffectionate')",-0.8004885,-0.8624953,-0.44832256,-0.27471358,-1.7873064,-1.7140722,-1.0110168,-0.9810668,0.02995
62,-1.0030162,-1.1944785,"('creative', 'uncreative')",-0.4862772,-0.6185238,0.101712644,0.20761165,-0.59355617,-0.54130137,-0.4952843,-0.536673,-0.0413887
65,-0.97439,-1.2828678,"('practical', 'impractical')",-1.3200313,-1.4968077,1.8412385,1.7634915,-1.4706507,-1.5633919,-0.4809583,-0.644894,-0.1639357
85,-0.97203594,-1.1645508,"('ambitious', 'unambitious')",-0.33657697,-0.38967502,0.8394878,0.9075514,-1.0209961,-0.9879769,-0.3725303,-0.4086628,-0.0361325
18,-0.96316814,-1.2177253,"('social', 'asocial')",-0.8586395,-1.0507069,0.9610503,1.0597792,-1.1269926,-1.1898576,-0.4969375,-0.5996276,-0.1026901
38,-0.96013755,-0.9810844,"('kind', 'unkind')",-1.203926,-1.2249477,1.2862701,1.3606573,-2.3360877,-2.1750834,-0.8034703,-0.7551146,0.0483557
0,-0.9288189,-0.84129107,"('sociable', 'unsociable')",-1.1272175,-0.98292005,2.361327,2.4519372,-1.0868596,-0.87454176,-0.1953923,-0.0617039,0.1336884
47,-0.9229685,-0.91511834,"('forgiving', 'unforgiving')",-0.92207617,-0.9886196,0.25043792,0.39974687,-1.3958423,-1.2360581,-0.7476122,-0.6850123,0.0625999
9,-0.8895316,-0.98907,"('sensitive', 'insensitive')",-1.0503801,-1.1274207,1.293468,1.2750726,-1.2989955,-1.4105285,-0.4863598,-0.5629866,-0.0766268
71,-0.84737724,-1.2266078,"('efficient', 'inefficient')",-0.9157911,-1.2913494,3.0490978,2.7359507,-0.31214243,-0.66582847,0.2434468,-0.1119587,-0.3554055
94,0.83976054,0.62748706,"('aggressive', 'submissive')",-0.27439147,-0.40607563,2.5242798,2.3349793,0.5067985,0.31398696,0.8991119,0.7175944,-0.1815175
27,-0.83292574,-1.0880328,"('sincere', 'insincere')",-1.7303813,-1.7092849,1.4815804,1.6103911,-5.9254746,-6.0872383,-1.7518003,-1.8185413,-0.066741
105,-0.83030117,-0.7651126,"('conventional', 'modern')",-0.92557406,-0.8026416,-0.74819183,-0.6219429,-0.43854254,-0.4160932,-0.7356524,-0.6514475,0.0842049
20,0.8201642,0.9492762,"('popular', 'unpopular')",0.14285484,0.2729941,0.031196386,0.007718146,-0.4259438,-0.17401364,0.1420679,0.2639937,0.1219258
7,0.8049869,0.8875361,"('outgoing', 'distant')",0.49388716,0.4913705,-2.1067097,-2.0560021,1.2203294,1.2222133,0.1031234,0.1362794,0.033156
28,-0.79874295,-0.8394879,"('honest', 'dishonest')",-1.4819896,-1.418749,0.15635741,0.24607402,-1.754081,-1.7046982,-0.9696141,-0.9292153,0.0403988
42,0.79842114,1.1003855,"('amicable', 'hostile')",0.85824484,1.1038523,-2.1482406,-2.024911,0.7175753,1.0475513,0.0565002,0.3067196,0.2502194
83,-0.76893866,-0.907791,"('energetic', 'lethargic')",-0.8761523,-1.1395998,1.0651677,1.139883,-0.8529256,-0.97785556,-0.3582122,-0.4713409,-0.1131287
79,-0.74350023,-0.67371035,"('determined', 'doubtful')",-0.7635884,-0.6873335,0.63427556,0.49933237,0.009210169,0.021496922,-0.2159007,-0.2100537,0.005847
57,-0.7369944,-0.93850136,"('able', 'unable')",-0.015109986,-0.18511274,0.13336986,0.007815242,-0.059098035,-0.26861152,-0.1694582,-0.3461026,-0.1766444
24,-0.691942,-0.640761,"('thoughtful', 'rough')",-0.43290484,-0.39428762,-0.05556552,-0.0075741857,-0.6666918,-0.6926383,-0.461776,-0.4338153,0.0279607
22,0.67537236,0.49957347,"('welcoming', 'disagreeable')",0.18005045,0.05718127,0.8330952,0.7312584,0.7834791,0.9223124,0.6179993,0.5525814,-0.0654179
44,0.6716893,0.4391538,"('truthful', 'untruthful')",-0.07979064,-0.1721012,0.28426906,0.32739422,-1.0502793,-1.0505736,-0.0435279,-0.1140317,-0.0705038
54,0.6564098,0.5373863,"('smart', 'stupid')",1.0910118,0.87445915,-0.11189653,-0.4292307,0.27648887,0.18502852,0.4780035,0.2919108,-0.1860927
76,0.65555763,0.59927106,"('secure', 'insecure')",0.41134462,0.35219604,2.6721678,2.5581422,-0.25611198,-0.39448076,0.8707395,0.7787821,-0.0919574
98,0.65423596,0.52319884,"('prestigious', 'insignificant')",-0.0043997467,-0.06626895,-2.4978318,-2.4991434,-0.4130975,-0.3233846,-0.5652733,-0.5913995,-0.0261262
92,0.653584,0.6648166,"('unwavering', 'wavering')",0.7564125,0.64665514,-1.6477076,-1.5335562,-0.4527764,-0.27781996,-0.1726219,-0.1249761,0.0476458
107,0.6421931,0.8209969,"('conventional', 'modern')",-0.4937768,-0.47230107,2.212439,2.4853408,0.15696877,0.04123503,0.629456,0.7188179,0.0893619
90,0.6309575,0.41969165,"('motivated', 'unmotivated')",0.13804138,-0.19211301,1.9115052,1.628729,1.4671855,1.2563818,1.0369225,0.7781724,-0.2587501
4,-0.614246,-0.7003947,"('likable', 'unlikable')",-1.2753156,-1.3401906,-0.34655198,-0.5016435,-1.1267765,-1.0491971,-0.8407225,-0.8978565,-0.057134
23,0.6101454,0.40433586,"('hospitable', 'inhospitable')",0.3781563,0.24427658,-0.56844485,-0.5667528,0.06715667,0.14862442,0.1217534,0.057621,-0.0641324
93,-0.5995916,-0.5477234,"('dominating', 'dominated')",0.2743833,0.13659796,0.50472,0.46307972,-0.0038221478,0.034066856,0.0439224,0.0215053,-0.0224171
63,-0.579958,-0.7003001,"('capable', 'incapable')",-0.41731536,-0.38037178,-0.81522334,-0.86039513,-0.8338088,-0.82480395,-0.6615764,-0.6914678,-0.0298914
30,-0.5700634,-0.65446573,"('honest', 'dishonest')",-0.9014292,-1.0475404,0.8213541,0.6911858,-0.64388895,-0.610849,-0.3235068,-0.4054174,-0.0819106
52,-0.56943405,-0.67869735,"('competitive', 'uncompetitive')",-0.36432743,-0.6288396,2.2811759,2.1988955,-1.0085267,-1.0554684,0.0847219,-0.0410275,-0.1257494
15,0.5689837,0.52178675,"('polite', 'impolite')",0.56929314,0.40296766,3.2744489,3.1723914,0.60729504,0.55079806,1.2550051,1.161986,-0.0930191
45,-0.54566467,-0.8025423,"('cooperative', 'exploitative')",-0.5765925,-0.8417339,0.8520182,0.52310884,-0.7605086,-0.95082784,-0.2576869,-0.5179988,-0.2603119
31,-0.5396397,-0.54501605,"('altruistic', 'egoistic')",-1.0826757,-0.89840674,-1.6557767,-1.6018467,-0.59159064,-0.43182242,-0.9674207,-0.8692729,0.0981478
82,-0.5253912,-0.22712934,"('industrious', 'meek')",-0.05109915,0.20653282,-1.5986278,-1.7132055,0.82638836,1.0624516,-0.3371825,-0.1678376,0.1693449
91,-0.5114442,-0.71013373,"('resilient', 'nonresilient')",0.34061307,0.042551488,-0.009235375,-0.013303291,-0.13546547,-0.13475233,-0.078883,-0.2039095,-0.1250265
41,0.49991292,0.95916796,"('incorrupt', 'corrupt')",0.51711977,0.85382724,-3.4014883,-3.2184854,1.7075706,2.043691,-0.1692213,0.1595502,0.3287715
59,0.49141765,0.4449672,"('skillful', 'clumsy')",0.5874908,0.5948091,-0.124254376,-0.09819037,0.06462303,0.35131168,0.2548193,0.3232244,0.0684051
89,0.47571114,0.21709152,"('daring', 'anxious')",0.76946384,0.46402857,1.2273474,1.0552438,0.20823935,0.014363587,0.6701904,0.4376819,-0.2325085
48,0.45680797,0.32606775,"('reliable', 'unreliable')",0.38153207,0.13644975,0.6947361,0.5533624,1.7940993,1.8037168,0.8317939,0.7048992,-0.1268947
2,-0.4250354,-0.46453243,"('friendly', 'unfriendly')",-0.40277103,-0.5460327,2.6648386,2.559491,-1.0376813,-1.04854,0.1998377,0.1250964,-0.0747413
95,-0.4160253,-0.54296136,"('rich', 'poor')",-1.8998703,-1.8902583,-0.594077,-0.39894128,-5.3035636,-5.4428234,-2.0533841,-2.0687461,-0.015362
69,0.4083923,0.49498022,"('wise', 'foolish')",-0.40369213,-0.22836037,-1.3028843,-1.2381209,0.46945584,0.6314868,-0.2071821,-0.0850036,0.1221785
13,0.40079147,0.20372653,"('helpful', 'unhelpful')",-0.5409116,-0.6923058,1.9719064,1.9426227,-2.9682832,-3.1371207,-0.2841242,-0.4207693,-0.1366451
60,-0.38192928,-0.29110757,"('educated', 'uneducated')",-0.40861684,-0.27483264,2.0437734,2.0738242,-0.63648766,-0.49107665,0.1541849,0.2542018,0.1000169
103,0.37825018,0.39725572,"('traditional', 'modern')",-0.33891878,-0.33192325,1.0095323,0.85502243,1.3085226,1.3149366,0.5893466,0.5588229,-0.0305237
5,0.36887556,0.2933082,"('pleasant', 'repellent')",-0.23697944,-0.34323663,2.290326,2.1778636,-0.25773704,-0.39348692,0.5411212,0.433612,-0.1075092
6,0.3522513,0.3887784,"('liked', 'disliked')",1.1959091,1.105784,-0.6523067,-0.6312767,4.609497,4.9865475,1.3763378,1.4624583,0.0861205
19,-0.28630722,-0.10523757,"('funny', 'boring')",-0.28197816,-0.100591525,-0.9292953,-0.8774213,-0.5628154,-0.45039928,-0.515099,-0.3834124,0.1316866
46,-0.26061046,-0.20952031,"('generous', 'stingy')",-0.008777514,-0.0019009858,-0.10661059,0.07951394,1.4647251,1.7478253,0.2721816,0.4039795,0.1317979
37,0.2596472,0.42143846,"('good', 'evil')",1.2571528,1.3202358,-1.1164223,-1.098364,1.363445,1.5317115,0.4409557,0.5437554,0.1027997
55,0.21376313,0.027672485,"('intelligent', 'unintelligent')",0.6028352,0.5247952,1.4592416,1.4866194,-0.8582853,-0.7608187,0.3543886,0.3195671,-0.0348215
58,-0.18683064,-0.15414426,"('able', 'clumsy')",-0.5916925,-0.5274923,0.9997566,1.094724,-1.9668676,-1.9417025,-0.4364085,-0.3821537,0.0542548
36,-0.15750322,-0.3487546,"('tolerant', 'intolerant')",-1.1334529,-1.2863114,1.6349564,1.6286951,-1.0738385,-1.2501924,-0.1824596,-0.3141408,-0.1316812
10,-0.14964488,-0.25176233,"('affectionate', 'unaffectionate')",-0.16647972,-0.1511716,-1.235478,-0.87739605,-1.2556378,-1.1272457,-0.7018101,-0.6018939,0.0999162
8,0.119743496,0.17117918,"('open', 'distant')",0.3441991,0.3127012,-2.020821,-1.9412524,1.0239071,1.0725777,-0.1332429,-0.0961986,0.0370443
86,0.11705795,0.07375786,"('self-reliant', 'helpless')",-0.12087971,-0.123033226,-0.57776433,-0.65893006,2.936181,2.9082026,0.5886487,0.5499993,-0.0386494
56,-0.11465427,-0.26313788,"('intelligent', 'dumb')",-0.5341638,-0.6419835,-0.1804254,-0.20898089,1.060664,1.050429,0.0578552,-0.0159183,-0.0737735
99,-0.10519406,-0.2481128,"('prestigious', 'insignificant')",0.1443811,0.11538981,-2.6090739,-2.6549296,-0.36734855,-0.14205799,-0.7343088,-0.7324277,0.0018811
3,-0.10374272,-0.18418808,"('likable', 'unlikable')",0.17105913,0.077097535,0.912254,0.749194,1.2001915,1.255702,0.5449405,0.4744514,-0.0704891
29,-0.08144139,-0.17589805,"('honest', 'immoral')",-0.48158008,-0.41088405,0.86687374,0.70031804,-0.900992,-0.90648067,-0.1492849,-0.1982362,-0.0489513
96,-0.081342995,-0.14654961,"('powerful', 'powerless')",0.19585139,0.19944859,0.64314896,0.39838272,-0.17151986,-0.14666,0.1465344,0.0761554,-0.070379
80,0.07210707,0.017259777,"('independent', 'dependent')",-0.182017,-0.1716431,1.0377637,0.8791286,1.2020552,1.2808201,0.5324773,0.5013914,-0.0310859
39,-0.06917189,0.013420686,"('right', 'wrong')",-0.122800246,-0.08691655,-1.4087727,-1.3479404,0.31192005,0.5375889,-0.3222062,-0.2209619,0.1012443
81,-0.06697959,0.14854446,"('industrious', 'lazy')",0.4322495,0.5456374,-2.8216095,-2.9682715,1.5114976,1.6851848,-0.2362105,-0.1472262,0.0889843
49,0.06547782,-0.14568749,"('responsible', 'irresponsible')",-0.59962815,-0.8537992,1.6589531,1.6043812,-1.171669,-1.421817,-0.0117166,-0.2042306,-0.192514
77,-0.06447348,0.10973436,"('active', 'inactive')",0.9118817,0.892396,-1.0437942,-1.2462783,0.2532639,0.4833073,0.0142195,0.0597898,0.0455703
109,0.062094286,0.22590922,"('conservative', 'liberal')",-0.27241114,-0.23237686,2.253664,2.0102692,0.95013714,0.72841185,0.7483711,0.6830534,-0.0653177
108,0.062094286,0.22590922,"('conservative', 'liberal')",-0.27241114,-0.23237686,2.253664,2.0102692,0.95013714,0.72841185,0.7483711,0.6830534,-0.0653177
66,0.045610428,0.009806395,"('imaginative', 'unimaginative')",0.656772,0.4033746,1.1405566,1.2597578,1.4616767,1.5624113,0.8261539,0.8088375,-0.0173164
35,-0.03567438,0.17746976,"('fair', 'unfair')",0.088000625,0.20228279,-0.050878346,0.106684595,0.836849,1.0450791,0.2095742,0.3828791,0.1733049
84,-0.027085096,-0.3252062,"('self-confident', 'diffident')",0.45107722,0.28324273,-0.8010301,-0.8976747,-0.6401853,-0.46615046,-0.2543058,-0.3514472,-0.0971414
14,0.01965186,-0.21584329,"('supportive', 'unsupportive')",0.5474294,0.2789069,1.5219972,1.5448923,0.2834552,0.3673225,0.5931334,0.4938196,-0.0993138
97,0.017389342,0.031827368,"('superior', 'inferior')",-0.13360955,0.008334905,0.2454271,0.24779361,-1.1821775,-1.0645268,-0.2632427,-0.1941427,0.0691
34,0.016959583,-0.06164316,"('loyal', 'disloyal')",-0.44023037,-0.36403286,0.35311148,0.4378289,-1.952559,-1.8180134,-0.5056796,-0.4514651,0.0542145
110,-0.011701256,-0.22908711,"('narrow-minded', 'open-minded')",-0.6975966,-0.8564273,-0.87027967,-0.79294616,0.20299102,0.08157921,-0.3441466,-0.4492204,-0.1050738
