,Lockheed_male,Lockheed_female,tuple,Martin_male,Martin_female,average_male,average_female,female-male
7,-0.8981291,-0.98141193,"('outgoing', 'distant')",0.14583379,0.13518548,-0.3761477,-0.4231132,-0.0469655
28,-0.87629974,-0.7544967,"('honest', 'dishonest')",-1.2918333,-1.1349788,-1.0840665,-0.9447377,0.1393288
59,0.8691573,0.99833184,"('skillful', 'clumsy')",0.7012092,0.84067696,0.7851833,0.9195044,0.1343211
26,0.8601303,0.9490824,"('trustworthy', 'untrustworthy')",0.6961234,0.7764044,0.7781268,0.8627434,0.0846166
2,0.83626896,0.7745411,"('friendly', 'unfriendly')",-0.23524724,-0.24967848,0.3005109,0.2624313,-0.0380796
97,-0.8216344,-0.8184776,"('superior', 'inferior')",-0.5508476,-0.43314713,-0.686241,-0.6258124,0.0604286
42,-0.8018731,-0.67661285,"('amicable', 'hostile')",0.23411983,0.33954167,-0.2838766,-0.1685356,0.115341
24,-0.7864754,-0.7839438,"('thoughtful', 'rough')",-0.9442454,-0.9649992,-0.8653604,-0.8744715,-0.0091111
25,0.7801777,0.7869514,"('moral', 'immoral')",0.5120684,0.27750698,0.6461231,0.5322292,-0.1138939
35,0.7674787,0.92973685,"('fair', 'unfair')",0.88610977,1.0688779,0.8267943,0.9993074,0.1725131
60,0.7545769,0.84761643,"('educated', 'uneducated')",0.3695804,0.3697163,0.5620787,0.6086664,0.0465877
29,-0.75052226,-0.73260164,"('honest', 'immoral')",-1.3133742,-1.2976189,-1.0319482,-1.0151103,0.0168379
61,-0.74581456,-0.6995385,"('rational', 'irrational')",0.08902547,0.32398123,-0.3283945,-0.1877787,0.1406158
68,-0.7363047,-0.9614735,"('clever', 'inept')",-1.1546835,-1.2787344,-0.9454941,-1.120104,-0.1746099
106,-0.7025116,-0.38389593,"('conventional', 'unconventional')",-0.24180597,-0.16165958,-0.4721588,-0.2727778,0.199381
91,-0.6998258,-0.75007546,"('resilient', 'nonresilient')",0.31134793,0.22449803,-0.1942389,-0.2627887,-0.0685498
100,-0.6956538,-0.49019098,"('influential', 'uninfluential')",-0.5283736,-0.27028188,-0.6120137,-0.3802364,0.2317773
92,-0.6749879,-0.6457825,"('unwavering', 'wavering')",-0.63884944,-0.7286134,-0.6569186,-0.6871979,-0.0302793
30,0.6689793,0.7440374,"('honest', 'dishonest')",0.040424407,0.117305815,0.3547018,0.4306716,0.0759698
55,-0.58392155,-0.5739675,"('intelligent', 'unintelligent')",-0.4900119,-0.52543145,-0.5369667,-0.5496995,-0.0127328
72,-0.5536455,-0.38811058,"('logical', 'illogical')",-0.68591154,-0.43416208,-0.6197785,-0.4111363,0.2086422
22,0.5436822,0.5104247,"('welcoming', 'disagreeable')",0.55409294,0.6606679,0.5488876,0.5855463,0.0366587
88,0.5336318,0.45640117,"('impulsive', 'meek')",1.043841,0.93884563,0.7887364,0.6976234,-0.091113
67,-0.5306209,-0.48943758,"('discriminating', 'undiscriminating')",0.04963392,0.026882663,-0.2404935,-0.2312775,0.009216
102,-0.5153899,-0.5917798,"('eminent', 'low')",-0.1471507,-0.14695334,-0.3312703,-0.3693666,-0.0380963
64,0.4991818,0.43672895,"('clever', 'incompetent')",-0.35773158,-0.33975255,0.0707251,0.0484882,-0.0222369
41,-0.46451128,-0.26496148,"('incorrupt', 'corrupt')",-0.12480128,0.06012535,-0.2946563,-0.1024181,0.1922382
74,-0.45300484,-0.4576712,"('insightful', 'unperceptive')",-0.029201776,-0.16365916,-0.2411033,-0.3106652,-0.0695619
0,0.4482397,0.5559776,"('sociable', 'unsociable')",-0.328786,-0.11004156,0.0597269,0.222968,0.1632411
20,-0.411023,-0.39565787,"('popular', 'unpopular')",-0.20205933,-0.17526114,-0.3065411,-0.2854595,0.0210816
79,0.399979,0.43535423,"('determined', 'doubtful')",0.36834848,0.20708692,0.3841637,0.3212206,-0.0629431
101,-0.3957023,-0.509075,"('successful', 'unsuccessful')",-0.3236342,-0.29181337,-0.3596683,-0.4004442,-0.0407759
17,0.39484006,0.6354157,"('social', 'antisocial')",0.44499692,0.654248,0.4199185,0.6448318,0.2249133
12,0.38429648,0.38084888,"('sympathetic', 'unsympathetic')",-0.9097918,-0.8430452,-0.2627477,-0.2310981,0.0316496
43,0.37317765,0.52842593,"('genuine', 'fake')",-0.17079249,-0.16575763,0.1011926,0.1813342,0.0801416
69,-0.35699272,-0.3803519,"('wise', 'foolish')",-0.4436359,-0.3605268,-0.4003143,-0.3704394,0.0298749
44,-0.3472039,-0.40353256,"('truthful', 'untruthful')",-0.4740347,-0.57798856,-0.4106193,-0.4907606,-0.0801413
4,-0.34405807,-0.3888784,"('likable', 'unlikable')",0.3806455,0.2970543,0.0182937,-0.0459121,-0.0642058
47,-0.33990657,-0.19410738,"('forgiving', 'unforgiving')",-0.7748306,-0.67252624,-0.5573686,-0.4333168,0.1240518
96,0.30147257,0.25685817,"('powerful', 'powerless')",0.28603923,0.28766796,0.2937559,0.2722631,-0.0214928
18,0.29992455,0.39404675,"('social', 'asocial')",-0.6660864,-0.47763193,-0.1830809,-0.0417926,0.1412883
87,-0.2882645,-0.17025524,"('dedicated', 'undedicated')",-0.32867062,-0.2069053,-0.3084676,-0.1885803,0.1198873
70,0.26289892,0.27935454,"('wise', 'unwise')",0.3064443,0.3287428,0.2846716,0.3040487,0.0193771
58,-0.2536685,-0.017458066,"('able', 'clumsy')",-1.0237793,-0.9651425,-0.6387239,-0.4913003,0.1474236
23,-0.23908854,-0.3788954,"('hospitable', 'inhospitable')",0.36384678,0.27293068,0.0623791,-0.0529824,-0.1153615
37,-0.20362568,-0.21875894,"('good', 'evil')",0.69273794,0.86779726,0.2445561,0.3245192,0.0799631
65,0.20289856,0.26050216,"('practical', 'impractical')",-0.43055096,-0.5643679,-0.1138262,-0.1519329,-0.0381067
36,0.15439373,0.102782935,"('tolerant', 'intolerant')",-1.1764151,-1.2365632,-0.5110106,-0.5668901,-0.0558795
45,-0.11962804,-0.25787276,"('cooperative', 'exploitative')",-0.51143134,-0.5935376,-0.3155297,-0.4257052,-0.1101755
54,0.11054072,-0.04297355,"('smart', 'stupid')",0.03323239,-0.1448558,0.0718866,-0.0939147,-0.1658013
81,0.105617344,-0.039147735,"('industrious', 'lazy')",1.5261745,1.5238682,0.8158959,0.7423602,-0.0735357
9,-0.09791759,-0.24561933,"('sensitive', 'insensitive')",-0.8324743,-0.8100393,-0.465196,-0.5278293,-0.0626333
57,-0.095491916,-0.19687173,"('able', 'unable')",0.29010725,0.09279847,0.0973077,-0.0520366,-0.1493443
49,-0.09548485,-0.08085847,"('responsible', 'irresponsible')",-0.5577394,-0.549575,-0.3266121,-0.3152167,0.0113954
85,-0.08417696,-0.13177162,"('ambitious', 'unambitious')",-0.081249356,-0.029725134,-0.0827132,-0.0807484,0.0019648
110,0.075550705,0.053666443,"('narrow-minded', 'open-minded')",-0.86985326,-0.86302674,-0.3971513,-0.4046801,-0.0075288
73,-0.05699873,-0.3022461,"('brilliant', 'incompetent')",-0.61586267,-0.8462782,-0.3364307,-0.5742621,-0.2378314
77,0.029942632,0.07272589,"('active', 'inactive')",0.6006664,0.63735455,0.3153045,0.3550402,0.0397357
