,Mohawk_male,Mohawk_female,tuple,Industries_male,Industries_female,average_male,average_female,female-male
1,-1.2627184,-1.0984489,"('friendly', 'unfriendly')",-1.1629856,-0.884024,-1.212852,-0.9912364,0.2216156
32,-1.2591739,-1.0036796,"('benevolent', 'hardhearted')",-2.0282102,-1.8348258,-1.643692,-1.4192526,0.2244394
105,-1.2372438,-1.1349063,"('conventional', 'modern')",-0.05533836,0.010050893,-0.6462911,-0.5624277,0.0838634
34,-1.2355821,-1.0911117,"('loyal', 'disloyal')",-1.4613776,-1.2748494,-1.3484799,-1.1829805,0.1654994
98,-1.1844203,-1.0959872,"('prestigious', 'insignificant')",0.5098675,0.5997658,-0.3372764,-0.2481107,0.0891657
12,-1.1758244,-1.2241096,"('sympathetic', 'unsympathetic')",-1.174154,-1.2030296,-1.1749892,-1.2135696,-0.0385804
45,-1.1488338,-1.179135,"('cooperative', 'exploitative')",0.5912817,0.2693385,-0.278776,-0.4548982,-0.1761222
93,1.0717851,0.95270777,"('dominating', 'dominated')",-0.176082,-0.24158423,0.4478515,0.3555618,-0.0922897
56,1.0697057,0.9618582,"('intelligent', 'dumb')",0.5888846,0.59614944,0.8292952,0.7790039,-0.0502913
62,-1.0549154,-0.83757246,"('creative', 'uncreative')",-0.8645601,-0.8346119,-0.9597378,-0.8360922,0.1236456
82,1.0019101,1.0507424,"('industrious', 'meek')",-0.67390954,-0.49639627,0.1640003,0.277173,0.1131727
58,-1.0004945,-1.0496175,"('able', 'clumsy')",-1.7971747,-1.6473671,-1.3988346,-1.3484924,0.0503422
37,0.9951881,1.0336692,"('good', 'evil')",1.7805061,1.8664982,1.3878472,1.4500837,0.0622365
15,0.9830725,1.0774713,"('polite', 'impolite')",0.49407008,0.5602961,0.7385713,0.8188837,0.0803124
20,0.958216,1.0087678,"('popular', 'unpopular')",-0.73114204,-0.18789211,0.113537,0.4104379,0.2969009
87,-0.92123115,-0.8792312,"('dedicated', 'undedicated')",-1.3518368,-1.1681541,-1.136534,-1.0236926,0.1128414
65,-0.9209507,-1.0513624,"('practical', 'impractical')",-2.0819013,-2.088668,-1.501426,-1.5700152,-0.0685892
84,-0.91018844,-0.8750607,"('self-confident', 'diffident')",0.09464367,0.038878262,-0.4077724,-0.4180912,-0.0103188
29,-0.8832609,-0.8803632,"('honest', 'immoral')",-0.554641,-0.5835709,-0.718951,-0.7319671,-0.0130161
99,-0.87551606,-0.7821418,"('prestigious', 'insignificant')",0.009299263,0.28978628,-0.4331084,-0.2461778,0.1869306
107,0.8547794,0.9973799,"('conventional', 'modern')",0.65144384,0.73251873,0.7531116,0.8649493,0.1118377
41,0.8488723,1.0965638,"('incorrupt', 'corrupt')",1.2936033,1.5560434,1.0712378,1.3263036,0.2550658
77,0.8420548,0.9133189,"('active', 'inactive')",-0.0065146238,0.18430719,0.4177701,0.548813,0.1310429
38,-0.8401214,-0.58098614,"('kind', 'unkind')",-2.2023685,-1.762721,-1.521245,-1.1718535,0.3493915
81,0.80283344,0.9130449,"('industrious', 'lazy')",0.61784387,0.666038,0.7103387,0.7895415,0.0792028
68,-0.78413844,-1.0861809,"('clever', 'inept')",-0.95809555,-1.0989124,-0.871117,-1.0925467,-0.2214297
85,-0.77009267,-0.68505204,"('ambitious', 'unambitious')",-0.9171675,-0.96541893,-0.8436301,-0.8252355,0.0183946
74,-0.75291526,-0.8245168,"('insightful', 'unperceptive')",-1.1392156,-1.0978262,-0.9460654,-0.9611715,-0.0151061
16,0.7520449,0.82495546,"('social', 'antisocial')",-0.89125395,-0.8695431,-0.0696045,-0.0222938,0.0473107
101,0.74414754,0.59224623,"('successful', 'unsuccessful')",-2.0965204,-1.8320664,-0.6761864,-0.6199101,0.0562763
35,0.734412,0.86712325,"('fair', 'unfair')",1.362152,1.4033424,1.048282,1.1352328,0.0869508
97,-0.72852933,-0.6808244,"('superior', 'inferior')",0.026606798,0.11813608,-0.3509613,-0.2813442,0.0696171
42,0.7232358,0.857761,"('amicable', 'hostile')",0.84750926,1.166899,0.7853725,1.0123301,0.2269576
83,-0.709916,-0.8534964,"('energetic', 'lethargic')",-0.36365747,-0.42694953,-0.5367867,-0.640223,-0.1034363
90,0.6761012,0.5323528,"('motivated', 'unmotivated')",1.4812958,1.224264,1.0786985,0.8783084,-0.2003901
102,-0.67493844,-0.7366171,"('eminent', 'low')",-2.149385,-1.7078035,-1.4121617,-1.2222103,0.1899514
94,0.6625994,0.5224016,"('aggressive', 'submissive')",-0.6474413,-0.558233,0.007579,-0.0179157,-0.0254947
18,-0.6557224,-0.5315449,"('social', 'asocial')",-0.3149988,-0.47563744,-0.4853606,-0.5035912,-0.0182306
9,-0.6519619,-0.8333573,"('sensitive', 'insensitive')",-1.0515615,-1.187205,-0.8517617,-1.0102811,-0.1585194
46,0.6425216,0.9924176,"('generous', 'stingy')",2.0119221,2.1115098,1.3272219,1.5519637,0.2247418
57,0.63048446,0.37839055,"('able', 'unable')",0.2744552,-0.05615598,0.4524698,0.1611173,-0.2913525
47,-0.6257849,-0.60876524,"('forgiving', 'unforgiving')",-0.3370908,-0.0126862265,-0.4814378,-0.3107257,0.1707121
73,-0.5757224,-0.92814857,"('brilliant', 'incompetent')",-1.4745528,-1.5318446,-1.0251375,-1.2299966,-0.2048591
109,0.55936205,0.541953,"('conservative', 'liberal')",1.0978332,1.0623202,0.8285976,0.8021367,-0.0264609
108,0.55936205,0.541953,"('conservative', 'liberal')",1.0978332,1.0623202,0.8285976,0.8021367,-0.0264609
39,-0.5569722,-0.2857972,"('right', 'wrong')",0.1467777,0.41028675,-0.2050973,0.0622448,0.2673421
24,-0.55559754,-0.53757155,"('thoughtful', 'rough')",-0.4619283,-0.5629409,-0.508763,-0.5502563,-0.0414933
78,0.52959025,0.5104859,"('active', 'inactive')",1.6679761,1.4239768,1.0987833,0.9672313,-0.131552
59,0.5088528,0.6855612,"('skillful', 'clumsy')",-0.47754994,-0.18815401,0.0156514,0.2487036,0.2330522
100,-0.508114,-0.28999442,"('influential', 'uninfluential')",-1.3240211,-0.8147355,-0.9160675,-0.5523649,0.3637026
7,-0.50351506,-0.41324574,"('outgoing', 'distant')",1.3329443,1.1758041,0.4147146,0.3812792,-0.0334354
52,0.5009465,0.34139585,"('competitive', 'uncompetitive')",-0.9349282,-0.7886499,-0.2169908,-0.223627,-0.0066362
60,0.48770157,0.60306585,"('educated', 'uneducated')",-0.5713663,-0.08983433,-0.0418324,0.2566158,0.2984482
8,-0.46173754,-0.3505846,"('open', 'distant')",0.96041614,0.94498664,0.2493393,0.297201,0.0478617
61,0.43086183,0.56026626,"('rational', 'irrational')",0.5371382,0.8631108,0.484,0.7116885,0.2276885
22,0.4281334,0.6215969,"('welcoming', 'disagreeable')",1.0259509,1.1422787,0.7270421,0.8819377,0.1548956
44,-0.4191794,-0.41763183,"('truthful', 'untruthful')",-0.9586052,-0.9283687,-0.6888923,-0.6730003,0.015892
54,0.4110822,0.2537048,"('smart', 'stupid')",-0.22168295,-0.1659868,0.0946996,0.043859,-0.0508406
76,0.4015606,0.3102823,"('secure', 'insecure')",0.55031323,0.34369132,0.4759369,0.3269868,-0.1489501
19,-0.39227706,-0.35092765,"('funny', 'boring')",-0.1013006,0.08245766,-0.2467888,-0.134235,0.1125538
70,0.39216518,0.5558826,"('wise', 'unwise')",0.6337862,0.7821122,0.5129757,0.6689974,0.1560217
106,-0.37298113,-0.50835806,"('conventional', 'unconventional')",-0.30726954,-0.22972384,-0.3401253,-0.369041,-0.0289157
92,-0.3425089,-0.38864025,"('unwavering', 'wavering')",0.14390731,0.28245085,-0.0993008,-0.0530947,0.0462061
23,0.33459336,0.30949873,"('hospitable', 'inhospitable')",1.1481532,1.1584556,0.7413733,0.7339772,-0.0073961
2,0.3343423,0.21399815,"('friendly', 'unfriendly')",-0.52847886,-0.48660094,-0.0970683,-0.1363014,-0.0392331
14,-0.32805008,-0.29681915,"('supportive', 'unsupportive')",0.10205868,0.12419796,-0.1129957,-0.0863106,0.0266851
79,0.32145116,0.26706043,"('determined', 'doubtful')",-0.066639334,-0.0014395118,0.1274059,0.1328105,0.0054046
31,-0.31278983,-0.055790856,"('altruistic', 'egoistic')",-0.3285761,-0.18031588,-0.3206829,-0.1180534,0.2026295
72,-0.29968655,-0.0022604465,"('logical', 'illogical')",-0.6204004,-0.19337752,-0.4600435,-0.097819,0.3622245
55,-0.25540042,-0.27421522,"('intelligent', 'unintelligent')",-0.71839297,-0.46990395,-0.4868967,-0.3720596,0.1148371
17,0.23937127,0.40370172,"('social', 'antisocial')",-1.2292439,-0.9359433,-0.4949363,-0.2661208,0.2288155
67,0.23729143,0.14171453,"('discriminating', 'undiscriminating')",-1.1599871,-1.0052924,-0.4613478,-0.431789,0.0295588
25,0.23641112,0.09087269,"('moral', 'immoral')",-0.72002727,-0.68102133,-0.2418081,-0.2950743,-0.0532662
103,0.20105572,0.18294306,"('traditional', 'modern')",1.3096968,1.5146306,0.7553763,0.8487868,0.0934105
96,0.17393291,0.09830311,"('powerful', 'powerless')",-0.4062827,-0.31003895,-0.1161749,-0.1058679,0.010307
51,0.1719675,0.025628611,"('competent', 'incompetent')",-0.8661257,-0.7777065,-0.3470791,-0.3760389,-0.0289598
71,-0.1702308,-0.31254768,"('efficient', 'inefficient')",-1.2974857,-1.4408964,-0.7338582,-0.876722,-0.1428638
110,-0.16482723,-0.2675428,"('narrow-minded', 'open-minded')",0.16329029,0.0330846,-0.0007685,-0.1172291,-0.1164606
64,-0.16258848,-0.27176434,"('clever', 'incompetent')",-0.81846863,-0.7613552,-0.4905286,-0.5165598,-0.0260312
4,0.15778613,0.13242188,"('likable', 'unlikable')",-0.6075755,-0.51352745,-0.2248947,-0.1905528,0.0343419
0,0.11327633,0.26743084,"('sociable', 'unsociable')",-0.67727435,-0.38381505,-0.281999,-0.0581921,0.2238069
89,0.1075463,-0.053196914,"('daring', 'anxious')",-0.19368844,-0.3065796,-0.0430711,-0.1798882,-0.1368171
26,0.107053064,0.1774708,"('trustworthy', 'untrustworthy')",1.5367117,1.2633225,0.8218824,0.7203966,-0.1014858
91,-0.061061002,-0.035091467,"('resilient', 'nonresilient')",0.110311896,0.08934936,0.0246254,0.0271289,0.0025035
30,-0.051138625,-0.13435647,"('honest', 'dishonest')",-0.90294576,-0.82668793,-0.4770422,-0.4805222,-0.00348
43,-0.040811077,-0.29042616,"('genuine', 'fake')",-0.953267,-0.9596858,-0.497039,-0.625056,-0.128017
69,0.033218354,0.14640853,"('wise', 'foolish')",0.038376376,0.14034276,0.0357974,0.1433756,0.1075782
5,-0.0212662,-0.09256329,"('pleasant', 'repellent')",-0.053643815,-0.18354139,-0.037455,-0.1380523,-0.1005973
