,Mondelez_male,Mondelez_female,tuple,International_male,International_female,average_male,average_female,female-male
36,1.5452268,1.5808908,"('tolerant', 'intolerant')",-1.4221469,-1.1436408,0.06153994798660278,0.218625009059906,0.15708506107330322
93,1.5333164,1.590466,"('dominating', 'dominated')",-0.5671986,-0.32848465,0.483058899641037,0.6309906840324402,0.1479317843914032
14,1.5087316,1.3638624,"('supportive', 'unsupportive')",0.025962263,0.073874116,0.7673469185829163,0.7188682556152344,-0.048478662967681885
13,1.4651119,1.5489585,"('helpful', 'unhelpful')",-2.80716,-2.5100725,-0.6710240244865417,-0.4805569648742676,0.19046705961227417
52,1.4505771,1.4417793,"('competitive', 'uncompetitive')",-0.823648,-0.44145668,0.31346458196640015,0.5001612901687622,0.18669670820236206
64,1.4398967,1.4518526,"('clever', 'incompetent')",-0.85765785,-0.55732083,0.29111942648887634,0.4472658634185791,0.15614643692970276
73,1.4241903,1.2811797,"('brilliant', 'incompetent')",-1.6141058,-1.5568221,-0.09495776891708374,-0.13782119750976562,-0.042863428592681885
9,1.4014931,1.3515801,"('sensitive', 'insensitive')",-1.1136655,-0.8509408,0.14391380548477173,0.2503196597099304,0.10640585422515869
104,-1.3949208,-1.346625,"('conventional', 'unconventional')",-0.39736626,-0.4205701,-0.8961435556411743,-0.8835975527763367,0.012546002864837646
26,1.3866746,1.486284,"('trustworthy', 'untrustworthy')",-0.26996118,-0.11237903,0.558356761932373,0.6869524717330933,0.12859570980072021
100,1.3606483,1.4317296,"('influential', 'uninfluential')",-0.82501674,-0.46806818,0.2678157687187195,0.4818306863307953,0.2140149176120758
48,1.3451242,1.1034397,"('reliable', 'unreliable')",0.8652761,0.8853814,1.105200171470642,0.994410514831543,-0.11078965663909912
84,-1.308262,-1.4143032,"('self-confident', 'diffident')",-0.5107722,-0.52280045,-0.9095171093940735,-0.9685518145561218,-0.05903470516204834
77,-1.287118,-1.3122224,"('active', 'inactive')",0.46500355,0.31371045,-0.4110572040081024,-0.4992559552192688,-0.08819875121116638
95,-1.2842156,-1.1476249,"('rich', 'poor')",-3.2731223,-3.2933433,-2.2786688804626465,-2.2204840183258057,0.05818486213684082
23,-1.2672787,-1.2854666,"('hospitable', 'inhospitable')",0.6887044,0.4909879,-0.28928714990615845,-0.3972393274307251,-0.10795217752456665
85,1.2130666,1.2796254,"('ambitious', 'unambitious')",0.21648605,0.21595848,0.714776337146759,0.7477919459342957,0.03301560878753662
3,1.1608475,1.0051682,"('likable', 'unlikable')",0.81729734,0.89826584,0.9890724420547485,0.9517170190811157,-0.03735542297363281
90,1.1182913,1.053828,"('motivated', 'unmotivated')",0.106437355,0.17302895,0.6123642921447754,0.6134284734725952,0.0010641813278198242
63,-1.1147063,-1.2113545,"('capable', 'incapable')",-1.3205578,-1.2962096,-1.2176320552825928,-1.253782033920288,-0.03614997863769531
53,-1.0856556,-0.98344696,"('smart', 'stupid')",-2.8855224,-2.967436,-1.9855890274047852,-1.9754414558410645,0.010147571563720703
18,1.0074621,0.9727224,"('social', 'asocial')",-0.7477702,-0.55296695,0.1298459768295288,0.20987772941589355,0.08003175258636475
19,-0.9348531,-0.8819765,"('funny', 'boring')",-0.052633524,0.0795832,-0.49374330043792725,-0.4011966586112976,0.09254664182662964
0,0.93403506,0.9718428,"('sociable', 'unsociable')",-1.2653099,-0.813823,-0.16563743352890015,0.07900992035865784,0.24464735388755798
106,-0.91878605,-1.0164511,"('conventional', 'unconventional')",-0.23191574,-0.030936249,-0.5753508806228638,-0.5236936807632446,0.05165719985961914
15,0.88791674,0.9551425,"('polite', 'impolite')",-0.56793356,-0.093961895,0.15999159216880798,0.43059030175209045,0.27059870958328247
69,-0.87658995,-0.7943857,"('wise', 'foolish')",0.10337828,-0.035898,-0.386605829000473,-0.4151418209075928,-0.02853599190711975
101,-0.8537511,-0.876157,"('successful', 'unsuccessful')",-1.7151933,-1.4365993,-1.2844722270965576,-1.156378149986267,0.12809407711029053
46,0.8473785,0.8609961,"('generous', 'stingy')",1.5035864,1.4246156,1.1754825115203857,1.142805814743042,-0.03267669677734375
17,0.8138213,0.9095341,"('social', 'antisocial')",0.03538558,0.2455725,0.4246034622192383,0.5775532722473145,0.15294981002807617
47,0.8059713,0.8394979,"('forgiving', 'unforgiving')",-0.67771614,-0.5561573,0.0641275942325592,0.1416703164577484,0.07754272222518921
55,0.79361,0.8224021,"('intelligent', 'unintelligent')",-1.1294755,-0.8415381,-0.16793274879455566,-0.009567975997924805,0.15836477279663086
97,-0.7740171,-0.614598,"('superior', 'inferior')",-1.2022979,-0.99935764,-0.9881575107574463,-0.8069778084754944,0.1811797022819519
32,-0.75496656,-0.73328686,"('benevolent', 'hardhearted')",-1.9611683,-1.8494701,-1.3580673933029175,-1.2913784980773926,0.0666888952255249
24,-0.7508762,-0.6745992,"('thoughtful', 'rough')",-1.3453565,-1.2281961,-1.0481163263320923,-0.9513976573944092,0.0967186689376831
49,0.7453589,0.738564,"('responsible', 'irresponsible')",-1.7443471,-1.6050742,-0.49949410557746887,-0.43325507640838623,0.06623902916908264
33,-0.7277216,-0.6914638,"('softhearted', 'hardhearted')",-0.67043316,-0.6018776,-0.6990773677825928,-0.6466706991195679,0.0524066686630249
37,-0.716221,-0.75479084,"('good', 'evil')",2.059823,1.710595,0.6718010306358337,0.4779020845890045,-0.19389894604682922
10,-0.71119416,-0.71021277,"('affectionate', 'unaffectionate')",-0.20973197,-0.30440617,-0.4604630470275879,-0.5073094367980957,-0.04684638977050781
30,0.69694746,0.7015343,"('honest', 'dishonest')",-1.0175533,-0.7693776,-0.16030293703079224,-0.033921658992767334,0.1263812780380249
6,0.69134796,0.48372346,"('liked', 'disliked')",3.815958,3.7379563,2.253653049468994,2.11083984375,-0.14281320571899414
65,0.6775892,0.6452289,"('practical', 'impractical')",-2.3834305,-2.0585659,-0.852920651435852,-0.706668496131897,0.14625215530395508
105,-0.64477986,-0.5633539,"('conventional', 'modern')",1.1424013,1.0702004,0.24881073832511902,0.253423273563385,0.004612535238265991
80,0.61202073,0.67546207,"('independent', 'dependent')",-0.068887115,0.019133441,0.27156680822372437,0.3472977578639984,0.07573094964027405
28,0.60174906,0.6862087,"('honest', 'dishonest')",-1.0566263,-0.88033825,-0.22743862867355347,-0.09706476330757141,0.13037386536598206
59,-0.5973085,-0.6058258,"('skillful', 'clumsy')",-0.2745158,-0.1149542,-0.435912162065506,-0.3603900074958801,0.07552215456962585
89,0.57674897,0.5307618,"('daring', 'anxious')",-1.4468725,-1.3584311,-0.4350617527961731,-0.41383466124534607,0.021227091550827026
38,0.5209518,0.59609514,"('kind', 'unkind')",-1.8160008,-1.3723699,-0.6475244760513306,-0.3881373703479767,0.2593871057033539
62,-0.5127686,-0.44169396,"('creative', 'uncreative')",-0.098593056,-0.18771952,-0.3056808412075043,-0.3147067427635193,-0.009025901556015015
78,-0.49855265,-0.6332345,"('active', 'inactive')",2.507505,2.1973464,1.0044761896133423,0.7820559740066528,-0.22242021560668945
11,-0.4751349,-0.4884715,"('caring', 'unaffectionate')",-1.3934163,-1.3194525,-0.9342756271362305,-0.9039620161056519,0.030313611030578613
110,0.43203843,0.47386003,"('narrow-minded', 'open-minded')",0.9867214,0.7465326,0.7093799114227295,0.6101963520050049,-0.09918355941772461
87,0.4276418,0.5390517,"('dedicated', 'undedicated')",-1.5840076,-1.4616315,-0.5781829357147217,-0.4612899124622345,0.11689302325248718
56,0.41809955,0.28915852,"('intelligent', 'dumb')",0.5737123,0.574834,0.49590593576431274,0.43199625611305237,-0.06390967965126038
21,0.36870223,0.3120187,"('nice', 'nasty')",1.0501921,1.0101808,0.7094471454620361,0.6610997915267944,-0.0483473539352417
72,0.35240906,0.49137378,"('logical', 'illogical')",-0.45527747,-0.2069935,-0.05143420398235321,0.1421901285648346,0.1936243325471878
74,0.33748728,0.3044042,"('insightful', 'unperceptive')",-1.8090441,-1.6322012,-0.7357784509658813,-0.6638984680175781,0.07187998294830322
86,-0.31863123,-0.41582143,"('self-reliant', 'helpless')",1.4598708,1.3292016,0.5706198215484619,0.45669007301330566,-0.11392974853515625
34,0.3137132,0.42534167,"('loyal', 'disloyal')",-1.3244035,-1.0854723,-0.5053451657295227,-0.3300653398036957,0.17527982592582703
29,0.27869093,0.2918959,"('honest', 'immoral')",-1.0073829,-0.7803881,-0.3643459677696228,-0.24424611032009125,0.12009985744953156
70,0.2573253,0.34033278,"('wise', 'unwise')",1.1806103,1.0229962,0.7189677953720093,0.6816644668579102,-0.03730332851409912
91,-0.24203199,-0.31509405,"('resilient', 'nonresilient')",-0.559612,-0.4650722,-0.4008219838142395,-0.3900831341743469,0.010738849639892578
35,-0.20460904,-0.18264766,"('fair', 'unfair')",0.7962006,0.9641938,0.2957957684993744,0.39077308773994446,0.09497731924057007
88,-0.19803992,-0.21377414,"('impulsive', 'meek')",0.86245847,0.6638564,0.3322092890739441,0.22504112124443054,-0.10716816782951355
68,-0.19274314,-0.28812778,"('clever', 'inept')",-1.4584932,-1.5369847,-0.8256182074546814,-0.9125562310218811,-0.08693802356719971
22,0.17641361,0.1404669,"('welcoming', 'disagreeable')",-0.20588344,-0.2853104,-0.014734916388988495,-0.07242174446582794,-0.05768682807683945
44,-0.1387272,-0.12479757,"('truthful', 'untruthful')",-0.91262245,-0.89397854,-0.5256748199462891,-0.5093880295753479,0.016286790370941162
27,-0.13795006,0.071906686,"('sincere', 'insincere')",-4.67974,-4.495806,-2.4088449478149414,-2.2119498252868652,0.19689512252807617
4,-0.11996001,-0.18014793,"('likable', 'unlikable')",-0.82478666,-0.8439507,-0.4723733365535736,-0.5120493173599243,-0.03967598080635071
50,0.117615536,0.026250765,"('unprejudiced', 'prejudiced')",1.0950942,0.84423494,0.6063548922538757,0.4352428615093231,-0.1711120307445526
96,0.102594376,0.14706111,"('powerful', 'powerless')",-0.87530464,-0.73072636,-0.38635513186454773,-0.2918326258659363,0.09452250599861145
79,-0.09989145,-0.06874782,"('determined', 'doubtful')",-0.31663656,-0.18557051,-0.20826400816440582,-0.12715916335582733,0.08110484480857849
67,-0.09907502,-0.119817495,"('discriminating', 'undiscriminating')",-0.9257226,-0.8969815,-0.5123988389968872,-0.508399486541748,0.00399935245513916
54,0.0894529,-0.023132198,"('smart', 'stupid')",0.86132634,0.65840745,0.47538962960243225,0.3176376223564148,-0.15775200724601746
45,0.08158642,0.061647817,"('cooperative', 'exploitative')",-1.4416611,-1.3255475,-0.6800373792648315,-0.6319498419761658,0.04808753728866577
57,-0.07213813,-0.2060569,"('able', 'unable')",-0.80721974,-0.8104011,-0.43967893719673157,-0.5082290172576904,-0.06855008006095886
43,0.032963164,0.1038789,"('genuine', 'fake')",-0.114418864,-0.1124223,-0.040727850049734116,-0.004271700978279114,0.036456149071455
102,0.00406605,0.055029392,"('eminent', 'low')",-1.8707274,-1.5728991,-0.9333306550979614,-0.7589348554611206,0.17439579963684082
