,Marriott_male,Marriott_female,tuple,International_male,International_female,average_male,average_female,female-male
5,1.6625278,1.5797808,"('pleasant', 'repellent')",0.5084083,0.31694922,1.0854681,0.948365,-0.1371031
62,-1.567759,-1.4606159,"('creative', 'uncreative')",-0.2259494,-0.18085468,-0.8968542,-0.8207353,0.0761189
10,-1.5671756,-1.28825,"('affectionate', 'unaffectionate')",-0.88721865,-0.75759447,-1.2271972,-1.0229223,0.2042749
7,-1.561679,-1.592059,"('outgoing', 'distant')",0.1345121,-0.030213177,-0.7135835,-0.8111361,-0.0975526
60,1.5283493,1.4912386,"('educated', 'uneducated')",0.023191184,0.17338324,0.7757702,0.8323109,0.0565407
103,1.4080806,1.5447526,"('traditional', 'modern')",1.4248486,1.4347029,1.4164646,1.4897277,0.0732631
39,-1.4000986,-1.1518095,"('right', 'wrong')",-0.3203309,-0.032197565,-0.8602147,-0.5920035,0.2682112
64,1.3969446,1.3043059,"('clever', 'incompetent')",-0.16062523,-0.17125924,0.6181597,0.5665233,-0.0516364
89,1.3956239,1.2101051,"('daring', 'anxious')",-0.9986146,-1.1726816,0.1985047,0.0187117,-0.179793
83,1.376542,1.4423498,"('energetic', 'lethargic')",-0.43350598,-0.5810111,0.471518,0.4306693,-0.0408487
3,1.3738921,1.0741894,"('likable', 'unlikable')",1.1399773,1.130865,1.2569346,1.1025271,-0.1544075
41,-1.3547423,-1.1376296,"('incorrupt', 'corrupt')",0.29701072,0.5737169,-0.5288658,-0.2819564,0.2469094
69,-1.3447645,-1.3539609,"('wise', 'foolish')",-0.49858183,-0.31653446,-0.9216732,-0.8352476,0.0864256
12,1.3382828,1.316772,"('sympathetic', 'unsympathetic')",-0.49762845,-0.685357,0.4203272,0.3157075,-0.1046197
20,-1.3317057,-1.4474534,"('popular', 'unpopular')",0.39338326,0.5133883,-0.4691612,-0.4670326,0.0021286
76,1.2565932,1.0295033,"('secure', 'insecure')",-0.38263506,-0.26962233,0.4369791,0.3799405,-0.0570386
78,1.2235086,0.91631365,"('active', 'inactive')",1.2374089,1.0112218,1.2304587,0.9637677,-0.266691
67,-1.2130675,-1.2312278,"('discriminating', 'undiscriminating')",-0.81801575,-0.7733197,-1.0155417,-1.0022738,0.0132679
63,-1.1936915,-1.3571656,"('capable', 'incapable')",-1.0933859,-1.1424937,-1.1435387,-1.2498296,-0.1062909
37,-1.1911283,-1.12239,"('good', 'evil')",0.876606,0.9465544,-0.1572611,-0.0879178,0.0693433
81,-1.1879934,-1.3320333,"('industrious', 'lazy')",-0.023115575,0.094863266,-0.6055545,-0.618585,-0.0130305
33,-1.1696618,-0.8593051,"('softhearted', 'hardhearted')",-0.83406705,-0.7586359,-1.0018644,-0.8089705,0.1928939
97,-1.1479626,-1.0291785,"('superior', 'inferior')",-0.95727354,-0.8226222,-1.052618,-0.9259003,0.1267177
65,1.1211286,0.9805165,"('practical', 'impractical')",-1.3870564,-1.4802618,-0.1329639,-0.2498727,-0.1169088
51,1.1008424,1.2230093,"('competent', 'incompetent')",-0.26766315,-0.4206282,0.4165896,0.4011906,-0.015399
19,-1.0702223,-0.98214436,"('funny', 'boring')",-0.28610492,-0.07843876,-0.6781636,-0.5302916,0.147872
61,-1.0695212,-1.0312467,"('rational', 'irrational')",0.36130077,0.66771543,-0.3541102,-0.1817656,0.1723446
92,-1.0551928,-0.9202179,"('unwavering', 'wavering')",-0.51220614,-0.61145514,-0.7836995,-0.7658365,0.017863
47,-1.0528992,-1.0105747,"('forgiving', 'unforgiving')",-0.4067515,-0.3589463,-0.7298254,-0.6847605,0.0450649
16,1.0419722,0.96010274,"('social', 'antisocial')",-0.09575555,-0.0132716,0.4731083,0.4734156,0.0003073
68,-1.0412551,-1.1647685,"('clever', 'inept')",-1.050265,-1.2191378,-1.04576,-1.1919532,-0.1461932
4,-1.0410237,-1.3849294,"('likable', 'unlikable')",-0.91524863,-0.84401244,-0.9781362,-1.114471,-0.1363348
22,-0.9817103,-0.96966755,"('welcoming', 'disagreeable')",-0.38902038,-0.22840753,-0.6853653,-0.5990375,0.0863278
82,-0.9609669,-0.8537334,"('industrious', 'meek')",-0.29817155,-0.07838851,-0.6295692,-0.466061,0.1635082
77,-0.9473177,-1.0615475,"('active', 'inactive')",0.11710368,0.11085279,-0.415107,-0.4753474,-0.0602404
88,0.8882529,0.8557689,"('impulsive', 'meek')",0.6325371,0.5480077,0.7603951,0.7018883,-0.0585068
30,0.86205655,0.8325795,"('honest', 'dishonest')",-0.6705753,-0.73997504,0.0957406,0.0463022,-0.0494384
14,0.7914641,0.5724653,"('supportive', 'unsupportive')",0.04738745,-0.1388497,0.4194258,0.2168078,-0.202618
80,0.78283834,0.75226974,"('independent', 'dependent')",0.56212085,0.64380896,0.6724796,0.6980394,0.0255598
31,-0.7644826,-0.6770815,"('altruistic', 'egoistic')",-0.6768621,-0.42524296,-0.7206724,-0.5511622,0.1695102
18,0.7317572,0.708354,"('social', 'asocial')",-0.57078177,-0.54671586,0.0804877,0.0808191,0.0003314
72,-0.68852955,-0.5416605,"('logical', 'illogical')",-0.28855318,-0.1183579,-0.4885414,-0.3300092,0.1585322
46,0.68508834,0.8535485,"('generous', 'stingy')",0.59707797,0.7243459,0.6410831,0.7889472,0.1478641
26,0.6599973,0.84961504,"('trustworthy', 'untrustworthy')",-0.1403977,-0.11761686,0.2597998,0.3659991,0.1061993
43,0.65948826,0.7188628,"('genuine', 'fake')",-0.13543843,-0.17187852,0.2620249,0.2734921,0.0114672
13,0.6568487,0.5954141,"('helpful', 'unhelpful')",-1.9416857,-2.1605744,-0.6424185,-0.7825801,-0.1401616
44,0.6555451,0.6517346,"('truthful', 'untruthful')",-0.7288245,-0.8781763,-0.0366397,-0.1132208,-0.0765811
24,-0.5749597,-0.46014023,"('thoughtful', 'rough')",-1.3044584,-1.2857392,-0.9397091,-0.8729397,0.0667694
74,0.5189994,0.35600108,"('insightful', 'unperceptive')",-1.2218003,-1.3378356,-0.3514005,-0.4909172,-0.1395167
101,-0.49559584,-0.8608656,"('successful', 'unsuccessful')",-1.133564,-1.1630486,-0.8145799,-1.0119572,-0.1973773
110,0.4731257,0.5509088,"('narrow-minded', 'open-minded')",0.67623246,0.5805007,0.5746791,0.5657048,-0.0089743
23,-0.43486464,-0.5341264,"('hospitable', 'inhospitable')",0.8630278,0.73783946,0.2140816,0.1018565,-0.1122251
55,0.36599654,0.3704903,"('intelligent', 'unintelligent')",-0.7534328,-0.72291386,-0.1937181,-0.1762118,0.0175063
54,0.35535336,0.02844733,"('smart', 'stupid')",0.79684246,0.59786206,0.5760979,0.3131547,-0.2629432
59,0.3343634,0.44872457,"('skillful', 'clumsy')",0.0013440698,0.22128336,0.1678537,0.335004,0.1671503
79,0.2938364,0.08911427,"('determined', 'doubtful')",0.033679813,0.07503861,0.1637581,0.0820764,-0.0816817
85,0.23656473,0.108789265,"('ambitious', 'unambitious')",-0.1450349,-0.25959486,0.0457649,-0.0754028,-0.1211677
29,0.2360549,0.37540317,"('honest', 'immoral')",-0.55425906,-0.6227187,-0.1591021,-0.1236578,0.0354443
0,0.234653,0.33899558,"('sociable', 'unsociable')",-0.27770647,-0.14003941,-0.0215267,0.0994781,0.1210048
45,-0.22671998,-0.46840394,"('cooperative', 'exploitative')",-1.1601453,-1.0837905,-0.6934326,-0.7760972,-0.0826646
91,-0.21380901,-0.2630334,"('resilient', 'nonresilient')",-0.3920109,-0.46235928,-0.30291,-0.3626963,-0.0597863
70,-0.21376854,-0.13169965,"('wise', 'unwise')",1.090466,1.0092695,0.4383487,0.4387849,0.0004362
21,-0.20314646,-0.2981571,"('nice', 'nasty')",1.1096721,0.9406854,0.4532628,0.3212641,-0.1319987
34,0.1971727,0.48579904,"('loyal', 'disloyal')",-1.4347495,-1.26946,-0.6187884,-0.3918304,0.226958
9,0.17556563,0.08453938,"('sensitive', 'insensitive')",-0.6889987,-0.7582403,-0.2567165,-0.3368505,-0.080134
57,0.17345767,-0.10239422,"('able', 'unable')",-0.13709077,-0.19273978,0.0181834,-0.147567,-0.1657504
87,0.16758734,0.38337576,"('dedicated', 'undedicated')",-1.1067047,-1.0585175,-0.4695587,-0.3375708,0.1319879
36,0.13302559,0.19383192,"('tolerant', 'intolerant')",-0.3008271,-0.26529256,-0.0839007,-0.0357303,0.0481704
106,0.11959418,0.36938953,"('conventional', 'unconventional')",-0.5712053,-0.39823276,-0.2258056,-0.0144216,0.211384
96,0.08256686,-0.10341331,"('powerful', 'powerless')",-0.40749988,-0.40346423,-0.1624665,-0.2534388,-0.0909723
38,0.08001292,0.22086617,"('kind', 'unkind')",-1.0583853,-0.89796406,-0.4891862,-0.338549,0.1506372
100,0.07697374,0.42409426,"('influential', 'uninfluential')",-0.10443923,-0.004018843,-0.0137327,0.2100377,0.2237704
58,-0.053102016,0.1498403,"('able', 'clumsy')",-0.5466217,-0.5141622,-0.2998618,-0.1821609,0.1177009
35,0.037464157,0.14632998,"('fair', 'unfair')",0.60003513,0.8196356,0.3187496,0.4829828,0.1642332
49,0.034427166,-0.15045977,"('responsible', 'irresponsible')",-1.5461802,-1.7526569,-0.7558765,-0.9515584,-0.1956819
28,0.029326499,0.22927439,"('honest', 'dishonest')",-1.2011701,-1.218241,-0.5859218,-0.4944833,0.0914385
17,0.011793315,0.20878392,"('social', 'antisocial')",-0.17056382,0.014495134,-0.0793853,0.1116395,0.1910248
102,0.011763558,-0.10221009,"('eminent', 'low')",-0.85955703,-0.73904496,-0.4238967,-0.4206275,0.0032692
