,Ingersoll_male,Ingersoll_female,tuple,Rand_male,Rand_female,average_male,average_female,female-male
82,-2.3922746,-2.6009126,"('industrious', 'meek')",-0.6682944,-0.46589553,-1.5302845,-1.5334041,-0.0031196
49,2.319431,2.5076075,"('responsible', 'irresponsible')",-0.3661877,-0.4172659,0.9766217,1.0451708,0.0685491
81,-2.3175595,-2.5835483,"('industrious', 'lazy')",0.43603504,0.5441828,-0.9407622,-1.0196828,-0.0789206
55,2.2353535,2.3077793,"('intelligent', 'unintelligent')",-0.15829843,-0.19746518,1.0385275,1.0551571,0.0166296
0,2.2345495,2.4625287,"('sociable', 'unsociable')",0.80021846,0.8992622,1.5173841,1.6808954,0.1635113
104,-2.2307634,-2.001462,"('conventional', 'unconventional')",-2.635839,-2.3975987,-2.4333012,-2.1995304,0.2337708
14,2.1452568,2.3308415,"('supportive', 'unsupportive')",1.5692611,1.6618803,1.8572589,1.9963609,0.139102
92,-2.0855796,-2.0553408,"('unwavering', 'wavering')",-0.9804886,-0.95143914,-1.5330341,-1.50339,0.0296441
8,-2.027125,-2.096538,"('open', 'distant')",-1.8384539,-1.7007693,-1.9327893,-1.8986537,0.0341356
64,2.0200336,2.0463445,"('clever', 'incompetent')",0.60014325,0.43157983,1.3100884,1.2389622,-0.0711262
7,-1.9466386,-2.01803,"('outgoing', 'distant')",-1.0726389,-1.0240612,-1.5096388,-1.5210456,-0.0114068
60,1.9217513,1.9281874,"('educated', 'uneducated')",0.75041837,0.7044697,1.3360848,1.3163285,-0.0197563
13,1.8292457,1.9333743,"('helpful', 'unhelpful')",-0.8963112,-1.0372931,0.4664672,0.4480406,-0.0184266
31,-1.8140295,-1.8703763,"('altruistic', 'egoistic')",-1.8067565,-1.6749855,-1.810393,-1.772681,0.037712
89,1.8068945,1.8073779,"('daring', 'anxious')",0.92641926,0.8564782,1.3666569,1.331928,-0.0347289
5,1.789117,1.8005233,"('pleasant', 'repellent')",0.42344797,0.26578593,1.1062825,1.0331546,-0.0731279
65,1.7836591,1.6969689,"('practical', 'impractical')",0.7262762,0.5570185,1.2549677,1.1269937,-0.127974
9,1.7635605,1.9453669,"('sensitive', 'insensitive')",-0.26873952,-0.26400602,0.7474105,0.8406804,0.0932699
90,1.7024627,1.4780619,"('motivated', 'unmotivated')",1.8842199,1.626538,1.7933413,1.5523,-0.2410413
29,1.6948487,1.6180986,"('honest', 'immoral')",-0.781114,-1.0394127,0.4568673,0.2893429,-0.1675244
18,1.6824445,1.8497843,"('social', 'asocial')",0.40528637,0.45191228,1.0438654,1.1508483,0.1069829
42,-1.6488216,-1.5791924,"('amicable', 'hostile')",-0.88039577,-0.64868855,-1.2646086,-1.1139405,0.1506681
107,1.5124357,1.8562787,"('conventional', 'modern')",2.3072455,2.4124386,1.9098406,2.1343586,0.224518
38,1.4965401,1.8045154,"('kind', 'unkind')",-0.71711147,-0.47845814,0.3897143,0.6630286,0.2733143
10,-1.4449463,-1.1608939,"('affectionate', 'unaffectionate')",-2.4855657,-2.1499097,-1.965256,-1.6554018,0.3098542
73,1.3960948,1.2530531,"('brilliant', 'incompetent')",0.37405962,0.1842469,0.8850772,0.71865,-0.1664272
74,1.3781648,1.4817381,"('insightful', 'unperceptive')",-0.28484434,-0.32197917,0.5466602,0.5798795,0.0332193
37,-1.3556893,-1.4550998,"('good', 'evil')",-0.77265215,-0.6726259,-1.0641707,-1.0638628,0.0003079
36,1.2632893,1.4044359,"('tolerant', 'intolerant')",-0.06376648,-0.16502196,0.5997614,0.619707,0.0199456
100,1.2621317,1.4921978,"('influential', 'uninfluential')",-0.4259612,-0.28934085,0.4180852,0.6014284,0.1833432
69,-1.2563578,-1.3168874,"('wise', 'foolish')",-0.8667545,-0.80442655,-1.0615561,-1.060657,0.0008991
27,1.1900698,1.4581381,"('sincere', 'insincere')",-5.5667624,-5.729396,-2.1883464,-2.1356289,0.0527175
77,-1.1839119,-1.2843114,"('active', 'inactive')",-0.53785384,-0.26168287,-0.8608829,-0.7729971,0.0878858
3,1.1806034,1.144615,"('likable', 'unlikable')",2.7046309,2.7715673,1.9426172,1.9580913,0.0154741
30,1.1520227,1.1269065,"('honest', 'dishonest')",0.4670499,0.42538124,0.8095363,0.7761439,-0.0333924
66,1.1424737,1.2548743,"('imaginative', 'unimaginative')",2.7105823,2.8714676,1.926528,2.0631709,0.1366429
83,1.1401058,1.3605558,"('energetic', 'lethargic')",0.3950958,0.2886005,0.7676008,0.8245782,0.0569774
110,-1.112107,-1.2114761,"('narrow-minded', 'open-minded')",-0.25462568,-0.3875442,-0.6833664,-0.7995101,-0.1161437
45,1.0982676,0.89158887,"('cooperative', 'exploitative')",0.086798295,-0.03759861,0.5925329,0.4269951,-0.1655378
93,1.0850925,0.9192549,"('dominating', 'dominated')",1.5867668,1.5434933,1.3359296,1.231374,-0.1045556
105,-1.0747406,-0.82511425,"('conventional', 'modern')",-1.9337227,-1.8289982,-1.5042317,-1.3270562,0.1771755
85,1.0644484,1.2491207,"('ambitious', 'unambitious')",0.22240376,0.2639531,0.6434261,0.7565369,0.1131108
39,-1.0337993,-0.9711722,"('right', 'wrong')",-0.59815335,-0.4729814,-0.8159763,-0.7220768,0.0938995
19,-0.9758568,-0.92887807,"('funny', 'boring')",-0.8892151,-0.77239674,-0.9325359,-0.8506374,0.0818985
26,0.96408147,1.1425112,"('trustworthy', 'untrustworthy')",1.6735239,1.6829917,1.3188027,1.4127514,0.0939487
28,0.9523964,1.2033019,"('honest', 'dishonest')",-1.0621068,-0.9941969,-0.0548552,0.1045525,0.1594077
86,-0.9313834,-1.1216156,"('self-reliant', 'helpless')",3.075453,3.1295526,1.0720348,1.0039685,-0.0680663
95,-0.91067034,-0.86529624,"('rich', 'poor')",-5.97843,-6.200676,-3.44455,-3.5329862,-0.0884362
20,-0.88973284,-0.9498441,"('popular', 'unpopular')",-0.6177795,-0.5945134,-0.7537562,-0.7721788,-0.0184226
11,-0.88794935,-0.6540231,"('caring', 'unaffectionate')",-2.5480213,-2.3257825,-1.7179854,-1.4899029,0.2280825
72,0.84600097,1.0585145,"('logical', 'illogical')",-0.7168004,-0.6199759,0.0646003,0.2192693,0.154669
51,0.83650935,1.101551,"('competent', 'incompetent')",0.49488002,0.4600083,0.6656947,0.7807797,0.115085
87,0.81463015,0.9429717,"('dedicated', 'undedicated')",-0.34350085,-0.25464603,0.2355646,0.3441628,0.1085982
48,0.7826797,0.668385,"('reliable', 'unreliable')",3.4803302,3.5214148,2.131505,2.0948999,-0.0366051
68,-0.77099097,-0.9894233,"('clever', 'inept')",-0.73750305,-0.9586457,-0.754247,-0.9740345,-0.2197875
47,0.7384726,1.0698785,"('forgiving', 'unforgiving')",-0.115082175,-0.018727452,0.3116952,0.5255755,0.2138803
22,0.73415387,0.7864045,"('welcoming', 'disagreeable')",0.71789587,0.84782434,0.7260249,0.8171144,0.0910895
102,0.731518,0.6016758,"('eminent', 'low')",-0.25351083,-0.23996365,0.2390036,0.1808561,-0.0581475
58,0.7193459,0.9384206,"('able', 'clumsy')",-0.37272713,-0.4243185,0.1733094,0.2570511,0.0837417
80,0.6924623,0.41490918,"('independent', 'dependent')",1.1858022,1.0436866,0.9391323,0.7292979,-0.2098344
23,-0.6902188,-0.84436107,"('hospitable', 'inhospitable')",-0.4186015,-0.5145203,-0.5544102,-0.6794407,-0.1250305
57,0.6699087,0.56276226,"('able', 'unable')",-0.030070677,-0.16066755,0.319919,0.2010474,-0.1188716
32,-0.64916384,-0.36608535,"('benevolent', 'hardhearted')",-2.493226,-2.2091813,-1.5711949,-1.2876333,0.2835616
62,-0.5837258,-0.5154799,"('creative', 'uncreative')",-1.6739941,-1.6149813,-1.12886,-1.0652306,0.0636294
17,0.5653062,0.8123964,"('social', 'antisocial')",-0.3909588,-0.25160587,0.0871737,0.2803953,0.1932216
103,0.5614396,0.4081769,"('traditional', 'modern')",0.9889186,0.9250079,0.7751791,0.6665924,-0.1085867
61,-0.5493301,-0.53522,"('rational', 'irrational')",-0.8175378,-0.601228,-0.6834339,-0.568224,0.1152099
21,0.49998525,0.32592195,"('nice', 'nasty')",0.5579016,0.46008682,0.5289434,0.3930044,-0.135939
91,0.48535255,0.49605379,"('resilient', 'nonresilient')",-0.15863253,-0.098590806,0.16336,0.1987315,0.0353715
40,-0.47835058,-0.61327994,"('honorable', 'mean')",-5.0256147,-5.3187876,-2.7519827,-2.9660337,-0.214051
79,0.47665673,0.3318612,"('determined', 'doubtful')",0.69289577,0.48898235,0.5847763,0.4104218,-0.1743545
44,0.46027693,0.54262877,"('truthful', 'untruthful')",0.059504777,0.035599798,0.2598909,0.2891143,0.0292234
1,-0.4358989,-0.20176601,"('friendly', 'unfriendly')",-3.2019928,-2.918374,-1.8189459,-1.56007,0.2588759
50,0.39799157,0.10979021,"('unprejudiced', 'prejudiced')",2.6907835,2.6244445,1.5443876,1.3671174,-0.1772702
101,0.32435068,0.14639795,"('successful', 'unsuccessful')",-0.4020573,-0.45899308,-0.0388533,-0.1562976,-0.1174443
96,0.3138893,0.13728926,"('powerful', 'powerless')",0.12967241,0.079895794,0.2217809,0.1085925,-0.1131884
6,-0.3119431,-0.30625498,"('liked', 'disliked')",6.1057425,6.3965244,2.8968997,3.0451348,0.1482351
53,0.3019791,0.41701564,"('smart', 'stupid')",-5.500862,-5.713436,-2.5994415,-2.6482103,-0.0487688
63,-0.2448144,-0.2919478,"('capable', 'incapable')",-1.4329884,-1.4475211,-0.8389014,-0.8697345,-0.0308331
4,0.24186802,0.15955731,"('likable', 'unlikable')",-0.4385121,-0.37120676,-0.098322,-0.1058247,-0.0075027
34,0.22340451,0.5382103,"('loyal', 'disloyal')",-1.2805128,-1.1676474,-0.5285541,-0.3147185,0.2138356
106,0.22310728,0.43447235,"('conventional', 'unconventional')",-0.9172462,-0.8169854,-0.3470695,-0.1912565,0.155813
46,0.21223225,0.44877726,"('generous', 'stingy')",1.149459,1.476603,0.6808456,0.9626901,0.2818445
78,-0.19561253,-0.27110463,"('active', 'inactive')",0.65700316,0.70590615,0.2306953,0.2174008,-0.0132945
59,-0.17414314,0.03485173,"('skillful', 'clumsy')",0.30572158,0.47315645,0.0657892,0.2540041,0.1882149
67,0.16733319,0.3383696,"('discriminating', 'undiscriminating')",-0.49825847,-0.41250342,-0.1654626,-0.0370669,0.1283957
35,-0.15052232,0.038123786,"('fair', 'unfair')",0.97454345,1.0995913,0.4120106,0.5688576,0.156847
43,-0.14907807,-0.19397244,"('genuine', 'fake')",-0.4784823,-0.4820392,-0.3137802,-0.3380058,-0.0242256
56,-0.1418934,-0.22958124,"('intelligent', 'dumb')",0.98087496,1.0205554,0.4194908,0.3954871,-0.0240037
97,-0.11858609,-0.12811024,"('superior', 'inferior')",-1.190271,-1.1826963,-0.6544285,-0.6554033,-0.0009748
54,0.107004195,-0.17651482,"('smart', 'stupid')",-0.28864846,-0.47734514,-0.0908221,-0.32693,-0.2361079
33,-0.09977341,0.27883106,"('softhearted', 'hardhearted')",-1.7877498,-1.5332826,-0.9437616,-0.6272258,0.3165358
70,0.073619545,0.24359557,"('wise', 'unwise')",0.8832768,0.9522432,0.4784482,0.5979194,0.1194712
84,-0.024020523,-0.09395525,"('self-confident', 'diffident')",-0.8788889,-0.7736517,-0.4514547,-0.4338035,0.0176512
24,-0.0038428232,0.029563412,"('thoughtful', 'rough')",-0.8765701,-0.8980891,-0.4402065,-0.4342628,0.0059437
