,Bank_male,Bank_female,tuple,of_male,of_female,America_male,America_female,average_male,average_female,female-male
109,1.2485335,1.1277109,"('conservative', 'liberal')",-0.93804055,-1.3852466,0.034353912,0.2446821,0.11494894822438557,-0.004284530878067017,-0.11923347910245259
108,1.2485335,1.1277109,"('conservative', 'liberal')",-0.93804055,-1.3852466,0.034353912,0.2446821,0.11494894822438557,-0.004284530878067017,-0.11923347910245259
9,-1.2463638,-1.294332,"('sensitive', 'insensitive')",-1.1627636,-1.597467,-0.61571807,-0.84482306,-1.0082817872365315,-1.245540698369344,-0.2372589111328125
33,-1.2246298,-0.9139252,"('softhearted', 'hardhearted')",0.026945591,0.17342469,-1.0189095,-1.0978596,-0.7388645807902018,-0.6127866903940836,0.12607789039611816
4,-1.2206585,-1.3519752,"('likable', 'unlikable')",-0.45847192,-0.41318566,-0.9312797,-0.9930894,-0.8701367378234863,-0.9194167455037435,-0.0492800076802572
88,1.2176456,1.0282046,"('impulsive', 'meek')",0.75208074,1.0972788,0.8238199,0.9012219,0.931182066599528,1.0089017550150554,0.07771968841552745
84,-1.1634939,-1.2052357,"('self-confident', 'diffident')",-0.039767638,0.051313758,0.010516912,-0.17478654,-0.3975815375645955,-0.4429028431574504,-0.045321305592854855
58,-1.1536431,-0.9180693,"('able', 'clumsy')",-2.5256405,-2.619266,-2.2758818,-2.194199,-1.9850551287333171,-1.9105114936828613,0.0745436350504558
19,-1.1434157,-1.1230285,"('funny', 'boring')",0.6886611,0.9624149,-0.07034093,0.16405046,-0.175031840801239,0.0011456211407979329,0.17617746194203696
104,-1.0964208,-0.7692596,"('conventional', 'unconventional')",1.4116184,1.6174091,-0.36169255,-0.4583945,-0.01549832026163737,0.1299183468023936,0.14541666706403095
20,-1.0855434,-1.036562,"('popular', 'unpopular')",-0.7227753,-0.123558015,0.30945948,0.24532077,-0.499619722366333,-0.3049330711364746,0.1946866512298584
68,-1.0661206,-1.2047254,"('clever', 'inept')",-1.0088987,-0.9499019,-0.86699665,-1.3022116,-0.9806720415751139,-1.1522796948750813,-0.1716076532999674
30,-1.0619564,-1.2808414,"('honest', 'dishonest')",-0.5335771,-0.9255065,-0.5765108,-0.8549762,-0.7240147590637207,-1.0204413731892903,-0.2964266141255696
3,0.99540734,0.9754459,"('likable', 'unlikable')",1.2947001,1.3180472,1.2563696,1.1612144,1.1821590264638264,1.151569128036499,-0.0305898984273274
100,-0.96947515,-0.6294286,"('influential', 'uninfluential')",-0.58145726,-0.67427135,-1.4857757,-1.42429,-1.0122360388437908,-0.9093299706776937,0.10290606816609704
73,-0.94216126,-1.2347225,"('brilliant', 'incompetent')",-1.6375875,-2.1111574,-1.430581,-1.7279108,-1.336776574452718,-1.6912635167439778,-0.35448694229125977
105,-0.910257,-0.9735501,"('conventional', 'modern')",0.6400145,0.52574885,0.4599111,0.29043075,0.06322288513183594,-0.052456825971603394,-0.11567971110343933
0,-0.8748734,-0.5332035,"('sociable', 'unsociable')",-1.429321,-1.1830841,-0.66176105,-0.4800553,-0.9886518319447836,-0.732114315032959,0.2565375169118246
31,-0.85860926,-0.75512,"('altruistic', 'egoistic')",-0.045421958,0.15631402,-0.33860698,-0.2888677,-0.41421274344126385,-0.2958912253379822,0.11832151810328168
36,-0.8582554,-1.1389389,"('tolerant', 'intolerant')",-1.0160699,-1.6015654,-1.3818824,-1.3639954,-1.0854025681813557,-1.3681666056315105,-0.28276403745015477
7,0.848757,0.5648303,"('outgoing', 'distant')",3.692065,3.5387454,1.8095374,1.7166595,2.116786479949951,1.9400784174601238,-0.1767080624898274
98,-0.8366179,-0.8358189,"('prestigious', 'insignificant')",-0.42094755,0.023143232,-0.15177187,-0.24870247,-0.4697791337966919,-0.3537927071253459,0.11598642667134601
90,0.82544637,0.70523524,"('motivated', 'unmotivated')",-0.012258247,-0.33207163,0.85744154,0.4992782,0.5568765799204508,0.2908139228820801,-0.26606265703837073
12,-0.81384826,-0.73566794,"('sympathetic', 'unsympathetic')",-1.7957861,-2.0757136,-1.8230349,-1.8641485,-1.4775563875834148,-1.5585099856058757,-0.08095359802246094
87,-0.80294055,-0.72572446,"('dedicated', 'undedicated')",-0.69018847,-0.6749634,-1.3751493,-1.2595501,-0.9560927549997965,-0.8867460091908773,0.0693467458089192
64,-0.7883435,-0.7087302,"('clever', 'incompetent')",-1.9099306,-2.2916229,-1.4736028,-1.6594862,-1.3906256357828777,-1.553279717763265,-0.16265408198038722
55,-0.7882632,-0.7423042,"('intelligent', 'unintelligent')",-0.9239609,-0.9590181,-1.565235,-1.4296832,-1.0924863815307617,-1.043668508529663,0.04881787300109863
72,-0.78347623,-0.564985,"('logical', 'illogical')",0.048489675,-0.12195806,-1.0885756,-1.0420107,-0.6078540484110514,-0.5763179063796997,0.03153614203135169
60,-0.7729676,-0.6470682,"('educated', 'uneducated')",-2.4405441,-2.1682537,-2.1433487,-1.7624811,-1.7856200536092122,-1.525934378306071,0.25968567530314113
97,-0.7407543,-0.56127393,"('superior', 'inferior')",-0.3594606,-0.26091707,0.05237484,0.01376617,-0.34928003946940106,-0.26947494347890216,0.0798050959904989
96,-0.7260391,-0.5410193,"('powerful', 'powerless')",-0.14554742,-0.08352503,-0.8315136,-0.77671945,-0.5677000681559244,-0.46708794434865314,0.1006121238072713
17,-0.64629066,-0.452768,"('social', 'antisocial')",-0.5559156,-0.43502775,0.073499605,0.19699506,-0.376235564549764,-0.2302668889363607,0.1459686756134033
8,0.6325042,0.39335752,"('open', 'distant')",3.5491397,3.3526864,1.3824785,1.2229931,1.854707400004069,1.6563456853230794,-0.19836171468098973
22,0.6239582,0.5495408,"('welcoming', 'disagreeable')",1.2905605,1.2936609,0.18444607,0.23181027,0.6996548970540365,0.6916706562042236,-0.007984240849812863
91,-0.61547697,-0.56252646,"('resilient', 'nonresilient')",-0.5761694,-0.40117717,-0.14505807,-0.3897311,-0.44556812445322674,-0.4511449337005615,-0.00557680924733478
18,-0.6139584,-0.6335666,"('social', 'asocial')",-0.4305512,-0.6415019,-0.9665959,-1.0181,-0.670368512471517,-0.7643895149230957,-0.09402100245157874
35,0.5910069,0.72550917,"('fair', 'unfair')",0.98786515,1.0611225,0.91856724,1.0050173,0.83247971534729,0.9305496215820312,0.09806990623474121
94,0.5768788,0.37519017,"('aggressive', 'submissive')",-1.9207045,-1.8873972,-1.4243555,-1.1814389,-0.922727108001709,-0.8978819847106934,0.024845123291015625
51,-0.5443608,-0.5583076,"('competent', 'incompetent')",-0.962155,-0.8350454,-0.13359444,-0.18443689,-0.5467033783594767,-0.5259299675623575,0.02077341079711914
2,-0.541995,-0.36424327,"('friendly', 'unfriendly')",-2.100016,-2.4854305,-1.724035,-1.7009714,-1.4553486506144206,-1.5168816248575847,-0.06153297424316406
25,-0.49530664,-0.5806774,"('moral', 'immoral')",-1.9678026,-2.2271457,-1.9928267,-2.128269,-1.4853119850158691,-1.6453641255696614,-0.16005214055379224
62,-0.4642677,-0.5730432,"('creative', 'uncreative')",0.69084424,0.38485438,-0.29695946,-0.3450684,-0.02346097429593404,-0.177752415339152,-0.15429144104321796
70,0.4552096,0.5262711,"('wise', 'unwise')",1.446697,1.7241182,1.1355124,1.1293551,1.0124729474385579,1.1265815099080403,0.11410856246948242
26,0.43039793,0.57674503,"('trustworthy', 'untrustworthy')",-0.0868521,-0.09066442,-0.20858373,-0.45293745,0.04498736560344696,0.011047720909118652,-0.03393964469432831
106,-0.34723783,-0.35586837,"('conventional', 'unconventional')",0.24850762,0.13789031,0.10430705,0.087557554,0.001858947177728017,-0.043473502000172935,-0.045332449177900955
61,0.34259707,0.45346916,"('rational', 'irrational')",1.899494,2.312925,1.0854237,1.3471574,1.1091716289520264,1.3711838722229004,0.262012243270874
23,-0.34101146,-0.4900394,"('hospitable', 'inhospitable')",1.4936224,1.8243041,0.830296,0.6677165,0.6609690189361572,0.667327086130778,0.006358067194620731
82,0.3326106,0.49027783,"('industrious', 'meek')",1.5142424,1.9349161,0.84569645,0.9747069,0.8975164890289307,1.1333003044128418,0.23578381538391113
43,0.3321312,0.37875625,"('genuine', 'fake')",-0.52038515,-0.4552034,0.27104634,0.2185762,0.027597467104593914,0.04737634460131327,0.019778877496719357
24,-0.32755798,-0.2656538,"('thoughtful', 'rough')",-0.8709766,-0.9383327,-0.7065607,-0.8491152,-0.6350317796071371,-0.6843671798706055,-0.04933540026346839
57,-0.31991866,-0.42304537,"('able', 'unable')",-0.87786937,-1.0912533,-0.33677265,-0.530739,-0.5115202267964681,-0.6816792488098145,-0.17015902201334632
39,-0.3139634,-0.045426533,"('right', 'wrong')",0.63288873,1.05129,0.038245797,0.25121498,0.11905703941980998,0.4190261761347453,0.2999691367149353
45,-0.31059277,-0.4434331,"('cooperative', 'exploitative')",-0.9640352,-1.3550795,-0.4579647,-0.7837599,-0.5775308609008789,-0.8607575098673502,-0.2832266489664713
16,-0.30811954,-0.14426723,"('social', 'antisocial')",-1.5442915,-1.5422196,-0.1684928,-0.12412971,-0.6736346085866293,-0.6035388310750326,0.07009577751159668
79,0.2932219,0.35794103,"('determined', 'doubtful')",-0.65683204,-0.31373417,0.17417607,0.26271117,-0.06314469377199809,0.10230600833892822,0.16545070211092633
110,0.28884754,0.2161541,"('narrow-minded', 'open-minded')",-0.05617279,-0.012030959,0.7431744,0.60472524,0.3252830505371094,0.26961612701416016,-0.05566692352294922
67,-0.28315523,-0.16553313,"('discriminating', 'undiscriminating')",-0.81478834,-0.45978957,-1.0105617,-0.9057142,-0.7028350830078125,-0.5103456179300944,0.19248946507771814
107,0.27283463,0.13954502,"('conventional', 'modern')",-0.9410662,-1.0043457,0.9933419,1.2008731,0.10837010542551677,0.11202416817347209,0.0036540627479553223
52,-0.2692684,-0.23727411,"('competitive', 'uncompetitive')",-1.3041501,-1.5537642,-0.9654727,-1.05993,-0.8462971051534017,-0.9503227869669596,-0.10402568181355787
93,0.26661545,0.431305,"('dominating', 'dominated')",-0.76793855,-0.910755,-0.8879016,-0.9250504,-0.4630749225616455,-0.4681667884190877,-0.0050918658574422015
14,0.2447238,0.20284958,"('supportive', 'unsupportive')",0.90239584,1.0449787,0.36719963,0.2350666,0.5047731002171835,0.4942982991536458,-0.010474801063537653
76,0.22006476,0.16562438,"('secure', 'insecure')",-1.3050656,-1.4112895,-0.8653771,-0.8000769,-0.6501259803771973,-0.6819140116373698,-0.03178803126017249
89,0.2142384,0.23418894,"('daring', 'anxious')",-1.353003,-1.6726717,-1.3579715,-1.3920496,-0.8322453498840332,-0.9435107707977295,-0.11126542091369629
15,-0.17434293,-0.07615057,"('polite', 'impolite')",-0.58324385,-0.8257849,-0.014734685,0.2601871,-0.2574404875437419,-0.2139161229133606,0.043524364630381285
85,-0.16752934,-0.12484914,"('ambitious', 'unambitious')",-0.445782,-0.4578862,-0.5665743,-0.37919784,-0.3932952086130778,-0.3206443786621094,0.07265082995096844
21,0.15966094,0.027445555,"('nice', 'nasty')",0.2911113,0.64639235,0.70009214,0.50971013,0.3836214542388916,0.3945159912109375,0.010894536972045898
92,-0.13866007,-0.1712456,"('unwavering', 'wavering')",0.42349207,0.9054537,-0.493039,-0.5557364,-0.06940233707427979,0.05949056148529053,0.1288928985595703
59,0.124093235,0.50772077,"('skillful', 'clumsy')",-0.78379714,-0.1866249,0.046000496,0.0011479855,-0.20456780989964804,0.10741462310155232,0.3119824330012004
77,0.07575631,0.2875064,"('active', 'inactive')",1.3338227,1.5621221,-0.048729077,-0.0366415,0.4536166588465373,0.604328989982605,0.1507123311360677
83,-0.04845956,-0.1211656,"('energetic', 'lethargic')",-1.5280021,-1.6750474,-1.0702839,-1.2261971,-0.8822485605875651,-1.0074700514475505,-0.12522149085998546
71,0.035087705,-0.16519606,"('efficient', 'inefficient')",-1.7126937,-2.4102073,-1.0457023,-1.2836494,-0.9077694416046143,-1.2863508860270183,-0.37858144442240405
5,-0.032917798,-0.06546727,"('pleasant', 'repellent')",-0.64793056,-0.9648947,0.034283474,-0.070512414,-0.21552163362503052,-0.3669581413269043,-0.15143650770187378
42,-0.025236785,0.20992005,"('amicable', 'hostile')",2.1986177,2.7845435,1.343042,1.4084377,1.1721409161885579,1.4676337242126465,0.2954928080240886
54,-0.025140524,-0.16766366,"('smart', 'stupid')",0.9762886,0.86290956,0.5924139,0.38671094,0.5145206451416016,0.36065228780110675,-0.1538683573404948
69,-0.009742558,-0.050719798,"('wise', 'foolish')",0.7306978,1.1945775,0.24156731,0.27194208,0.32084085543950397,0.4719332853953044,0.1510924299558004
