,eBay_male,eBay_female,tuple,average_male,average_female,female-male
67,-0.35270533,-0.39894202,"('discriminating', 'undiscriminating')",-0.3527053,-0.398942,-0.0462367
18,0.32748896,0.34903646,"('social', 'asocial')",0.327489,0.3490365,0.0215475
102,0.3208634,0.24853146,"('eminent', 'low')",0.3208634,0.2485315,-0.0723319
77,-0.32025313,-0.2676701,"('active', 'inactive')",-0.3202531,-0.2676701,0.052583
96,-0.32016307,-0.4334044,"('powerful', 'powerless')",-0.3201631,-0.4334044,-0.1132413
62,-0.31279635,-0.21596709,"('creative', 'uncreative')",-0.3127964,-0.2159671,0.0968293
57,0.29400373,0.16695735,"('able', 'unable')",0.2940037,0.1669573,-0.1270464
59,0.25893164,0.2733595,"('skillful', 'clumsy')",0.2589316,0.2733595,0.0144279
13,0.23959684,0.28047782,"('helpful', 'unhelpful')",0.2395968,0.2804778,0.040881
37,-0.23341173,-0.36506796,"('good', 'evil')",-0.2334117,-0.365068,-0.1316563
52,0.22389197,0.27161554,"('competitive', 'uncompetitive')",0.223892,0.2716155,0.0477235
29,0.22307026,0.19469307,"('honest', 'immoral')",0.2230703,0.1946931,-0.0283772
44,0.21010295,0.108103976,"('truthful', 'untruthful')",0.2101029,0.108104,-0.1019989
74,-0.19378541,-0.33090517,"('insightful', 'unperceptive')",-0.1937854,-0.3309052,-0.1371198
78,0.19244705,-0.06926503,"('active', 'inactive')",0.1924471,-0.069265,-0.2617121
89,-0.16895396,-0.34308302,"('daring', 'anxious')",-0.168954,-0.343083,-0.174129
86,0.1498579,-0.09831281,"('self-reliant', 'helpless')",0.1498579,-0.0983128,-0.2481707
72,-0.14563516,-0.004471451,"('logical', 'illogical')",-0.1456352,-0.0044715,0.1411637
45,0.14299622,0.12670323,"('cooperative', 'exploitative')",0.1429962,0.1267032,-0.016293
17,-0.12233809,-0.032835037,"('social', 'antisocial')",-0.1223381,-0.032835,0.0895031
24,-0.1160959,-0.27113146,"('thoughtful', 'rough')",-0.1160959,-0.2711315,-0.1550356
21,0.11213541,-0.04975146,"('nice', 'nasty')",0.1121354,-0.0497515,-0.1618869
30,0.08958781,0.069346175,"('honest', 'dishonest')",0.0895878,0.0693462,-0.0202416
50,0.07967715,-0.10581496,"('unprejudiced', 'prejudiced')",0.0796771,-0.105815,-0.1854921
33,-0.06814054,0.07949364,"('softhearted', 'hardhearted')",-0.0681405,0.0794936,0.1476341
91,-0.051903307,-0.04814121,"('resilient', 'nonresilient')",-0.0519033,-0.0481412,0.0037621
106,-0.015720375,-0.13833363,"('conventional', 'unconventional')",-0.0157204,-0.1383336,-0.1226132
