,Essex_male,Essex_female,tuple,Property_male,Property_female,Trust_male,Trust_female,average_male,average_female,female-male
71,-0.2466842,-0.97154266,"('efficient', 'inefficient')",-0.10313153,-0.2449077,-0.6188908,-0.8800442,-0.3229022,-0.6988316,-0.3759294
70,0.24057215,0.3828745,"('wise', 'unwise')",1.0065042,1.102083,-0.13134176,-0.09295055,0.3719115,0.4640023,0.0920908
4,-0.23990558,-0.38625154,"('likable', 'unlikable')",-0.7706721,-0.8550669,-1.0378056,-1.1036615,-0.6827944,-0.78166,-0.0988656
20,0.23015475,0.3951401,"('popular', 'unpopular')",-0.027831614,0.21856572,0.70260906,0.76237077,0.3016441,0.4586922,0.1570481
45,-0.22539712,-0.56496453,"('cooperative', 'exploitative')",0.39251816,0.22834487,-1.4273517,-1.4653314,-0.4200769,-0.6006504,-0.1805735
31,-0.22402889,-0.0757266,"('altruistic', 'egoistic')",-0.07138164,0.11254449,0.106464505,0.386356,-0.062982,0.141058,0.20404
96,0.22195703,-0.035250396,"('powerful', 'powerless')",-0.5976436,-0.64863384,-0.7108916,-0.66955113,-0.3621927,-0.4511451,-0.0889524
94,0.22134802,0.013475299,"('aggressive', 'submissive')",0.26076943,0.2145513,0.6212073,0.51032925,0.3677749,0.2461186,-0.1216563
55,-0.21749869,-0.32419318,"('intelligent', 'unintelligent')",-0.15019801,-0.077371955,-0.12122631,-0.1492991,-0.1629743,-0.1836214,-0.0206471
102,-0.19859424,-0.24096785,"('eminent', 'low')",0.95993364,1.0392404,0.09240967,0.10892174,0.284583,0.3023981,0.0178151
2,-0.18860015,-0.5529163,"('friendly', 'unfriendly')",0.6393745,0.610397,-0.93360835,-0.948045,-0.1609447,-0.2968548,-0.1359101
76,-0.17637303,-0.5247236,"('secure', 'insecure')",0.2771585,0.18499447,-0.86106217,-0.825024,-0.2534256,-0.3882511,-0.1348255
65,-0.1551455,-0.655596,"('practical', 'impractical')",-1.0002275,-1.1829737,-1.7086349,-1.8049239,-0.9546693,-1.2144979,-0.2598286
77,0.15384015,0.2648463,"('active', 'inactive')",-0.25518525,-0.22998196,0.4271139,0.5151256,0.1085896,0.18333,0.0747404
97,-0.14593503,-0.08998436,"('superior', 'inferior')",-0.34762818,-0.39082158,-0.9841572,-0.9559763,-0.4925735,-0.4789274,0.0136461
60,0.13364154,0.23096466,"('educated', 'uneducated')",1.1566305,1.2773056,0.28326857,0.45016968,0.5245135,0.6528133,0.1282998
80,0.1272323,0.07997867,"('independent', 'dependent')",2.0820007,2.0574765,2.7393575,2.5238438,1.6495301,1.5537663,-0.0957638
92,-0.123015374,0.07076955,"('unwavering', 'wavering')",-0.13297568,-0.10069601,-0.66415167,-0.66295755,-0.3067142,-0.2309613,0.0757529
106,-0.12222476,-0.052757204,"('conventional', 'unconventional')",0.39664108,0.6027659,0.051336348,0.17620073,0.1085842,0.2420698,0.1334856
89,0.10297847,-0.20715928,"('daring', 'anxious')",0.30512047,0.16546458,0.31259558,0.18500048,0.2402315,0.0477686,-0.1924629
0,-0.06992221,-0.077562705,"('sociable', 'unsociable')",-0.48398957,-0.26859275,-0.37873214,-0.18710613,-0.3108813,-0.1777539,0.1331274
35,0.06897502,0.13049929,"('fair', 'unfair')",0.8870597,0.75243276,0.51233345,0.68274,0.4894561,0.5218907,0.0324346
43,0.06485583,-0.025903992,"('genuine', 'fake')",-0.4375301,-0.42825988,0.1662193,0.16706988,-0.0688183,-0.095698,-0.0268797
7,0.0534665,0.19979593,"('outgoing', 'distant')",0.10233338,0.050176844,-0.10538502,-0.28138575,0.016805,-0.010471,-0.027276
17,0.05328667,0.10944432,"('social', 'antisocial')",-1.0495372,-0.82887125,0.059727073,0.114207596,-0.3121745,-0.2017398,0.1104347
52,0.0486421,-0.16470532,"('competitive', 'uncompetitive')",-0.37432417,-0.34344208,-0.40981206,-0.39810756,-0.2451647,-0.302085,-0.0569203
41,0.039789766,0.68070614,"('incorrupt', 'corrupt')",0.7445444,0.87406665,1.1687901,1.5144998,0.6510414,1.0230908,0.3720494
69,0.03684488,0.19744712,"('wise', 'foolish')",0.30329514,0.30551416,-0.28756246,-0.22112343,0.0175259,0.093946,0.0764201
56,-0.033220053,0.095186405,"('intelligent', 'dumb')",0.41944897,0.5185572,0.96599233,0.88861305,0.4507404,0.5007855,0.0500451
19,-0.015299976,0.03436756,"('funny', 'boring')",-0.56414324,-0.5676774,-0.88983834,-0.76885283,-0.4897605,-0.4340542,0.0557063
22,0.014076784,0.03918737,"('welcoming', 'disagreeable')",1.3826513,1.5000594,1.3426423,1.2683902,0.9131234,0.935879,0.0227556
101,0.0070384294,-0.23804821,"('successful', 'unsuccessful')",-1.5397322,-1.553356,-1.0469648,-0.91750884,-0.8598862,-0.902971,-0.0430848
