,People's_male,People's_female,tuple,United_male,United_female,Financial_male,Financial_female,average_male,average_female,female-male
103,1.4232306,1.4224901,"('traditional', 'modern')",1.359857,1.0739825,1.4537406,1.5622567,1.4122761,1.3529097,-0.0593664
78,1.4111431,1.1856778,"('active', 'inactive')",1.2823011,1.2485334,0.6825396,0.59249675,1.1253279,1.0089027,-0.1164252
86,-1.401516,-1.4184003,"('self-reliant', 'helpless')",1.7186553,2.28984,1.3150358,1.1790104,0.5440584,0.6834834,0.139425
32,-1.3478613,-1.2531381,"('benevolent', 'hardhearted')",-1.8842163,-1.6094742,-2.23539,-2.1081681,-1.8224891,-1.6569268,0.1655623
87,-1.321279,-1.3057737,"('dedicated', 'undedicated')",-0.7355907,-0.7284037,-0.7574401,-0.69228804,-0.9381033,-0.9088217,0.0292816
71,-1.2795184,-1.185756,"('efficient', 'inefficient')",0.4078933,0.028486967,0.2292329,0.06208402,-0.2141307,-0.3650617,-0.150931
73,-1.2259079,-1.2369126,"('brilliant', 'incompetent')",0.1320926,-0.57510054,-1.0457304,-1.2152592,-0.7131819,-1.0090907,-0.2959088
88,1.2195783,1.0529028,"('impulsive', 'meek')",0.43950754,0.79888463,0.82328093,0.72860104,0.8274555,0.8601295,0.032674
45,-1.0775181,-1.0712724,"('cooperative', 'exploitative')",-0.6309093,-1.0386863,-0.30130172,-0.38123602,-0.6699097,-0.8303982,-0.1604885
44,-1.0613513,-1.121525,"('truthful', 'untruthful')",-0.53735286,-0.64190125,-1.4571501,-1.4671568,-1.0186181,-1.0768611,-0.058243
41,1.048861,0.90479004,"('incorrupt', 'corrupt')",-0.07615191,0.59059966,0.8193191,0.9554018,0.5973427,0.8169305,0.2195878
1,-1.0352654,-1.0170939,"('friendly', 'unfriendly')",-1.9206163,-1.4734354,-1.7489433,-1.6422913,-1.568275,-1.3776069,0.1906681
36,-1.0252881,-1.0222229,"('tolerant', 'intolerant')",0.37675974,-0.005050108,-0.56742775,-0.5796146,-0.4053187,-0.5356292,-0.1303105
50,1.012801,0.9345503,"('unprejudiced', 'prejudiced')",1.4996057,1.455685,1.177182,1.0284519,1.2298629,1.1395624,-0.0903005
60,0.9883905,1.1490774,"('educated', 'uneducated')",1.5357199,1.0353346,0.5201793,0.6094767,1.0147632,0.9312962,-0.083467
28,-0.97836685,-0.9627456,"('honest', 'dishonest')",-1.6165687,-1.8286341,-1.7297734,-1.7434843,-1.4415696,-1.5116213,-0.0700517
13,-0.96630615,-0.95555794,"('helpful', 'unhelpful')",-0.9116845,-1.574954,-2.2760975,-2.2777429,-1.384696,-1.6027516,-0.2180556
9,-0.9565454,-0.9052279,"('sensitive', 'insensitive')",-0.3459553,-0.81571174,-1.0371133,-1.161496,-0.7798713,-0.9608119,-0.1809406
64,-0.9413017,-0.89621234,"('clever', 'incompetent')",0.5062324,0.05475831,-0.025381118,-0.051229566,-0.1534835,-0.2975612,-0.1440777
0,-0.9047768,-0.67591035,"('sociable', 'unsociable')",-0.12302017,-0.051351875,-0.17022467,-0.09733319,-0.3993406,-0.2748652,0.1244754
57,-0.87244797,-1.0178734,"('able', 'unable')",0.04858774,-0.10371345,0.5576433,0.47293493,-0.088739,-0.2162173,-0.1274783
25,-0.8554537,-0.71045804,"('moral', 'immoral')",0.41788372,0.06501961,-1.0494833,-1.1624637,-0.4956844,-0.602634,-0.1069496
54,0.8507792,0.8130479,"('smart', 'stupid')",0.603915,0.22661082,-0.8042147,-0.8774627,0.2168265,0.0540653,-0.1627612
11,-0.84135723,-0.8923417,"('caring', 'unaffectionate')",-1.3905263,-1.5120493,-1.9998477,-1.94819,-1.4105771,-1.4508603,-0.0402832
15,-0.83334154,-0.64136314,"('polite', 'impolite')",1.4447999,1.2553614,0.8088763,0.7895725,0.4734449,0.4678569,-0.005588
90,0.8281629,0.76679564,"('motivated', 'unmotivated')",0.7303628,0.70032275,0.29928714,0.17462759,0.619271,0.5472486,-0.0720224
47,-0.8094243,-0.8262028,"('forgiving', 'unforgiving')",-0.95112133,-0.7577986,-0.77257895,-0.6672277,-0.8443748,-0.7504097,0.0939651
80,0.80406034,0.8361829,"('independent', 'dependent')",0.6037887,0.49211448,1.8245264,1.862424,1.0774585,1.0635738,-0.0138847
107,0.79755753,0.8470016,"('conventional', 'modern')",1.8232621,1.628627,1.093409,1.0397272,1.2380762,1.1717853,-0.0662909
97,0.7841712,0.9246394,"('superior', 'inferior')",-0.64274675,-0.5794104,-0.82869524,-0.77273834,-0.2290903,-0.1425031,0.0865872
30,-0.7598585,-0.8782019,"('honest', 'dishonest')",-1.2141906,-1.007535,-1.3887684,-1.4942825,-1.1209392,-1.1266731,-0.0057339
48,-0.70711946,-0.83554465,"('reliable', 'unreliable')",1.1104941,1.5023997,1.3649476,1.2105336,0.5894407,0.6257962,0.0363555
19,-0.69422805,-0.66625524,"('funny', 'boring')",-0.3738327,-0.12395275,-0.5063149,-0.41566932,-0.5247919,-0.4019591,0.1228328
22,0.69033885,0.6941401,"('welcoming', 'disagreeable')",0.5300603,0.70568943,0.9748609,0.9885993,0.7317533,0.7961429,0.0643896
16,-0.6853792,-0.54394895,"('social', 'antisocial')",0.4271378,0.2482298,-1.0814204,-1.0658014,-0.4465539,-0.4538402,-0.0072863
58,-0.6831548,-0.64744914,"('able', 'clumsy')",-0.9912076,-1.2031265,-0.8661951,-0.7822519,-0.8468525,-0.8776092,-0.0307567
49,-0.67809844,-0.7147764,"('responsible', 'irresponsible')",-0.64655304,-1.0793828,-1.37281,-1.4741999,-0.8991539,-1.0894531,-0.1902992
96,0.63180625,0.6427331,"('powerful', 'powerless')",0.73311347,0.55421484,-0.38936475,-0.3229598,0.325185,0.2913294,-0.0338556
55,-0.6312702,-0.5896498,"('intelligent', 'unintelligent')",-0.17874599,-0.40826237,-0.20168805,-0.17347366,-0.3372347,-0.3904619,-0.0532272
105,-0.60143065,-0.5880029,"('conventional', 'modern')",-0.9509884,-0.834501,-0.7642039,-0.6966518,-0.7722077,-0.7063853,0.0658224
52,0.59860766,0.6196445,"('competitive', 'uncompetitive')",0.268803,0.08212572,-0.6497122,-0.63137233,0.0725662,0.023466,-0.0491002
37,0.59577733,0.28630766,"('good', 'evil')",0.13612771,0.5732859,0.95265126,0.96206886,0.5615187,0.6072208,0.0457021
98,0.5893029,0.48246115,"('prestigious', 'insignificant')",0.036660373,-0.020613581,-1.0860571,-1.0329998,-0.1533646,-0.1903841,-0.0370195
24,-0.57377344,-0.6171327,"('thoughtful', 'rough')",-0.5093852,-0.69560134,-0.70714045,-0.62065583,-0.5967664,-0.6444633,-0.0476969
21,-0.5734721,-0.70824736,"('nice', 'nasty')",0.23696989,0.39831865,0.55230683,0.43588716,0.0719349,0.0419861,-0.0299488
75,0.56867194,0.59896684,"('confident', 'shy')",3.9404662,4.9653573,4.0838094,3.9548957,2.8643157,3.1730735,0.3087578
109,-0.5646766,-0.22257566,"('conservative', 'liberal')",1.2955271,1.0894326,0.6739955,0.6268438,0.468282,0.4979002,0.0296182
108,-0.5646766,-0.22257566,"('conservative', 'liberal')",1.2955271,1.0894326,0.6739955,0.6268438,0.468282,0.4979002,0.0296182
12,-0.56181204,-0.54963565,"('sympathetic', 'unsympathetic')",0.026257157,-0.5805001,-0.4519704,-0.5384216,-0.3291751,-0.5561858,-0.2270107
93,-0.5410571,-0.38670653,"('dominating', 'dominated')",0.2435404,-0.092148036,-0.0009125918,-0.03836397,-0.0994764,-0.1724062,-0.0729298
39,-0.53979725,-0.6605351,"('right', 'wrong')",-0.69675785,-0.20263854,-0.792771,-0.67139447,-0.676442,-0.5115227,0.1649193
34,-0.504538,-0.38758665,"('loyal', 'disloyal')",-1.2902533,-1.4390976,-1.6305583,-1.4922998,-1.1417832,-1.106328,0.0354552
84,-0.4968126,-0.66596615,"('self-confident', 'diffident')",-1.0735415,-0.8292827,-1.319589,-1.3958285,-0.9633144,-0.9636924,-0.000378
92,0.49533767,0.28277478,"('unwavering', 'wavering')",-0.6831324,-0.65575075,0.015115827,0.0032449812,-0.0575596,-0.1232437,-0.0656841
104,-0.49513894,-0.47679132,"('conventional', 'unconventional')",-1.5652721,-1.432672,-1.4212723,-1.1934612,-1.1605611,-1.0343082,0.1262529
56,0.47438365,0.40884995,"('intelligent', 'dumb')",0.10775864,0.110865936,0.3124116,0.22421822,0.2981846,0.2479781,-0.0502065
70,0.45190609,0.31534982,"('wise', 'unwise')",0.35631874,0.7301011,1.205356,1.2741499,0.6711936,0.7732003,0.1020067
33,-0.44257596,-0.43482867,"('softhearted', 'hardhearted')",-1.1529522,-1.1559411,-0.263892,-0.05720392,-0.6198067,-0.5493246,0.0704821
67,0.42897317,0.43245825,"('discriminating', 'undiscriminating')",-0.6680268,-0.58654076,-1.434369,-1.3512244,-0.5578075,-0.501769,0.0560385
53,-0.42395243,-0.36207873,"('smart', 'stupid')",-2.817297,-3.8566685,-4.1639333,-4.184695,-2.4683943,-2.8011475,-0.3327532
79,0.4012276,0.4889807,"('determined', 'doubtful')",-0.66024536,-0.472128,0.066500366,0.0592124,-0.0641725,0.025355,0.0895275
7,0.388962,0.19051099,"('outgoing', 'distant')",-0.38904753,-0.045133024,-0.5264447,-0.6172856,-0.1755101,-0.1573025,0.0182076
51,-0.3810206,-0.5203516,"('competent', 'incompetent')",0.029468268,-0.10770333,-0.34897345,-0.37082464,-0.2335086,-0.3329599,-0.0994513
10,-0.36604476,-0.34253842,"('affectionate', 'unaffectionate')",-0.95216537,-0.7297998,-1.0143348,-0.8721992,-0.7775149,-0.6481791,0.1293358
72,0.3610038,0.56079584,"('logical', 'illogical')",-0.5556299,-0.5548012,-1.9122285,-1.7053177,-0.7022849,-0.5664411,0.1358438
63,-0.35736072,-0.43220523,"('capable', 'incapable')",-0.6111855,-0.8342503,-1.2718705,-1.3393334,-0.7468056,-0.8685963,-0.1217907
91,-0.3427728,-0.3995458,"('resilient', 'nonresilient')",-0.3240468,-0.19743766,-0.04737408,0.006076984,-0.2380645,-0.1969688,0.0410957
5,0.30971754,0.20548111,"('pleasant', 'repellent')",0.6937806,0.17300636,0.22028732,0.24765569,0.4079285,0.2087144,-0.1992141
81,0.29833323,0.07771742,"('industrious', 'lazy')",0.36730367,0.77275944,0.317926,0.30935726,0.3278543,0.3866114,0.0587571
85,-0.29273638,-0.17741701,"('ambitious', 'unambitious')",-0.20320845,-0.2550022,-0.47917792,-0.5106808,-0.3250409,-0.3143667,0.0106742
3,0.29065388,0.18432389,"('likable', 'unlikable')",1.6965047,1.9743919,0.6114188,0.5054382,0.8661924,0.8880514,0.021859
46,-0.28641564,-0.30466187,"('generous', 'stingy')",0.9662012,1.5349349,0.5892862,0.6592742,0.4230239,0.6298491,0.2068252
100,-0.2849494,-0.017223328,"('influential', 'uninfluential')",-0.5925639,-0.26714045,-0.53337073,-0.3531929,-0.4702947,-0.2125189,0.2577758
43,-0.26601472,-0.29478124,"('genuine', 'fake')",-0.3812665,-0.49587098,-0.16738738,-0.21512696,-0.2715562,-0.3352597,-0.0637035
101,-0.26296586,-0.30794066,"('successful', 'unsuccessful')",-0.19111493,-0.43923992,-1.7174957,-1.725234,-0.7238588,-0.8241382,-0.1002794
69,0.26027957,0.22756359,"('wise', 'foolish')",0.09795946,0.29543957,-0.67118615,-0.5431596,-0.1043157,-0.0067188,0.0975969
110,-0.23543155,-0.31457877,"('narrow-minded', 'open-minded')",-0.02569808,-0.16882753,0.3611421,0.29999533,0.0333375,-0.061137,-0.0944745
31,-0.23542309,-0.100821376,"('altruistic', 'egoistic')",-0.41591316,-0.08979879,-0.4553873,-0.38855752,-0.3689078,-0.1930592,0.1758486
40,-0.23161086,-0.47036856,"('honorable', 'mean')",-2.621203,-3.666247,-3.7014008,-3.7296581,-2.1847382,-2.6220911,-0.4373529
95,0.20723334,0.19085377,"('rich', 'poor')",-2.7356834,-3.8391006,-4.2198286,-4.2361197,-2.2494262,-2.6281222,-0.378696
2,0.19507465,0.37372553,"('friendly', 'unfriendly')",0.5466601,-0.094584644,-0.34665787,-0.4577209,0.1316923,-0.0595267,-0.191219
106,-0.19456172,-0.29200453,"('conventional', 'unconventional')",-0.035488665,-0.27404237,-0.5993898,-0.44066572,-0.2764801,-0.3355709,-0.0590908
4,-0.17448322,-0.15803534,"('likable', 'unlikable')",-0.112654254,-0.18596607,-2.1835198,-2.2572036,-0.8235524,-0.8670683,-0.0435159
83,0.15684995,0.20651686,"('energetic', 'lethargic')",0.18917829,-0.34212086,-0.4395604,-0.4761371,-0.0311774,-0.2039137,-0.1727363
23,-0.15209039,-0.3465661,"('hospitable', 'inhospitable')",-0.025413781,0.058383226,0.27235693,0.22690856,0.0316176,-0.0204248,-0.0520424
59,0.14507307,0.10028607,"('skillful', 'clumsy')",0.88110954,0.9301268,-0.18496275,-0.028255403,0.2804066,0.3340525,0.0536459
82,0.14335778,0.0961425,"('industrious', 'meek')",0.26044846,0.57705927,-0.3084588,-0.33355302,0.0317825,0.1132163,0.0814338
8,0.11084713,-0.09240508,"('open', 'distant')",-1.0086912,-0.6465368,-0.109758556,-0.134624,-0.3358676,-0.2911886,0.044679
94,-0.10930004,0.13057978,"('aggressive', 'submissive')",1.2138771,0.57623285,-0.04404211,-0.27525866,0.3535117,0.1438513,-0.2096604
17,-0.10750383,0.07279995,"('social', 'antisocial')",-0.12965031,-0.03396511,-1.0743883,-1.0096409,-0.4371808,-0.323602,0.1135788
35,0.09958476,0.068988174,"('fair', 'unfair')",-0.65236866,-0.0025295317,0.54867184,0.61384666,-0.0013707,0.2267684,0.2281391
76,-0.09931278,0.079949155,"('secure', 'insecure')",0.33729318,0.0028146803,0.406187,0.33394676,0.2147225,0.1389035,-0.075819
6,0.07272136,-0.023619607,"('liked', 'disliked')",3.0499177,4.552812,4.0047455,3.9714108,2.3757949,2.8335342,0.4577393
99,-0.06472044,-0.19990842,"('prestigious', 'insignificant')",-0.025187135,0.14537862,-0.9872196,-0.8316197,-0.3590424,-0.2953832,0.0636592
89,0.03766668,-0.009017259,"('daring', 'anxious')",0.7399106,0.3184142,0.31217372,0.2187143,0.3632503,0.1760371,-0.1872132
62,-0.024444215,0.07834098,"('creative', 'uncreative')",-0.9567654,-0.39852235,-1.5425401,-1.4706213,-0.8412499,-0.5969342,0.2443157
66,0.0072217584,0.025712699,"('imaginative', 'unimaginative')",0.9631581,1.4086858,1.3270609,1.2727424,0.7658136,0.9023803,0.1365667
102,0.0010934472,0.036566317,"('eminent', 'low')",0.06687072,-0.25443837,-0.46460366,-0.3300068,-0.1322132,-0.1826263,-0.0504131
