,Apple_male,Apple_female,tuple,average_male,average_female,female-male
64,-0.11514032,-0.14266098,"('clever', 'incompetent')",-0.1151403,-0.142661,-0.0275207
61,-0.101776615,0.04437937,"('rational', 'irrational')",-0.1017766,0.0443794,0.146156
67,0.09442955,0.23481144,"('discriminating', 'undiscriminating')",0.0944296,0.2348114,0.1403818
0,-0.084707916,0.057118356,"('sociable', 'unsociable')",-0.0847079,0.0571184,0.1418263
17,-0.08412501,0.08286053,"('social', 'antisocial')",-0.084125,0.0828605,0.1669855
21,0.05808431,-0.10100514,"('nice', 'nasty')",0.0580843,-0.1010051,-0.1590894
96,-0.03796059,-0.15811473,"('powerful', 'powerless')",-0.0379606,-0.1581147,-0.1201541
12,-0.018688738,-0.07023835,"('sympathetic', 'unsympathetic')",-0.0186887,-0.0702384,-0.0515497
65,-0.012302458,-0.21939948,"('practical', 'impractical')",-0.0123025,-0.2193995,-0.207097
70,0.009694517,-0.050781786,"('wise', 'unwise')",0.0096945,-0.0507818,-0.0604763
43,-0.0072574615,-0.04458466,"('genuine', 'fake')",-0.0072575,-0.0445847,-0.0373272
