,Yum!_male,Yum!_female,tuple,Brands_male,Brands_female,average_male,average_female,female-male
21,-0.9864232,-1.046164,"('nice', 'nasty')",1.1019038,0.9001092,0.0577403,-0.0730274,-0.1307677
46,0.95992506,0.85924983,"('generous', 'stingy')",1.6047997,1.7822261,1.2823625,1.320738,0.0383755
104,-0.94015944,-0.91996676,"('conventional', 'unconventional')",-1.5099633,-1.1761141,-1.2250614,-1.0480404,0.177021
28,0.8928954,0.9853983,"('honest', 'dishonest')",-1.7520908,-1.4801471,-0.4295977,-0.2473744,0.1822233
14,0.88021094,0.626804,"('supportive', 'unsupportive')",0.81296754,0.60966337,0.8465892,0.6182337,-0.2283555
29,0.87302184,0.8975326,"('honest', 'immoral')",-1.1365716,-1.201149,-0.1317749,-0.1518082,-0.0200333
43,0.83354795,0.83212376,"('genuine', 'fake')",-0.5703632,-0.5302522,0.1315924,0.1509358,0.0193434
63,-0.82443047,-0.945191,"('capable', 'incapable')",-1.3162334,-1.5055997,-1.0703319,-1.2253954,-0.1550635
17,0.78189135,0.95215726,"('social', 'antisocial')",-0.08370936,0.05999422,0.349091,0.5060757,0.1569847
26,0.6970299,0.78117776,"('trustworthy', 'untrustworthy')",0.55375254,0.50924283,0.6253912,0.6452103,0.0198191
57,-0.6880814,-0.7598287,"('able', 'unable')",-0.22070423,-0.4318466,-0.4543928,-0.5958377,-0.1414449
110,0.67735595,0.7296935,"('narrow-minded', 'open-minded')",0.58728623,0.651462,0.6323211,0.6905777,0.0582566
0,0.65573955,0.6996,"('sociable', 'unsociable')",-0.18188071,-0.07360679,0.2369294,0.3129966,0.0760672
22,-0.6328496,-0.7230778,"('welcoming', 'disagreeable')",0.85617375,0.9221015,0.1116621,0.0995119,-0.0121502
78,-0.62963545,-0.8731834,"('active', 'inactive')",0.71604854,0.45112705,0.0432065,-0.2110282,-0.2542347
53,0.58771557,0.5427979,"('smart', 'stupid')",-4.804326,-4.7356443,-2.1083052,-2.0964231,0.0118821
96,0.57581955,0.5388899,"('powerful', 'powerless')",-0.030128121,-0.03293377,0.2728457,0.2529781,-0.0198676
32,-0.5502539,-0.5613817,"('benevolent', 'hardhearted')",-1.5932851,-1.4983351,-1.0717695,-1.0298584,0.0419111
10,-0.5064409,-0.6237911,"('affectionate', 'unaffectionate')",-1.5279535,-1.3544056,-1.0171971,-0.9890984,0.0280987
95,0.48004264,0.4288367,"('rich', 'poor')",-5.6564064,-5.64307,-2.588182,-2.6071167,-0.0189347
102,0.45321232,0.43249875,"('eminent', 'low')",-0.9182093,-1.0093412,-0.2324985,-0.2884212,-0.0559227
62,0.44964275,0.2781773,"('creative', 'uncreative')",-1.421763,-1.597234,-0.4860601,-0.6595284,-0.1734683
54,0.405523,0.27743012,"('smart', 'stupid')",0.11081049,0.04538369,0.2581667,0.1614069,-0.0967598
3,0.39882746,0.19626027,"('likable', 'unlikable')",1.8009404,1.5178037,1.0998839,0.8570319,-0.242852
65,0.3474561,0.32898962,"('practical', 'impractical')",-0.48028994,-0.6565157,-0.0664169,-0.163763,-0.0973461
88,-0.34532872,-0.5442065,"('impulsive', 'meek')",0.9477112,0.72363377,0.3011913,0.0897136,-0.2114777
38,0.33689508,0.46042317,"('kind', 'unkind')",-1.5096343,-1.3443956,-0.5863696,-0.4419862,0.1443834
68,0.33132744,0.06666401,"('clever', 'inept')",-1.2721709,-1.4619848,-0.4704217,-0.6976604,-0.2272387
11,-0.27467394,-0.3617182,"('caring', 'unaffectionate')",-2.500297,-2.404965,-1.3874855,-1.3833416,0.0041439
24,-0.266608,-0.26201516,"('thoughtful', 'rough')",-1.5053546,-1.4835494,-0.8859813,-0.8727822,0.0131991
35,-0.25580263,-0.097124666,"('fair', 'unfair')",0.4469582,0.5438095,0.0955778,0.2233424,0.1277646
80,-0.21908072,-0.13345277,"('independent', 'dependent')",0.7563962,0.7234515,0.2686577,0.2949994,0.0263417
40,0.2163049,-0.037531137,"('honorable', 'mean')",-4.970155,-4.9762907,-2.376925,-2.5069108,-0.1299858
91,0.19658032,-0.090188116,"('resilient', 'nonresilient')",-0.29088435,-0.44669342,-0.047152,-0.2684408,-0.2212888
87,-0.18602648,-0.32308763,"('dedicated', 'undedicated')",-1.2212738,-1.1777875,-0.7036501,-0.7504376,-0.0467875
72,-0.16380078,-0.00450933,"('logical', 'illogical')",-0.8571946,-0.5722001,-0.5104977,-0.2883547,0.222143
74,0.16230285,-0.023236006,"('insightful', 'unperceptive')",-1.1902635,-1.392138,-0.5139803,-0.707687,-0.1937067
67,0.15399933,0.013560176,"('discriminating', 'undiscriminating')",-1.3787322,-1.3545387,-0.6123664,-0.6704893,-0.0581229
4,-0.1492652,-0.22904286,"('likable', 'unlikable')",-0.4899093,-0.5841495,-0.3195872,-0.4065962,-0.087009
44,-0.1407419,-0.2661979,"('truthful', 'untruthful')",-0.9188959,-1.0443892,-0.5298189,-0.6552936,-0.1254747
70,0.12330395,0.035883784,"('wise', 'unwise')",0.54701245,0.4843226,0.3351582,0.2601032,-0.075055
48,-0.097373486,-0.15925026,"('reliable', 'unreliable')",2.8390799,2.411984,1.3708532,1.1263669,-0.2444863
47,-0.076496825,-0.20739655,"('forgiving', 'unforgiving')",-0.5326097,-0.26404563,-0.3045533,-0.2357211,0.0688322
50,0.06034057,0.076947674,"('unprejudiced', 'prejudiced')",1.8321226,1.6357443,0.9462315,0.856346,-0.0898855
106,-0.059970662,-0.23053643,"('conventional', 'unconventional')",-0.6008262,-0.48441195,-0.3303984,-0.3574742,-0.0270758
101,0.030890912,0.033777595,"('successful', 'unsuccessful')",-1.2754664,-1.5115619,-0.6222878,-0.7388921,-0.1166043
45,0.023944095,0.12947172,"('cooperative', 'exploitative')",-0.20313887,-0.11628312,-0.0895974,0.0065943,0.0961917
79,0.012871116,0.011847794,"('determined', 'doubtful')",0.38624558,0.3611064,0.1995583,0.1864771,-0.0130812
97,0.004760772,0.10851191,"('superior', 'inferior')",-1.0040827,-0.89393055,-0.499661,-0.3927093,0.1069517
