,Marsh_male,Marsh_female,tuple,&_male,&_female,McLennan_male,McLennan_female,average_male,average_female,female-male
96,0.6764467,0.611632,"('powerful', 'powerless')",1.9636645,1.9360857,0.7215825,0.66154927,1.1205645,1.0697556,-0.0508089
44,-0.64695644,-0.62869155,"('truthful', 'untruthful')",-0.12342109,-0.31923357,0.063819885,0.06501973,-0.2355192,-0.2943018,-0.0587826
43,-0.64501834,-0.7881198,"('genuine', 'fake')",0.45401642,0.48974708,-0.03357634,-0.040570155,-0.0748594,-0.112981,-0.0381216
83,-0.64140177,-0.6730753,"('energetic', 'lethargic')",-0.4276148,-0.4433389,1.8445598,1.9091727,0.2585144,0.2642528,0.0057384
97,-0.63587916,-0.55694056,"('superior', 'inferior')",-0.9101333,-0.9269796,0.1830551,0.21582395,-0.4543191,-0.4226987,0.0316204
57,0.6154728,0.28397977,"('able', 'unable')",0.37963194,0.24697638,1.0168582,0.94457746,0.6706543,0.4918445,-0.1788098
76,0.6033424,0.35455632,"('secure', 'insecure')",0.07124257,0.43655747,2.5226083,2.517146,1.065731,1.1027533,0.0370223
64,-0.5619029,-0.6963223,"('clever', 'incompetent')",-0.06654215,0.15274763,2.3034823,2.160914,0.5583458,0.5391131,-0.0192327
15,0.561598,0.4985619,"('polite', 'impolite')",0.98071355,1.0655968,3.0155122,2.9497442,1.5192746,1.5046342,-0.0146404
45,-0.5273867,-0.95363677,"('cooperative', 'exploitative')",0.23082179,-0.03409016,0.889548,0.6575238,0.197661,-0.1100677,-0.3077287
31,-0.5216684,-0.46948662,"('altruistic', 'egoistic')",-0.5368643,-0.654704,-1.1905683,-1.1007128,-0.7497004,-0.7416344,0.008066
62,-0.51773655,-0.37252057,"('creative', 'uncreative')",-2.2667456,-2.3764453,0.6187912,0.7969916,-0.721897,-0.6506581,0.0712389
54,0.51636094,0.27788332,"('smart', 'stupid')",1.0514773,1.1036994,1.773078,1.5709054,1.1136387,0.9841627,-0.129476
55,-0.50136185,-0.5172491,"('intelligent', 'unintelligent')",-0.24816978,0.06497896,2.3974988,2.5336623,0.5493224,0.6937974,0.144475
88,0.49682122,0.5622944,"('impulsive', 'meek')",0.98271424,0.5905908,-2.0102386,-2.0151982,-0.1769011,-0.2874377,-0.1105366
87,-0.48959818,-0.3479319,"('dedicated', 'undedicated')",-1.0476332,-1.0999688,-0.37292165,-0.313482,-0.6367176,-0.5871275,0.0495901
77,0.4790007,0.5663933,"('active', 'inactive')",-0.33979833,-0.24004993,-0.90074325,-0.8646572,-0.253847,-0.179438,0.074409
72,-0.47133392,-0.19790553,"('logical', 'illogical')",-2.02136,-1.9372089,1.9570246,2.098128,-0.1785564,-0.0123288,0.1662276
38,-0.47037846,-0.4273922,"('kind', 'unkind')",-1.6716217,-1.6502889,1.2048553,1.4314085,-0.3123816,-0.2154242,0.0969574
4,0.4664711,0.23093155,"('likable', 'unlikable')",-0.6069189,-0.83828163,-0.13655873,-0.29507208,-0.0923355,-0.3008074,-0.2084719
85,0.4297474,0.338651,"('ambitious', 'unambitious')",0.5252911,0.4314575,0.95440686,0.99955875,0.6364818,0.589889,-0.0465928
39,-0.40969247,-0.19752607,"('right', 'wrong')",0.786576,0.6752243,-0.8976689,-0.8374402,-0.1735951,-0.119914,0.0536811
2,-0.39951077,-0.6071241,"('friendly', 'unfriendly')",0.20569074,0.5273682,3.1462777,3.0344732,0.9841526,0.9849057,0.0007531
5,0.39080834,0.21887405,"('pleasant', 'repellent')",0.23307134,0.2290945,1.2940757,1.2421385,0.6393185,0.563369,-0.0759495
73,-0.38829523,-0.73789835,"('brilliant', 'incompetent')",0.59921503,0.37608182,1.6320705,1.4626557,0.6143301,0.3669464,-0.2473837
18,-0.3851914,-0.43791786,"('social', 'asocial')",-0.16941583,-0.10184574,1.7140881,1.7925751,0.3864936,0.4176039,0.0311103
84,-0.3796531,-0.46819174,"('self-confident', 'diffident')",0.119012654,-0.027711093,-0.30824274,-0.25682122,-0.1896277,-0.250908,-0.0612803
102,0.34620574,0.23553069,"('eminent', 'low')",-0.16702682,-0.39734355,0.5502946,0.51267236,0.2431578,0.1169532,-0.1262046
16,0.33595267,0.22480556,"('social', 'antisocial')",0.3824269,0.6116088,2.536966,2.457145,1.0851152,1.0978531,0.0127379
17,-0.3267756,-0.119966775,"('social', 'antisocial')",0.33525267,0.45708948,0.9139607,0.98847914,0.3074793,0.4418673,0.134388
65,-0.32276836,-0.64215314,"('practical', 'impractical')",-0.059535027,-0.025037318,1.4626584,1.2928518,0.3601183,0.2085538,-0.1515645
24,-0.31999034,-0.49580133,"('thoughtful', 'rough')",-0.3752486,-0.3377083,0.47626776,0.47095865,-0.0729904,-0.1208503,-0.0478599
0,-0.2993401,-0.14103311,"('sociable', 'unsociable')",-0.044442117,0.25629807,2.4680583,2.6805754,0.7080921,0.9319468,0.2238547
41,-0.29503423,0.0726099,"('incorrupt', 'corrupt')",0.081804395,0.09784329,-3.160617,-2.8444238,-1.1246157,-0.8913236,0.2332921
70,0.2843882,0.5512197,"('wise', 'unwise')",-0.21861404,-0.04340157,0.3335458,0.59639364,0.1331067,0.3680706,0.2349639
99,-0.28310376,-0.3172179,"('prestigious', 'insignificant')",-0.93465394,-1.3091881,-2.1469452,-2.0403187,-1.1215676,-1.2222416,-0.100674
25,0.27947605,-0.03964418,"('moral', 'immoral')",-0.15499687,-0.11594057,3.253614,3.0274284,1.1260311,0.9572812,-0.1687499
74,-0.27594644,-0.24380516,"('insightful', 'unperceptive')",-2.0510526,-2.2101963,1.8902565,1.9059219,-0.1455808,-0.1826932,-0.0371124
61,0.26328406,0.6245483,"('rational', 'irrational')",-0.11714852,-0.13652503,-0.4943093,-0.35059917,-0.1160579,0.045808,0.1618659
106,0.25722516,0.22208351,"('conventional', 'unconventional')",0.789896,1.0880945,0.61730003,0.6183633,0.5548071,0.6428471,0.08804
98,-0.23776671,-0.20603408,"('prestigious', 'insignificant')",-0.75881976,-1.1497474,-2.2354512,-2.1754153,-1.0773458,-1.1770655,-0.0997197
89,0.22466946,0.05731608,"('daring', 'anxious')",-0.8747365,-0.8151448,2.2266521,2.0546618,0.5255284,0.4322777,-0.0932507
49,-0.22004831,-0.3599168,"('responsible', 'irresponsible')",-0.44786936,-0.6318982,2.0118074,1.9396985,0.4479632,0.3159611,-0.1320021
91,-0.18132952,-0.19448593,"('resilient', 'nonresilient')",0.5080771,0.5576559,0.6192936,0.7556638,0.315347,0.3729446,0.0575976
30,-0.15935111,-0.16059934,"('honest', 'dishonest')",-1.3446836,-1.4505508,0.99790347,0.94385093,-0.1687104,-0.2224331,-0.0537227
67,-0.1491012,-0.009658895,"('discriminating', 'undiscriminating')",-0.8109486,-0.59599626,0.43644643,0.5901105,-0.1745345,-0.0051816,0.1693529
82,0.14674163,0.14344233,"('industrious', 'meek')",0.9066853,0.731109,-2.562709,-2.6678822,-0.503094,-0.597777,-0.094683
20,0.12881339,0.29770845,"('popular', 'unpopular')",-0.19214627,-0.33684558,-0.2952972,-0.15883034,-0.1195434,-0.0659892,0.0535542
69,-0.10469735,0.0029622912,"('wise', 'foolish')",-0.45903856,-0.70321673,-1.0270073,-1.0204481,-0.5302478,-0.5735675,-0.0433197
63,-0.10154732,-0.35749364,"('capable', 'incapable')",-0.65003437,-0.85764754,-0.5894874,-0.57068646,-0.447023,-0.5952759,-0.1482529
8,0.0964244,0.24119276,"('open', 'distant')",-1.6857467,-1.8954618,-1.4791281,-1.4090422,-1.0228168,-1.0211037,0.0017131
26,-0.07919622,0.069553286,"('trustworthy', 'untrustworthy')",-0.018105805,-0.078443706,1.131914,1.3118236,0.3448706,0.4343111,0.0894405
21,-0.07099521,-0.0996511,"('nice', 'nasty')",0.701074,0.7809905,1.1086596,1.0511494,0.5795795,0.5774963,-0.0020832
93,0.057836115,0.06853789,"('dominating', 'dominated')",1.7850899,1.8938642,1.5423312,1.404681,1.1284191,1.122361,-0.0060581
52,-0.049551904,-0.024883628,"('competitive', 'uncompetitive')",-0.0034922361,0.08378959,2.9133391,2.8062596,0.9534317,0.9550552,0.0016235
101,-0.026253548,-0.14382814,"('successful', 'unsuccessful')",-0.633511,-0.66783416,0.4111516,0.29172605,-0.082871,-0.1733121,-0.0904411
42,0.0066006184,0.24670291,"('amicable', 'hostile')",0.48472708,0.43818986,-1.4176476,-1.1879683,-0.3087733,-0.1676918,0.1410815
92,0.0031036139,0.15843579,"('unwavering', 'wavering')",-1.3427869,-1.4157473,-1.9963822,-1.8397167,-1.1120218,-1.0323428,0.079679
