,Johnson_male,Johnson_female,tuple,Controls_male,Controls_female,average_male,average_female,female-male
33,-1.531388,-1.5516655,"('softhearted', 'hardhearted')",-1.684977,-1.6236022,-1.6081825494766235,-1.5876338481903076,0.020548701286315918
32,-1.5261636,-1.1999187,"('benevolent', 'hardhearted')",-1.700973,-1.3211987,-1.6135683059692383,-1.2605587244033813,0.35300958156585693
78,1.4995143,1.1456487,"('active', 'inactive')",1.64095,1.3597378,1.5702321529388428,1.2526931762695312,-0.3175389766693115
11,-1.4855969,-1.6070117,"('caring', 'unaffectionate')",-2.188833,-2.171585,-1.8372149467468262,-1.889298439025879,-0.052083492279052734
66,1.4810566,2.0618553,"('imaginative', 'unimaginative')",1.6827154,1.7590225,1.5818860530853271,1.910438895225525,0.32855284214019775
109,1.400826,1.2597646,"('conservative', 'liberal')",0.005852014,-0.084407926,0.7033389806747437,0.5876783132553101,-0.1156606674194336
108,1.400826,1.2597646,"('conservative', 'liberal')",0.005852014,-0.084407926,0.7033389806747437,0.5876783132553101,-0.1156606674194336
38,-1.3800484,-1.0809633,"('kind', 'unkind')",-0.80145574,-0.58288,-1.090752124786377,-0.8319216370582581,0.2588304877281189
62,-1.3642135,-1.1669978,"('creative', 'uncreative')",-0.8665981,-0.8092524,-1.115405797958374,-0.9881250858306885,0.12728071212768555
29,-1.3488984,-1.257133,"('honest', 'immoral')",-0.9012774,-1.0401173,-1.1250879764556885,-1.148625135421753,-0.023537158966064453
88,1.2970583,1.6145331,"('impulsive', 'meek')",1.5362618,1.5795048,1.4166600704193115,1.5970189571380615,0.18035888671875
68,-1.2860732,-1.315107,"('clever', 'inept')",-1.0713876,-1.1307065,-1.1787304878234863,-1.2229068279266357,-0.044176340103149414
104,-1.253072,-1.1722512,"('conventional', 'unconventional')",-1.2554421,-1.1600693,-1.254257082939148,-1.1661603450775146,0.0880967378616333
74,-1.2514241,-1.106866,"('insightful', 'unperceptive')",-0.99899215,-1.1086509,-1.1252081394195557,-1.1077585220336914,0.017449617385864258
44,-1.190315,-1.196866,"('truthful', 'untruthful')",-0.93003094,-0.8624095,-1.0601730346679688,-1.0296378135681152,0.030535221099853516
22,1.1293346,0.8201756,"('welcoming', 'disagreeable')",1.1056994,1.177942,1.1175169944763184,0.9990588426589966,-0.11845815181732178
94,1.1147634,1.3143747,"('aggressive', 'submissive')",0.732553,0.59019095,0.9236581921577454,0.9522827863693237,0.02862459421157837
37,1.113606,0.9631684,"('good', 'evil')",1.4118261,1.5518548,1.2627160549163818,1.2575116157531738,-0.005204439163208008
105,-1.0791501,-1.1867967,"('conventional', 'modern')",-0.86318314,-0.75794995,-0.9711666107177734,-0.9723733067512512,-0.0012066960334777832
81,1.0745932,0.82940584,"('industrious', 'lazy')",1.7759336,1.8300276,1.4252634048461914,1.329716682434082,-0.09554672241210938
47,-1.0313421,-0.90049785,"('forgiving', 'unforgiving')",-0.7155377,-0.5390988,-0.8734399080276489,-0.7197983264923096,0.15364158153533936
97,-1.023006,-0.91177905,"('superior', 'inferior')",-1.4152229,-1.4116971,-1.2191144227981567,-1.1617381572723389,0.05737626552581787
10,-0.996138,-1.0437104,"('affectionate', 'unaffectionate')",-1.2580695,-1.1017455,-1.1271038055419922,-1.072727918624878,0.05437588691711426
87,-0.9656954,-0.76375246,"('dedicated', 'undedicated')",-0.66361743,-0.3551838,-0.8146563768386841,-0.559468150138855,0.2551882266998291
103,0.94282556,0.74034077,"('traditional', 'modern')",1.01862,0.7853024,0.9807227849960327,0.7628215551376343,-0.21790122985839844
72,-0.93509126,-0.6916088,"('logical', 'illogical')",-1.1909983,-1.1782007,-1.063044786453247,-0.9349047541618347,0.12814003229141235
80,0.8712925,0.88420653,"('independent', 'dependent')",0.34905094,0.33662963,0.6101716756820679,0.6104180812835693,0.00024640560150146484
90,0.8686024,0.4585055,"('motivated', 'unmotivated')",0.8822514,0.6385788,0.8754268884658813,0.5485421419143677,-0.32688474655151367
82,0.86302423,0.77780336,"('industrious', 'meek')",1.5796051,1.6652833,1.2213146686553955,1.221543312072754,0.00022864341735839844
46,0.849925,0.9381401,"('generous', 'stingy')",1.8724676,2.1052449,1.3611962795257568,1.5216925144195557,0.16049623489379883
49,-0.75589895,-0.795514,"('responsible', 'irresponsible')",-1.631422,-1.6333467,-1.1936604976654053,-1.214430332183838,-0.020769834518432617
36,-0.75317144,-0.9804896,"('tolerant', 'intolerant')",-0.8722978,-0.8445892,-0.8127346038818359,-0.9125393629074097,-0.09980475902557373
31,-0.74066824,-0.86391485,"('altruistic', 'egoistic')",-0.6283527,-0.43814814,-0.6845104694366455,-0.651031494140625,0.03347897529602051
55,-0.7286069,-0.65017235,"('intelligent', 'unintelligent')",-1.0341783,-1.1431787,-0.8813925981521606,-0.8966755270957947,-0.015282928943634033
100,-0.7196665,-0.3466442,"('influential', 'uninfluential')",-1.1242896,-0.7795327,-0.9219780564308167,-0.5630884170532227,0.358889639377594
18,-0.7091298,-0.52547,"('social', 'asocial')",-0.6415795,-0.4725685,-0.6753546595573425,-0.4990192651748657,0.1763353943824768
69,-0.70450723,-0.8433764,"('wise', 'foolish')",0.30931157,0.5042912,-0.19759783148765564,-0.1695426106452942,0.02805522084236145
107,0.6567216,0.77216554,"('conventional', 'modern')",0.9536925,0.9738282,0.8052070140838623,0.8729968667030334,0.06778985261917114
9,-0.6494458,-0.7535916,"('sensitive', 'insensitive')",-1.0555459,-1.1944904,-0.8524958491325378,-0.9740409851074219,-0.12154513597488403
59,0.6481681,0.705014,"('skillful', 'clumsy')",0.6920517,0.7066894,0.6701098680496216,0.705851674079895,0.03574180603027344
14,0.63250786,0.6234524,"('supportive', 'unsupportive')",0.6871296,0.62925947,0.6598187685012817,0.6263559460639954,-0.03346282243728638
63,-0.62571496,-0.76044154,"('capable', 'incapable')",-0.55229604,-0.6219001,-0.5890054702758789,-0.6911708116531372,-0.1021653413772583
16,0.6236996,0.7730262,"('social', 'antisocial')",0.50958896,0.6806959,0.5666443109512329,0.7268610596656799,0.16021674871444702
98,-0.5964992,-0.96125275,"('prestigious', 'insignificant')",0.1593567,0.28803593,-0.2185712456703186,-0.3366084098815918,-0.1180371642112732
56,0.5849143,0.70981926,"('intelligent', 'dumb')",2.0268388,2.1627116,1.3058764934539795,1.436265468597412,0.13038897514343262
99,-0.58213854,-0.8384477,"('prestigious', 'insignificant')",0.2072084,0.5691409,-0.18746507167816162,-0.13465338945388794,0.05281168222427368
77,0.57046324,0.7579012,"('active', 'inactive')",1.2632709,1.5747197,0.9168670177459717,1.166310429573059,0.2494434118270874
83,-0.5658432,-0.3901043,"('energetic', 'lethargic')",0.26175568,0.26682323,-0.15204377472400665,-0.061640530824661255,0.0904032438993454
30,-0.55752933,-0.22269647,"('honest', 'dishonest')",-0.115616746,-0.03132093,-0.3365730345249176,-0.12700870633125305,0.20956432819366455
43,-0.5530419,-0.681582,"('genuine', 'fake')",-0.33010715,-0.29125172,-0.4415745139122009,-0.48641684651374817,-0.04484233260154724
41,0.51193434,0.87663394,"('incorrupt', 'corrupt')",1.4755744,1.6420488,0.9937543869018555,1.2593413591384888,0.2655869722366333
0,-0.5048447,-0.1657995,"('sociable', 'unsociable')",-0.09759551,0.07312825,-0.3012201189994812,-0.046335622668266296,0.2548844963312149
15,0.5038548,0.7621969,"('polite', 'impolite')",0.16865197,0.28618568,0.33625340461730957,0.5241912603378296,0.18793785572052002
84,-0.48576683,-0.41098928,"('self-confident', 'diffident')",-0.3386187,-0.36489528,-0.41219276189804077,-0.38794228434562683,0.02425047755241394
64,-0.47649896,-0.46717304,"('clever', 'incompetent')",-1.1470578,-1.1922071,-0.8117783665657043,-0.8296900987625122,-0.01791173219680786
35,0.46218988,0.6109587,"('fair', 'unfair')",0.29790133,0.49890596,0.3800455927848816,0.5549323558807373,0.1748867630958557
8,-0.4528862,-0.6424546,"('open', 'distant')",0.21362317,0.14441158,-0.11963151395320892,-0.2490215301513672,-0.12939001619815826
26,0.42855033,0.5662538,"('trustworthy', 'untrustworthy')",0.9160916,0.8996849,0.6723209619522095,0.732969343662262,0.06064838171005249
54,0.41242754,0.08026749,"('smart', 'stupid')",0.40070033,0.035877764,0.406563937664032,0.05807262659072876,-0.3484913110733032
71,0.41147828,0.2106803,"('efficient', 'inefficient')",-0.97187746,-1.3321632,-0.2801995873451233,-0.5607414245605469,-0.2805418372154236
52,-0.41117257,-0.11131102,"('competitive', 'uncompetitive')",-0.43190318,-0.5630848,-0.4215378761291504,-0.3371978998184204,0.08433997631072998
60,-0.38453028,-0.23224801,"('educated', 'uneducated')",0.12231639,0.33046174,-0.13110694289207458,0.049106866121292114,0.1802138090133667
45,-0.37968698,-0.6961143,"('cooperative', 'exploitative')",-0.6291761,-0.52717763,-0.5044315457344055,-0.6116459369659424,-0.10721439123153687
5,0.37305665,0.1745326,"('pleasant', 'repellent')",0.18483277,0.2153843,0.2789447009563446,0.19495844841003418,-0.08398625254631042
67,-0.37272084,-0.16813502,"('discriminating', 'undiscriminating')",-0.6170938,-0.44113952,-0.49490731954574585,-0.30463725328445435,0.1902700662612915
2,-0.36443335,-0.31900087,"('friendly', 'unfriendly')",-0.6731802,-0.6800094,-0.5188068151473999,-0.4995051622390747,0.019301652908325195
92,-0.35081637,-0.28441963,"('unwavering', 'wavering')",0.46325254,0.38120216,0.056218087673187256,0.04839126765727997,-0.007826820015907288
79,-0.34582666,-0.3535644,"('determined', 'doubtful')",-0.2683079,-0.110945344,-0.30706727504730225,-0.23225487768650055,0.0748123973608017
20,0.33870715,0.35969815,"('popular', 'unpopular')",0.5877695,0.7048815,0.46323832869529724,0.5322898030281067,0.06905147433280945
57,0.33801436,0.27557826,"('able', 'unable')",-0.9619344,-1.24037,-0.31196001172065735,-0.48239588737487793,-0.17043587565422058
106,0.30573604,0.2717865,"('conventional', 'unconventional')",-0.8991543,-0.71960896,-0.2967091202735901,-0.22391122579574585,0.07279789447784424
23,0.30416876,0.22484499,"('hospitable', 'inhospitable')",0.62657917,0.5560138,0.4653739631175995,0.39042940735816956,-0.07494455575942993
51,-0.30350062,-0.052904636,"('competent', 'incompetent')",-0.749091,-0.6821188,-0.5262958407402039,-0.36751168966293335,0.1587841510772705
7,0.29066992,0.17574376,"('outgoing', 'distant')",0.63015544,0.50868523,0.4604126811027527,0.3422144949436188,-0.11819818615913391
110,-0.28012955,-0.41102672,"('narrow-minded', 'open-minded')",0.8507102,0.8864984,0.28529033064842224,0.2377358376979828,-0.04755449295043945
76,0.27136308,0.33411682,"('secure', 'insecure')",-0.36977273,-0.49262193,-0.04920482635498047,-0.07925255596637726,-0.03004772961139679
39,-0.25766474,-0.22244793,"('right', 'wrong')",-0.50457406,-0.17881031,-0.38111940026283264,-0.2006291151046753,0.18049028515815735
61,0.25759998,0.3234552,"('rational', 'irrational')",0.2680766,0.68086606,0.26283830404281616,0.5021606683731079,0.23932236433029175
96,0.24558926,0.4679305,"('powerful', 'powerless')",-0.33438173,-0.06023547,-0.044396236538887024,0.2038475126028061,0.24824374914169312
89,0.24158573,0.31406105,"('daring', 'anxious')",1.051398,1.1257918,0.6464918851852417,0.7199264168739319,0.07343453168869019
4,-0.22504374,-0.47270903,"('likable', 'unlikable')",0.09098515,0.124783784,-0.06702929735183716,-0.17396262288093567,-0.10693332552909851
21,0.20791525,0.19410896,"('nice', 'nasty')",0.9695959,0.9302309,0.5887556076049805,0.5621699094772339,-0.026585698127746582
24,-0.18460554,-0.198746,"('thoughtful', 'rough')",-1.1023513,-1.0517004,-0.6434783935546875,-0.6252231597900391,0.018255233764648438
65,-0.18424273,-0.056356788,"('practical', 'impractical')",-1.6531739,-1.5754046,-0.918708324432373,-0.8158807158470154,0.10282760858535767
70,0.18164423,0.32166103,"('wise', 'unwise')",0.7149154,0.64445055,0.44827979803085327,0.4830557703971863,0.03477597236633301
25,0.17789909,-0.12557223,"('moral', 'immoral')",-0.3457454,-0.36196283,-0.08392316102981567,-0.24376752972602844,-0.15984436869621277
19,0.17134339,0.4237075,"('funny', 'boring')",-0.13873267,0.060304165,0.016305357217788696,0.2420058250427246,0.2257004678249359
102,-0.17012462,-0.23242135,"('eminent', 'low')",-0.19986135,-0.16499849,-0.1849929839372635,-0.19870992004871368,-0.013716936111450195
101,-0.16994864,0.11189413,"('successful', 'unsuccessful')",-0.7459036,-0.6996828,-0.4579261243343353,-0.29389432072639465,0.16403180360794067
73,-0.12258838,-0.42589507,"('brilliant', 'incompetent')",-0.9602852,-1.0159328,-0.5414367914199829,-0.7209139466285706,-0.17947715520858765
91,0.11848491,0.031951375,"('resilient', 'nonresilient')",-0.63234496,-0.89381534,-0.25693002343177795,-0.4309319853782654,-0.17400196194648743
93,-0.06853905,0.19773592,"('dominating', 'dominated')",-0.22090408,-0.01985228,-0.14472156763076782,0.08894181996583939,0.2336633875966072
42,0.060923934,0.14708945,"('amicable', 'hostile')",0.9828913,1.0583092,0.52190762758255,0.602699339389801,0.08079171180725098
85,0.027271345,0.1672097,"('ambitious', 'unambitious')",-0.680545,-0.4560879,-0.32663682103157043,-0.14443910121917725,0.1821977198123932
17,-0.0006700307,0.32904276,"('social', 'antisocial')",-0.040340573,0.17123498,-0.020505301654338837,0.25013887882232666,0.2706441804766655
