,D._male,D._female,tuple,R._male,R._female,Horton_male,Horton_female,average_male,average_female,female-male
60,-0.30943173,-0.25374347,"('educated', 'uneducated')",-0.40861684,-0.27483264,0.3002944,0.18864039,-0.1392514,-0.1133119,0.0259395
62,-0.29939407,-0.2334554,"('creative', 'uncreative')",-0.4862772,-0.6185238,-1.0760555,-0.90680885,-0.6205756,-0.5862627,0.0343129
22,0.28996748,0.288461,"('welcoming', 'disagreeable')",0.18005045,0.05718127,0.72981644,0.8714782,0.3999448,0.4057068,0.005762
98,0.27754083,0.21276674,"('prestigious', 'insignificant')",-0.0043997467,-0.06626895,-0.6477264,-0.535081,-0.1248618,-0.1295277,-0.0046659
91,0.2654054,0.120847225,"('resilient', 'nonresilient')",0.34061307,0.042551488,-0.49849993,-0.48428535,0.0358395,-0.1069622,-0.1428017
36,-0.25182745,-0.33566087,"('tolerant', 'intolerant')",-1.1334529,-1.2863114,-0.42998672,-0.63485235,-0.605089,-0.7522749,-0.1471859
1,-0.25044373,-0.0020231158,"('friendly', 'unfriendly')",-0.6595969,-0.5285715,-2.4796948,-2.2320995,-1.1299118,-0.920898,0.2090138
92,0.25015685,0.45763713,"('unwavering', 'wavering')",0.7564125,0.64665514,-0.5263579,-0.36815405,0.1600705,0.2453794,0.0853089
109,-0.23869424,-0.48994145,"('conservative', 'liberal')",-0.27241114,-0.23237686,1.7116605,1.3471498,0.400185,0.2082772,-0.1919078
108,-0.23869424,-0.48994145,"('conservative', 'liberal')",-0.27241114,-0.23237686,1.7116605,1.3471498,0.400185,0.2082772,-0.1919078
35,0.21206276,0.54265153,"('fair', 'unfair')",0.088000625,0.20228279,0.38272735,0.5713543,0.2275969,0.4387629,0.211166
5,-0.21094288,-0.4552812,"('pleasant', 'repellent')",-0.23697944,-0.34323663,0.7460898,0.5703803,0.0993892,-0.0760459,-0.1754351
81,-0.20304067,-0.04722835,"('industrious', 'lazy')",0.4322495,0.5456374,1.1206683,1.3885068,0.449959,0.628972,0.179013
11,0.17916137,0.18455347,"('caring', 'unaffectionate')",-0.8004885,-0.8624953,-2.390491,-2.386832,-1.0039394,-1.0215913,-0.0176519
48,0.15775347,0.1287708,"('reliable', 'unreliable')",0.38153207,0.13644975,2.5202928,2.6954362,1.0198595,0.9868856,-0.0329739
3,0.15203376,0.18040702,"('likable', 'unlikable')",0.17105913,0.077097535,1.8866158,1.8881078,0.7365696,0.7152041,-0.0213655
49,0.14222698,-0.17805181,"('responsible', 'irresponsible')",-0.59962815,-0.8537992,-1.5433,-1.8825712,-0.6669004,-0.9714741,-0.3045737
90,-0.13486952,-0.24741045,"('motivated', 'unmotivated')",0.13804138,-0.19211301,1.4002049,1.2279243,0.4677923,0.2628003,-0.204992
52,0.10513964,-0.35024494,"('competitive', 'uncompetitive')",-0.36432743,-0.6288396,-0.1449306,-0.16441959,-0.1347061,-0.381168,-0.2464619
93,0.09977245,0.018689662,"('dominating', 'dominated')",0.2743833,0.13659796,0.24578686,0.066404745,0.2066475,0.0738975,-0.13275
8,0.072605744,0.17438999,"('open', 'distant')",0.3441991,0.3127012,-0.7545079,-0.53156793,-0.1125677,-0.0148256,0.0977421
54,0.05524808,-0.17569947,"('smart', 'stupid')",1.0910118,0.87445915,0.31881237,0.108071506,0.4883574,0.2689437,-0.2194137
39,-0.045506567,-0.06509416,"('right', 'wrong')",-0.122800246,-0.08691655,-0.5207689,-0.27384505,-0.2296919,-0.1419519,0.08774
10,0.044059217,5.415082e-05,"('affectionate', 'unaffectionate')",-0.16647972,-0.1511716,-1.5382454,-1.2718927,-0.5535553,-0.4743367,0.0792186
19,-0.030591965,0.110803515,"('funny', 'boring')",-0.28197816,-0.100591525,-0.3666072,-0.21434933,-0.2263924,-0.0680458,0.1583466
46,0.0222027,0.15446271,"('generous', 'stingy')",-0.008777514,-0.0019009858,1.1271152,1.5981009,0.3801802,0.5835542,0.203374
13,0.011824235,-0.121886514,"('helpful', 'unhelpful')",-0.5409116,-0.6923058,-1.6189392,-2.054452,-0.7160088,-0.9562147,-0.2402059
94,0.0074411333,-0.2112228,"('aggressive', 'submissive')",-0.27439147,-0.40607563,1.5080761,1.2050235,0.4137086,0.1959084,-0.2178002
