,Global_male,Global_female,tuple,Payments_male,Payments_female,average_male,average_female,female-male
35,0.23262516,0.2961226,"('fair', 'unfair')",0.60281944,0.65293473,0.4177223,0.4745287,0.0568064
91,-0.20986854,-0.36533958,"('resilient', 'nonresilient')",0.1867002,0.090233594,-0.0115842,-0.137553,-0.1259688
51,-0.1907514,-0.37327966,"('competent', 'incompetent')",-0.74715143,-0.7424623,-0.4689514,-0.557871,-0.0889196
105,-0.17983064,-0.26413894,"('conventional', 'modern')",-1.7921987,-1.8108704,-0.9860147,-1.0375047,-0.05149
83,-0.15318324,-0.29810828,"('energetic', 'lethargic')",-0.18151394,-0.036340162,-0.1673486,-0.1672242,0.0001244
26,0.13546973,0.16008478,"('trustworthy', 'untrustworthy')",0.6594664,0.7124579,0.3974681,0.4362713,0.0388032
20,-0.13085604,-0.18018211,"('popular', 'unpopular')",0.318471,0.2572026,0.0938075,0.0385102,-0.0552973
85,-0.11301729,-0.16744247,"('ambitious', 'unambitious')",-0.6903449,-0.62679106,-0.4016811,-0.3971168,0.0045643
23,0.105199635,0.014889836,"('hospitable', 'inhospitable')",0.58050585,0.35665673,0.3428527,0.1857733,-0.1570794
79,0.099076,0.035967946,"('determined', 'doubtful')",0.064457506,-0.06891611,0.0817668,-0.0164741,-0.0982409
54,-0.083870485,-0.12617964,"('smart', 'stupid')",-0.04571855,-0.18274176,-0.0647945,-0.1544607,-0.0896662
77,-0.080711454,-0.0059474707,"('active', 'inactive')",0.32174352,0.39643267,0.120516,0.1952426,0.0747266
60,0.0732643,0.15668646,"('educated', 'uneducated')",0.51676095,0.58567566,0.2950126,0.3711811,0.0761685
19,0.05983311,0.14535958,"('funny', 'boring')",-0.24982166,-0.20467216,-0.0949943,-0.0296563,0.065338
82,-0.04130444,0.10341039,"('industrious', 'meek')",0.06458187,0.099349394,0.0116387,0.1013799,0.0897412
93,0.041214854,0.007278621,"('dominating', 'dominated')",0.45623535,0.6050998,0.2487251,0.3061892,0.0574641
76,0.027691424,0.005966425,"('secure', 'insecure')",0.123425126,0.19519696,0.0755583,0.1005817,0.0250234
