,Boston_male,Boston_female,tuple,Scientific_male,Scientific_female,average_male,average_female,female-male
34,-1.3886442,-1.2416401,"('loyal', 'disloyal')",-2.0835698,-1.8048202,-1.736107,-1.5232301,0.2128769
48,1.3821769,1.3147817,"('reliable', 'unreliable')",2.4686065,2.4081821,1.9253917,1.8614819,-0.0639098
67,-1.2427609,-1.1525964,"('discriminating', 'undiscriminating')",-0.68534744,-0.5925231,-0.9640542,-0.8725597,0.0914945
38,-1.2395432,-1.1451911,"('kind', 'unkind')",-2.018517,-1.8335003,-1.6290301,-1.4893457,0.1396844
33,-1.1813463,-1.0049047,"('softhearted', 'hardhearted')",-0.8007975,-0.81822646,-0.9910719,-0.9115656,0.0795063
36,-1.1704301,-1.2117438,"('tolerant', 'intolerant')",-0.9450152,-0.93718517,-1.0577226,-1.0744646,-0.016742
60,-1.1131108,-0.9023597,"('educated', 'uneducated')",-0.34180945,-0.11554295,-0.7274601,-0.5089513,0.2185088
63,-1.098165,-1.111346,"('capable', 'incapable')",-1.1902385,-1.1058794,-1.1442018,-1.1086128,0.035589
12,-1.0921386,-1.0282984,"('sympathetic', 'unsympathetic')",-0.57230604,-0.71394926,-0.8322223,-0.8711238,-0.0389015
64,-1.0759411,-1.2099513,"('clever', 'incompetent')",-1.1299888,-1.219526,-1.1029649,-1.2147386,-0.1117737
47,-1.0705734,-1.0007807,"('forgiving', 'unforgiving')",-0.77751964,-0.6530022,-0.9240465,-0.8268914,0.0971551
107,1.0588062,1.1901786,"('conventional', 'modern')",0.6228867,0.7770263,0.8408464,0.9836025,0.1427561
83,-0.99302626,-0.96404207,"('energetic', 'lethargic')",-0.09928158,-0.23838107,-0.5461539,-0.6012115,-0.0550576
49,-0.9919488,-1.1696842,"('responsible', 'irresponsible')",-1.3759395,-1.6270442,-1.1839441,-1.3983642,-0.2144201
18,-0.93945295,-0.95996404,"('social', 'asocial')",-0.9313136,-0.7904736,-0.9353833,-0.8752188,0.0601645
81,0.9355229,1.1233227,"('industrious', 'lazy')",1.2033322,1.1682866,1.0694275,1.1458046,0.0763771
31,-0.9302051,-0.89228106,"('altruistic', 'egoistic')",-1.0392773,-0.90740466,-0.9847412,-0.8998429,0.0848983
62,-0.90165263,-0.8545605,"('creative', 'uncreative')",-1.1034608,-1.1112088,-1.0025567,-0.9828846,0.0196721
105,-0.90115565,-0.9238357,"('conventional', 'modern')",-1.3611476,-1.2549803,-1.1311517,-1.089408,0.0417437
85,-0.88091373,-0.941203,"('ambitious', 'unambitious')",-0.48537886,-0.53775585,-0.6831463,-0.7394794,-0.0563331
44,-0.88039315,-1.0138569,"('truthful', 'untruthful')",-1.0747129,-1.0179375,-0.977553,-1.0158973,-0.0383443
109,0.87203467,0.8146533,"('conservative', 'liberal')",0.70935,0.6484447,0.7906923,0.731549,-0.0591433
108,0.87203467,0.8146533,"('conservative', 'liberal')",0.70935,0.6484447,0.7906923,0.731549,-0.0591433
90,0.87145996,0.63747656,"('motivated', 'unmotivated')",1.0191661,0.83857363,0.945313,0.7380251,-0.2072879
9,-0.84010255,-0.96067846,"('sensitive', 'insensitive')",-0.42276293,-0.604234,-0.6314328,-0.7824562,-0.1510234
10,-0.8280066,-0.65477014,"('affectionate', 'unaffectionate')",-1.0278463,-0.86669147,-0.9279265,-0.7607308,0.1671957
2,-0.8002001,-0.864779,"('friendly', 'unfriendly')",-0.43154633,-0.55202657,-0.6158732,-0.7084028,-0.0925296
51,-0.7697297,-0.6500333,"('competent', 'incompetent')",-0.3656361,-0.43493998,-0.5676829,-0.5424867,0.0251962
24,-0.7543353,-0.78448826,"('thoughtful', 'rough')",-1.4462328,-1.4810643,-1.1002841,-1.1327763,-0.0324922
45,-0.74030054,-0.9636609,"('cooperative', 'exploitative')",-0.39230174,-0.54688215,-0.5663011,-0.7552716,-0.1889705
79,0.7192122,0.67376673,"('determined', 'doubtful')",0.35881984,0.34616432,0.539016,0.5099655,-0.0290505
70,0.6859655,0.8516373,"('wise', 'unwise')",0.5613568,0.5701729,0.6236612,0.7109051,0.0872439
84,-0.6847256,-0.7277156,"('self-confident', 'diffident')",-0.85620767,-0.9585518,-0.7704666,-0.8431337,-0.0726671
68,-0.6820868,-0.80138975,"('clever', 'inept')",-0.57662463,-0.6663394,-0.6293557,-0.7338645,-0.1045088
73,-0.6711353,-0.97813255,"('brilliant', 'incompetent')",-0.68968165,-0.93666744,-0.6804085,-0.9574,-0.2769915
98,-0.6683611,-0.5180894,"('prestigious', 'insignificant')",-0.36697626,-0.300036,-0.5176687,-0.4090627,0.108606
20,-0.6590264,-0.50068295,"('popular', 'unpopular')",-0.46037945,-0.20407489,-0.5597029,-0.3523789,0.207324
4,-0.64584327,-0.72124845,"('likable', 'unlikable')",-0.56583476,-0.51133484,-0.605839,-0.6162916,-0.0104526
57,0.620343,0.4842599,"('able', 'unable')",0.013130538,-0.19433075,0.3167368,0.1449646,-0.1717722
103,0.60943055,0.687766,"('traditional', 'modern')",0.8020975,0.869279,0.7057641,0.7785225,0.0727584
26,-0.59122586,-0.5275009,"('trustworthy', 'untrustworthy')",0.28490007,0.24815819,-0.1531629,-0.1396714,0.0134915
35,0.5807585,0.61475694,"('fair', 'unfair')",0.5928141,0.6849288,0.5867863,0.6498429,0.0630566
37,0.5635948,0.57943416,"('good', 'evil')",1.4354002,1.4354931,0.9994975,1.0074637,0.0079662
30,-0.5622584,-0.5984888,"('honest', 'dishonest')",-0.16211176,-0.21854892,-0.3621851,-0.4085189,-0.0463338
102,-0.5010908,-0.64497834,"('eminent', 'low')",-0.82282543,-0.676357,-0.6619581,-0.6606677,0.0012904
21,0.49715084,0.38323712,"('nice', 'nasty')",0.48980367,0.5015655,0.4934773,0.4424013,-0.051076
55,-0.49537823,-0.54283273,"('intelligent', 'unintelligent')",-1.179769,-1.3168113,-0.8375736,-0.929822,-0.0922484
54,0.47202015,0.30166268,"('smart', 'stupid')",-0.09354778,-0.34053737,0.1892362,-0.0194373,-0.2086735
16,0.47090226,0.4782969,"('social', 'antisocial')",-0.1638704,0.003782481,0.1535159,0.2410397,0.0875238
0,-0.46550274,-0.22592883,"('sociable', 'unsociable')",-0.22116613,-0.20923722,-0.3433344,-0.217583,0.1257514
99,-0.45725775,-0.37410474,"('prestigious', 'insignificant')",-1.0351459,-0.74653167,-0.7462018,-0.5603182,0.1858836
39,-0.4425509,-0.255319,"('right', 'wrong')",-0.19873777,0.06114319,-0.3206443,-0.0970879,0.2235564
106,-0.43939096,-0.31100428,"('conventional', 'unconventional')",-0.70317566,-0.5147182,-0.5712833,-0.4128612,0.1584221
101,-0.42460868,-0.3901613,"('successful', 'unsuccessful')",-0.11238699,-0.21798798,-0.2684978,-0.3040746,-0.0355768
89,-0.40232193,-0.55037314,"('daring', 'anxious')",-0.1070407,-0.21237098,-0.2546813,-0.3813721,-0.1266908
88,0.39145562,0.44695538,"('impulsive', 'meek')",1.030561,1.0836577,0.7110083,0.7653066,0.0542983
7,0.3710255,0.44396594,"('outgoing', 'distant')",0.7098845,0.4743987,0.540455,0.4591823,-0.0812727
8,-0.37093097,-0.21891099,"('open', 'distant')",0.31651714,0.15404254,-0.0272069,-0.0324342,-0.0052273
77,-0.35999203,-0.09982923,"('active', 'inactive')",0.4794136,0.54106957,0.0597108,0.2206202,0.1609094
91,0.34664607,0.38742232,"('resilient', 'nonresilient')",0.115449786,0.08997902,0.2310479,0.2387007,0.0076528
15,0.34445244,0.36148852,"('polite', 'impolite')",0.45915493,0.48437876,0.4018037,0.4229336,0.0211299
46,0.33098048,0.61807483,"('generous', 'stingy')",1.5612121,1.5814481,0.9460963,1.0997615,0.1536652
5,0.32983536,0.19589749,"('pleasant', 'repellent')",0.23493606,0.21365774,0.2823857,0.2047776,-0.0776081
19,0.31937057,0.3895597,"('funny', 'boring')",-0.27058923,-0.23096132,0.0243907,0.0792992,0.0549085
69,-0.30486023,-0.14422366,"('wise', 'foolish')",-0.18265755,-0.03898587,-0.2437589,-0.0916048,0.1521541
65,-0.29410437,-0.5212326,"('practical', 'impractical')",-0.9514797,-0.9828658,-0.622792,-0.7520492,-0.1292572
56,-0.28369096,-0.14348926,"('intelligent', 'dumb')",0.82500196,0.73937577,0.2706555,0.2979433,0.0272878
59,0.27169806,0.40730268,"('skillful', 'clumsy')",-0.029368237,0.19559093,0.1211649,0.3014468,0.1802819
78,0.24760932,0.068492115,"('active', 'inactive')",1.6695192,1.2919407,0.9585643,0.6802164,-0.2783479
93,0.24693337,0.27336788,"('dominating', 'dominated')",0.47572088,0.36274636,0.3613271,0.3180571,-0.04327
14,0.21923111,0.15283172,"('supportive', 'unsupportive')",1.3378423,1.3101395,0.7785367,0.7314856,-0.0470511
25,-0.20723312,-0.3832137,"('moral', 'immoral')",-0.5028913,-0.43019468,-0.3550622,-0.4067042,-0.051642
82,0.19286966,0.2559111,"('industrious', 'meek')",0.7426647,0.8400773,0.4677672,0.5479942,0.080227
43,-0.18921778,-0.24949406,"('genuine', 'fake')",-0.3946058,-0.42660213,-0.2919118,-0.3380481,-0.0461363
110,0.17819135,0.09848508,"('narrow-minded', 'open-minded')",0.21147725,0.27697194,0.1948343,0.1877285,-0.0071058
92,-0.17380458,-0.029718578,"('unwavering', 'wavering')",0.064005256,0.17056268,-0.0548997,0.0704221,0.1253218
96,0.15679199,0.09999181,"('powerful', 'powerless')",0.08002907,0.13292187,0.1184105,0.1164568,-0.0019537
41,-0.12928325,0.17565209,"('incorrupt', 'corrupt')",0.83222264,0.9391598,0.3514697,0.5574059,0.2059362
52,0.09658635,0.08924469,"('competitive', 'uncompetitive')",0.47147763,0.4609999,0.284032,0.2751223,-0.0089097
22,-0.08220443,-0.0939061,"('welcoming', 'disagreeable')",0.5542456,0.63916963,0.2360206,0.2726318,0.0366112
97,-0.080620825,-0.06879002,"('superior', 'inferior')",-0.8419467,-0.9304391,-0.4612838,-0.4996146,-0.0383308
76,0.07704419,0.05852145,"('secure', 'insecure')",-0.158714,-0.33971533,-0.0408349,-0.1405969,-0.099762
42,0.051965296,0.32892644,"('amicable', 'hostile')",0.53924054,0.82451653,0.2956029,0.5767215,0.2811186
61,-0.04832374,0.3090397,"('rational', 'irrational')",0.046119757,0.34293085,-0.001102,0.3259853,0.3270873
94,-0.045815706,-0.13129473,"('aggressive', 'submissive')",0.40756825,0.4054209,0.1808763,0.1370631,-0.0438132
80,-0.044437654,-0.02881448,"('independent', 'dependent')",0.47773087,0.46146372,0.2166466,0.2163246,-0.000322
71,-0.041455448,-0.42776334,"('efficient', 'inefficient')",-0.15398312,-0.47851372,-0.0977193,-0.4531385,-0.3554192
23,-0.035734773,-0.09170669,"('hospitable', 'inhospitable')",0.353023,0.28539276,0.1586441,0.096843,-0.0618011
17,-0.01795438,0.06584081,"('social', 'antisocial')",-0.35910112,-0.19722256,-0.1885277,-0.0656909,0.1228368
