,The_male,The_female,tuple,Cooper_male,Cooper_female,Companies_male,Companies_female,average_male,average_female,female-male
7,1.4898574,1.6631312,"('outgoing', 'distant')",0.95452857,0.7707534,0.43106186,0.10477179,0.9584826,0.8462188,-0.1122638
33,-1.4875224,-1.2699686,"('softhearted', 'hardhearted')",-1.0918484,-0.43173105,-0.641544,-0.50510395,-1.0736383,-0.7356013,0.338037
58,-1.458239,-1.715982,"('able', 'clumsy')",-1.8184557,-1.6695466,-0.5190784,-0.18862371,-1.2652577,-1.1913841,0.0738736
29,-1.4408414,-1.7268875,"('honest', 'immoral')",-1.0398428,-0.9077949,-0.51666826,-0.4895679,-0.9991175,-1.0414168,-0.0422993
50,1.429847,1.3605392,"('unprejudiced', 'prejudiced')",1.1932302,0.85747254,1.2305866,0.9306627,1.2845546,1.0495582,-0.2349964
12,-1.3678675,-1.6809407,"('sympathetic', 'unsympathetic')",-1.1079378,-1.0724821,-1.3197771,-1.0719811,-1.2651941,-1.2751346,-0.0099405
81,1.3464972,1.6751176,"('industrious', 'lazy')",1.3792571,1.227692,0.49245483,0.2546968,1.0727363,1.0525022,-0.0202341
37,1.3395987,1.6961201,"('good', 'evil')",1.7779524,1.80215,0.57729733,0.42726254,1.2316162,1.3085109,0.0768947
16,-1.3173474,-1.4695554,"('social', 'antisocial')",-0.18774216,0.033611387,-1.0982498,-0.908682,-0.8677797,-0.781542,0.0862377
41,1.311907,1.8482711,"('incorrupt', 'corrupt')",0.40403354,0.66255665,1.3933511,1.5260823,1.0364305,1.3456367,0.3092062
24,-1.3065823,-1.3698711,"('thoughtful', 'rough')",-0.9712586,-1.0182831,-0.24876781,-0.14587206,-0.8422029,-0.8446755,-0.0024726
32,-1.2868707,-1.0423201,"('benevolent', 'hardhearted')",-1.7825325,-1.3634727,-1.9230931,-1.7733397,-1.6641655,-1.3930442,0.2711213
89,-1.2451079,-1.6375091,"('daring', 'anxious')",0.13837476,-0.05760421,-0.20086983,-0.1091913,-0.4358676,-0.6014349,-0.1655673
36,-1.2420472,-1.4202493,"('tolerant', 'intolerant')",-1.0021613,-1.0017107,-1.6903737,-1.4149356,-1.3115273,-1.2789652,0.0325621
13,-1.2323314,-1.6852981,"('helpful', 'unhelpful')",-2.0359993,-2.0722537,-1.8580091,-1.6661702,-1.70878,-1.8079073,-0.0991273
45,-1.2049229,-1.2302706,"('cooperative', 'exploitative')",-0.8265095,-0.91188323,-0.6631521,-0.7103157,-0.8981948,-0.9508231,-0.0526283
65,-1.1986833,-1.4906685,"('practical', 'impractical')",-0.21806465,-0.49691924,-1.7947276,-1.6101089,-1.0704918,-1.1992323,-0.1287405
34,-1.1907609,-1.1350707,"('loyal', 'disloyal')",-1.7416825,-1.4732698,-0.7923599,-0.40329164,-1.2416011,-1.0038774,0.2377237
21,1.160733,1.0295726,"('nice', 'nasty')",0.50006735,0.4300133,0.8737958,0.6125035,0.8448654,0.6906965,-0.1541689
92,1.1412319,1.2163152,"('unwavering', 'wavering')",-0.23902863,-0.43978137,0.45712,0.5205809,0.4531078,0.4323715,-0.0207363
71,-1.1185662,-1.5508182,"('efficient', 'inefficient')",0.50196606,0.28200883,-1.6271071,-1.637361,-0.7479024,-0.9687235,-0.2208211
0,-1.082945,-1.11832,"('sociable', 'unsociable')",-0.25700217,0.19792414,-0.91032946,-0.71548736,-0.7500922,-0.5452944,0.2047978
17,-1.0827075,-0.92745376,"('social', 'antisocial')",-0.13219833,0.22919095,-1.6978287,-1.531425,-0.9709115,-0.7432292,0.2276823
82,1.0629921,1.2472098,"('industrious', 'meek')",0.4447987,0.49761698,-0.17810503,-0.39299726,0.4432286,0.4506098,0.0073812
47,-1.0596155,-0.99419606,"('forgiving', 'unforgiving')",-0.9004183,-0.7601186,-0.8852012,-0.6954415,-0.9484116,-0.8165854,0.1318262
85,-1.0440848,-1.0299053,"('ambitious', 'unambitious')",0.41447127,0.45328838,-0.7411648,-0.6898244,-0.4569261,-0.4221471,0.034779
61,1.0341134,1.4074006,"('rational', 'irrational')",0.39905572,0.5377073,0.04655063,0.0812082,0.4932399,0.6754387,0.1821988
51,-1.0106348,-1.1190307,"('competent', 'incompetent')",0.13093156,0.22562522,-1.1356742,-1.0045388,-0.6717925,-0.6326481,0.0391444
52,-0.9861332,-1.1661036,"('competitive', 'uncompetitive')",0.3112344,0.38252974,-1.3464614,-1.2289124,-0.6737867,-0.6708287,0.002958
87,-0.97352296,-0.9091716,"('dedicated', 'undedicated')",-0.6322224,-0.5386237,-1.547906,-1.3810911,-1.0512171,-0.9429622,0.1082549
88,0.95806277,1.0966127,"('impulsive', 'meek')",1.3233156,0.97160506,0.9901792,0.78966475,1.0905191,0.9526275,-0.1378916
74,-0.93825126,-1.2227246,"('insightful', 'unperceptive')",0.11790509,0.12926166,-1.7557313,-1.6959012,-0.8586925,-0.929788,-0.0710955
8,0.9150123,1.2041659,"('open', 'distant')",0.35838056,0.30787402,0.30361855,0.09898583,0.5256705,0.5370086,0.0113381
76,-0.8942081,-1.0928891,"('secure', 'insecure')",-0.030160397,-0.0018227994,0.0910919,0.24539447,-0.2777589,-0.2831058,-0.0053469
68,-0.8931176,-1.133674,"('clever', 'inept')",-0.66832745,-1.010884,-1.1991687,-1.1929125,-0.9202046,-1.1124902,-0.1922856
67,-0.86718,-0.76179856,"('discriminating', 'undiscriminating')",0.089129664,0.0072673783,-1.3255367,-1.1865035,-0.7011957,-0.6470116,0.0541841
101,-0.8364842,-0.81580436,"('successful', 'unsuccessful')",-0.26639736,-0.0007991195,-2.10432,-1.9149982,-1.0690672,-0.9105339,0.1585333
97,-0.81151175,-0.7045336,"('superior', 'inferior')",-0.9770149,-0.79058766,-0.01966387,0.06283042,-0.6027302,-0.4774303,0.1252999
72,-0.8091792,-0.65241134,"('logical', 'illogical')",-0.24968669,0.31518748,-0.8360969,-0.50532687,-0.6316543,-0.2808503,0.350804
55,-0.8028622,-0.93588567,"('intelligent', 'unintelligent')",-0.4269361,-0.3129912,-0.967505,-0.66506743,-0.7324344,-0.6379814,0.094453
66,0.75735307,0.7161719,"('imaginative', 'unimaginative')",2.329364,2.1237273,0.08164817,0.1388014,1.0561217,0.9929002,-0.0632215
43,-0.7198135,-0.8686656,"('genuine', 'fake')",-0.52481115,-0.5489985,-0.45549545,-0.36060822,-0.5667067,-0.5927574,-0.0260507
14,0.69957113,0.56835175,"('supportive', 'unsupportive')",1.3158284,1.2347442,-0.7976736,-0.800031,0.4059086,0.334355,-0.0715536
100,-0.6961005,-0.7346487,"('influential', 'uninfluential')",0.060146093,0.3982551,-1.1397351,-0.73623043,-0.5918965,-0.3575413,0.2343552
77,0.6680275,0.7466123,"('active', 'inactive')",0.6829059,0.6713822,0.14115848,0.2534595,0.497364,0.5571513,0.0597873
18,-0.663428,-0.6932762,"('social', 'asocial')",-0.75897175,-0.66963917,-0.80809695,-0.78000927,-0.7434989,-0.7143083,0.0291906
103,0.64136904,0.51737326,"('traditional', 'modern')",0.53861594,0.35014826,1.2038949,1.339319,0.7946266,0.7356135,-0.0590131
10,0.62823856,0.8883118,"('affectionate', 'unaffectionate')",-0.839971,-0.5923592,-1.0409098,-0.9902737,-0.4175474,-0.2314404,0.186107
44,0.6195149,0.4255714,"('truthful', 'untruthful')",-0.43261045,-0.67343843,-0.72434944,-0.7368485,-0.1791483,-0.3282385,-0.1490902
109,-0.6176301,-0.79597473,"('conservative', 'liberal')",1.0739465,1.2081499,0.6174972,0.61214864,0.3579379,0.3414413,-0.0164966
108,-0.6176301,-0.79597473,"('conservative', 'liberal')",1.0739465,1.2081499,0.6174972,0.61214864,0.3579379,0.3414413,-0.0164966
99,0.6174003,0.795807,"('prestigious', 'insignificant')",-0.024741024,-0.26233092,-0.35412234,-0.24337776,0.0795123,0.0966995,0.0171872
94,-0.60833275,-0.77354383,"('aggressive', 'submissive')",0.67668647,0.65582544,-1.0694094,-0.86035264,-0.3336852,-0.3260237,0.0076615
4,-0.6024277,-0.5849427,"('likable', 'unlikable')",-0.0069877207,-0.29934287,-1.5841727,-1.5305247,-0.7311961,-0.8049367,-0.0737406
93,-0.59169215,-0.66570604,"('dominating', 'dominated')",0.028705657,0.12800056,0.37277132,0.5292573,-0.0634051,-0.0028161,0.060589
11,-0.568852,-0.5152625,"('caring', 'unaffectionate')",-1.803597,-1.6730357,-1.7998356,-1.7119069,-1.3907615,-1.3000684,0.0906931
30,-0.56723297,-0.6438166,"('honest', 'dishonest')",-0.4673537,-0.28492138,-0.7385414,-0.71791136,-0.5910427,-0.5488831,0.0421596
102,-0.542212,-0.6802558,"('eminent', 'low')",-0.006577164,-0.18821816,-1.4704523,-1.0807838,-0.6730804,-0.6497526,0.0233278
60,-0.53358924,-0.65680116,"('educated', 'uneducated')",0.32815218,0.42486727,-0.17157227,0.2726541,-0.1256698,0.0135734,0.1392432
104,-0.4994827,-0.16559038,"('conventional', 'unconventional')",-1.4918911,-1.1874844,-0.5686773,-0.17984995,-0.8533503,-0.5109749,0.3423754
35,0.47810915,0.7413128,"('fair', 'unfair')",0.69199336,0.8909176,1.4211125,1.4682894,0.8637384,1.0335066,0.1697682
54,0.46158022,0.34930575,"('smart', 'stupid')",0.57357675,0.3970775,0.3301072,0.28033134,0.4550881,0.3422382,-0.1128499
48,0.4536767,0.45445663,"('reliable', 'unreliable')",2.7709112,2.4561205,1.3739305,1.4047288,1.5328395,1.4384352,-0.0944043
84,0.44060934,0.39362878,"('self-confident', 'diffident')",0.20619899,0.101235,-0.28579223,-0.4115395,0.1203387,0.0277748,-0.0925639
26,-0.42883894,-0.44767183,"('trustworthy', 'untrustworthy')",0.6060046,0.6620662,0.45749995,0.50618756,0.2115552,0.240194,0.0286388
105,-0.4183874,-0.3582995,"('conventional', 'modern')",-1.1539472,-1.0348518,-0.5323739,-0.42955974,-0.7015696,-0.6075703,0.0939993
39,0.4146096,0.71632314,"('right', 'wrong')",0.26236472,0.36148065,-0.15813872,-0.057872936,0.1729452,0.339977,0.1670318
1,-0.40368187,-0.16269033,"('friendly', 'unfriendly')",-1.1463091,-0.88609844,-1.9218819,-1.7588794,-1.1572909,-0.9358894,0.2214015
59,0.3896494,0.4586379,"('skillful', 'clumsy')",0.3626855,0.44899863,0.43751016,0.6176989,0.396615,0.5084451,0.1118301
69,0.3643306,0.56826836,"('wise', 'foolish')",0.2588306,0.4207595,0.093767315,0.16235007,0.2389762,0.3837926,0.1448164
19,0.3511675,0.45713708,"('funny', 'boring')",-0.27422607,-0.3242901,-0.31000954,-0.15206611,-0.0776894,-0.0064064,0.071283
63,-0.32420856,-0.45413393,"('capable', 'incapable')",-0.6640254,-0.67097247,-0.19134375,-0.2933017,-0.3931926,-0.4728027,-0.0796101
79,0.31247807,0.1964947,"('determined', 'doubtful')",0.356107,0.25799456,0.5109359,0.5035562,0.3931737,0.3193485,-0.0738252
90,0.31223634,0.07937233,"('motivated', 'unmotivated')",0.8973233,0.41503054,1.2465034,1.0745609,0.8186877,0.5229879,-0.2956998
91,0.28104746,0.18927975,"('resilient', 'nonresilient')",0.46646982,0.43879157,-0.0012402534,-0.0022884216,0.248759,0.2085943,-0.0401647
46,0.22481784,0.5058897,"('generous', 'stingy')",1.6190847,1.8697044,0.083812356,0.2478061,0.6425716,0.8744667,0.2318951
110,0.22007512,0.2321049,"('narrow-minded', 'open-minded')",-0.49261174,-0.48512846,0.09598346,0.059290364,-0.0588511,-0.0645777,-0.0057266
96,0.21680239,0.12732059,"('powerful', 'powerless')",0.7245599,0.62064564,-0.12827039,-0.02128616,0.2710306,0.2422267,-0.0288039
20,0.19879788,0.20498613,"('popular', 'unpopular')",0.57548726,0.78168166,0.009733185,0.12772606,0.2613394,0.3714646,0.1101252
5,-0.17852624,-0.4020267,"('pleasant', 'repellent')",-0.34887546,-0.31936595,0.075303674,-0.00085164607,-0.1506993,-0.2407481,-0.0900488
80,0.13797975,0.08313806,"('independent', 'dependent')",1.433876,1.4649107,1.0376221,1.1613278,0.869826,0.9031256,0.0332996
22,0.13768822,0.1702981,"('welcoming', 'disagreeable')",1.0258253,1.1439321,0.39176542,0.3877016,0.5184263,0.5673106,0.0488843
62,-0.12306698,-0.15867689,"('creative', 'uncreative')",-0.54656386,-0.55681366,-0.8466228,-0.6845753,-0.5054179,-0.4666886,0.0387293
15,-0.11996448,-0.23315972,"('polite', 'impolite')",0.48819324,0.7010872,0.62299055,0.6691903,0.3304064,0.3790392,0.0486328
107,0.08245255,-0.009086788,"('conventional', 'modern')",0.51394147,0.7778795,0.28315312,0.3022039,0.2931824,0.3569988,0.0638164
98,0.0623672,0.113574445,"('prestigious', 'insignificant')",-0.38186535,-0.4450134,0.14086671,0.14267458,-0.0595438,-0.0629215,-0.0033777
31,0.036889583,0.17300159,"('altruistic', 'egoistic')",-0.34954715,-0.25383043,-0.9038739,-0.86091363,-0.4055105,-0.3139142,0.0915963
56,-0.036392123,-0.026393354,"('intelligent', 'dumb')",1.0034682,0.94844115,0.41171813,0.5264405,0.4595981,0.4828294,0.0232313
57,0.03518614,-0.20400971,"('able', 'unable')",0.13375264,-0.02108252,0.12149073,-0.025822863,0.0968098,-0.0836384,-0.1804482
106,0.025447592,0.24754153,"('conventional', 'unconventional')",-0.58867395,-0.3780097,0.11206938,0.26446968,-0.1503857,0.0446672,0.1950529
