,Home_male,Home_female,tuple,Depot_male,Depot_female,average_male,average_female,female-male
3,1.3003864,1.074006,"('likable', 'unlikable')",0.54219866,0.44170094,0.9212925,0.7578534,-0.1634391
66,1.2913197,1.263234,"('imaginative', 'unimaginative')",1.6559722,1.5986525,1.4736459,1.4309433,-0.0427026
9,-1.270848,-1.3562628,"('sensitive', 'insensitive')",-0.9916854,-1.1927378,-1.1312667,-1.2745004,-0.1432337
92,-1.220516,-1.3964338,"('unwavering', 'wavering')",0.4065642,0.6804693,-0.4069759,-0.3579823,0.0489936
10,-1.2124846,-1.1858052,"('affectionate', 'unaffectionate')",-0.82693624,-0.5859819,-1.0197104,-0.8858936,0.1338168
65,-1.2095474,-1.306639,"('practical', 'impractical')",-1.1455574,-1.3340895,-1.1775525,-1.3203642,-0.1428117
28,-1.181406,-0.95210594,"('honest', 'dishonest')",-1.5606335,-1.6346366,-1.3710198,-1.2933713,0.0776485
107,-1.1505171,-1.1166623,"('conventional', 'modern')",-0.091502234,-0.17084263,-0.6210096,-0.6437525,-0.0227429
105,-1.1505047,-1.3547041,"('conventional', 'modern')",-0.18717605,-0.22933227,-0.6688404,-0.7920182,-0.1231778
84,-1.149055,-1.4528168,"('self-confident', 'diffident')",-0.39518186,-0.36955935,-0.7721184,-0.9111881,-0.1390697
47,-1.1315459,-1.1721787,"('forgiving', 'unforgiving')",-0.8344048,-0.7873318,-0.9829754,-0.9797553,0.0032201
43,-1.1239202,-1.0099643,"('genuine', 'fake')",-0.42248023,-0.39752647,-0.7732002,-0.7037454,0.0694548
68,-1.0559512,-1.342406,"('clever', 'inept')",-0.18740377,-0.44180283,-0.6216775,-0.8921044,-0.2704269
69,-1.052345,-1.2187465,"('wise', 'foolish')",-0.37318596,-0.20853136,-0.7127655,-0.713639,-0.0008735
96,1.0117694,0.82222384,"('powerful', 'powerless')",0.077240095,0.14539798,0.5445048,0.4838109,-0.0606939
93,0.94676787,1.1733828,"('dominating', 'dominated')",-0.0040855557,-0.1515633,0.4713412,0.5109097,0.0395685
94,0.9250775,1.0430194,"('aggressive', 'submissive')",0.5712803,0.37076223,0.7481789,0.7068908,-0.0412881
104,-0.9202205,-0.683676,"('conventional', 'unconventional')",-0.48057097,-0.095749274,-0.7003957,-0.3897126,0.3106831
46,0.9098165,1.1225886,"('generous', 'stingy')",1.3571523,1.3189414,1.1334844,1.220765,0.0872806
81,0.9060481,0.78846604,"('industrious', 'lazy')",1.2335696,1.4800112,1.0698088,1.1342386,0.0644298
60,0.89698136,1.1240854,"('educated', 'uneducated')",0.2841515,0.41749686,0.5905664,0.7707912,0.1802248
88,0.8729355,0.7501249,"('impulsive', 'meek')",1.1942694,1.3194143,1.0336025,1.0347695,0.001167
36,-0.87177324,-0.7108121,"('tolerant', 'intolerant')",-0.42795733,-0.6436269,-0.6498653,-0.6772195,-0.0273542
0,-0.844575,-0.49723935,"('sociable', 'unsociable')",-0.34254783,-0.21822837,-0.5935614,-0.3577338,0.2358276
63,-0.8309216,-0.9384259,"('capable', 'incapable')",-0.556806,-0.36786312,-0.6938638,-0.6531445,0.0407193
7,0.8047401,0.46224838,"('outgoing', 'distant')",1.2277472,1.2825568,1.0162437,0.8724025,-0.1438412
72,-0.8007859,-0.4579628,"('logical', 'illogical')",-0.7085917,-0.55997884,-0.7546888,-0.5089709,0.2457179
74,-0.7635099,-1.0157702,"('insightful', 'unperceptive')",-1.1749511,-1.3489866,-0.9692305,-1.1823784,-0.2131479
110,-0.75930643,-0.7068715,"('narrow-minded', 'open-minded')",0.35064858,0.31563884,-0.2043289,-0.1956163,0.0087126
4,-0.70096123,-0.7417623,"('likable', 'unlikable')",-0.9791752,-0.937186,-0.8400682,-0.8394741,0.0005941
15,0.69100547,0.82526714,"('polite', 'impolite')",-0.14266123,-0.23975824,0.2741721,0.2927544,0.0185823
20,-0.66773427,-0.70158577,"('popular', 'unpopular')",-0.14413577,0.102105126,-0.405935,-0.2997403,0.1061947
89,0.66669625,0.8008971,"('daring', 'anxious')",0.09095101,-0.15065199,0.3788236,0.3251226,-0.053701
73,-0.6339457,-0.77939963,"('brilliant', 'incompetent')",-0.9842169,-1.3256028,-0.8090813,-1.0525012,-0.2434199
17,-0.5582912,-0.49465555,"('social', 'antisocial')",-0.36331975,-0.13223526,-0.4608055,-0.3134454,0.1473601
31,-0.54992294,-0.2407377,"('altruistic', 'egoistic')",-0.6332406,-0.24820694,-0.5915818,-0.2444723,0.3471095
55,0.52480155,0.55866206,"('intelligent', 'unintelligent')",-0.015587717,-0.1369665,0.2546069,0.2108478,-0.0437591
12,-0.514884,-0.5044305,"('sympathetic', 'unsympathetic')",-0.7238713,-0.89215285,-0.6193776,-0.6982917,-0.0789141
71,0.5115834,0.2696272,"('efficient', 'inefficient')",-0.49485314,-1.0421996,0.0083651,-0.3862862,-0.3946513
99,0.48639715,0.2557634,"('prestigious', 'insignificant')",-0.07207331,0.17261258,0.2071619,0.214188,0.0070261
24,-0.473194,-0.2239081,"('thoughtful', 'rough')",-0.7045918,-0.71451765,-0.5888929,-0.4692129,0.11968
83,-0.47227803,-0.28129864,"('energetic', 'lethargic')",-0.30578205,-0.55869186,-0.38903,-0.4199952,-0.0309652
54,0.42237002,0.17508452,"('smart', 'stupid')",1.0942061,1.0162228,0.758288,0.5956537,-0.1626343
5,0.41896147,0.37190014,"('pleasant', 'repellent')",0.04323885,0.017916158,0.2311002,0.1949081,-0.0361921
44,-0.41584697,-0.658064,"('truthful', 'untruthful')",-1.111291,-1.046753,-0.763569,-0.8524085,-0.0888395
62,-0.4053348,-0.36533296,"('creative', 'uncreative')",-0.7026534,-0.66296846,-0.5539941,-0.5141507,0.0398434
23,-0.40106654,-0.56674933,"('hospitable', 'inhospitable')",0.7501823,0.84224117,0.1745579,0.1377459,-0.036812
45,-0.38139135,-0.43194374,"('cooperative', 'exploitative')",-0.7456887,-1.0193032,-0.56354,-0.7256235,-0.1620835
37,0.3532342,0.06904255,"('good', 'evil')",1.513611,1.6306559,0.9334226,0.8498492,-0.0835734
56,0.34129047,0.30683506,"('intelligent', 'dumb')",1.7155676,1.7088318,1.028429,1.0078335,-0.0205955
59,-0.3355623,-0.120778255,"('skillful', 'clumsy')",0.03734948,0.31160513,-0.1491064,0.0954134,0.2445198
106,-0.33340776,-0.093546845,"('conventional', 'unconventional')",-0.56970245,-0.35409927,-0.4515551,-0.2238231,0.227732
25,-0.33026144,-0.56059086,"('moral', 'immoral')",-0.51260304,-0.6084302,-0.4214323,-0.5845106,-0.1630783
76,0.30028576,0.50699323,"('secure', 'insecure')",-0.25912017,-0.5274853,0.0205828,-0.010246,-0.0308288
77,-0.27425668,-0.13526958,"('active', 'inactive')",1.4767938,1.5691736,0.6012685,0.716952,0.1156835
102,0.26266062,0.43703318,"('eminent', 'low')",-0.78789264,-0.5289773,-0.262616,-0.045972,0.216644
98,-0.2609458,-0.35444894,"('prestigious', 'insignificant')",-0.59745127,-0.36882016,-0.4291985,-0.3616346,0.0675639
85,-0.2594261,-0.28953648,"('ambitious', 'unambitious')",-0.5554819,-0.49667516,-0.407454,-0.3931058,0.0143482
82,0.24729389,0.24679491,"('industrious', 'meek')",0.8431876,1.2370205,0.5452408,0.7419077,0.1966669
67,-0.23104006,-0.06646618,"('discriminating', 'undiscriminating')",-0.47799414,-0.5151931,-0.3545171,-0.2908297,0.0636874
2,0.21617728,0.41271123,"('friendly', 'unfriendly')",-0.34359664,-0.5194361,-0.0637097,-0.0533624,0.0103473
19,-0.19898707,-0.14742917,"('funny', 'boring')",-0.5873637,-0.46458015,-0.3931754,-0.3060046,0.0871708
64,-0.19210884,-0.16759062,"('clever', 'incompetent')",-0.5178388,-0.8519814,-0.3549738,-0.509786,-0.1548122
42,-0.17057216,-0.12532568,"('amicable', 'hostile')",1.239158,1.5389674,0.5342929,0.7068208,0.1725279
79,0.16327077,0.13317202,"('determined', 'doubtful')",-0.62070096,-0.57841164,-0.2287151,-0.2226198,0.0060953
26,0.13924307,0.08642455,"('trustworthy', 'untrustworthy')",-0.48234576,-0.5176662,-0.1715513,-0.2156208,-0.0440695
21,-0.13738579,-0.44245726,"('nice', 'nasty')",0.45272332,0.35102713,0.1576688,-0.0457151,-0.2033839
14,0.13680351,-0.37216604,"('supportive', 'unsupportive')",0.5754741,0.38852876,0.3561388,0.0081814,-0.3479574
22,0.13579823,0.07102242,"('welcoming', 'disagreeable')",0.7590126,0.7286189,0.4474054,0.3998207,-0.0475847
8,-0.1351003,-0.3155461,"('open', 'distant')",0.94326276,1.0789673,0.4040812,0.3817106,-0.0223706
41,-0.10384905,0.1997025,"('incorrupt', 'corrupt')",1.0832756,1.5126458,0.4897133,0.8561742,0.3664609
52,-0.09015274,0.07975763,"('competitive', 'uncompetitive')",-0.6344718,-0.82889485,-0.3623123,-0.3745686,-0.0122563
39,0.08776674,0.037696376,"('right', 'wrong')",-0.32022956,-0.04415509,-0.1162314,-0.0032294,0.113002
16,-0.06264432,-0.055497393,"('social', 'antisocial')",0.20361862,0.08843425,0.0704871,0.0164684,-0.0540187
70,-0.052517384,-0.087760895,"('wise', 'unwise')",0.41875193,0.5338758,0.1831173,0.2230575,0.0399402
91,0.051220775,-0.32978362,"('resilient', 'nonresilient')",-0.039910197,-0.035667628,0.0056553,-0.1827256,-0.1883809
97,0.050625205,0.36152607,"('superior', 'inferior')",-1.11053,-0.9233954,-0.5299524,-0.2809347,0.2490177
100,-0.04515642,0.17411846,"('influential', 'uninfluential')",-0.14834431,0.053727463,-0.0967504,0.113923,0.2106734
61,-0.029985093,0.10103972,"('rational', 'irrational')",0.4035318,0.8236456,0.1867733,0.4623426,0.2755693
57,-0.0071917325,-0.24396884,"('able', 'unable')",0.681969,0.40166622,0.3373886,0.0788487,-0.2585399
18,-0.004668355,0.07888177,"('social', 'asocial')",-0.12937565,-0.24549587,-0.067022,-0.0833071,-0.0162851
