,Deere_male,Deere_female,tuple,&_male,&_female,Co._male,Co._female,average_male,average_female,female-male
78,0.8992896,0.53554535,"('active', 'inactive')",0.9306501,0.6888624,1.3757954,0.8479079,1.0685784,0.6907719,-0.3778065
27,-0.88448757,-0.7895608,"('sincere', 'insincere')",-4.0798373,-4.0762835,-0.28593385,-0.36919177,-1.7500863,-1.745012,0.0050743
7,-0.88331795,-1.0758085,"('outgoing', 'distant')",-0.7594186,-1.0346279,0.54707384,0.5626571,-0.3652209,-0.5159264,-0.1507055
14,0.87517023,0.8531373,"('supportive', 'unsupportive')",1.0383558,0.95381886,-0.15856574,-0.43014184,0.5849868,0.4589381,-0.1260487
76,0.8678801,1.1091852,"('secure', 'insecure')",0.07124257,0.43655747,-0.50002736,-0.4125625,0.1463651,0.3777268,0.2313617
107,0.86014,1.2145042,"('conventional', 'modern')",0.75842726,0.7066419,0.34156784,0.40347886,0.6533784,0.774875,0.1214966
19,-0.82946336,-0.726781,"('funny', 'boring')",0.09913957,-0.005131036,0.23496121,0.42828527,-0.1651209,-0.1012089,0.063912
90,0.8103764,0.5531635,"('motivated', 'unmotivated')",0.99778837,0.8682364,0.83611643,0.22407177,0.8814271,0.5484906,-0.3329365
54,0.7617431,0.5391006,"('smart', 'stupid')",1.0514773,1.1036994,1.3218676,0.94824725,1.0450293,0.8636824,-0.1813469
70,-0.7387,-0.5613615,"('wise', 'unwise')",-0.21861404,-0.04340157,0.63336086,0.59783286,-0.1079844,-0.0023101,0.1056743
103,0.7151769,0.66874665,"('traditional', 'modern')",0.03736037,0.15558687,0.8466463,0.63161135,0.5330612,0.485315,-0.0477462
80,0.70046204,0.566766,"('independent', 'dependent')",0.35335627,0.2956241,0.9272711,0.83019686,0.6603632,0.5641957,-0.0961675
64,0.6842621,0.85940516,"('clever', 'incompetent')",-0.06654215,0.15274763,-1.1000669,-1.6028588,-0.1607823,-0.196902,-0.0361197
83,0.65659666,0.8817075,"('energetic', 'lethargic')",-0.4276148,-0.4433389,-0.22217232,-0.5064013,0.0022698,-0.0226776,-0.0249474
0,0.64633614,0.88793004,"('sociable', 'unsociable')",-0.044442117,0.25629807,-0.7766191,-0.7588859,-0.0582417,0.1284474,0.1866891
21,0.6401875,0.60770077,"('nice', 'nasty')",0.701074,0.7809905,0.9754282,0.96604717,0.7722299,0.7849127,0.0126828
22,0.63409746,0.30122262,"('welcoming', 'disagreeable')",0.038684845,0.15846825,1.1265864,0.93408406,0.5997896,0.4645917,-0.1351979
35,-0.6317366,-0.7213795,"('fair', 'unfair')",-0.09260261,-0.09437056,0.06465007,0.09970588,-0.2198964,-0.2386814,-0.018785
61,-0.6038259,-0.64148986,"('rational', 'irrational')",-0.11714852,-0.13652503,2.1574101,2.3720756,0.4788119,0.5313536,0.0525417
89,0.60325,0.65722436,"('daring', 'anxious')",-0.8747365,-0.8151448,0.35678133,-0.031116724,0.0284316,-0.0630124,-0.091444
51,0.6008271,1.0296773,"('competent', 'incompetent')",-0.37260705,-0.1885972,-0.24779128,-0.6642417,-0.0065237,0.0589461,0.0654698
96,0.59492236,0.52460134,"('powerful', 'powerless')",1.9636645,1.9360857,1.3479115,1.1053292,1.3021661,1.1886721,-0.113494
23,-0.54198086,-0.7403954,"('hospitable', 'inhospitable')",-0.058319896,-0.25578153,0.9243433,0.8252383,0.1080142,-0.0569796,-0.1649938
82,-0.5321813,-0.89312124,"('industrious', 'meek')",0.9066853,0.731109,-0.3328945,-0.023626804,0.0138698,-0.0618797,-0.0757495
55,0.52373254,0.65827173,"('intelligent', 'unintelligent')",-0.24816978,0.06497896,0.5701225,0.13597462,0.2818951,0.2864084,0.0045133
20,-0.5156749,-0.649587,"('popular', 'unpopular')",-0.19214627,-0.33684558,1.345377,1.2490829,0.2125186,0.0875501,-0.1249685
93,0.5083449,0.7881596,"('dominating', 'dominated')",1.7850899,1.8938642,-0.89492387,-0.87588173,0.4661702,0.6020474,0.1358772
33,-0.5064244,-0.44298637,"('softhearted', 'hardhearted')",-0.9873034,-0.58702207,-0.7662513,-0.76793456,-0.7533264,-0.5993143,0.1540121
72,-0.49488214,-0.26496413,"('logical', 'illogical')",-2.02136,-1.9372089,-0.5740293,-0.51605606,-1.0300905,-0.9060764,0.1240141
18,0.49126178,0.5960345,"('social', 'asocial')",-0.16941583,-0.10184574,-0.9220405,-1.0179951,-0.2000649,-0.1746021,0.0254628
86,0.48964947,0.28420943,"('self-reliant', 'helpless')",3.8097985,3.5931807,-0.78593075,-0.7791357,1.1711725,1.0327515,-0.138421
85,0.4877,0.6504239,"('ambitious', 'unambitious')",0.5252911,0.4314575,-0.7317337,-0.6556554,0.0937525,0.1420753,0.0483228
45,-0.484079,-0.68065166,"('cooperative', 'exploitative')",0.23082179,-0.03409016,-2.3297741,-2.5793617,-0.8610105,-1.0980345,-0.237024
60,0.48259443,0.5874837,"('educated', 'uneducated')",-1.3512951,-1.1294242,0.4184134,0.32678235,-0.1500958,-0.0717194,0.0783764
28,-0.48091877,-0.36941433,"('honest', 'dishonest')",-2.4191797,-2.3573534,-0.5842872,-0.62444556,-1.1614618,-1.1170712,0.0443906
36,0.47476548,0.64026296,"('tolerant', 'intolerant')",-0.3733943,-0.31044215,-0.050943166,-0.36382228,0.0168093,-0.0113338,-0.0281431
38,-0.4584036,-0.2992792,"('kind', 'unkind')",-1.6716217,-1.6502889,-0.8722936,-0.73137516,-1.000773,-0.8936478,0.1071252
101,-0.43564942,-0.33336914,"('successful', 'unsuccessful')",-0.633511,-0.66783416,-0.9872165,-0.8844197,-0.685459,-0.628541,0.056918
24,-0.42453408,-0.58771396,"('thoughtful', 'rough')",-0.3752486,-0.3377083,-0.5142976,-0.79392314,-0.4380267,-0.5731151,-0.1350884
67,-0.41558942,-0.15951082,"('discriminating', 'undiscriminating')",-0.8109486,-0.59599626,-0.93091434,-1.2614689,-0.7191508,-0.6723253,0.0468255
66,0.40318733,0.7890363,"('imaginative', 'unimaginative')",1.7447815,1.9615765,0.66474843,0.36032784,0.9375724,1.0369802,0.0994078
57,0.3835175,0.34109807,"('able', 'unable')",0.37963194,0.24697638,0.41322747,0.21692812,0.3921256,0.2683342,-0.1237914
56,-0.35472563,-0.23488912,"('intelligent', 'dumb')",0.76069665,0.8657912,0.7200015,0.52452403,0.3753242,0.385142,0.0098178
30,0.3373773,0.5099155,"('honest', 'dishonest')",-1.3446836,-1.4505508,-0.76913214,-1.0579687,-0.5921462,-0.6662014,-0.0740552
79,0.30639553,0.06413679,"('determined', 'doubtful')",1.2731994,1.1395522,-0.4371842,-0.4042573,0.3808036,0.2664772,-0.1143264
29,0.29917336,0.24951059,"('honest', 'immoral')",-2.2696831,-2.1455472,0.04443443,-0.22942974,-0.6420251,-0.7084888,-0.0664637
110,0.2905228,0.19871694,"('narrow-minded', 'open-minded')",0.7476208,0.66271204,-0.84107876,-0.7525663,0.0656883,0.0362876,-0.0294007
26,0.28572,0.4873918,"('trustworthy', 'untrustworthy')",-0.018105805,-0.078443706,-1.3639013,-1.3771375,-0.365429,-0.3227298,0.0426992
58,0.28234625,0.5556376,"('able', 'clumsy')",-1.5213186,-1.4960544,0.44077182,0.54590327,-0.2660668,-0.1315045,0.1345623
9,-0.28201059,-0.28735203,"('sensitive', 'insensitive')",-0.44833702,-0.32138565,-0.12613422,-0.38551793,-0.285494,-0.3314186,-0.0459246
87,-0.2734936,-0.23355478,"('dedicated', 'undedicated')",-1.0476332,-1.0999688,-1.6030632,-1.862084,-0.97473,-1.0652026,-0.0904726
13,0.26716334,0.526728,"('helpful', 'unhelpful')",-1.3339632,-1.4054737,-0.22016938,-0.33616987,-0.4289898,-0.4049719,0.0240179
42,-0.25814074,-0.45028174,"('amicable', 'hostile')",0.48472708,0.43818986,1.6869513,1.6719129,0.6378459,0.5532737,-0.0845722
17,0.25010002,0.59457135,"('social', 'antisocial')",0.33525267,0.45708948,-0.99535197,-0.86963403,-0.1366664,0.0606756,0.197342
102,0.24992478,0.018351167,"('eminent', 'low')",-0.16702682,-0.39734355,1.1000487,1.0102553,0.3943156,0.210421,-0.1838946
12,0.24885239,0.5205115,"('sympathetic', 'unsympathetic')",-0.7277793,-0.38210905,-0.27527928,-0.5382136,-0.2514021,-0.1332704,0.1181317
37,0.23851997,0.028021693,"('good', 'evil')",0.07831633,-0.064050555,0.7907411,0.77528286,0.3691924,0.246418,-0.1227744
47,0.22749607,0.44036916,"('forgiving', 'unforgiving')",-0.7401072,-0.5953251,-0.8392523,-1.1642975,-0.4506211,-0.4397511,0.01087
44,-0.22027248,-0.16730383,"('truthful', 'untruthful')",-0.12342109,-0.31923357,0.8579838,0.82788235,0.1714301,0.1137817,-0.0576484
106,0.21775113,0.20791623,"('conventional', 'unconventional')",0.789896,1.0880945,-0.25610444,-0.5458199,0.2505142,0.2500636,-0.0004506
48,-0.19558075,-0.23446393,"('reliable', 'unreliable')",1.6273811,1.4869235,0.28804898,-0.05132544,0.5732831,0.400378,-0.1729051
46,0.17945357,0.17385083,"('generous', 'stingy')",0.9779319,1.3595903,0.087883025,-0.16079971,0.4150895,0.4575471,0.0424576
43,0.16752645,0.022045374,"('genuine', 'fake')",0.45401642,0.48974708,0.3878588,0.23154926,0.3364672,0.2477806,-0.0886866
91,0.16484159,0.034082323,"('resilient', 'nonresilient')",0.5080771,0.5576559,-0.117926404,-0.4251818,0.1849974,0.0555188,-0.1294786
77,-0.15935057,-0.3881656,"('active', 'inactive')",-0.33979833,-0.24004993,1.3704929,1.407073,0.290448,0.2596192,-0.0308288
59,-0.15684122,-0.17239764,"('skillful', 'clumsy')",0.11509335,0.12287372,0.9597836,1.1449734,0.3060119,0.3651498,0.0591379
4,-0.12528315,-0.40670815,"('likable', 'unlikable')",-0.6069189,-0.83828163,-0.822182,-0.9255678,-0.518128,-0.7235192,-0.2053912
74,0.11181587,0.3086232,"('insightful', 'unperceptive')",-2.0510526,-2.2101963,-0.6153613,-0.92660046,-0.8515326,-0.9427245,-0.0911919
100,0.1096347,0.38557664,"('influential', 'uninfluential')",-0.44486135,-0.20431024,0.53786,0.2775584,0.0675444,0.1529416,0.0853972
49,-0.07138014,0.042566776,"('responsible', 'irresponsible')",-0.44786936,-0.6318982,-0.6609539,-1.0531168,-0.3934011,-0.5474827,-0.1540816
88,-0.063197196,0.018487439,"('impulsive', 'meek')",0.98271424,0.5905908,1.0923661,1.1111451,0.6706278,0.5734078,-0.09722
65,0.013943613,-0.013470709,"('practical', 'impractical')",-0.059535027,-0.025037318,-1.1461736,-1.3348447,-0.397255,-0.4577843,-0.0605293
97,-0.01052992,0.09429589,"('superior', 'inferior')",-0.9101333,-0.9269796,-0.7807386,-0.79754996,-0.5671339,-0.5434112,0.0237227
