,PNC_male,PNC_female,tuple,Financial_male,Financial_female,Services_male,Services_female,average_male,average_female,female-male
4,-0.43635577,-0.201765,"('sensitive', 'insensitive')",-1.3135608,-1.3282859,-1.2893528,-1.4092629,-1.0130898157755535,-0.9797712961832682,0.03331851959228527
47,0.41663527,0.27018803,"('ambitious', 'unambitious')",-0.30268422,-0.34090072,-0.53884387,-0.5090426,-0.14163093765576681,-0.19325176874796549,-0.05162083109219867
45,0.39048803,0.71165526,"('independent', 'dependent')",1.9702308,1.9234314,1.413011,1.2279449,1.257909933725993,1.2876771291097004,0.029767195383707534
56,-0.3826425,-0.0663006,"('conventional', 'unconventional')",-0.81909794,-0.69171935,0.09993171,0.2746635,-0.3672695954640706,-0.16111880540847778,0.20615079005559284
18,0.37989163,0.20858744,"('good', 'evil')",1.403304,1.3038952,2.6011634,2.7015727,1.4614529609680176,1.4046850204467773,-0.056767940521240234
1,-0.3746713,-0.44645536,"('friendly', 'unfriendly')",-1.4119401,-1.4005241,-1.5024439,-1.2591515,-1.0963517824808757,-1.035377025604248,0.06097475687662768
51,0.33107814,0.5613346,"('powerful', 'powerless')",-0.9281831,-0.77820474,-0.1624354,-0.001070708,-0.2531801064809163,-0.07264694571495056,0.18053316076596576
35,-0.3145983,-0.27140993,"('creative', 'uncreative')",-1.1973898,-1.2964354,-0.6111116,-0.5230752,-0.7076999346415201,-0.6969734827677408,0.010726451873779297
13,0.31240016,0.34712595,"('sincere', 'insincere')",0.519842,0.53140664,-1.1146193,-1.2329917,-0.09412568807601929,-0.11815303564071655,-0.024027347564697266
0,-0.30662116,0.17986631,"('sociable', 'unsociable')",-0.68265426,-0.39138952,-1.4512949,-1.2009249,-0.8135234514872233,-0.4708160161972046,0.3427074352900187
14,-0.29499015,-0.34433085,"('honest', 'dishonest')",-1.5498112,-1.7600402,-2.2730312,-2.27829,-1.3726108868916829,-1.4608869552612305,-0.0882760683695476
26,0.2830361,0.17568696,"('reliable', 'unreliable')",2.0770977,1.8447592,1.5720896,1.240471,1.3107411066691081,1.0869723955790203,-0.2237687110900879
27,-0.2798651,-0.30435288,"('responsible', 'irresponsible')",-1.4232235,-1.4796294,-1.8192282,-2.0501165,-1.1741055647532146,-1.278032938639323,-0.1039273738861084
7,0.24349295,0.56949866,"('polite', 'impolite')",0.32325113,0.47595042,-0.4449585,-0.29409528,0.04059519370396932,0.2504512468973796,0.20985605319341025
20,-0.23700273,-0.18011498,"('right', 'wrong')",-0.5942092,-0.5015377,-0.22933482,-0.07671443,-0.35351558526357013,-0.2527890205383301,0.10072656472524005
52,-0.23175886,-0.030864865,"('superior', 'inferior')",-0.85602176,-0.9204483,-0.4759511,-0.255953,-0.5212438901265463,-0.402422030766805,0.11882185935974127
39,-0.21747184,-0.36835143,"('wise', 'foolish')",-0.25274688,-0.15866065,-0.3663699,-0.2541572,-0.2788628737131755,-0.260389765103658,0.018473108609517452
9,0.2053343,0.16025779,"('nice', 'nasty')",0.27870905,0.2795707,0.16534323,-0.123663425,0.21646219491958618,0.10538835326830547,-0.11107384165128072
57,0.18108395,0.4740827,"('conservative', 'liberal')",0.013299957,0.1294553,0.34142748,0.17498583,0.17860378821690878,0.259507954120636,0.0809041659037272
32,-0.17455204,-0.18046007,"('able', 'unable')",-0.08470417,-0.07861462,-0.3385276,-0.6865836,-0.1992612679799398,-0.31521942218144733,-0.11595815420150754
16,0.14866674,0.5622354,"('fair', 'unfair')",0.7520225,0.7645439,1.1677848,1.1701752,0.689491351445516,0.8323181470235189,0.14282679557800293
53,0.1478644,0.30628523,"('influential', 'uninfluential')",-0.78758425,-0.62363636,-1.5250447,-1.1469688,-0.721588134765625,-0.488106648127238,0.23348148663838703
2,0.1452485,0.4036524,"('likable', 'unlikable')",-0.50292337,-0.34296376,-1.142942,-0.9892872,-0.5002055962880453,-0.3095328410466512,0.1906727552413941
29,-0.12313534,0.03616944,"('competent', 'incompetent')",-0.32605952,-0.20157084,-2.4274457,-2.407696,-0.9588801860809326,-0.8576991558074951,0.1011810302734375
43,0.12210369,0.34481126,"('active', 'inactive')",-0.93082386,-0.7424601,-1.0901074,-0.54407585,-0.6329425175984701,-0.3139082193374634,0.3190342982610067
55,0.114139706,0.19017899,"('conventional', 'unconventional')",-0.94475424,-0.8964959,-0.7285185,-0.3659981,-0.5197110176086426,-0.357438325881958,0.16227269172668457
42,0.068876624,0.18078789,"('secure', 'insecure')",0.14791682,0.11390671,0.38732618,0.2266384,0.20137321949005127,0.17377765973409018,-0.02759555975596109
31,-0.06733364,0.046494186,"('intelligent', 'unintelligent')",-0.7867404,-0.7279883,-0.38401902,-0.29666188,-0.412697712580363,-0.3260519901911418,0.08664572238922119
12,-0.04808283,0.12359899,"('trustworthy', 'untrustworthy')",0.543942,0.4509346,0.17425814,0.011281937,0.22337241967519125,0.19527184963226318,-0.02810057004292807
25,0.014658332,0.044386476,"('forgiving', 'unforgiving')",-1.2445502,-1.0229689,-1.810742,-1.6861867,-1.0135446389516194,-0.8882563908894857,0.12528824806213368
34,0.009161323,-0.00083458424,"('rational', 'irrational')",0.43739763,0.61849916,0.43222743,0.6733414,0.2929287950197856,0.4303353230158488,0.13740652799606323
