,Estée_male,Estée_female,tuple,Lauder_male,Lauder_female,Companies_male,Companies_female,average_male,average_female,female-male
42,-1.8450309,-1.8780677,"('amicable', 'hostile')",-2.2647035,-2.3073235,0.84677243,0.97554046,-1.087654,-1.0699503,0.0177037
109,1.7332858,1.7912737,"('conservative', 'liberal')",1.1378021,1.0653337,0.6174972,0.61214864,1.1628617,1.1562521,-0.0066096
108,1.7332858,1.7912737,"('conservative', 'liberal')",1.1378021,1.0653337,0.6174972,0.61214864,1.1628617,1.1562521,-0.0066096
89,1.7325052,1.6317264,"('daring', 'anxious')",1.2089964,1.2150145,-0.20086983,-0.1091913,0.9135439,0.9125164,-0.0010275
66,1.7109246,1.9298872,"('imaginative', 'unimaginative')",1.0678272,1.2210181,0.08164817,0.1388014,0.9534667,1.0965688,0.1431021
63,-1.6993837,-1.813674,"('capable', 'incapable')",-1.3099701,-1.4935551,-0.19134375,-0.2933017,-1.0668992,-1.2001769,-0.1332777
6,1.6779989,1.517719,"('liked', 'disliked')",0.3576118,0.26404518,2.682754,2.5281982,1.5727882,1.4366541,-0.1361341
71,1.6682612,1.6468266,"('efficient', 'inefficient')",2.3036325,2.2457821,-1.6271071,-1.637361,0.7815955,0.7517492,-0.0298463
48,1.587472,1.4424554,"('reliable', 'unreliable')",0.5200024,0.43761823,1.3739305,1.4047288,1.1604683,1.0949341,-0.0655342
51,1.5827786,1.6325843,"('competent', 'incompetent')",1.0430794,1.3839649,-1.1356742,-1.0045388,0.4967279,0.6706701,0.1739422
104,-1.5703214,-1.667123,"('conventional', 'unconventional')",-2.0055435,-2.1751804,-0.5686773,-0.17984995,-1.3815141,-1.3407178,0.0407963
3,1.5696914,1.4713104,"('likable', 'unlikable')",1.095155,1.1034198,0.33496863,0.3207354,0.9999383,0.9651552,-0.0347831
26,1.5670285,1.7478274,"('trustworthy', 'untrustworthy')",1.0922539,1.3193095,0.45749995,0.50618756,1.0389275,1.1911081,0.1521806
40,-1.5621786,-1.7256541,"('honorable', 'mean')",-1.6568781,-1.7715878,-2.72748,-2.8363996,-1.9821788,-2.1112138,-0.129035
1,-1.5310477,-1.6072104,"('friendly', 'unfriendly')",-1.5846205,-1.5618303,-1.9218819,-1.7588794,-1.6791833,-1.6426401,0.0365432
41,-1.5100819,-1.4416277,"('incorrupt', 'corrupt')",-2.375894,-2.3314514,1.3933511,1.5260823,-0.8308749,-0.748999,0.0818759
52,1.5077876,1.5506504,"('competitive', 'uncompetitive')",1.4139247,1.5822386,-1.3464614,-1.2289124,0.5250837,0.6346588,0.1095751
10,-1.5042007,-1.6536853,"('affectionate', 'unaffectionate')",-1.3452637,-1.2774639,-1.0409098,-0.9902737,-1.2967914,-1.307141,-0.0103496
39,-1.4844484,-1.5960418,"('right', 'wrong')",-1.3410367,-1.4974486,-0.15813872,-0.057872936,-0.9945413,-1.0504545,-0.0559132
30,1.4503572,1.3555734,"('honest', 'dishonest')",0.6803551,0.9245393,-0.7385414,-0.71791136,0.464057,0.5207338,0.0566768
7,-1.4440185,-1.6190596,"('outgoing', 'distant')",-2.3819807,-2.5243325,0.43106186,0.10477179,-1.1316458,-1.3462068,-0.214561
2,1.4356159,1.6059471,"('friendly', 'unfriendly')",1.0059664,1.084979,-0.9283774,-0.7194308,0.5044016,0.6571651,0.1527635
12,1.384903,1.5421118,"('sympathetic', 'unsympathetic')",0.88359505,1.0142591,-1.3197771,-1.0719811,0.3162403,0.4947966,0.1785563
64,1.3444656,1.4064705,"('clever', 'incompetent')",1.6216782,1.6858715,-1.1991642,-0.9023483,0.5889932,0.7299979,0.1410047
23,-1.3020431,-1.4141366,"('hospitable', 'inhospitable')",-1.4823731,-1.6431804,1.0256376,0.84970987,-0.5862595,-0.7358691,-0.1496096
68,-1.2890654,-1.4755843,"('clever', 'inept')",-1.8917314,-1.9530895,-1.1991687,-1.1929125,-1.4599884,-1.5405288,-0.0805404
50,1.2408168,1.1314595,"('unprejudiced', 'prejudiced')",1.4621878,1.3274975,1.2305866,0.9306627,1.3111971,1.1298732,-0.1813239
25,1.2069991,1.1124253,"('moral', 'immoral')",1.2130153,1.0238154,-0.8581176,-0.70048696,0.5206323,0.4785846,-0.0420477
61,-1.1632677,-0.9880708,"('rational', 'irrational')",-0.16253239,-0.37463498,0.04655063,0.0812082,-0.4264165,-0.4271658,-0.0007493
92,-1.1434582,-1.2513136,"('unwavering', 'wavering')",-1.3263992,-1.3956219,0.45712,0.5205809,-0.6709125,-0.7087849,-0.0378724
65,1.140978,1.0546346,"('practical', 'impractical')",0.51130074,0.50980836,-1.7947276,-1.6101089,-0.047483,-0.015222,0.032261
33,-1.117069,-1.1156621,"('softhearted', 'hardhearted')",-1.3889272,-1.2406174,-0.641544,-0.50510395,-1.04918,-0.9537945,0.0953855
31,-1.1066136,-1.228235,"('altruistic', 'egoistic')",-1.4667668,-1.6095393,-0.9038739,-0.86091363,-1.1590848,-1.232896,-0.0738112
95,-1.0668303,-0.9571922,"('rich', 'poor')",-0.65874845,-0.56815946,-3.571756,-3.2548194,-1.7657782,-1.5933903,0.1723879
103,1.0281694,1.1055639,"('traditional', 'modern')",0.23069882,0.13192183,1.2038949,1.339319,0.820921,0.8589349,0.0380139
28,1.0174403,1.0734105,"('honest', 'dishonest')",1.1666566,1.3590678,-1.1593144,-1.0148294,0.3415941,0.4725497,0.1309556
83,1.006596,1.0984045,"('energetic', 'lethargic')",0.086972415,0.3365208,-0.854165,-0.801782,0.0798011,0.2110478,0.1312467
19,-0.98411214,-0.95394033,"('funny', 'boring')",-0.61440516,-0.5667347,-0.31000954,-0.15206611,-0.6361756,-0.5575804,0.0785952
14,0.93592346,0.7349474,"('supportive', 'unsupportive')",0.4428004,0.35620567,-0.7976736,-0.800031,0.1936834,0.0970407,-0.0966427
85,0.9355024,0.9349493,"('ambitious', 'unambitious')",1.5204494,1.514507,-0.7411648,-0.6898244,0.5715956,0.586544,0.0149484
11,-0.92344075,-1.1162864,"('caring', 'unaffectionate')",-1.1178174,-1.0560333,-1.7998356,-1.7119069,-1.2803645,-1.2947422,-0.0143777
55,0.9055569,1.0148408,"('intelligent', 'unintelligent')",1.5871136,1.5878439,-0.967505,-0.66506743,0.5083885,0.6458724,0.1374839
29,0.8085211,0.7573115,"('honest', 'immoral')",0.23614147,0.25990614,-0.51666826,-0.4895679,0.1759981,0.1758833,-0.0001148
17,0.7799561,0.92471224,"('social', 'antisocial')",1.2141157,1.3492962,-1.6978287,-1.531425,0.0987477,0.2475278,0.1487801
73,0.77458024,0.57146424,"('brilliant', 'incompetent')",0.4227665,0.37361908,-2.1523128,-2.1464186,-0.318322,-0.4004451,-0.0821231
69,-0.7679338,-0.67004496,"('wise', 'foolish')",-0.9330332,-1.0990508,0.093767315,0.16235007,-0.5357333,-0.5355819,0.0001514
36,0.7666106,0.80181915,"('tolerant', 'intolerant')",0.8718617,0.8774569,-1.6903737,-1.4149356,-0.0173004,0.0881135,0.1054139
46,0.72726846,0.85118943,"('generous', 'stingy')",-0.23219278,-0.1930443,0.083812356,0.2478061,0.1929627,0.3019838,0.1090211
97,-0.6879165,-0.59931314,"('superior', 'inferior')",-0.15424481,-0.2786931,-0.01966387,0.06283042,-0.2872751,-0.2717253,0.0155498
27,-0.67228985,-0.63012046,"('sincere', 'insincere')",-1.0336685,-0.8519509,-3.321486,-3.0776649,-1.6758148,-1.5199121,0.1559027
24,-0.64146847,-0.6198123,"('thoughtful', 'rough')",-1.2948387,-1.3106422,-0.24876781,-0.14587206,-0.7283583,-0.6921089,0.0362494
9,0.63510334,0.61449987,"('sensitive', 'insensitive')",-0.12763771,-0.078826666,-1.1024244,-1.1040051,-0.1983196,-0.189444,0.0088756
105,-0.6282551,-0.6178056,"('conventional', 'modern')",-0.7346643,-0.663368,-0.5323739,-0.42955974,-0.6317645,-0.5702444,0.0615201
80,0.6190176,0.73836505,"('independent', 'dependent')",0.294615,0.14227372,1.0376221,1.1613278,0.6504182,0.6806556,0.0302374
35,0.5996217,0.80626476,"('fair', 'unfair')",0.6383338,0.7262695,1.4211125,1.4682894,0.886356,1.0002745,0.1139185
77,-0.5846803,-0.71641403,"('active', 'inactive')",-1.350461,-1.4925014,0.14115848,0.2534595,-0.5979943,-0.6518187,-0.0538244
37,-0.56232846,-0.7567589,"('good', 'evil')",-0.8821741,-0.9447002,0.57729733,0.42726254,-0.2890684,-0.4247322,-0.1356638
0,0.5600669,0.5147633,"('sociable', 'unsociable')",0.7332521,0.8557419,-0.91032946,-0.71548736,0.1276632,0.2183393,0.0906761
84,-0.5519749,-0.77702177,"('self-confident', 'diffident')",-0.9104023,-0.98525566,-0.28579223,-0.4115395,-0.5827231,-0.7246056,-0.1418825
78,0.5380993,0.26180238,"('active', 'inactive')",0.33586586,0.14559692,1.015968,0.7731189,0.6299777,0.3935061,-0.2364716
91,-0.5203503,-0.63880926,"('resilient', 'nonresilient')",-1.0589842,-1.0036815,-0.0012402534,-0.0022884216,-0.5268583,-0.5482598,-0.0214015
49,0.5201142,0.4783249,"('responsible', 'irresponsible')",0.77095246,0.9884647,-1.3466245,-1.4299552,-0.0185193,0.0122781,0.0307974
86,0.50386804,0.39003855,"('self-reliant', 'helpless')",-1.1630584,-1.265222,1.0822918,0.92458254,0.1410338,0.0164664,-0.1245674
45,0.48741567,0.32107612,"('cooperative', 'exploitative')",-0.29504013,-0.35183567,-0.6631521,-0.7103157,-0.1569255,-0.2470251,-0.0900996
100,0.48600423,0.64033103,"('influential', 'uninfluential')",0.6328357,0.7290857,-1.1397351,-0.73623043,-0.006965,0.2110621,0.2180271
47,0.469638,0.47522116,"('forgiving', 'unforgiving')",0.59301674,0.70011854,-0.8852012,-0.6954415,0.0591512,0.1599661,0.1008149
110,0.46820664,0.6221885,"('narrow-minded', 'open-minded')",-0.733498,-0.5860028,0.09598346,0.059290364,-0.056436,0.0318253,0.0882613
4,-0.4571991,-0.6883935,"('likable', 'unlikable')",-0.34169704,-0.3879137,-1.5841727,-1.5305247,-0.7943563,-0.868944,-0.0745877
87,-0.45153666,-0.43742496,"('dedicated', 'undedicated')",-1.2507308,-1.138284,-1.547906,-1.3810911,-1.0833912,-0.9856,0.0977912
106,0.4472813,0.24457122,"('conventional', 'unconventional')",0.009820282,-0.016137928,0.11206938,0.26446968,0.1897237,0.164301,-0.0254227
21,0.43105048,0.33484468,"('nice', 'nasty')",-0.37226307,-0.53560853,0.8737958,0.6125035,0.3108611,0.1372466,-0.1736145
67,-0.40474945,-0.42004025,"('discriminating', 'undiscriminating')",-1.5151381,-1.4270113,-1.3255367,-1.1865035,-1.0818081,-1.011185,0.0706231
90,0.40028024,0.30480537,"('motivated', 'unmotivated')",-0.22204447,-0.48232585,1.2465034,1.0745609,0.474913,0.2990135,-0.1758995
13,0.3937624,0.57404506,"('helpful', 'unhelpful')",0.7316098,0.7711927,-1.8580091,-1.6661702,-0.2442123,-0.1069775,0.1372348
56,-0.39123368,-0.35438365,"('intelligent', 'dumb')",-0.10317606,-0.18967974,0.41171813,0.5264405,-0.0275639,-0.0058743,0.0216896
38,0.3643316,0.3470869,"('kind', 'unkind')",0.50358915,0.6589505,-1.8440039,-1.5117915,-0.3253611,-0.1685847,0.1567764
79,0.35083777,0.32854557,"('determined', 'doubtful')",0.490794,0.3168728,0.5109359,0.5035562,0.4508559,0.3829916,-0.0678643
70,-0.3361345,-0.24084008,"('wise', 'unwise')",0.012235016,-0.009864867,0.66907734,0.74323493,0.1150593,0.1641767,0.0491174
60,0.32987416,0.6055364,"('educated', 'uneducated')",1.0256782,0.9075681,-0.17157227,0.2726541,0.39466,0.5952528,0.2005928
58,0.3265624,0.41079944,"('able', 'clumsy')",1.1305072,1.2185665,-0.5190784,-0.18862371,0.3126638,0.4802474,0.1675836
62,-0.30764866,-0.38312238,"('creative', 'uncreative')",-0.8518125,-0.89557976,-0.8466228,-0.6845753,-0.6686947,-0.6544258,0.0142689
93,0.30602324,0.4563956,"('dominating', 'dominated')",0.031392723,0.08917579,0.37277132,0.5292573,0.2367291,0.3582762,0.1215471
59,-0.30592465,-0.3380494,"('skillful', 'clumsy')",-0.09157109,-0.057113826,0.43751016,0.6176989,0.0133381,0.0741786,0.0608405
44,0.28513575,0.21942319,"('truthful', 'untruthful')",0.20749128,0.18922713,-0.72434944,-0.7368485,-0.0772408,-0.1093994,-0.0321586
20,0.27002755,0.16447824,"('popular', 'unpopular')",0.54919267,0.43745837,0.009733185,0.12772606,0.2763178,0.2432209,-0.0330969
43,-0.2588727,-0.45826986,"('genuine', 'fake')",-1.1744415,-1.1793818,-0.45549545,-0.36060822,-0.6296032,-0.6660866,-0.0364834
102,-0.24495229,-0.13828918,"('eminent', 'low')",0.34563512,0.040925235,-1.4704523,-1.0807838,-0.4565898,-0.3927159,0.0638739
88,-0.2444095,-0.14499024,"('impulsive', 'meek')",-0.5584141,-0.48057252,0.9901792,0.78966475,0.0624519,0.0547007,-0.0077512
74,-0.21604452,-0.107083835,"('insightful', 'unperceptive')",0.29689208,0.29601586,-1.7557313,-1.6959012,-0.5582946,-0.502323,0.0559716
57,-0.16622567,-0.38062775,"('able', 'unable')",0.042662144,-0.094863445,0.12149073,-0.025822863,-0.0006909,-0.1671047,-0.1664138
18,-0.16398466,-0.034404635,"('social', 'asocial')",0.431467,0.53253794,-0.80809695,-0.78000927,-0.1802049,-0.0939587,0.0862462
34,0.13663334,0.22664085,"('loyal', 'disloyal')",-0.8998663,-0.73955667,-0.7923599,-0.40329164,-0.5185309,-0.3054025,0.2131284
22,-0.098787695,-0.20139748,"('welcoming', 'disagreeable')",0.6270556,0.41627216,0.39176542,0.3877016,0.3066778,0.2008588,-0.105819
101,-0.0422844,-0.20574148,"('successful', 'unsuccessful')",-0.81107557,-0.88910186,-2.10432,-1.9149982,-0.9858933,-1.0032805,-0.0173872
54,0.035807014,-0.17754078,"('smart', 'stupid')",-0.6238927,-0.89972943,0.3301072,0.28033134,-0.0859928,-0.2656463,-0.1796535
96,0.034527138,-0.12854333,"('powerful', 'powerless')",0.31794965,0.17917448,-0.12827039,-0.02128616,0.0747355,0.0097817,-0.0649538
72,-0.014032811,-0.0018589646,"('logical', 'illogical')",-0.2910005,-0.16734374,-0.8360969,-0.50532687,-0.3803767,-0.2248432,0.1555335
