,Consolidated_male,Consolidated_female,tuple,Edison_male,Edison_female,average_male,average_female,female-male
55,-0.33699805,-0.42303783,"('intelligent', 'unintelligent')",-0.6650697,-0.63966334,-0.5010339,-0.5313506,-0.0303167
52,-0.3331899,-0.52199304,"('competitive', 'uncompetitive')",0.9992577,0.99692345,0.3330339,0.2374652,-0.0955687
14,0.32471323,0.2606895,"('supportive', 'unsupportive')",0.6124955,0.69283867,0.4686044,0.4767641,0.0081597
57,0.29578933,0.14023486,"('able', 'unable')",0.70911455,0.47007576,0.502452,0.3051553,-0.1972967
103,0.27313647,0.18744546,"('traditional', 'modern')",1.4123908,1.4363495,0.8427637,0.8118975,-0.0308662
30,-0.27083474,-0.3523002,"('honest', 'dishonest')",0.38614935,0.3692673,0.0576573,0.0084836,-0.0491737
23,0.25983328,0.26534712,"('hospitable', 'inhospitable')",0.24492371,0.17444813,0.2523785,0.2198976,-0.0324809
19,-0.22766107,-0.03350991,"('funny', 'boring')",-1.0838633,-0.8035802,-0.6557622,-0.4185451,0.2372171
17,-0.22629449,-0.052504927,"('social', 'antisocial')",-0.056935668,0.18780452,-0.1416151,0.0676498,0.2092649
16,0.21918696,0.19808978,"('social', 'antisocial')",1.1581223,1.194424,0.6886547,0.6962569,0.0076022
61,-0.21533617,0.089858174,"('rational', 'irrational')",-0.7219314,-0.41301492,-0.4686338,-0.1615784,0.3070554
42,0.19344008,0.6739235,"('amicable', 'hostile')",-1.041506,-0.57002866,-0.424033,0.0519474,0.4759804
54,0.18631046,0.050574828,"('smart', 'stupid')",-0.10336296,-0.3084786,0.0414737,-0.1289519,-0.1704256
26,0.16466087,0.11766924,"('trustworthy', 'untrustworthy')",1.1234457,1.234697,0.6440533,0.6761831,0.0321298
64,0.12924236,-0.1498276,"('clever', 'incompetent')",0.29818988,0.16164899,0.2137161,0.0059107,-0.2078054
39,-0.111394286,0.19769444,"('right', 'wrong')",-1.0781113,-0.8388541,-0.5947528,-0.3205798,0.274173
96,-0.09886354,-0.13392136,"('powerful', 'powerless')",0.029621378,0.113115564,-0.0346211,-0.0104029,0.0242182
0,0.077721745,0.058132917,"('sociable', 'unsociable')",0.52673286,0.64199257,0.3022273,0.3500627,0.0478354
51,0.048325717,-0.029627979,"('competent', 'incompetent')",0.7564303,0.88011587,0.402378,0.4252439,0.0228659
83,-0.048231587,-0.33507344,"('energetic', 'lethargic')",0.9574119,0.90846163,0.4545901,0.2866941,-0.167896
2,-0.036002517,-0.2970685,"('friendly', 'unfriendly')",0.7682735,0.59169304,0.3661355,0.1473123,-0.2188232
79,-0.028315485,-0.18239203,"('determined', 'doubtful')",0.46069896,0.41699594,0.2161917,0.117302,-0.0988897
25,0.0032019317,-0.3690435,"('moral', 'immoral')",0.4470213,0.36402595,0.2251116,-0.0025088,-0.2276204
