,T-Mobile_male,T-Mobile_female,tuple,US_male,US_female,average_male,average_female,female-male
44,0.5333463,0.43010512,"('truthful', 'untruthful')",-0.66394097,-0.6104708,-0.0652973,-0.0901828,-0.0248855
47,0.51432073,0.45641437,"('forgiving', 'unforgiving')",-1.1033156,-0.94735324,-0.2944974,-0.2454694,0.049028
26,0.4955617,0.5277706,"('trustworthy', 'untrustworthy')",-0.73182786,-0.6012292,-0.1181331,-0.0367293,0.0814038
68,-0.49324995,-0.5804193,"('clever', 'inept')",-1.1276807,-1.3023773,-0.8104653,-0.9413983,-0.130933
77,-0.46208972,-0.3397423,"('active', 'inactive')",0.754079,0.8177675,0.1459946,0.2390126,0.093018
67,0.44962713,0.5155699,"('discriminating', 'undiscriminating')",-0.12253456,-0.0039635748,0.1635463,0.2558032,0.0922569
57,0.44865292,0.4082862,"('able', 'unable')",-0.550563,-0.56467307,-0.050955,-0.0781934,-0.0272384
79,-0.37259066,-0.15786418,"('determined', 'doubtful')",-0.0991987,0.002511084,-0.2358947,-0.0776765,0.1582182
70,0.36954582,0.4895545,"('wise', 'unwise')",1.5158336,1.6186447,0.9426897,1.0540996,0.1114099
101,-0.36557084,-0.20661737,"('successful', 'unsuccessful')",-1.4430001,-1.2300618,-0.9042854,-0.7183396,0.1859458
96,0.34964585,0.2924598,"('powerful', 'powerless')",-0.33721972,-0.37425032,0.0062131,-0.0408953,-0.0471084
34,-0.33247033,-0.15256496,"('loyal', 'disloyal')",-2.042943,-1.6903133,-1.1877067,-0.9214392,0.2662675
54,0.33009964,0.23762059,"('smart', 'stupid')",0.75856876,0.54686624,0.5443342,0.3922434,-0.1520908
46,0.32937244,0.3038534,"('generous', 'stingy')",1.2554634,1.08653,0.7924179,0.6951917,-0.0972262
88,-0.312747,-0.33440322,"('impulsive', 'meek')",0.8122838,0.75564414,0.2497684,0.2106205,-0.0391479
43,0.29641658,0.3734835,"('genuine', 'fake')",0.4583041,0.3892234,0.3773603,0.3813534,0.0039931
40,0.2643084,0.09166619,"('honorable', 'mean')",-3.6484325,-3.7176495,-1.692062,-1.8129916,-0.1209296
33,0.23670846,0.3077807,"('softhearted', 'hardhearted')",-0.97254467,-0.97182196,-0.3679181,-0.3320206,0.0358975
21,0.22860989,0.14645627,"('nice', 'nasty')",0.4356367,0.19771194,0.3321233,0.1720841,-0.1600392
65,0.21490586,0.1524632,"('practical', 'impractical')",-1.3661468,-1.3028784,-0.5756205,-0.5752076,0.0004129
53,-0.20502067,-0.2231471,"('smart', 'stupid')",-4.1149282,-4.0237617,-2.1599746,-2.1234543,0.0365203
56,-0.17823817,-0.2335909,"('intelligent', 'dumb')",0.11502099,0.13395554,-0.0316086,-0.0498177,-0.0182091
62,-0.15621081,-0.009240329,"('creative', 'uncreative')",-0.3203423,-0.057841122,-0.2382766,-0.0335407,0.2047359
95,0.14989692,0.2558407,"('rich', 'poor')",-4.09806,-3.8624754,-1.9740816,-1.8033173,0.1707643
18,-0.14789665,-0.16277748,"('social', 'asocial')",-0.48816717,-0.5407753,-0.3180319,-0.3517764,-0.0337445
97,0.14570516,0.40950674,"('superior', 'inferior')",-0.18670923,0.09724426,-0.020502,0.2533755,0.2738775
14,-0.11078042,-0.24828193,"('supportive', 'unsupportive')",0.4416817,0.377374,0.1654506,0.064546,-0.1009046
22,-0.10976046,-0.2082869,"('welcoming', 'disagreeable')",0.4997402,0.40261585,0.1949899,0.0971645,-0.0978254
48,0.10962349,0.07956797,"('reliable', 'unreliable')",0.59962285,0.36105153,0.3546232,0.2203097,-0.1343135
28,0.09710298,0.1383202,"('honest', 'dishonest')",-1.5037383,-1.5193923,-0.7033176,-0.690536,0.0127816
50,0.060504496,-0.0018783659,"('unprejudiced', 'prejudiced')",1.2566988,0.9162611,0.6586016,0.4571913,-0.2014103
87,0.009423465,0.07584944,"('dedicated', 'undedicated')",-1.0503589,-0.89079434,-0.5204677,-0.4074724,0.1129953
