,Trane_male,Trane_female,tuple,Technologies_male,Technologies_female,average_male,average_female,female-male
107,0.22139649,0.32745087,"('conventional', 'modern')",1.6188302,1.7257386,0.9201133,1.0265948,0.1064815
61,0.2158646,0.53019536,"('rational', 'irrational')",0.44950798,0.7320998,0.3326863,0.6311476,0.2984613
10,-0.20924154,-0.021426901,"('affectionate', 'unaffectionate')",-0.28832856,-0.20872661,-0.248785,-0.1150768,0.1337082
31,-0.20425528,-0.02566135,"('altruistic', 'egoistic')",-0.31254363,-0.12882589,-0.2583995,-0.0772436,0.1811559
9,-0.19300532,-0.2757557,"('sensitive', 'insensitive')",-0.9391347,-1.017151,-0.56607,-0.6464534,-0.0803834
44,0.17679206,0.17255382,"('truthful', 'untruthful')",-0.41358423,-0.39759666,-0.1183961,-0.1125214,0.0058747
57,0.1712764,-0.060830608,"('able', 'unable')",-0.9204068,-1.0014293,-0.3745652,-0.53113,-0.1565648
91,0.16207981,0.20453776,"('resilient', 'nonresilient')",-0.5834907,-0.58590573,-0.2107055,-0.190684,0.0200215
11,-0.15921521,-0.0129033625,"('caring', 'unaffectionate')",-1.4264121,-1.3435798,-0.7928137,-0.6782416,0.1145721
51,-0.15705863,-0.26120412,"('competent', 'incompetent')",0.31360385,0.31003702,0.0782726,0.0244164,-0.0538562
101,0.15358835,0.14335981,"('successful', 'unsuccessful')",-1.2053785,-1.0510094,-0.5258951,-0.4538248,0.0720703
26,-0.13600601,-0.1119729,"('trustworthy', 'untrustworthy')",0.5351937,0.5034224,0.1995938,0.1957247,-0.0038691
12,0.13212878,0.092220485,"('sympathetic', 'unsympathetic')",-0.88097763,-0.82650185,-0.3744244,-0.3671407,0.0072837
17,-0.12443596,0.025174439,"('social', 'antisocial')",-0.65805566,-0.55907595,-0.3912458,-0.2669508,0.124295
20,0.12344936,0.32675347,"('popular', 'unpopular')",0.19675887,0.48826534,0.1601041,0.4075094,0.2474053
25,-0.11915046,-0.25190973,"('moral', 'immoral')",-0.97615075,-0.7403079,-0.5476506,-0.4961088,0.0515418
55,0.10729486,0.0626435,"('intelligent', 'unintelligent')",-1.6316164,-1.4372262,-0.7621608,-0.6872913,0.0748695
19,-0.09282714,0.018263072,"('funny', 'boring')",-0.16195601,-0.22026435,-0.1273916,-0.1010006,0.026391
76,-0.072684385,-0.19094113,"('secure', 'insecure')",-0.28006038,-0.21477263,-0.1763724,-0.2028569,-0.0264845
59,-0.06647831,0.07210463,"('skillful', 'clumsy')",-0.02865766,0.22119033,-0.047568,0.1466475,0.1942155
18,-0.06554469,-0.018014729,"('social', 'asocial')",-0.658369,-0.57701916,-0.3619568,-0.2975169,0.0644399
52,0.05758348,-0.05657755,"('competitive', 'uncompetitive')",-0.0061626434,0.01862228,0.0257104,-0.0189776,-0.044688
35,0.05551754,0.28775743,"('fair', 'unfair')",1.310475,1.3680161,0.6829963,0.8278868,0.1448905
56,0.054967463,0.114372194,"('intelligent', 'dumb')",0.9509031,0.8761055,0.5029353,0.4952388,-0.0076965
99,-0.04457128,0.11687395,"('prestigious', 'insignificant')",-0.26624405,-0.08999963,-0.1554077,0.0134372,0.1688449
16,-0.0189026,-0.1527299,"('social', 'antisocial')",-0.95379263,-0.85410553,-0.4863476,-0.5034177,-0.0170701
96,-0.010420926,-0.17476088,"('powerful', 'powerless')",-0.4070776,-0.30713752,-0.2087493,-0.2409492,-0.0321999
98,0.0040198267,0.009579122,"('prestigious', 'insignificant')",0.17746642,0.24451235,0.0907431,0.1270457,0.0363026
79,-0.00090511143,-0.037642136,"('determined', 'doubtful')",0.3400926,0.28864843,0.1695938,0.1255032,-0.0440906
