,Kimberly-Clark_male,Kimberly-Clark_female,tuple,average_male,average_female,female-male
30,1.7132847,1.9856825,"('smart', 'stupid')",1.7132847309112549,1.985682487487793,0.2723977565765381
26,1.4764882,1.2942119,"('reliable', 'unreliable')",1.4764882326126099,1.2942118644714355,-0.18227636814117432
39,-1.4062431,-1.3443182,"('wise', 'foolish')",-1.406243085861206,-1.344318151473999,0.06192493438720703
55,-1.3568387,-1.1851677,"('conventional', 'unconventional')",-1.3568387031555176,-1.185167670249939,0.1716710329055786
37,1.3007293,1.4911872,"('practical', 'impractical')",1.3007292747497559,1.4911872148513794,0.19045794010162354
27,1.2234433,1.5440563,"('responsible', 'irresponsible')",1.2234432697296143,1.5440562963485718,0.3206130266189575
52,-1.1147921,-1.0406804,"('superior', 'inferior')",-1.1147921085357666,-1.0406804084777832,0.0741117000579834
31,1.1040015,1.1569557,"('intelligent', 'unintelligent')",1.104001522064209,1.1569557189941406,0.05295419692993164
33,1.048908,1.2193315,"('educated', 'uneducated')",1.048907995223999,1.2193315029144287,0.1704235076904297
12,1.0379827,1.4128581,"('trustworthy', 'untrustworthy')",1.037982702255249,1.4128581285476685,0.37487542629241943
35,-1.0038465,-1.6200659,"('creative', 'uncreative')",-1.003846526145935,-1.6200659275054932,-0.6162194013595581
5,0.97849876,1.2045602,"('helpful', 'unhelpful')",0.9784987568855286,1.2045601606369019,0.2260614037513733
4,0.8662842,1.0761873,"('sensitive', 'insensitive')",0.866284191608429,1.076187252998352,0.2099030613899231
47,0.85410976,1.0190135,"('ambitious', 'unambitious')",0.8541097640991211,1.019013524055481,0.16490375995635986
44,0.8428273,0.7540295,"('active', 'inactive')",0.842827320098877,0.7540295124053955,-0.08879780769348145
50,0.8016548,0.72550005,"('rich', 'poor')",0.8016548156738281,0.7255000472068787,-0.07615476846694946
48,-0.78055066,-0.66391563,"('dedicated', 'undedicated')",-0.7805506587028503,-0.6639156341552734,0.1166350245475769
25,0.7595702,0.67436063,"('forgiving', 'unforgiving')",0.7595701813697815,0.6743606328964233,-0.08520954847335815
24,0.74050283,0.8399907,"('generous', 'stingy')",0.7405028343200684,0.8399906754493713,0.09948784112930298
32,0.68891394,0.66417724,"('able', 'unable')",0.6889139413833618,0.6641772389411926,-0.02473670244216919
8,-0.6613711,-1.0526042,"('popular', 'unpopular')",-0.661371111869812,-1.0526041984558105,-0.39123308658599854
6,-0.5642469,-0.70677716,"('supportive', 'unsupportive')",-0.5642468929290771,-0.7067771553993225,-0.14253026247024536
3,0.50674075,0.54233253,"('liked', 'disliked')",0.5067407488822937,0.5423325300216675,0.03559178113937378
43,-0.48502785,-0.43219128,"('active', 'inactive')",-0.48502784967422485,-0.43219128251075745,0.05283656716346741
19,-0.47787118,-0.7031672,"('kind', 'unkind')",-0.4778711795806885,-0.703167200088501,-0.2252960205078125
38,0.40864614,0.36971527,"('discriminating', 'undiscriminating')",0.4086461365222931,0.36971527338027954,-0.03893086314201355
53,0.39004326,0.5614029,"('influential', 'uninfluential')",0.3900432586669922,0.5614029169082642,0.17135965824127197
9,0.36452162,0.1837712,"('nice', 'nasty')",0.3645216226577759,0.18377119302749634,-0.18075042963027954
2,0.28733304,0.3378772,"('likable', 'unlikable')",0.28733304142951965,0.33787721395492554,0.050544172525405884
40,0.28325212,0.2779554,"('logical', 'illogical')",0.28325212001800537,0.27795541286468506,-0.0052967071533203125
51,0.26264977,0.4572175,"('powerful', 'powerless')",0.2626497745513916,0.4572175145149231,0.1945677399635315
56,0.18725568,0.22182828,"('conventional', 'unconventional')",0.18725568056106567,0.22182828187942505,0.034572601318359375
15,-0.1599057,-0.02563341,"('loyal', 'disloyal')",-0.15990570187568665,-0.02563340961933136,0.13427229225635529
14,0.13160884,0.30978107,"('honest', 'dishonest')",0.13160884380340576,0.3097810745239258,0.17817223072052002
54,-0.13012409,0.1782648,"('successful', 'unsuccessful')",-0.13012409210205078,0.1782647967338562,0.308388888835907
41,0.049444452,0.027534395,"('confident', 'shy')",0.04944445192813873,0.027534395456314087,-0.021910056471824646
16,-0.0112915635,0.007288158,"('fair', 'unfair')",-0.011291563510894775,0.007288157939910889,0.018579721450805664
