,Howmet_male,Howmet_female,tuple,Aerospace_male,Aerospace_female,average_male,average_female,female-male
106,-0.35023367,-0.3408404,"('conventional', 'unconventional')",-0.49135303,-0.45255858,-0.4207934,-0.3966995,0.0240939
9,0.32707852,0.30745363,"('sensitive', 'insensitive')",-0.82637495,-1.0716009,-0.2496482,-0.3820736,-0.1324254
72,-0.318254,-0.3058007,"('logical', 'illogical')",-1.0256906,-0.8303356,-0.6719723,-0.5680681,0.1039042
49,0.3171146,0.111973226,"('responsible', 'irresponsible')",-1.2903997,-1.5500481,-0.4866425,-0.7190374,-0.2323949
57,0.31446353,0.15618692,"('able', 'unable')",-0.2053554,-0.4057415,0.0545541,-0.1247773,-0.1793314
13,0.30937636,0.082173705,"('helpful', 'unhelpful')",-2.4755795,-2.6339545,-1.0831015,-1.2758904,-0.1927889
100,0.30786324,0.23985898,"('influential', 'uninfluential')",-0.58519965,-0.38442707,-0.1386682,-0.072284,0.0663842
46,0.29911926,0.44669807,"('generous', 'stingy')",1.8016373,1.9961588,1.0503783,1.2214284,0.1710501
35,0.2587888,0.38860565,"('fair', 'unfair')",0.61573803,0.79790866,0.4372634,0.5932572,0.1559938
85,0.25202745,0.39521766,"('ambitious', 'unambitious')",-0.8077953,-0.86089486,-0.2778839,-0.2328386,0.0450453
69,-0.23387688,-0.20967567,"('wise', 'foolish')",-0.30399,0.031949848,-0.2689334,-0.0888629,0.1800705
45,0.22911692,0.17547859,"('cooperative', 'exploitative')",-0.3901806,-0.5280258,-0.0805318,-0.1762736,-0.0957418
24,-0.22910881,-0.16444036,"('thoughtful', 'rough')",-1.4886472,-1.5883894,-0.858878,-0.8764149,-0.0175369
30,-0.21661064,-0.29844958,"('honest', 'dishonest')",-0.16035308,-0.3205237,-0.1884819,-0.3094866,-0.1210047
18,0.21660449,0.29271758,"('social', 'asocial')",-0.5303565,-0.72427803,-0.156876,-0.2157802,-0.0589042
101,0.19902666,0.12813324,"('successful', 'unsuccessful')",-0.76996374,-0.74428725,-0.2854685,-0.308077,-0.0226085
74,0.17952359,-0.035566874,"('insightful', 'unperceptive')",-0.47469488,-0.5518652,-0.1475856,-0.293716,-0.1461304
59,-0.17497233,-0.13732307,"('skillful', 'clumsy')",-0.04330045,0.14066878,-0.1091364,0.0016729,0.1108093
56,-0.15716076,-0.16876268,"('intelligent', 'dumb')",1.1736238,1.0290782,0.5082315,0.4301578,-0.0780737
17,0.14836253,0.36523902,"('social', 'antisocial')",-0.3354447,-0.19374284,-0.0935411,0.0857481,0.1792892
62,0.13628313,0.15996328,"('creative', 'uncreative')",-1.0850954,-0.7684702,-0.4744061,-0.3042535,0.1701526
91,0.12751555,0.08630979,"('resilient', 'nonresilient')",0.25056773,0.31518605,0.1890416,0.2007479,0.0117063
51,-0.1039595,-0.28913632,"('competent', 'incompetent')",-0.103221744,-0.37585676,-0.1035906,-0.3324965,-0.2289059
63,-0.099071056,-0.0059306026,"('capable', 'incapable')",-1.1623893,-1.1902401,-0.6307302,-0.5980854,0.0326448
97,-0.07765964,-0.1265174,"('superior', 'inferior')",-1.0384735,-0.8615929,-0.5580665,-0.4940552,0.0640113
83,0.07572144,-0.011567652,"('energetic', 'lethargic')",0.009812944,-0.40886664,0.0427672,-0.2102171,-0.2529843
4,0.073163316,-0.06510845,"('likable', 'unlikable')",-0.37683034,-0.17355013,-0.1518335,-0.1193293,0.0325042
44,0.072503045,-0.10588859,"('truthful', 'untruthful')",-0.48168746,-0.4049837,-0.2045922,-0.2554362,-0.050844
38,-0.05788073,-0.009014368,"('kind', 'unkind')",-1.3603431,-1.4617531,-0.7091119,-0.7353837,-0.0262718
87,-0.055028826,-0.22895667,"('dedicated', 'undedicated')",-0.73361707,-0.7585327,-0.3943229,-0.4937447,-0.0994218
88,-0.028048128,0.041548073,"('impulsive', 'meek')",0.65212315,0.82746065,0.3120375,0.4345044,0.1224669
61,0.010873556,0.118697524,"('rational', 'irrational')",-0.237695,0.38782167,-0.1134107,0.2532596,0.3666703
26,-0.009488754,-0.08220976,"('trustworthy', 'untrustworthy')",0.9253472,0.73056805,0.4579292,0.3241791,-0.1337501
23,-0.009398162,-0.17702138,"('hospitable', 'inhospitable')",0.48901135,0.81218666,0.2398066,0.3175826,0.077776
37,0.009288371,-0.07371998,"('good', 'evil')",0.7581702,1.0569893,0.3837293,0.4916347,0.1079054
