,Fortive_male,Fortive_female,tuple,average_male,average_female,female-male
98,-0.77560675,-0.50982344,"('prestigious', 'insignificant')",-0.7756067514419556,-0.5098234415054321,0.26578330993652344
52,0.77464825,0.8414407,"('competitive', 'uncompetitive')",0.7746482491493225,0.8414406776428223,0.06679242849349976
46,0.7712035,1.0176711,"('generous', 'stingy')",0.7712035179138184,1.0176711082458496,0.24646759033203125
50,0.72763264,0.5210105,"('unprejudiced', 'prejudiced')",0.7276326417922974,0.5210105180740356,-0.20662212371826172
24,-0.72497636,-0.69873226,"('thoughtful', 'rough')",-0.7249763607978821,-0.6987322568893433,0.02624410390853882
4,-0.72299165,-0.86478835,"('likable', 'unlikable')",-0.7229916453361511,-0.8647883534431458,-0.14179670810699463
43,-0.7229148,-0.69036776,"('genuine', 'fake')",-0.7229148149490356,-0.6903677582740784,0.032547056674957275
109,0.7126939,0.5261818,"('conservative', 'liberal')",0.7126939296722412,0.5261818170547485,-0.18651211261749268
108,0.7126939,0.5261818,"('conservative', 'liberal')",0.7126939296722412,0.5261818170547485,-0.18651211261749268
76,0.7124114,0.34418532,"('secure', 'insecure')",0.7124114036560059,0.34418532252311707,-0.3682260811328888
5,0.70335305,0.3813454,"('pleasant', 'repellent')",0.7033530473709106,0.38134539127349854,-0.3220076560974121
2,0.69698143,0.4228716,"('friendly', 'unfriendly')",0.6969814300537109,0.42287158966064453,-0.2741098403930664
68,-0.6964736,-0.8142893,"('clever', 'inept')",-0.6964735984802246,-0.8142892718315125,-0.11781567335128784
97,-0.668308,-0.5302147,"('superior', 'inferior')",-0.6683080196380615,-0.5302147269248962,0.13809329271316528
22,0.65394896,0.63021564,"('welcoming', 'disagreeable')",0.653948962688446,0.6302156448364258,-0.023733317852020264
28,-0.6532055,-0.6365544,"('honest', 'dishonest')",-0.6532055139541626,-0.6365544199943542,0.01665109395980835
9,0.6524903,0.40341192,"('sensitive', 'insensitive')",0.6524903178215027,0.4034119248390198,-0.2490783929824829
44,-0.64364976,-0.43530357,"('truthful', 'untruthful')",-0.6436497569084167,-0.43530356884002686,0.2083461880683899
47,-0.62578124,-0.6092864,"('forgiving', 'unforgiving')",-0.625781238079071,-0.6092864274978638,0.016494810581207275
92,-0.59787315,-0.30451262,"('unwavering', 'wavering')",-0.5978731513023376,-0.304512619972229,0.29336053133010864
86,0.5913539,0.5474696,"('self-reliant', 'helpless')",0.5913538932800293,0.5474696159362793,-0.04388427734375
41,-0.5883314,-0.09673202,"('incorrupt', 'corrupt')",-0.588331401348114,-0.09673202037811279,0.4915993809700012
89,0.56294155,0.10177464,"('daring', 'anxious')",0.5629415512084961,0.10177464038133621,-0.4611669108271599
26,-0.5552392,-0.52138203,"('trustworthy', 'untrustworthy')",-0.555239200592041,-0.5213820338249207,0.03385716676712036
65,-0.5548291,-0.8779697,"('practical', 'impractical')",-0.5548291206359863,-0.8779696822166443,-0.32314056158065796
70,0.5534307,0.9323019,"('wise', 'unwise')",0.5534306764602661,0.9323018789291382,0.37887120246887207
94,0.5376577,0.13753295,"('aggressive', 'submissive')",0.5376576781272888,0.13753294944763184,-0.400124728679657
61,-0.5208653,0.08091253,"('rational', 'irrational')",-0.5208653211593628,0.0809125304222107,0.6017778515815735
48,0.49387902,0.21476533,"('reliable', 'unreliable')",0.4938790202140808,0.21476532518863678,-0.27911369502544403
74,-0.49157977,-0.35582194,"('insightful', 'unperceptive')",-0.4915797710418701,-0.3558219373226166,0.13575783371925354
58,-0.48979172,-0.81634617,"('able', 'clumsy')",-0.48979172110557556,-0.8163461685180664,-0.32655444741249084
15,0.48025405,0.42946628,"('polite', 'impolite')",0.48025405406951904,0.42946627736091614,-0.050787776708602905
81,-0.43486124,-0.31659678,"('industrious', 'lazy')",-0.4348612427711487,-0.31659677624702454,0.11826446652412415
54,0.43168244,0.3623103,"('smart', 'stupid')",0.43168243765830994,0.3623102903366089,-0.06937214732170105
93,0.417783,0.3586132,"('dominating', 'dominated')",0.4177829921245575,0.35861319303512573,-0.05916979908943176
100,0.4176493,0.6918516,"('influential', 'uninfluential')",0.4176492989063263,0.6918516159057617,0.2742023169994354
79,-0.4010062,-0.512557,"('determined', 'doubtful')",-0.40100619196891785,-0.5125570297241211,-0.11155083775520325
101,0.40053844,0.4841827,"('successful', 'unsuccessful')",0.40053844451904297,0.4841826856136322,0.08364424109458923
77,0.3871015,0.68122065,"('active', 'inactive')",0.38710150122642517,0.6812206506729126,0.2941191494464874
35,-0.38032043,-0.24921346,"('fair', 'unfair')",-0.3803204298019409,-0.24921345710754395,0.13110697269439697
37,0.37049133,0.7862213,"('good', 'evil')",0.3704913258552551,0.7862213253974915,0.41572999954223633
17,-0.36708432,-0.071171224,"('social', 'antisocial')",-0.3670843243598938,-0.07117122411727905,0.29591310024261475
38,-0.36440998,-0.46593392,"('kind', 'unkind')",-0.3644099831581116,-0.4659339189529419,-0.10152393579483032
87,-0.34256682,-0.60107476,"('dedicated', 'undedicated')",-0.3425668179988861,-0.601074755191803,-0.25850793719291687
8,-0.33465528,0.116482675,"('open', 'distant')",-0.3346552848815918,0.116482675075531,0.4511379599571228
19,-0.33133537,-0.30308837,"('funny', 'boring')",-0.3313353657722473,-0.30308836698532104,0.02824699878692627
18,-0.3121825,-0.26289016,"('social', 'asocial')",-0.3121824860572815,-0.26289016008377075,0.04929232597351074
102,0.30344248,0.18518369,"('eminent', 'low')",0.30344247817993164,0.18518368899822235,-0.11825878918170929
21,0.29722008,0.34118375,"('nice', 'nasty')",0.2972200810909271,0.34118375182151794,0.04396367073059082
62,-0.28942347,0.01746108,"('creative', 'uncreative')",-0.28942346572875977,0.017461080104112625,0.3068845458328724
55,0.27969068,0.34500766,"('intelligent', 'unintelligent')",0.279690682888031,0.34500765800476074,0.06531697511672974
67,-0.276362,-0.20082882,"('discriminating', 'undiscriminating')",-0.27636200189590454,-0.20082882046699524,0.0755331814289093
32,-0.2692055,-0.39697558,"('benevolent', 'hardhearted')",-0.2692055106163025,-0.396975576877594,-0.1277700662612915
33,-0.26120853,-0.02704379,"('softhearted', 'hardhearted')",-0.26120853424072266,-0.027043789625167847,0.2341647446155548
42,-0.233428,0.40577015,"('amicable', 'hostile')",-0.2334280014038086,0.4057701528072357,0.6391981542110443
56,-0.2132155,-0.21187177,"('intelligent', 'dumb')",-0.21321550011634827,-0.21187177300453186,0.0013437271118164062
82,-0.19801417,0.024916917,"('industrious', 'meek')",-0.19801416993141174,0.024916917085647583,0.22293108701705933
57,-0.18698628,-0.1996739,"('able', 'unable')",-0.1869862824678421,-0.19967390596866608,-0.012687623500823975
110,-0.18668231,-0.44074112,"('narrow-minded', 'open-minded')",-0.1866823136806488,-0.4407411217689514,-0.2540588080883026
107,0.18263972,0.17309849,"('conventional', 'modern')",0.1826397180557251,0.17309848964214325,-0.009541228413581848
73,0.17288989,-0.23236203,"('brilliant', 'incompetent')",0.17288988828659058,-0.2323620319366455,-0.4052519202232361
51,0.16749433,0.093626484,"('competent', 'incompetent')",0.16749432682991028,0.0936264842748642,-0.07386784255504608
0,-0.15914112,0.119558126,"('sociable', 'unsociable')",-0.15914112329483032,0.11955812573432922,0.27869924902915955
36,-0.14851925,-0.45346534,"('tolerant', 'intolerant')",-0.14851924777030945,-0.4534653425216675,-0.30494609475135803
91,0.13226227,0.33634716,"('resilient', 'nonresilient')",0.13226227462291718,0.33634716272354126,0.20408488810062408
12,-0.11746006,-0.11792821,"('sympathetic', 'unsympathetic')",-0.11746005713939667,-0.11792820692062378,-0.0004681497812271118
25,0.11284286,-0.12842444,"('moral', 'immoral')",0.112842857837677,-0.12842443585395813,-0.24126729369163513
96,0.10884768,0.20246476,"('powerful', 'powerless')",0.10884767770767212,0.202464759349823,0.09361708164215088
85,0.096660614,0.06470159,"('ambitious', 'unambitious')",0.09666061401367188,0.06470158696174622,-0.03195902705192566
83,0.08308842,-0.19496611,"('energetic', 'lethargic')",0.08308842033147812,-0.19496610760688782,-0.27805452793836594
45,0.08119417,-0.2359093,"('cooperative', 'exploitative')",0.08119416981935501,-0.23590929806232452,-0.31710346788167953
64,-0.07443708,-0.2802881,"('clever', 'incompetent')",-0.07443708181381226,-0.28028810024261475,-0.2058510184288025
23,0.07272196,0.36749884,"('hospitable', 'inhospitable')",0.07272195816040039,0.36749884486198425,0.29477688670158386
30,-0.06901473,-0.114892766,"('honest', 'dishonest')",-0.06901472806930542,-0.11489276587963104,-0.04587803781032562
88,0.06875697,0.24760222,"('impulsive', 'meek')",0.06875696778297424,0.24760222434997559,0.17884525656700134
80,-0.060153395,0.01161246,"('independent', 'dependent')",-0.06015339493751526,0.011612460017204285,0.07176585495471954
49,-0.060086966,-0.4495653,"('responsible', 'irresponsible')",-0.060086965560913086,-0.4495652914047241,-0.38947832584381104
3,-0.051076606,-0.025748309,"('likable', 'unlikable')",-0.051076605916023254,-0.02574830874800682,0.025328297168016434
84,-0.04932022,0.23792095,"('self-confident', 'diffident')",-0.049320220947265625,0.23792095482349396,0.2872411757707596
7,0.029550478,0.26236308,"('outgoing', 'distant')",0.029550477862358093,0.262363076210022,0.23281259834766388
60,0.0015232414,0.09878081,"('educated', 'uneducated')",0.001523241400718689,0.0987808108329773,0.0972575694322586
