;Dictionary;term;term preproc;PoS;sense;Dir;Synset;Antonyms;Definition;Examples;Sentence_Check
21;Sociability;affectionate;affectionate;ADJECTIVE;1;high;affectionate.s.01;detached.s.05;having or displaying warmth or affection;affectionate children;True
22;Sociability;unaffectionate;unaffectionate;ADJECTIVE;1;low;detached.s.05;affectionate.s.01;lacking affection or warm feeling;an uncaring unaffectionate person;False
23;Sociability;distant;distant;ADJECTIVE;3;low;aloof.s.01;extroverted.s.02;remote in manner;they were distant even cool towards them;False
24;Sociability;unreserved;unreserved;ADJECTIVE;2;high;unreserved.a.02;reserved.a.02;not cautious or reticent;unreserved behavior;True
25;Sociability;open;open;ADJECTIVE;20;high;candid.s.03;aloof.s.01;openly straightforward and direct without reserve or secretiveness;they are pretty open and outgoing;False
26;Sociability;caring;caring;ADJECTIVE;1;high;caring.s.01;detached.s.05;feeling and exhibiting concern and empathy for others;caring friends;True
27;Sociability;uncaring;uncaring;ADJECTIVE;1;low;detached.s.05;caring.s.01;lacking affection or warm feeling;an uncaring person;True
28;Sociability;sympathetic;sympathetic;ADJECTIVE;2;high;sympathetic.a.02;unsympathetic.a.01;"expressing or feeling or resulting from sympathy or compassion or friendly fellow feelings; disposed toward";sympathetic to the students' cause;True
29;Sociability;sympathetic;sympathetic;ADJECTIVE;3;high;charitable.s.03;unkindly.s.01;showing or motivated by sympathy and understanding and generosity;sympathetic in their opinions of others;False
30;Sociability;sympathetic;sympathetic;ADJECTIVE;4;high;sympathetic.a.04;unsympathetic.a.02;(of characters in literature or drama) evoking empathic or sympathetic feelings;the sympathetic characters in the play;True
31;Sociability;unsympathetic;unsympathetic;ADJECTIVE;2;low;unsympathetic.a.02;sympathetic.a.04;(of characters in literature or drama) tending to evoke antipathetic feelings;all the characters were peculiarly unsympathetic;True
32;Sociability;unsympathetic;unsympathetic;ADJECTIVE;4;low;unkindly.s.01;charitable.s.03;lacking in sympathy and kindness;but their nature was cold unsympathetic and calculating;False
33;Sociability;helpful;helpful;ADJECTIVE;1;high;helpful.a.01;unhelpful.a.01;providing assistance or serving a useful function;people are friendly and helpful;True
34;Sociability;unhelpful;unhelpful;ADJECTIVE;1;low;unhelpful.a.01;helpful.a.01;providing no assistance;several complained that the staff were unhelpful;True
35;Sociability;understanding;understanding;ADJECTIVE;1;high;understanding.s.01;;characterized by understanding based on comprehension and discernment and empathy;an understanding friend;True
36;Sociability;supportive;supportive;ADJECTIVE;1;high;supportive.a.01;unsupportive.a.01;furnishing support or assistance;a supportive family network;True
37;Sociability;unsupportive;unsupportive;ADJECTIVE;1;low;unsupportive.a.01;supportive.a.01;not furnishing support or assistance;the family environment is unsupportive;True
38;Sociability;polite;polite;ADJECTIVE;1;high;polite.a.01;impolite.a.01;showing regard for others in manners, speech, behavior, etc.;they thought the person was wrong but were too polite to say so;True
39;Sociability;impolite;impolite;ADJECTIVE;1;low;impolite.a.01;polite.a.01;not polite;it would have been impolite to refuse;True
40;Sociability;aloof;aloof;ADJECTIVE;1;low;aloof.s.01;candid.s.03;remote in manner;stood apart with aloof dignity;True
41;Sociability;civil;civil;ADJECTIVE;2;high;civil.a.02;uncivil.a.01;"not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others; - W.S. Maugham";even if they didn't like them he should have been civil;True
42;Sociability;rude;rude;ADJECTIVE;1;low;ill-mannered.s.01;;socially incorrect in behavior;I'm sorry I was rude to you;False
43;Sociability;antisocial;antisocial;ADJECTIVE;1;low;antisocial.s.01;social.s.04;shunning contact with others;standoffish and antisocial;True
44;Sociability;antisocial;antisocial;ADJECTIVE;2;low;antisocial.s.02;social.s.05;hostile to or disruptive of normal standards of social behavior;criminal behavior or conduct that violates the rights of other individuals is antisocial;True
45;Sociability;social;social;ADJECTIVE;4;high;social.s.04;antisocial.s.01;composed of sociable people or formed for the purpose of sociability;a purely social club;True
46;Sociability;social;social;ADJECTIVE;5;high;social.s.05;antisocial.s.02;tending to move or live together in groups or colonies of the same kind;ants are social insects;True
47;Sociability;social;social;ADJECTIVE;6;high;social.s.06;asocial.s.01;marked by friendly companionship with others;a social cup of coffee;True
48;Sociability;unsocial;unsocial;ADJECTIVE;1;low;unsocial.a.01;social.a.02;"not seeking or given to association; being or living without companions";the unsocial disposition to neglect one's neighbors;True
49;Sociability;asocial;asocial;ADJECTIVE;1;low;asocial.s.01;social.s.06;given to avoiding association with others;bears are asocial secretive animals;True
50;Sociability;asocial;asocial;ADJECTIVE;2;low;antisocial.s.02;;hostile to or disruptive of normal standards of social behavior;criminal behavior or conduct that violates the rights of other individuals is asocial;False
51;Sociability;humorous;humorou;ADJECTIVE;1;high;humorous.a.01;humorless.a.01;full of or characterized by humor;humorous stories;True
52;Sociability;funny;funny;ADJECTIVE;1;high;amusing.s.02;boring.s.01;arousing or provoking laughter;an funny film with a steady stream of pranks and pratfalls;False
53;Sociability;boring;boring;ADJECTIVE;1;low;boring.s.01;amusing.s.02;so lacking in interest as to cause mental weariness;a boring evening with uninteresting people;True
54;Sociability;popular;popular;ADJECTIVE;1;high;popular.a.01;unpopular.a.01;regarded with great favor, approval, or affection especially by the general public;a popular tourist attraction;True
55;Sociability;unpopular;unpopular;ADJECTIVE;1;low;unpopular.a.01;popular.a.01;regarded with disfavor or lacking general approval;unpopular ideas;True
56;Sociability;nice;nice;ADJECTIVE;1;high;nice.a.01;nasty.a.01;pleasant or pleasing or agreeable in nature or appearance;what a nice fellow you are and we all thought you so nasty;True
57;Sociability;nasty;nasty;ADJECTIVE;1;low;nasty.a.01;nice.a.01;offensive or even (of persons) malicious;in a nasty mood;True
58;Sociability;sentimental;sentimental;ADJECTIVE;1;high;sentimental.s.01;;given to or marked by sentiment or sentimentality;they felt a sentimental attachment to the place creep over them;True
59;Sociability;forthcoming;forthcoming;ADJECTIVE;1;high;extroverted.s.02;;at ease in talking to others;the forthcoming cricket season;True
60;Sociability;tender;tender;ADJECTIVE;1;high;tender.a.01;tough.a.01;given to sympathy or gentleness or sentimentality;a tender heart;True
61;Sociability;tender;tender;ADJECTIVE;3;high;tender.s.03;;young and immature;at a tender age;True
62;Sociability;agreeable;agreeable;ADJECTIVE;1;high;agreeable.a.01;disagreeable.a.01;conforming to your own liking or feelings or nature;Is the plan agreeable to you?;True
63;Sociability;disagreeable;disagreeable;ADJECTIVE;2;low;disagreeable.s.02;welcoming.s.01;unpleasant to interact with;a disagreeable old person;True
64;Sociability;rough;rough;ADJECTIVE;2;low;rough.s.02;;(of persons or behavior) lacking refinement or finesse;the person was a diamond in the rough;True
65;Sociability;rough;rough;ADJECTIVE;7;low;pugnacious.s.02;;ready and able to resort to force or violence;pugnacious spirits...lamented that there was so little prospect of an exhilarating disturbance;False
66;Sociability;rough;rough;ADJECTIVE;13;low;harsh.s.01;;unpleasantly stern;wild and harsh country full of hot sand and cactus;False
67;Sociability;rough;rough;ADJECTIVE;14;low;harsh.s.04;thoughtful.s.05;unkind or cruel or uncivil;had rough and harsh words;False
68;Sociability;welcoming;welcoming;ADJECTIVE;1;high;welcoming.s.01;disagreeable.s.02;very cordial;a welcoming smile;True
69;Sociability;inhospitable;inhospitable;ADJECTIVE;2;low;inhospitable.a.02;hospitable.a.02;not hospitable;they are extremely inhospitable these days;True
70;Sociability;hospitable;hospitable;ADJECTIVE;2;high;hospitable.a.02;inhospitable.a.02;disposed to treat guests and strangers with cordiality and generosity;a good-natured and hospitable person;True
71;Sociability;thoughtful;thoughtful;ADJECTIVE;5;high;thoughtful.s.05;harsh.s.04;considerate of the feelings or well-being of others;brows drawn together in thoughtful consideration;True
72;Sociability;inconsiderate;inconsiderate;ADJECTIVE;1;low;inconsiderate.a.01;considerate.a.01;lacking regard for the rights or feelings of others;shockingly inconsiderate behavior;True
73;Sociability;timid;timid;ADJECTIVE;1;low;timid.a.01;bold.a.01;showing fear and lack of confidence;I was too timid to ask for what I wanted;True
74;Sociability;timid;timid;ADJECTIVE;2;low;diffident.a.02;confident.a.01;lacking self-confidence;stood in the doorway diffident and timid;False
75;Morality;moral;moral;ADJECTIVE;1;high;moral.a.01;immoral.a.01;concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles;moral sense;True
76;Morality;immoral;immoral;ADJECTIVE;1;low;immoral.a.01;moral.a.01;deliberately violating accepted principles of right and wrong;unseemly and immoral behaviour;True
77;Morality;immoral;immoral;ADJECTIVE;2;low;base.s.04;honest.s.02;not adhering to ethical or moral principles;base unpatriotic and immoral motives;False
78;Morality;trustworthy;trustworthy;ADJECTIVE;1;high;trustworthy.a.01;untrustworthy.a.01;worthy of trust or belief;a trustworthy report;True
79;Morality;untrustworthy;untrustworthy;ADJECTIVE;1;low;untrustworthy.a.01;trustworthy.a.01;not worthy of trust or belief;an untrustworthy person;True
80;Morality;sincere;sincere;ADJECTIVE;1;high;sincere.a.01;insincere.a.01;open and genuine, not deceitful;he was a good person, decent and sincere;True
81;Morality;insincere;insincere;ADJECTIVE;1;low;insincere.a.01;sincere.a.01;lacking sincerity;a charming but thoroughly insincere person;True
82;Morality;honest;honest;ADJECTIVE;1;high;honest.a.01;dishonest.a.01;"not disposed to cheat or defraud; not deceptive or fraudulent";honest lawyers;True
83;Morality;honest;honest;ADJECTIVE;2;high;honest.s.02;base.s.04;"without dissimulation; frank";my honest opinion;True
84;Morality;honest;honest;ADJECTIVE;3;high;dependable.s.02;corruptible.s.01;worthy of being depended on;a dependable and honest worker;False
85;Morality;dishonest;dishonest;ADJECTIVE;1;low;dishonest.a.01;honest.a.01;"deceptive or fraudulent; disposed to cheat or defraud or deceive";the person was a dishonest hypocrite prepared to exploit his family;True
86;Morality;dishonest;dishonest;ADJECTIVE;2;low;corruptible.s.01;dependable.s.02;capable of being corrupted;corruptible and dishonest judges;False
87;Morality;egoistic;egoistic;ADJECTIVE;1;low;egoistic.a.01;altruistic.a.01;limited to or caring only about yourself and your own needs;they are far too egoistic far too preoccupied with their own taste, which is resolutely hostile to any such utilitarian program;
88;Morality;altruistic;altruistic;ADJECTIVE;1;high;altruistic.a.01;egoistic.a.01;showing unselfish concern for the welfare of others;it was an entirely altruistic act;True
89;Morality;selfish;selfish;ADJECTIVE;1;low;selfish.a.01;unselfish.a.01;concerned chiefly or only with yourself and your advantage to the exclusion of others;selfish people trying to make capital for themselves out of the sacred cause of civil rights;False
90;Morality;selfless;selfles;ADJECTIVE;1;high;altruistic.a.01;egoistic.a.01;showing unselfish concern for the welfare of others;an act of selfless devotion;True
91;Morality;benevolent;benevolent;ADJECTIVE;1;high;benevolent.a.01;hardhearted.s.02;intending or showing kindness;a benevolent society;True
92;Morality;benevolent;benevolent;ADJECTIVE;2;high;charitable.s.03;pitiless.s.02;showing or motivated by sympathy and understanding and generosity;charitable and benevolent in their opinions of others;False
93;Morality;benevolent;benevolent;ADJECTIVE;3;high;benevolent.s.03;;generous in providing aid to others;the person was something of a benevolent despot;True
94;Morality;benevolent;benevolent;ADJECTIVE;4;high;beneficent.s.02;;generous in assistance to the poor;a benevolent contributor;True
95;Morality;hardhearted;hardhearted;ADJECTIVE;1;low;hardhearted.a.01;softhearted.a.01;lacking in feeling or pity or warmth;a cold hardhearted person without feelings;
96;Morality;hardhearted;hardhearted;ADJECTIVE;2;low;hardhearted.s.02;benevolent.a.01;devoid of feeling for others;an unfeeling and hardhearted wretch;False
97;Morality;softhearted;softhearted;ADJECTIVE;1;high;softhearted.a.01;hardhearted.a.01;easily moved to pity or sorrow;a softhearted judge;True
98;Morality;loyal;loyal;ADJECTIVE;1;high;loyal.a.01;disloyal.a.02;steadfast in allegiance or duty;loyal subjects;True
99;Morality;disloyal;disloyal;ADJECTIVE;2;low;disloyal.a.02;loyal.a.01;deserting your allegiance or duty to leader or cause or principle;disloyal aides revealed his indiscretions to the papers;True
100;Morality;fair;fair;ADJECTIVE;1;high;fair.a.01;unfair.a.01;"free from favoritism or self-interest or bias or deception; conforming with established standards or rules";a fair referee;True
101;Morality;unfair;unfair;ADJECTIVE;1;low;unfair.a.01;fair.a.01;"not fair; marked by injustice or partiality or deception";used unfair methods;True
102;Morality;tolerant;tolerant;ADJECTIVE;1;high;tolerant.a.01;intolerant.a.01;showing respect for the rights or opinions or practices of others;we must be tolerant of others;True
103;Morality;tolerant;tolerant;ADJECTIVE;2;high;kind.s.03;;tolerant and forgiving under provocation;our neighbor was very kind about the window our son broke;False
104;Morality;intolerant;intolerant;ADJECTIVE;1;low;intolerant.a.01;tolerant.a.01;unwilling to tolerate difference of opinion;as a society we are more intolerant of certain types of violence than we were in the past;True
105;Morality;good;good;ADJECTIVE;3;high;good.a.03;evil.a.01;morally admirable;it's good that the person is back to their old self;True
106;Morality;bad;bad;ADJECTIVE;1;low;bad.a.01;good.a.01;having undesirable or negative qualities;a bad report card;True
107;Morality;virtuous;virtuou;ADJECTIVE;1;high;virtuous.a.01;wicked.a.01;morally excellent;the person considered itself very virtuous because they neither drank nor smoked;True
108;Morality;kind;kind;ADJECTIVE;1;high;kind.a.01;unkind.a.01;"having or showing a tender and considerate and helpful nature; used especially of persons and their behavior";kind to sick patients;True
109;Morality;unkind;unkind;ADJECTIVE;1;low;unkind.a.01;kind.a.01;lacking kindness;a thoughtless and unkind remark;True
110;Morality;unkind;unkind;ADJECTIVE;2;low;pitiless.s.02;charitable.s.03;deficient in humane and kindly feelings;you were terribly unkind to them;True
111;Morality;right;right;ADJECTIVE;3;high;correct.s.02;;socially right or correct;it isn't right to leave the party without saying goodbye;True
112;Morality;right;right;ADJECTIVE;4;high;right.a.04;wrong.a.02;in conformance with justice or law or morality;do the right thing and confess;True
113;Morality;wrong;wrong;ADJECTIVE;2;low;wrong.a.02;right.a.04;contrary to conscience or morality or law;it is wrong for the rich to take advantage of the poor;True
114;Morality;mean;mean;ADJECTIVE;2;low;hateful.s.02;;characterized by malice;a hateful thing to do;False
115;Morality;mean;mean;ADJECTIVE;3;low;base.s.05;ethical.s.03;having or showing an ignoble lack of honor or morality;that liberal obedience without which your army would be a mean rabble;False
116;Morality;honorable;honorable;ADJECTIVE;1;high;honest.a.01;dishonest.a.01;"not disposed to cheat or defraud; not deceptive or fraudulent";you are the strongest, most honorable person I've ever known;False
117;Morality;honorable;honorable;ADJECTIVE;3;high;ethical.s.03;base.s.05;adhering to ethical and moral principles;it seems ethical, right and honorable;False
118;Morality;dishonorable;dishonorable;ADJECTIVE;1;low;dishonorable.a.01;honorable.a.02;"lacking honor or integrity; deserving dishonor";dishonorable in thought and deed;True
119;Morality;dishonorable;dishonorable;ADJECTIVE;2;low;dishonest.a.01;honest.a.01;"deceptive or fraudulent; disposed to cheat or defraud or deceive";there are several military discharge types which range from honorable to dishonorable;
120;Morality;corrupt;corrupt;ADJECTIVE;1;low;corrupt.a.01;incorrupt.a.01;lacking in integrity;the mayor was corrupt and stole from the city's budget;False
121;Morality;corrupt;corrupt;ADJECTIVE;2;low;crooked.a.02;straight.a.06;"not straight; dishonest or immoral or evasive";unscrupulous logging companies assisted by corrupt officials;True
122;Morality;incorrupt;incorrupt;ADJECTIVE;1;high;incorrupt.a.01;corrupt.a.01;free of corruption or immorality;a policeman who was incorrupt and incorruptible;True
123;Morality;criminal;criminal;ADJECTIVE;1;low;condemnable.s.01;;bringing or deserving severe rebuke or censure;a criminal waste of talent;True
124;Morality;criminal;criminal;ADJECTIVE;2;low;criminal.s.02;;guilty of crime or serious offense;criminal in the sight of God and man;True
125;Morality;criminal;criminal;ADJECTIVE;3;low;criminal.s.03;;involving or being or having the nature of a crime;a criminal offense;True
126;Morality;innocent;innocent;ADJECTIVE;1;high;innocent.a.01;guilty.a.01;free from evil or guilt;an innocent child;True
127;Morality;hostile;hostile;ADJECTIVE;1;low;hostile.a.01;amicable.a.01;characterized by enmity or ill will;a hostile nation;True
128;Morality;amicable;amicable;ADJECTIVE;1;high;amicable.a.01;hostile.a.01;characterized by friendship and good will;an amicable settlement of the dispute;True
129;Morality;fake;fake;ADJECTIVE;1;low;bogus.s.01;genuine.s.02;"fraudulent; having a misleading appearance";they got on the plane with a fake passport;True
130;Morality;genuine;genuine;ADJECTIVE;2;high;genuine.s.02;bogus.s.01;"not pretended; sincerely felt or expressed";genuine emotion;True
131;Morality;double-faced;doublefaced;ADJECTIVE;2;low;ambidextrous.s.02;;"marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another; - Israel Zangwill; ; - W.M.Thackeray";the person was a deceitful scheming little thing;False
132;Morality;cunning;cunning;ADJECTIVE;2;low;crafty.s.01;;marked by skill in deception;cunning men often pass for wise;True
133;Morality;humane;humane;ADJECTIVE;2;high;humane.a.02;inhumane.a.01;marked or motivated by concern with the alleviation of suffering;regulations ensuring the humane treatment of animals;True
134;Morality;vicious;viciou;ADJECTIVE;1;low;barbarous.s.01;;(of persons or their actions) able or disposed to inflict pain or suffering;a barbarous crime;False
135;Morality;vicious;viciou;ADJECTIVE;2;low;evil.s.02;;having the nature of vice;a vicious assault;True
136;Morality;vicious;viciou;ADJECTIVE;3;low;condemnable.s.01;;bringing or deserving severe rebuke or censure;a criminal waste of talent;False
137;Morality;scheming;scheming;ADJECTIVE;1;low;calculating.s.01;;used of persons;the most calculating and selfish person in the community;False
138;Morality;revengeful;revengeful;ADJECTIVE;1;low;revengeful.s.01;;disposed to seek revenge or intended for revenge;more vindictive than jealous love;False
139;Morality;treacherous;treacherou;ADJECTIVE;2;low;punic.s.02;;"tending to betray; especially having a treacherous character as attributed to the Carthaginians by the Romans";punic faith;False
140;Morality;faithful;faithful;ADJECTIVE;1;high;faithful.a.01;unfaithful.a.01;steadfast in affection or allegiance;years of faithful service;True
141;Morality;exploitative;exploitative;ADJECTIVE;1;low;exploitative.s.01;accommodative.s.02;tending to exploit or make use of;an exploitative form of labour;True
142;Morality;stingy;stingy;ADJECTIVE;1;low;stingy.a.01;generous.a.01;unwilling to spend;the person practices economy without being stingy;True
143;Morality;brutal;brutal;ADJECTIVE;1;low;barbarous.s.01;;(of persons or their actions) able or disposed to inflict pain or suffering;a barbarous crime;False
144;Morality;good-natured;goodnatured;ADJECTIVE;1;high;good-natured.a.01;ill-natured.a.01;having an easygoing and cheerful disposition;too good-natured to resent a little criticism;True
145;Morality;truthful;truthful;ADJECTIVE;1;high;truthful.a.01;untruthful.a.01;expressing or given to expressing the truth;to be just honest and truthful;False
146;Morality;untruthful;untruthful;ADJECTIVE;1;low;untruthful.a.01;truthful.a.01;not expressing or given to expressing the truth;the statement given under oath was untruthful;True
147;Morality;cooperative;cooperative;ADJECTIVE;3;high;accommodative.s.02;exploitative.s.01;willing to adjust to differences in order to obtain agreement;every member has clearly defined tasks in a cooperative enterprise;True
148;Morality;uncooperative;uncooperative;ADJECTIVE;1;low;uncooperative.a.01;cooperative.a.02;unwilling to cooperate;an uncooperative witness;True
149;Morality;lenient;lenient;ADJECTIVE;3;high;lenient.s.03;;characterized by tolerance and mercy;in the view of the Court the sentence was too lenient;True
150;Morality;generous;generou;ADJECTIVE;1;high;generous.a.01;stingy.a.01;willing to give and share unstintingly;a generous donation;True
151;Morality;forgiving;forgiving;ADJECTIVE;1;high;forgiving.a.01;unforgiving.a.01;inclined or able to forgive and show mercy;a kindly forgiving nature;True
152;Morality;compassionate;compassionate;ADJECTIVE;1;high;compassionate.a.01;uncompassionate.a.01;showing or having compassion;heard the soft and compassionate voices of them;True
153;Morality;unforgiving;unforgiving;ADJECTIVE;1;low;unforgiving.a.01;forgiving.a.01;unwilling or unable to forgive or show mercy;a surly unforgiving old person;True
154;Morality;resentful;resentful;ADJECTIVE;1;low;resentful.a.01;unresentful.a.01;full of or marked by resentment or indignant ill will;resentful at the way he was treated;True
155;Morality;reliable;reliable;ADJECTIVE;1;high;reliable.a.01;unreliable.a.02;worthy of reliance or trust;a reliable source of information;True
156;Morality;reliable;reliable;ADJECTIVE;2;high;dependable.s.02;;worthy of being depended on;a dependable worker;False
157;Morality;unreliable;unreliable;ADJECTIVE;2;low;unreliable.a.02;reliable.a.01;not worthy of reliance or trust;in the early 1950s computers were large and expensive and unreliable;True
158;Morality;irresponsible;irresponsible;ADJECTIVE;1;low;irresponsible.a.01;responsible.a.01;showing lack of care for consequences;behaved like an irresponsible idiot;True
159;Morality;responsible;responsible;ADJECTIVE;1;high;responsible.a.01;irresponsible.a.01;"worthy of or requiring responsibility or trust; or held accountable";a responsible adult;True
160;Morality;prejudiced;prejudiced;ADJECTIVE;2;low;prejudiced.a.02;unprejudiced.a.01;being biased or having a belief or attitude formed beforehand;a prejudiced judge;True
161;Morality;unprejudiced;unprejudiced;ADJECTIVE;1;high;unprejudiced.a.01;prejudiced.a.02;free from undue bias or preconceived opinions;an unprejudiced appraisal of the pros and cons;True
162;Morality;racist;racist;ADJECTIVE;1;low;racist.s.01;;based on racial intolerance;racist remarks;True
163;Morality;racist;racist;ADJECTIVE;2;low;racist.s.02;;discriminatory especially on the basis of race or religion;we are investigating complaints about racist abuse;True
164;Morality;sexist;sexist;ADJECTIVE;1;low;sexist.s.01;;discriminatory on the basis of sex (usually said of men's attitude toward women);old-fashioned sexist attitudes;True
165;Morality;homophobic;homophobic;ADJECTIVE;1;low;homophobic.s.01;;prejudiced against homosexual people;homophobic remarks;True
166;Morality;evil;evil;ADJECTIVE;1;low;evil.a.01;good.a.03;morally bad or wrong;evil purposes;True
167;Morality;evil;evil;ADJECTIVE;2;low;evil.s.02;;having the nature of vice;their evil deeds;True
168;Morality;evil;evil;ADJECTIVE;3;low;malefic.s.01;;having or exerting a malignant influence;malevolent stars;False
169;Morality;beneficent;beneficent;ADJECTIVE;1;high;beneficent.a.01;maleficent.a.01;doing or producing good;the most beneficent regime in history;True
170;Ability;competent;competent;ADJECTIVE;1;high;competent.a.01;incompetent.a.02;properly or sufficiently qualified or capable or efficient;a competent typist;True
171;Ability;incompetent;incompetent;ADJECTIVE;2;low;incompetent.a.02;competent.a.01;not qualified or suited for a purpose;an incompetent secret service;True
172;Ability;incompetent;incompetent;ADJECTIVE;3;low;bungling.s.01;clever.s.03;showing lack of skill or aptitude;a bungling and incompetent person making a mistake;False
173;Ability;incompetent;incompetent;ADJECTIVE;4;low;incompetent.s.04;brainy.s.01;not doing a good job;incompetent at chess;True
174;Ability;competitive;competitive;ADJECTIVE;3;high;competitive.s.03;uncompetitive.s.01;showing a fighting disposition;highly competitive sales representative;True
175;Ability;uncompetitive;uncompetitive;ADJECTIVE;1;low;uncompetitive.s.01;competitive.s.03;not inclined to compete;that would destroy jobs and make industry uncompetitive;True
176;Ability;smart;smart;ADJECTIVE;1;high;smart.a.01;stupid.a.01;showing mental alertness and calculation and resourcefulness;you look very smart;True
177;Ability;smart;smart;ADJECTIVE;3;high;bright.s.03;dazed.s.01;characterized by quickness and ease in learning;some children are more smart in one subject than another;False
178;Ability;bright;bright;ADJECTIVE;3;high;bright.s.03;ignorant.s.01;characterized by quickness and ease in learning;some children are more bright in one subject than another;False
179;Ability;intelligent;intelligent;ADJECTIVE;1;high;intelligent.a.01;unintelligent.a.01;having the capacity for thought and reason especially to a high degree;is there intelligent life in the universe?;True
180;Ability;intelligent;intelligent;ADJECTIVE;2;high;intelligent.s.02;dense.s.04;possessing sound knowledge;well-informed and intelligent readers;False
181;Ability;unintelligent;unintelligent;ADJECTIVE;1;low;unintelligent.a.01;intelligent.a.01;lacking intelligence;a dull job with lazy and unintelligent co-workers;True
182;Ability;stupid;stupid;ADJECTIVE;1;low;stupid.a.01;smart.a.01;lacking or marked by lack of intellectual acuity;I was stupid enough to think they were perfect;True
183;Ability;stupid;stupid;ADJECTIVE;2;low;dazed.s.01;bright.s.03;in a state of mental numbness especially as resulting from shock;They had a dazed and stupid expression on their face;False
184;Ability;stupid;stupid;ADJECTIVE;3;low;unintelligent.a.01;intelligent.a.01;lacking intelligence;a stupid dull job with lazy and unintelligent co-workers;False
185;Ability;ignorant;ignorant;ADJECTIVE;1;low;ignorant.s.01;bright.s.03;"uneducated in general; lacking knowledge or sophistication";an ignorant person;True
186;Ability;dumb;dumb;ADJECTIVE;1;low;dense.s.04;intelligent.s.02;"slow to learn or understand; lacking intellectual acuity";this person is so dumb they never understand anything I say to them;False
187;Ability;able;able;ADJECTIVE;1;high;able.a.01;unable.a.01;(usually followed by `to') having the necessary means or skill or know-how or authority to do something;able to swim;True
188;Ability;able;able;ADJECTIVE;2;high;able.s.02;gawky.s.01;have the skills and qualifications to do things well;able teachers;True
