permco;companyname;cleanedname
20350;BURLINGTON NORTHERN SANTA FE CP;burlington northern santa fe cp
;;
20626;EASTMAN KODAK CO;eastman kodak
;;
20964;ITT INC;i t t
;;
20258;CONSTELLATION ENERGY GROUP INC;constellation energy group
;;
20833;GOODRICH CORP;goodrich
;;
55296;KRAFT HEINZ CO;kraft heinz
;;
21375;PENNEY JC CO INC;penney j c
;;
20067;BEAM INC;beam
;;
21913;WESTROCK CO;westrock
;;
20060;HOWMET AEROSPACE INC;howmet aerospace
;;
21411;PITNEY BOWES INC;pitney bowes
;;
20253;BAKER HUGHES CO;baker hughes
;;
20606;DU PONT EI DE NEMOURS & CO;du pont e i de nemours
;;
21356;PG&E CORP;p g & e
;;
20834;GOODYEAR TIRE & RUBBER CO;goodyear tire & rubber
;;
56027;DUPONT DE NEMOURS INC;dupont de nemours
;;
21832;RAYTHEON TECHNOLOGIES CORP;raytheon technologies
;;
21492;RAYTHEON CO;raytheon
;;
21609;SHERWIN WILLIAMS CO;sherwin williams
;;
20543;CUMMINS INC;cummins
;;
20643;EMERSON ELECTRIC CO;emerson electric
;;
21576;SCHLUMBERGER LTD;schlumberger
;;
20240;AVON PRODUCTS INC;avon products
;;
20370;CSX CORP;c s x
;;
21189;MEREDITH CORP;meredith
;;
20463;CLOROX CO;clorox
;;
20798;GENERAL MILLS INC;general mills
;;
21686;SUNOCO INC;sunoco
;;
21286;NEWMONT CORP;newmont
;;
21177;MCDONALDS CORP;mcdonalds
;;
21102;LILLY ELI & CO;lilly eli
;;
20277;BAXTER INTERNATIONAL INC;baxter international
;;
20284;BECTON DICKINSON & CO;becton dickinson
;;
21711;RADIOSHACK CORP;radioshack
;;
21018;JOHNSON & JOHNSON;johnson & johnson
;;
20807;GENUINE PARTS CO;genuine parts
;;
20908;HP INC;h p
;;
21923;WILLIAMS COS;williams cos
;;
20268;BARD CR INC;bard c r
;;
20782;TEGNA INC;tegna
;;
20991;INTERNATIONAL FLAVORS & FRAG INC;international flavors & frag
;;
20306;BLACK & DECKER CORP;black & decker
;;
90;AMERICAN EXPRESS CO;american express
;;
20357;CIGNA CORP;cigna corp new
;;
20436;JPMORGAN CHASE & CO;jpmorgan chase
;;
33;MOLSON COORS BEVERAGE CO;molson coors beverage
;;
20587;DISNEY WALT CO;disney walt
;;
20608;DUKE ENERGY CORP;duke energy corp new
;;
20684;NEXTERA ENERGY INC;nextera energy
;;
21105;LINCOLN NATIONAL CORP;lincoln national
;;
3151;BANK OF AMERICA CORP;bank of america
;;
21305;WELLS FARGO & CO;wells fargo & co new
;;
900;CHUBB CORP;chubb
;;
41072;AETNA INC;aetna inc new
;;
20561;TARGET CORP;target
;;
2367;INTEL CORP;intel
;;
21261;NATIONAL SEMICONDUCTOR CORP;national semiconductor
;;
20413;CENTEX CORP;centex
;;
20292;BEMIS CO INC;bemis
;;
21743;TEXTRON INC;textron
;;
21722;ALLEGHENY TECHNOLOGIES;allegheny technologies
;;
21258;TENET HEALTHCARE CORP;tenet healthcare
;;
21849;VF CORP;v f
;;
21881;WALGREENS BOOTS ALLIANCE INC;walgreens boots alliance
;;
137;AMERICAN INTERNATIONAL GROUP INC;american international group
;;
41080;FLUOR CORP;fluor corp new
;;
1685;FEDEX CORP;fedex
;;
3487;PACCAR INC;paccar
;;
20235;AUTOMATIC DATA PROCESSING INC;automatic data processing
;;
20841;GRAINGER W W INC;grainger w w
;;
21161;MASCO CORP;masco
;;
20493;DXC TECHNOLOGY CO;d x c technology
;;
20207;ARCHER DANIELS MIDLAND CO;archer daniels midland
;;
21566;HILLSHIRE BRANDS CO;hillshire brands
;;
21168;MATTEL INC;mattel
;;
21190;MERRILL LYNCH & CO INC;merrill lynch
;;
21880;WALMART INC;walmart
;;
4162;SNAP ON INC;snap on
;;
21664;STANLEY BLACK & DECKER INC;stanley black & decker
;;
21527;ROHM & HAAS CO;rohm & haas
;;
20340;BROWN FORMAN CORP;brown forman
;;
7;APPLE INC;apple
;;
21322;OCCIDENTAL PETROLEUM CORP;occidental petroleum
;;
21541;RYDER SYSTEMS INC;ryder systems
;;
20495;CONAGRA BRANDS INC;conagra brands
;;
2664;BATH & BODY WORKS INC;bath & body works
;;
20288;VERIZON COMMUNICATIONS INC;verizon communications
;;
21645;AT&T INC;a t & t
;;
15545;QWEST COMMUNICATIONS INTL INC;qwest communications intl
;;
2709;LOWES COMPANIES INC;lowes companies
;;
21349;PULTE GROUP INC;pulte group
;;
20064;HESS CORP;hess
;;
211;ADVANCED MICRO DEVICES INC;advanced micro devices
;;
21110;LOCKHEED MARTIN CORP;lockheed martin
;;
20594;DONNELLEY RR & SONS CO;donnelley r r & sons
;;
20887;HASBRO INC;hasbro
;;
20257;BALL CORP;ball
;;
21280;NEW YORK TIMES CO;new york times
;;
21692;SUPERVALU INC;supervalu
;;
21532;ROWAN COMPANIES PLC;rowan companies
;;
20030;AIR PRODUCTS & CHEMICALS INC;air products & chemicals
;;
21308;NUCOR CORP;nucor
;;
20616;PERKINELMER INC;perkinelmer
;;
21303;NORTHROP GRUMMAN CORP;northrop grumman
;;
20939;CENTERPOINT ENERGY INC;centerpoint energy
;;
21949;TJX COMPANIES INC;t j x companies inc new
;;
20596;DOVER CORP;dover
;;
21367;PARKER HANNIFIN CORP;parker hannifin
;;
20968;ILLINOIS TOOL WORKS INC;illinois tool works
;;
21791;JOHNSON CONTROLS INTL PLC;johnson controls intl
;;
1892;GAP INC;gap
;;
3217;NORDSTROM INC;nordstrom
;;
2850;MEDTRONIC PLC;medtronic
;;
20309;BLOCK H & R INC;block h & r
;;
21698;SYSCO CORP;sysco
;;
21796;UST INC;u s t
;;
5220;CA TECHNOLOGIES INC;c a
;;
21158;MARSH & MCLENNAN COS INC;marsh & mclennan cos
;;
20238;AVERY DENNISON CORP;avery dennison
;;
21360;PALL CORP;pall
;;
5085;HOME DEPOT INC;home depot
;;
3685;PNC FINANCIAL SERVICES GRP INC;p n c financial services grp
;;
20483;CITIGROUP INC;citigroup
;;
21691;SUNTRUST BANKS INC;suntrust banks
;;
2925;MILLIPORE CORP;millipore
;;
3194;NIKE INC;nike
;;
1467;ECOLAB INC;ecolab
;;
1869;WACHOVIA CORP;wachovia corp 2nd new
;;
21037;KB HOME;k b home
;;
3178;NEWELL BRANDS INC;newell brands
;;
21764;GLOBE LIFE INC;globe life
;;
54473;SPRINT CORP;sprint corp new
;;
8045;ORACLE CORP;oracle
;;
21293;NICOR INC;nicor
;;
20397;PROGRESS ENERGY INC;progress energy
;;
4278;ST JUDE MEDICAL INC;st jude medical
;;
7623;AUTODESK INC;autodesk
;;
21795;MARATHON OIL CORP;marathon oil
;;
29028;UNITED STATES STEEL CORP;united states steel corp new
;;
21808;AMEREN CORP;ameren
;;
7383;NOVELL INC;novell
;;
216;AMGEN INC;amgen
;;
22092;ALLERGAN INC;allergan
;;
56540;LINDE PLC;linde
;;
8021;SUN MICROSYSTEMS INC;sun microsystems
;;
20997;INTERPUBLIC GROUP COS INC;interpublic group cos
;;
7882;COSTCO WHOLESALE CORP;costco wholesale corp new
;;
10486;CISCO SYSTEMS INC;cisco systems
;;
30070;EASTMAN CHEMICAL CO;eastman chemical
;;
2535;KEYCORP;keycorp new
;;
21798;UNUM GROUP;unum group
;;
8048;MICROSOFT CORP;microsoft
;;
4181;SOUTHWEST AIRLINES CO;southwest airlines
;;
7267;UNITEDHEALTH GROUP INC;unitedhealth group
;;
21866;PARAMOUNT GLOBAL;paramount global
;;
4108;SIGMA ALDRICH CORP;sigma aldrich
;;
7065;MICRON TECHNOLOGY INC;micron technology
;;
3157;NATIONAL CITY CORP;national city
;;
29489;BOSTON SCIENTIFIC CORP;boston scientific
;;
194;APPLIED MATERIALS INC;applied materials
;;
20265;BANK OF NEW YORK MELLON CORP;bank of new york mellon
;;
21111;LOEWS CORP;loews
;;
30886;DARDEN RESTAURANTS INC;darden restaurants
;;
4467;TELLABS INC;tellabs
;;
29870;ALLSTATE CORP;allstate
;;
20763;FREEPORT MCMORAN INC;freeport mcmoran
;;
21224;MORGAN STANLEY DEAN WITTER & CO;morgan stanley dean witter
;;
22856;MACYS INC;macys
;;
21376;PPL CORP;p p l
;;
1261;COMERICA INC;comerica
;;
20950;HUMANA INC;humana
;;
5995;LSI CORP;l s i corp new
;;
31386;HARTFORD FINANCIAL SVCS GRP INC;hartford financial svcs grp
;;
1741;FIFTH THIRD BANCORP;fifth third bancorp
;;
8093;EMC CORP MA;e m c corp ma
;;
20203;AON PLC;aon plc new
;;
55676;DELL TECHNOLOGIES INC;dell technologies
;;
54806;IMS HEALTH HOLDINGS INC;i m s health holdings
;;
21128;MBIA INC;m b i a
;;
4557;THERMO FISHER SCIENTIFIC INC;thermo fisher scientific
;;
29009;AUTOZONE INC;autozone
;;
8476;ADOBE INC;adobe
;;
6262;CARDINAL HEALTH INC;cardinal health
;;
21578;SCHWAB CHARLES CORP;schwab charles corp new
;;
20659;EQUIFAX INC;equifax
;;
20204;APA CORP;a p a
;;
20194;ANADARKO PETROLEUM CORP;anadarko petroleum
;;
3682;PROGRESSIVE CORP OH;progressive corp oh
;;
2093;HUNTINGTON BANCSHARES INC;huntington bancshares
;;
4260;STATE STREET CORP;state street
;;
2551;KLA CORP;k l a
;;
32093;YUM BRANDS INC;yum brands
;;
4163;TRUIST FINANCIAL CORP;truist financial
;;
912;CINCINNATI FINANCIAL CORP;cincinnati financial
;;
1367;OMNICOM GROUP INC;omnicom group
;;
20505;BIG LOTS INC;big lots
;;
3275;NORTHERN TRUST CORP;northern trust
;;
34702;SEALED AIR CORP;sealed air corp new
;;
6407;FRANKLIN RESOURCES INC;franklin resources
;;
30005;MARRIOTT INTERNATIONAL INC;marriott international inc new
;;
30513;CAPITAL ONE FINANCIAL CORP;capital one financial
;;
54824;NAVIENT CORP;navient
;;
9804;WASTE MANAGEMENT INC DEL;waste management inc del
;;
29494;KOHLS CORP;kohls
;;
1620;REGIONS FINANCIAL CORP;regions financial corp new
;;
6333;PAYCHEX INC;paychex
;;
9905;BMC SOFTWARE INC;b m c software
;;
10996;AES CORP;a e s
;;
10171;STAPLES INC;staples
;;
55559;COCA COLA EUROPACIFIC PARTNERS;coca cola europacific partners
;;
22765;SAFEWAY INC;safeway
;;
20557;DANAHER CORP;danaher
;;
56248;CARNIVAL PLC;carnival
;;
1645;US BANCORP DEL;u s bancorp del
;;
11860;COMPUWARE CORP;compuware
;;
11412;TIME WARNER INC;time warner inc new
;;
30521;MCKESSON INC;mckesson h b o c
;;
20421;LUMEN TECHOLOGIES INC;lumen techologies
;;
11965;ALLERGAN PLC;allergan
;;
20361;CMS ENERGY CORP;c m s energy
;;
92;AFLAC INC;aflac
;;
9798;ODP CORP;o d p
;;
14152;NETAPP INC;netapp
;;
7506;BEST BUY COMPANY INC;best buy
;;
21876;VULCAN MATERIALS CO;vulcan materials
;;
11253;QUALCOMM INC;qualcomm
;;
31197;LEXMARK INTERNATIONAL INC;lexmark international inc new
;;
11558;BED BATH & BEYOND INC;bed bath & beyond
;;
21409;PINNACLE WEST CAPITAL CORP;pinnacle west capital
;;
282;ANALOG DEVICES INC;analog devices
;;
8087;T ROWE PRICE GROUP INC;t rowe price group
;;
2636;LEGGETT & PLATT INC;leggett & platt
;;
22983;EL PASO CORP;el paso
;;
36357;PACTIV CORP;pactiv
;;
10634;XILINX INC;xilinx
;;
21731;TERADYNE INC;teradyne
;;
14201;CITRIX SYSTEMS INC;citrix systems
;;
2991;MOLEX INC;molex
;;
55964;ALTABA INC;altaba
;;
20881;HARLEY DAVIDSON INC;harley davidson
;;
8220;LINEAR TECHNOLOGY CORP;linear technology
;;
9735;ALTERA CORP;altera
;;
36364;AGILENT TECHNOLOGIES INC;agilent technologies
;;
11592;STARBUCKS CORP;starbucks
;;
34849;CONVERGYS CORP;convergys
;;
9903;NOVELLUS SYSTEMS INC;novellus systems
;;
21753;TIFFANY & CO;tiffany & co new
;;
16056;BROADCOM CORP;broadcom
;;
37678;JANUS CAP GROUP INC;janus cap group
;;
12583;VIAVI SOLUTIONS INC;viavi solutions
;;
35222;DEVON ENERGY CORP;devon energy corp new
;;
20610;MOODYS CORP;moodys
;;
30882;DYNEGY INC;dynegy inc new del
;;
16179;KING PHARMACEUTICALS INC;king pharmaceuticals
;;
20201;NABORS INDUSTRIES LTD;nabors industries
;;
21244;NISOURCE INC;nisource
;;
22113;EOG RESOURCES INC;eog resources
;;
20935;STARWOOD HOTELS & REST WLDWD INC;starwood hotels & rest wldwd
;;
20753;FOREST LABS INC;forest labs
;;
469;ROBERT HALF INTERNATIONAL INC;robert half international
;;
12011;INTUIT INC;intuit
;;
37138;METLIFE INC;metlife
;;
20045;ALLEGHENY ENERGY INC;allegheny energy
;;
4298;STRYKER CORP;stryker
;;
12884;QLOGIC CORP;qlogic
;;
58352;NOBLE CORP;noble
;;
12108;JABIL INC;jabil
;;
58293;FRONTIER COMMUNICATIONS PRINT;frontier communications print
;;
6304;CINTAS CORP;cintas
;;
8598;FISERV INC;fiserv
;;
35014;PEPSI BOTTLING GROUP INC;pepsi bottling group
;;
15229;MONSTER WORLDWIDE INC;monster worldwide
;;
5057;ZIONS BANCORPORATION N A;zions bancorporation n a
;;
41688;ROCKWELL COLLINS INC;rockwell collins
;;
20690;FAMILY DOLLAR STORES INC;family dollar stores
;;
41870;ZIMMER BIOMET HOLDINGS INC;zimmer biomet holdings
;;
13650;AMERISOURCEBERGEN CORP;amerisourcebergen
;;
15321;CIENA CORP;ciena
;;
5132;INTERNATIONAL GAME TECHNOLOGY;international game technology
;;
34859;XL GROUP LTD;x l group
;;
21700;TECO ENERGY INC;t e c o energy
;;
16382;NVIDIA CORP;nvidia
;;
29940;EQUITY RESIDENTIAL;equity residential
;;
8243;GENZYME CORP;genzyme
;;
29019;JONES GROUP INC;jones group
;;
31208;WATERS CORP;waters
;;
22076;PLUM CREEK TIMBER CO INC;plum creek timber
;;
3042;MARSHALL & ILSLEY CORP;marshall & ilsley corp new
;;
1856;FIRST HORIZON CORP;first horizon
;;
26090;BJ SERVICES CO;b j services
;;
13457;APOLLO EDUCATION GROUP INC;apollo education group
;;
30086;SIMON PROPERTY GROUP INC;simon property group inc new
;;
36383;UNITED PARCEL SERVICE INC;united parcel service
;;
10303;ELECTRONIC ARTS INC;electronic arts
;;
16285;EBAY INC;ebay
;;
35048;GOLDMAN SACHS GROUP INC;goldman sachs group
;;
42524;PRUDENTIAL FINANCIAL INC;prudential financial
;;
42285;PRINCIPAL FINANCIAL GROUP INC;principal financial group
;;
42273;ANTHEM INC;anthem
;;
40148;MONSANTO CO;monsanto co new
;;
4293;TRAVELERS COMPANIES INC;travelers companies
;;
35164;REYNOLDS AMERICAN INC;reynolds american
;;
43613;COMCAST CORP;comcast corp new
;;
31838;QUEST DIAGNOSTICS INC;quest diagnostics
;;
10594;AUTONATION INC DEL;autonation inc del
;;
30438;APARTMENT INVESTMENT & MGMT CO;apartment investment & mgmt
;;
2801;MCCORMICK & CO INC;mccormick
;;
10224;NORTONLIFELOCK INC;nortonlifelock
;;
34765;FEDERATED HERMES INC;federated hermes
;;
32135;PROLOGIS INC;prologis
;;
44277;MEDCO HEALTH SOLUTIONS INC;medco health solutions
;;
11569;EXPRESS SCRIPTS HOLDING CO;express scripts holding
;;
11112;BIOGEN INC;biogen
;;
1689;M&T BANK CORP;m & t bank
;;
14915;E TRADE FINANCIAL CORP;e trade financial
;;
13331;AFFILIATED COMPUTER SERVICES INC;affiliated computer services
;;
57529;VIATRIS INC;viatris
;;
32066;VALERO ENERGY CORP;valero energy corp new
;;
45068;HOSPIRA INC;hospira
;;
11300;GILEAD SCIENCES INC;gilead sciences
;;
8470;SOVEREIGN BANCORP INC;sovereign bancorp
;;
40143;TAPESTRY INC;tapestry
;;
43340;CIT GROUP INC;c i t group inc new
;;
9848;LABORATORY CORP AMERICA HLDGS;laboratory corp america hldgs
;;
34746;L3 TECHNOLOGIES INC;l 3 technologies
;;
21287;TWENTY FIRST CENTURY FOX INC;twenty first century fox
;;
29842;XTO ENERGY INC;x t o energy
;;
31769;NOV INC;n o v
;;
44118;SEARS HOLDINGS CORP;sears holdings
;;
1015;CONSTELLATION BRANDS INC;constellation brands
;;
11559;DR HORTON INC;d r horton
;;
1543;WEATHERFORD INTERNATIONAL PLC;weatherford international
;;
4620;TYSON FOODS INC;tyson foods
;;
21874;VORNADO REALTY TRUST;vornado realty trust
;;
21236;MURPHY OIL CORP;murphy oil
;;
4289;PUBLIC STORAGE;public storage
;;
10891;COVENTRY HEALTH CARE INC;coventry health care
;;
47422;AMERIPRISE FINANCIAL INC;ameriprise financial
;;
21095;LENNAR CORP;lennar
;;
11778;PATTERSON COMPANIES INC;patterson companies
;;
15473;AMAZON COM INC;amazon com
;;
45174;GENWORTH FINANCIAL INC;genworth financial
;;
11310;WHOLE FOODS MARKET INC;whole foods market
;;
50032;VIACOM INC;viacom inc new
;;
31196;LAUDER ESTEE COS INC;lauder estee cos
;;
15940;VERISIGN INC;verisign
;;
8741;HARMAN INTL INDS INC;harman intl inds inc new
;;
11937;CHESAPEAKE ENERGY CORP;chesapeake energy
;;
29335;KIMCO REALTY CORP;kimco realty
;;
31991;BOSTON PROPERTIES INC;boston properties
;;
45483;ALPHABET INC;alphabet
;;
14527;DEAN FOODS CO;dean foods co new
;;
14105;SANDISK CORP;sandisk
;;
21092;LEGG MASON INC;legg mason
;;
50697;EMBARQ CORP;embarq
;;
16614;JUNIPER NETWORKS INC;juniper networks
;;
35026;CNX RESOURCES CORP;c n x resources
;;
50964;WINDSTREAM HOLDINGS INC;windstream holdings
;;
50965;TRAVEL & LEISURE CO;travel & leisure
;;
43791;CME GROUP INC;c m e group
;;
51196;WESTERN UNION CO;western union
;;
21627;SMITH INTERNATIONAL INC;smith international
;;
9374;CELGENE CORP;celgene
;;
41673;FIDELITY NATIONAL INFO SVCS INC;fidelity national info svcs
;;
45270;CBRE GROUP INC;c b r e group
;;
16167;COGNIZANT TECHNOLOGY SOLS CORP;cognizant technology sols
;;
55925;PEABODY ENERGY CORP;peabody energy corp new
;;
21476;QUESTAR CORP;questar
;;
44708;DIRECTV;directv
;;
51539;SPECTRA ENERGY CORP;spectra energy
;;
58272;VALARIS LTD;valaris
;;
30345;AVALONBAY COMMUNITIES INC;avalonbay communities
;;
32009;RALPH LAUREN CORP;ralph lauren
;;
21859;VARIAN MEDICAL SYSTEMS INC;varian medical systems
;;
16646;HUDSON CITY BANCORP INC;hudson city bancorp
;;
21932;INTEGRYS ENERGY GROUP INC;integrys energy group
;;
15758;CH ROBINSON WORLDWIDE INC;ch robinson worldwide
;;
21157;HOST HOTELS & RESORTS INC;host hotels & resorts
;;
29753;SITE CENTERS CORP;site centers
;;
22200;ABERCROMBIE & FITCH CO;abercrombie & fitch
;;
41680;MONDELEZ INTERNATIONAL INC;mondelez international
;;
44893;ASSURANT INC;assurant
;;
30922;SUNEDISON INC;sunedison
;;
3499;PRECISION CASTPARTS CORP;precision castparts
;;
52396;DISCOVER FINANCIAL SERVICES;discover financial services
;;
52417;COVIDIEN PLC;covidien
;;
52418;TE CONNECTIVITY LTD;t e connectivity
;;
15674;AMERICAN CAPITAL LTD;american capital
;;
17300;AKAMAI TECHNOLOGIES INC;akamai technologies
;;
21097;JEFFERIES FINANCIAL GROUP INC;jefferies financial group
;;
12027;MICROCHIP TECHNOLOGY INC;microchip technology
;;
48793;INTERCONTINENTALEXCHANGE GRP INC;intercontinentalexchange grp
;;
21732;ANDEAVOR;andeavor
;;
52762;TERADATA CORP DE;teradata corp de
;;
47013;EXPEDIA GROUP INC;expedia group
;;
3219;NOBLE ENERGY INC;noble energy
;;
7232;EXPEDITORS INTERNATIONAL WA INC;expeditors international wa
;;
50474;NYSE EURONEXT;n y s e euronext
;;
21011;JACOBS ENGINEERING GROUP INC;jacobs engineering group
;;
14691;TITANIUM METALS CORP;titanium metals
;;
21432;PEPCO HOLDINGS INC;pepco holdings
;;
2767;MANITOWOC CO INC;manitowoc
;;
34770;AMERICAN TOWER CORP;american tower corp new
;;
42775;GAMESTOP CORP;gamestop corp new
;;
2706;RANGE RESOURCES CORP;range resources
;;
21888;GRAHAM HOLDINGS CO;graham holdings
;;
6278;TOTAL SYSTEM SERVICES INC;total system services
;;
13833;CAMERON INTERNATIONAL CORP;cameron international
;;
52978;PHILIP MORRIS INTERNATIONAL INC;philip morris international
;;
20891;HEALTHPEAK PROPERTIES INC;healthpeak properties
;;
37727;INTUITIVE SURGICAL INC;intuitive surgical
;;
4338;SOUTHWESTERN ENERGY CO;southwestern energy
;;
56249;LORILLARD INC;lorillard
;;
26024;COTERRA ENERGY INC;coterra energy
;;
20745;MASSEY ENERGY CO;massey energy
;;
12961;AK STEEL HOLDING CORP;a k steel holding
;;
53039;SCRIPPS NETWORKS INTERACTIVE INC;scripps networks interactive
;;
50700;MASTERCARD INC;mastercard
;;
30975;DAVITA INC;davita
;;
30929;INVESCO LTD;invesco
;;
47183;CF INDUSTRIES HOLDINGS INC;c f industries holdings
;;
9440;FASTENAL COMPANY;fastenal
;;
45288;SALESFORCE COM INC;salesforce com
;;
20883;L3HARRIS TECHNOLOGIES INC;l3harris technologies
;;
21366;PIONEER NATURAL RESOURCES CO;pioneer natural resources
;;
31967;AMPHENOL CORP;amphenol corp new
;;
1425;FLOWSERVE CORP;flowserve
;;
52990;DR PEPPER SNAPPLE GROUP INC;dr pepper snapple group
;;
46282;NASDAQ INC;nasdaq
;;
21931;WEC ENERGY GROUP INC;w e c energy group
;;
21629;SMUCKER J M CO;smucker j m
;;
9847;PEOPLES UNITED FINANCIAL INC;peoples united financial
;;
9424;DENTSPLY SIRONA INC;dentsply sirona
;;
43620;WYNN RESORTS LTD;wynn resorts
;;
10902;CEPHALON INC;cephalon
;;
14927;STERICYCLE INC;stericycle
;;
16425;LIFE TECHNOLOGIES CORP;life technologies
;;
57135;DUN & BRADSTREET HOLDINGS INC;dun & bradstreet holdings
;;
34838;REPUBLIC SERVICES INC;republic services
;;
20662;EQT CORP;e q t
;;
11735;MCAFEE INC;mcafee
;;
12214;FLIR SYSTEMS INC;flir systems
;;
22462;OI GLASS INC;o i glass
;;
21570;SCANA CORP;scana corp new
;;
14330;IRON MOUNTAIN INC;iron mountain inc new
;;
2105;WELLTOWER INC;welltower
;;
30963;DIAMOND OFFSHORE DRILLING INC;diamond offshore drilling
;;
20932;HORMEL FOODS CORP;hormel foods
;;
10302;VENTAS INC;ventas
;;
21299;EVERSOURCE ENERGY;eversource energy
;;
12097;O REILLY AUTOMOTIVE INC;o reilly automotive inc new
;;
51978;TIME WARNER CABLE INC;time warner cable
;;
13960;DENBURY INC;denbury
;;
41678;FMC TECHNOLOGIES INC;f m c technologies
;;
10992;ADTALEM GLOBAL EDUCATION INC;adtalem global education
;;
52120;T MOBILE U S INC;t mobile u s
;;
4879;WESTERN DIGITAL CORP;western digital
;;
34660;QUANTA SERVICES INC;quanta services
;;
16753;RED HAT INC;red hat
;;
20681;FMC CORP;f m c
;;
53189;CAREFUSION CORP;carefusion
;;
20033;AIRGAS INC;airgas
;;
51447;FIRST SOLAR INC;first solar
;;
16454;BOOKING HOLDINGS INC;booking holdings
;;
7684;ROSS STORES INC;ross stores
;;
52983;VISA INC;visa
;;
51338;LEIDOS HOLDINGS INC;leidos holdings
;;
20462;CLEVELAND CLIFFS INC;cleveland cliffs inc new
;;
53121;MEAD JOHNSON NUTRITION CO;mead johnson nutrition
;;
11344;ROPER TECHNOLOGIES INC;roper technologies
;;
37496;NRG ENERGY INC;n r g energy
;;
12546;URBAN OUTFITTERS INC;urban outfitters
;;
540;BERKSHIRE HATHAWAY INC DEL;berkshire hathaway inc del
;;
20902;HELMERICH & PAYNE INC;helmerich & payne
;;
47011;DISCOVERY INC;discovery
;;
21332;ONEOK INC;oneok inc new
;;
8786;CERNER CORP;cerner
;;
43519;CARMAX INC;carmax
;;
53439;Q E P RESOURCES INC;q e p resources
;;
29796;CHUBB LTD;chubb
;;
16561;F5 INC;f 5
;;
43145;NETFLIX INC;netflix
;;
55965;ALTICE USA INC;altice usa
;;
30044;NEWFIELD EXPLORATION CO;newfield exploration
;;
53616;MOTOROLA MOBILITY HOLDINGS INC;motorola mobility holdings
;;
41977;JOY GLOBAL INC;joy global
;;
36952;EDWARDS LIFESCIENCES CORP;edwards lifesciences
;;
36336;BLACKROCK INC;blackrock
;;
50184;CHIPOTLE MEXICAN GRILL INC;chipotle mexican grill
;;
46145;ALPHA NATURAL RESOURCES INC;alpha natural resources
;;
53810;MARATHON PETROLEUM CORP;marathon petroleum
;;
41871;ACCENTURE PLC IRELAND;accenture plc ireland
;;
45695;MOSAIC COMPANY;mosaic company new
;;
53896;XYLEM INC;xylem
;;
116;AGL RESOURCES INC;a g l resources
;;
11257;PERRIGO CO PLC;perrigo
;;
29936;BORGWARNER INC;borgwarner
;;
