,permco,companyname,cleanedname,number_words,Examples,Articles,Correct Article,Article_Name,Accuracy Method 1,Accuracy Method 2,Accuracy Method 3,Accuracy Method 4
82,21189,MEREDITH CORP,meredith,1,10,"['Meredith', 'Burgess Meredith', 'Meredith Grey', 'Meredith Baxter', 'Dotdash Meredith', 'Meredith Hagner', 'Meredith Salenger', 'Meredith Vieira', 'Meredith baronets', 'Meredith MacRae']",0,Meredith,0.0,0.0,0.0,0.0
83,20463,CLOROX CO,clorox,1,10,"['Clorox', 'Clorox Building', 'Ranch dressing', ""Burt's Bees"", 'Benno Dorer', 'Nick Vlahos', 'Fear, uncertainty, and doubt', 'Pine-Sol', 'List of cleaning products', 'Kingsford (charcoal)']",0,Clorox,1.0,1.0,1.0,1.0
85,21686,SUNOCO INC,sunoco,1,10,"['Sunoco', 'Suncor Energy', 'William Byron (racing driver)', 'Energy Transfer Partners', 'Seven & I Holdings', 'Stripes Convenience Stores', 'CRA Super Series', 'List of gas station chains in North America', '2023 NASCAR Xfinity Series', '24 Hours of Daytona']",0,Sunoco,1.0,1.0,1.0,1.0
86,21286,NEWMONT CORP,newmont,1,10,"['Newmont', 'Boddington gold mine', 'Newmont Nusa Tenggara', 'Barrick Gold', 'Franco-Nevada', 'Pueblo Viejo mine', 'Sumbawa', 'Navoi Mining and Metallurgy Combinat', 'Largest gold companies', 'The Granites gold mine']",0,Newmont,0.6666666666666666,0.2222222222222222,0.9444444444444444,0.1111111111111111
87,21177,MCDONALDS CORP,mcdonalds,1,10,"[""McDonald's"", ""List of countries with McDonald's restaurants"", 'Gregory Mcdonald', ""McDonald's Monopoly"", ""Liebeck v. McDonald's Restaurants"", ""McDonald's massacre"", 'Hamburger University', 'Kelly Macdonald', ""List of McDonald's products"", 'Ronald McDonald']",0,McDonald's,NaN,NaN,NaN,NaN
91,21711,RADIOSHACK CORP,radioshack,1,10,"['RadioShack', 'Team RadioShack', ""Trek–Segafredo (men's team)"", 'Coaxial power connector', 'Tandy Corporation', 'Hulk Hogan', 'Standard General', 'Nick Cannon', 'Cassette tape', 'The Source (retailer)']",0,RadioShack,1.0,1.0,1.0,1.0
97,20782,TEGNA INC,tegna,1,10,"['Tegna Inc.', 'Tegna', 'Quest (American TV network)', 'T. D. Jakes', 'Standard General', 'Tegna, Switzerland', 'KING-TV', 'Gannett', 'WTSP', 'Cars.com']",0,Tegna Inc.,0.05555555555555555,0.3888888888888889,0.0,0.0
110,900,CHUBB CORP,chubb,1,10,"['Nick Chubb', 'Chubb', 'Bradley Chubb', 'The ChubbChubbs!', 'Chubb Limited', 'Chubb Rock', 'Chubb (surname)', 'John Chubb', 'Chubb Locks', 'Ian Chubb']",4,Chubb Limited,1.0,1.0,1.0,1.0
112,20561,TARGET CORP,target,1,10,"['Target', 'Target Corporation', 'TARGET2', 'Targeting', 'Target market', 'Target tug', 'On Target', 'Sitting Target', 'Target audience', 'Target Canada']",1,Target Corporation,0.9444444444444444,1.0,0.8888888888888888,1.0
113,2367,INTEL CORP,intel,1,10,"['Intel', 'Intel Core', 'List of Intel processors', 'Intel 8086', 'List of Intel Core i5 processors', 'Intel Graphics Technology', 'X86-64', 'Alder Lake', 'Intel Xe', 'List of Intel Core i3 processors']",0,Intel,1.0,1.0,1.0,1.0
115,20413,CENTEX CORP,centex,1,10,"['PulteGroup', 'Wes Edens', 'CenTex Cavalry', 'Mr. Cooper', 'Bell County Expo Center', 'Eagle Materials', 'CenTex Barracudas', 'Balfour Beatty Construction', 'Collegiate summer baseball', 'List of S&P 500 companies']",0,PulteGroup,0.0,0.0,0.0,0.0
116,20292,BEMIS CO INC,bemis,1,10,"['Bemis', 'Max Bemis', 'Time Enough at Last', 'Sherri DuPree', 'Bemis Company', 'Max Bemis and the Painful Splits', 'Polly Bemis', 'Bemis (Watertown, Massachusetts)', 'RMS Lusitania', 'Say Anything (band)']",0,Bemis,0.0,0.0,0.0,0.0
117,21743,TEXTRON INC,textron,1,10,"['Textron', 'Bell Textron', 'Textron Aviation', 'Textron Tactical Armoured Patrol Vehicle', 'Textron Marine & Land Systems', 'Beechcraft Denali', 'Textron AirLand Scorpion', 'Beechcraft Super King Air', 'Beechcraft T-6 Texan II', 'Cessna']",0,Textron,1.0,1.0,0.9444444444444444,1.0
124,1685,FEDEX CORP,fedex,1,10,"['FedEx', 'FedEx Express', 'FedEx Express Flight 80', 'FedEx Office', 'FedExField', 'Federal Express Flight 705', 'Indianapolis FedEx shooting', 'FedEx furniture', 'FedEx Ground', 'FedEx Express Flight 910']",0,FedEx,1.0,1.0,1.0,1.0
125,3487,PACCAR INC,paccar,1,10,"['Paccar', 'Peterbilt', 'Kenworth', 'DAF Trucks', 'Leyland DAF', 'Renton, Washington', 'Kenworth W900', 'Mark Pigott', 'DAF XF', 'Aurora Innovation']",0,Paccar,0.0,0.1111111111111111,0.0,0.05555555555555555
128,21161,MASCO CORP,masco,1,10,"['Masco', 'Judit Mascó', 'Behr (paint)', 'Middle East Airlines', 'Monica Bellucci', 'The Tree of Life, Stoclet Frieze', 'Hansgrohe', 'Mashco language', 'Yasmeen Ghauri', 'Boston']",0,Masco,1.0,1.0,1.0,1.0
132,21168,MATTEL INC,mattel,1,10,"['Mattel', 'Trixie Mattel', 'Mattel Films', 'Mattel Television', 'Barbie', 'Intellivision', 'Mattel Aquarius', 'HIT Entertainment', 'Barbie (film)', 'Hot Wheels']",0,Mattel,0.0,0.0,0.0,0.0
134,21880,WALMART INC,walmart,1,10,"['Walmart', 'Walmarting', 'Walmart shooting', 'Walmart Canada', 'Criticism of Walmart', 'Walmart Labs', 'History of Walmart', 'List of Walmart brands', 'Walmart (disambiguation)', 'Doug McMillon']",0,Walmart,1.0,1.0,0.8333333333333334,1.0
139,7,APPLE INC,apple,1,10,"['Apple', 'Apple Inc.', 'Apple (disambiguation)', 'Apples to Apples', 'MacOS', 'IOS', 'Apple silicon', 'Apple Watch', 'IPhone', 'ITunes']",1,Apple Inc.,1.0,1.0,1.0,1.0
149,20064,HESS CORP,hess,1,10,"['Hess', 'Rudolf Hess', 'High Energy Stereoscopic System', 'Hess Corporation', 'Jared and Jerusha Hess', 'John Hess', 'Ilse Hess', 'Wolf Rüdiger Hess', 'Katrin Heß', 'Hess triangle']",3,Hess Corporation,1.0,1.0,1.0,1.0
153,20887,HASBRO INC,hasbro,1,10,"['Hasbro', 'Hasbro Interactive', 'Allspark (company)', 'Wizards of the Coast', 'Transformers', 'The Game of Life', 'Monopoly (game)', 'My Little Pony: Friendship Is Magic', 'Discovery Family', 'Power Rangers']",0,Hasbro,0.2777777777777778,0.8888888888888888,0.8333333333333334,1.0
159,21308,NUCOR CORP,nucor,1,10,"['Nucor', 'Leon Topalian', 'Blytheville, Arkansas', 'Good to Great', 'F. Kenneth Iverson', 'Lloyd Austin', 'Steel mill', 'Birmingham Steel Corporation', 'California Steel Industries', 'Iron and steel industry in the United States']",0,Nucor,1.0,0.3333333333333333,1.0,0.6111111111111112
160,20616,PERKINELMER INC,perkinelmer,1,10,"['PerkinElmer', 'Opto-isolator', 'Improvision', 'ChemDraw', 'Resistive opto-isolator', 'Caliper Life Sciences', 'List of S&P 500 companies', 'Russell 1000 Index', 'Bioluminescence imaging', 'EG&G']",0,PerkinElmer,1.0,1.0,1.0,1.0
164,20596,DOVER CORP,dover,1,10,"['Dover', 'Dover, Delaware', 'Beth Dover', 'White Cliffs of Dover', 'Ben Dover', 'Dover, Pennsylvania', 'Dover Demon', 'Eric Dover', 'Dover Corporation', 'Dover sole']",8,Dover Corporation,0.0,0.0,0.0,0.0
168,1892,GAP INC,gap,1,10,"['Gap', 'Gap Inc.', 'Darién Gap', 'Gallium phosphide', 'The Gap', 'Anion gap', 'Into the Gap', 'Band gap', 'Pine Gap', 'GAP insurance']",1,Gap Inc.,1.0,1.0,1.0,1.0
169,3217,NORDSTROM INC,nordstrom,1,10,"['Nordstrom', 'Nordstrom Rack', ""Don't Breathe"", 'Nordstrom (disambiguation)', 'Nordstrom Building', 'Central Park Tower', 'Joel Kinnaman', 'Ingmar Nordströms', 'Erik Nordström', 'Bruce Nordstrom']",0,Nordstrom,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222
170,2850,MEDTRONIC PLC,medtronic,1,10,"['Medtronic', 'Preetha Reddy', 'Omar Ishrak', 'Twin Cities Marathon', 'Covidien', 'Eli Lilly & Co. v. Medtronic, Inc.', 'Capsule endoscopy', 'William A. Hawkins', 'Medtronic, Inc. v. Lohr', 'Riegel v. Medtronic, Inc.']",0,Medtronic,1.0,1.0,1.0,1.0
172,21698,SYSCO CORP,sysco,1,10,"['Sysco', 'SYSCO', 'Business intelligence', 'Nelson Peltz', 'Brake Bros', 'Herbert Irving', 'US Foods', 'Houston', 'Aramark', 'Debbe Dunning']",0,Sysco,0.5555555555555556,0.0,0.7777777777777778,0.05555555555555555
180,20483,CITIGROUP INC,citigroup,1,10,"['Citigroup', 'Citibank', 'Citigroup Center', 'List of chairmen of Citigroup', 'Citigroup Centre', 'Jane Fraser (executive)', 'Citigroup Centre, London', 'Vikram Pandit', 'Sanford I. Weill', 'Citigroup Venture Capital']",0,Citigroup,0.0,0.6666666666666666,0.05555555555555555,1.0
182,2925,MILLIPORE CORP,millipore,1,10,"['Merck Millipore', 'Millipore', 'Sigma-Aldrich', 'Merck Group', 'List of multinational corporations', 'List of S&P 500 companies', 'Median lethal dose', 'Waters Corporation', '1-Nonadecanol', 'Malic acid']",0,Merck Millipore,1.0,1.0,1.0,1.0
183,3194,NIKE INC,nike,1,10,"['Nike, Inc.', 'Nike', 'Nike (mythology)', 'Nike+', 'Nike-Nike', 'Nike Air Max', 'Nike Mag', 'Nike Hercules', 'Project Nike', 'Temple of Athena Nike']",0,"Nike, Inc.",0.0,0.0,0.0,0.0
184,1467,ECOLAB INC,ecolab,1,10,"['Ecolab', 'Nalco Water', 'Rain-X', 'Ecolab, Inc. v. FMC Corp.', 'Finish (detergent)', 'FC Znamya Noginsk', 'Nalco Champion', 'Cascade Investment', 'S&P 500 Dividend Aristocrats', 'Douglas M. Baker Jr.']",0,Ecolab,0.7777777777777778,0.0,0.0,0.0
190,8045,ORACLE CORP,oracle,1,10,"['Oracle', 'Oracle Corporation', 'Oracle Database', 'Oracle (disambiguation)', 'Oracle Forms', 'Pythia', 'Larry Ellison', 'The Legend of Zelda: Oracle of Seasons and Oracle of Ages', 'Oracle Solaris', 'Oracle bone script']",1,Oracle Corporation,0.8333333333333334,1.0,1.0,1.0
191,21293,NICOR INC,nicor,1,10,"['Nicor Gas', 'Nice', 'Nice (The Nice album)', 'Southern Company Gas', 'The Nice', 'Be Nice', 'Nixie (folklore)', 'OGC Nice', 'Nicives', 'Nice biscuit']",0,Nicor Gas,0.5555555555555556,0.0,0.0,0.0
194,7623,AUTODESK INC,autodesk,1,10,"['Autodesk', 'Autodesk Maya', 'AutoCAD', 'Autodesk Revit', 'Autodesk 3ds Max', 'Autodesk Softimage', 'Autodesk Inventor', 'Autodesk Alias', 'Autodesk Media and Entertainment', 'FBX']",0,Autodesk,1.0,1.0,1.0,1.0
197,21808,AMEREN CORP,ameren,1,10,"['Ameren', 'Lake of the Ozarks', 'Dynegy', 'Callaway Nuclear Generating Station', 'Union Electric Company', 'Taum Sauk Hydroelectric Power Station', 'Lock and Dam No. 19', 'Alternative school', 'Electricity distribution companies by country', 'Central Illinois Public Service Company']",0,Ameren,1.0,1.0,1.0,1.0
198,7383,NOVELL INC,novell,1,10,"['Novell', 'GroupWise', 'NetWare', 'DR-DOS', 'SUSE Linux', 'WordPerfect', 'Unix', 'NetWare Core Protocol', 'GNOME Evolution', 'SUSE Linux Enterprise']",0,Novell,0.7222222222222222,1.0,1.0,1.0
199,216,AMGEN INC,amgen,1,10,"['Amgen', 'Kirin-Amgen Inc v Hoechst Marion Roussel Ltd', 'Robert A. Bradway', 'List of largest biomedical companies by revenue', 'Denosumab', 'Centre for Alternative Technology', 'Evolocumab', 'Blinatumomab', 'Arrowhead Pharmaceuticals', 'Sotorasib']",0,Amgen,1.0,0.7777777777777778,1.0,1.0
200,22092,ALLERGAN INC,allergan,1,10,"['Allergan', 'Allergan, Inc.', 'Actavis', 'Teva Pharmaceuticals', 'AbbVie', 'Diphenhydramine', 'Linaclotide', 'Brent Saunders', 'Annual pharmaceutical drug sales', 'List of largest pharmaceutical mergers and acquisitions']",1,"Allergan, Inc.",0.0,0.05555555555555555,0.0,0.0
201,56540,LINDE PLC,linde,1,10,"['Linde', 'Linde plc', 'Dennis Linde', 'Hampson–Linde cycle', 'Van der Linde', 'Sofie Linde', 'George Linde', 'Carl von Linde', 'List of Red Dead Redemption 2 characters', 'Linde (surname)']",1,Linde plc,0.9444444444444444,1.0,0.9444444444444444,1.0
209,8048,MICROSOFT CORP,microsoft,1,10,"['Microsoft', 'Microsoft Windows', 'Microsoft 365', 'Microsoft Office', 'Microsoft Excel', 'Microsoft Word', 'List of Microsoft 365 applications and services', 'Microsoft Exchange Server', 'Microsoft Teams', 'Microsoft Azure']",0,Microsoft,0.7222222222222222,0.9444444444444444,0.0,1.0
219,21111,LOEWS CORP,loews,1,10,"['Loews', 'Loews Cineplex Entertainment', 'Loews Corporation', 'Marcus Loew', 'Loews Hotels', 'Universal Orlando', 'Arthur Loew Jr.', 'AMC Theatres', 'William Goadby Loew', 'PSFS Building']",2,Loews Corporation,0.5555555555555556,1.0,1.0,1.0
221,4467,TELLABS INC,tellabs,1,10,"['Tellabs', 'Coriant', 'Ciena', 'Calix, Inc.', 'Tellabs, Inc. v. Makor Issues & Rights, Ltd.', 'List of S&P 500 companies', 'Mohnish Pabrai', 'Nasdaq-100', 'Michael Birck', 'Richard Notebaert']",0,Tellabs,0.6111111111111112,0.0,0.5,0.0
222,29870,ALLSTATE CORP,allstate,1,10,"['Allstate', 'Allstate Arena', 'Allstate (automobile)', 'Allstate (disambiguation)', 'Dennis Haysbert', 'Sears', '2020 Sugar Bowl', 'Allstate (vehicle brand)', 'Dean Winters', '2019 Sugar Bowl']",0,Allstate,1.0,1.0,1.0,1.0
225,22856,MACYS INC,macys,1,10,"[""Macy's"", 'Macy', 'William H. Macy', ""Macy's Thanksgiving Day Parade"", ""Macy's, Inc."", 'John Macy', 'Macy Gray', 'Crossing Jordan', 'Beth Macy', 'Bill Macy']",0,Macy's,NaN,NaN,NaN,NaN
227,1261,COMERICA INC,comerica,1,10,"['Comerica', 'Comerica Park', 'Comerica Center', 'Comerica Bank Tower', 'Ally Detroit Center', 'Arizona Financial Theatre', 'Detroit Tigers', 'Eminem', ""Comerica Bank New Year's Parade"", '2012 Comerica Bank Challenger – Doubles']",0,Comerica,1.0,1.0,1.0,1.0
228,20950,HUMANA INC,humana,1,10,"['Humana', 'Humana (disambiguation)', 'Vox humana (disambiguation)', 'Humane Colombia', 'Humana Building', 'Persona humana', 'Vox humana', 'Humana Press', 'Las Humanas', 'Acta Humana']",0,Humana,1.0,1.0,1.0,1.0
238,29009,AUTOZONE INC,autozone,1,10,"['AutoZone', 'Liberty Bowl', 'AutoZone Park', 'William C. Rhodes (businessman)', '2016 Liberty Bowl (December)', 'NASCAR', 'SCO–Linux disputes', 'ARCA Menards Series West', 'Priscilla Presley', 'List of NASCAR race wins by Kevin Harvick']",0,AutoZone,0.0,0.0,0.05555555555555555,0.0
239,8476,ADOBE INC,adobe,1,10,"['Adobe', 'Adobe Inc.', 'Adobe Photoshop', 'Adobe Acrobat', 'Adobe Flash', 'Adobe Premiere Pro', 'Adobe Sign', 'Adobe Document Cloud', 'Adobe Connect', 'Adobe Illustrator']",1,Adobe Inc.,1.0,1.0,1.0,1.0
242,20659,EQUIFAX INC,equifax,1,10,"['Equifax', '2017 Equifax data breach', 'Equifax Canada', 'Credit bureau', 'Mark Begor', 'Credit score in the United States', 'DocuSign', 'Apache Struts 2', 'Credit score', 'TransUnion']",0,Equifax,0.2777777777777778,1.0,0.2222222222222222,0.5
259,54824,NAVIENT CORP,navient,1,10,"['Navient', 'Sallie Mae', 'Earnest (company)', 'Navi', 'List of S&P 500 companies', 'Education in the United States', 'Maximus Inc.', 'NASDAQ Financial-100', 'Martha Coakley', 'Muncie, Indiana']",0,Navient,1.0,1.0,1.0,1.0
261,29494,KOHLS CORP,kohls,1,10,"[""Kohl's"", 'Kohl', 'Kohler', 'Paul Kohls', 'Helmut Kohl', 'Adema', 'Florian Kohls', 'Peter Kohl', 'Kohl (cosmetics)', 'Kohler Co.']",0,Kohl's,0.0,0.0,0.0,0.0
263,6333,PAYCHEX INC,paychex,1,10,"['Paychex', 'Tom Golisano', 'List of the largest software companies', 'Arrears', 'Kodak', 'List of S&P 500 companies', 'Rochester, New York', 'WEX Inc.', 'Nasdaq-100', 'Paycheck (disambiguation)']",0,Paychex,0.0,0.0,0.0,0.0
266,10171,STAPLES INC,staples,1,10,"['Staples', 'Crypto.com Arena', 'Staples Inc.', 'The Staple Singers', 'Mavis Staples', 'Vince Staples', 'Staple food', 'Staple (fastener)', 'Will Staples', 'C. S. Lewis']",2,Staples Inc.,0.6111111111111112,1.0,0.9444444444444444,1.0
268,22765,SAFEWAY INC,safeway,1,10,"['Safeway', 'Safeway (UK)', 'Safeway (disambiguation)', 'Safeway (Canada)', 'Albertsons', 'Morrisons', 'Safeway (Australia)', 'Safeway Insurance Group', 'Bend, Oregon shooting', 'Carrs-Safeway']",0,Safeway,0.8888888888888888,0.7222222222222222,1.0,0.3888888888888889
269,20557,DANAHER CORP,danaher,1,10,"['Danaher Corporation', 'John Danaher (martial artist)', 'Danaher', 'NetScout Systems', 'Jody Danaher', 'John Danaher', 'Gordon Ryan', 'Garry Tonon', 'Phil Danaher', 'Kevin Danaher (activist)']",0,Danaher Corporation,0.7222222222222222,1.0,1.0,1.0
270,56248,CARNIVAL PLC,carnival,1,10,"['Carnival', 'Carnival (disambiguation)', 'Carnival Corporation & plc', 'Carnival!', 'Carnival Cruise Line', 'Carnival Row', 'Rio Carnival', 'Carnival Splendor', 'Carnival Sunrise', 'Kia Carnival']",2,Carnival Corporation & plc,0.0,0.0,0.0,0.5
272,11860,COMPUWARE CORP,compuware,1,10,"['Compuware', 'Detroit Compuware Ambassadors', 'One Campus Martius', 'USA Hockey Arena', 'Peter Karmanos Jr.', 'Windsor Spitfires', 'SoftICE', 'North American Hockey League', 'TestPartner', 'Dynatrace']",0,Compuware,0.0,0.0,0.0,0.05555555555555555
276,11965,ALLERGAN PLC,allergan,1,10,"['Allergan', 'Allergan, Inc.', 'Actavis', 'Teva Pharmaceuticals', 'AbbVie', 'Diphenhydramine', 'Linaclotide', 'Brent Saunders', 'Annual pharmaceutical drug sales', 'List of largest pharmaceutical mergers and acquisitions']",0,Allergan,0.0,0.0,0.0,0.0
278,92,AFLAC INC,aflac,1,10,"['Aflac', 'Ben Affleck', 'Gilbert Gottfried', 'Aflac Building', 'Dan Amos', 'AFLAC Tower', 'The Mitchell Company Tournament of Champions', 'Guy Fieri', 'List of United States insurance companies', 'Bowman Gum']",0,Aflac,1.0,0.8333333333333334,1.0,0.6666666666666666
280,14152,NETAPP INC,netapp,1,10,"['NetApp', 'NetApp FAS', 'George Kurian', 'ONTAP', 'NDMP', 'David Hitz', 'NetVault Backup', 'Tom Mendoza', 'EMC NetWorker', 'Apache ZooKeeper']",0,NetApp,0.0,1.0,0.0,1.0
283,11253,QUALCOMM INC,qualcomm,1,10,"['Qualcomm', 'List of Qualcomm Snapdragon systems on chips', 'Qualcomm Snapdragon', 'Qualcomm Hexagon', 'List of devices using Qualcomm Snapdragon systems on chips', 'Adreno', 'Qualcomm Atheros', 'Quick Charge', 'AptX', 'Qualcomm Inc. v. Broadcom Corp.']",0,Qualcomm,0.0,0.05555555555555555,0.0,0.1111111111111111
291,36357,PACTIV CORP,pactiv,1,10,"['Pactiv Evergreen', 'Bin bag', 'Hefty', 'Baggies', 'Reynolds Group Holdings', 'List of S&P 500 companies', ""McDonald's"", 'Fabri-Kal', 'Trane Technologies', 'Lake Forest, Illinois']",0,Pactiv Evergreen,1.0,1.0,1.0,1.0
