,Under_male,Under_female,tuple,Armour_male,Armour_female,(Class_male,(Class_female,A)_male,A)_female,average_male,average_female,female-male
87,-0.8906746,-0.6856172,"('dedicated', 'undedicated')",-0.63961244,-0.7030705,-1.5219011,-1.627708,-1.0598052,-1.0947511,-1.0279983282089233,-1.0277867317199707,0.00021159648895263672
99,0.8868884,0.84780383,"('prestigious', 'insignificant')",-0.6315318,-0.51001954,3.1086454,2.8252604,0.99582505,0.91504955,1.0899567604064941,1.0195236206054688,-0.07043313980102539
11,-0.8860588,-1.1733662,"('caring', 'unaffectionate')",-1.991611,-1.9438246,0.25503892,0.09735972,-0.12601191,-0.31631315,-0.6871606707572937,-0.834036111831665,-0.14687544107437134
100,-0.87509507,-0.71412414,"('influential', 'uninfluential')",-1.3807554,-1.1064849,-2.1869614,-2.2137291,-0.95168924,-1.0610627,-1.3486253023147583,-1.2738502025604248,0.0747750997543335
77,0.86370564,0.8833638,"('active', 'inactive')",-0.08232975,0.18443659,1.3788722,1.2401061,0.89383507,0.8285055,0.7635207772254944,0.7841030359268188,0.020582258701324463
61,0.85114676,1.2063038,"('rational', 'irrational')",0.96466863,1.4310458,2.5780158,2.7702181,0.84333783,1.0018867,1.3092923164367676,1.6023637056350708,0.2930713891983032
67,-0.8267734,-0.47103122,"('discriminating', 'undiscriminating')",-0.95124227,-0.8923893,-0.42291188,-0.36164877,-1.139638,-0.7494801,-0.8351413607597351,-0.6186373233795166,0.2165040373802185
92,0.8130777,0.48257002,"('unwavering', 'wavering')",-0.58540016,-0.3675181,2.3506715,2.120893,0.24495846,0.363856,0.7058268785476685,0.6499502658843994,-0.05587661266326904
57,-0.78173876,-0.96820825,"('able', 'unable')",-1.216243,-1.2641853,-0.5816073,-0.6017666,-0.4845411,-0.6081859,-0.7660325765609741,-0.8605865240097046,-0.09455394744873047
103,0.6923478,0.47499612,"('traditional', 'modern')",2.117004,1.9572566,-0.06569874,0.012470841,0.5268837,0.51215625,0.817634105682373,0.7392199635505676,-0.07841414213180542
31,-0.664492,-0.6906302,"('altruistic', 'egoistic')",-0.45713872,-0.4076299,-0.30986434,-0.28176537,0.25960472,0.2155605,-0.2929725646972656,-0.29111623764038086,0.0018563270568847656
93,-0.6349948,-0.54661036,"('dominating', 'dominated')",0.2967812,0.28059542,-2.1594334,-1.8785847,-0.35240537,-0.23973379,-0.7125130891799927,-0.5960833430290222,0.11642974615097046
74,-0.63457006,-0.5938729,"('insightful', 'unperceptive')",-0.3116,-0.4493158,-1.7429575,-1.7223983,-1.2257936,-1.2533605,-0.9787302613258362,-1.0047369003295898,-0.026006639003753662
43,-0.61034137,-0.78224057,"('genuine', 'fake')",-0.2383172,-0.4564873,-0.7274573,-0.67717946,-0.41625917,-0.4379891,-0.49809375405311584,-0.5884740948677063,-0.09038034081459045
104,-0.57117987,-0.57318425,"('conventional', 'unconventional')",-0.90782404,-0.3810694,1.1806378,1.466057,0.1330592,0.24293905,-0.04132671654224396,0.1886855810880661,0.23001229763031006
89,-0.54180175,-0.68460375,"('daring', 'anxious')",-0.2788086,-0.31958526,-1.1602937,-0.8130553,-0.052354336,-0.11393325,-0.5083146095275879,-0.4827943742275238,0.025520235300064087
80,0.51618123,0.4128033,"('independent', 'dependent')",1.2154906,1.3524573,-0.10071927,-0.21792051,-0.40943992,-0.33941567,0.30537816882133484,0.3019810914993286,-0.0033970773220062256
106,-0.5135716,-0.43288743,"('conventional', 'unconventional')",-0.7856061,-0.4972244,0.30846626,0.48680314,0.039592028,0.2894183,-0.23777984082698822,-0.03847259283065796,0.19930724799633026
83,-0.5084448,-0.62382334,"('energetic', 'lethargic')",-0.42741504,-0.90054923,-2.6024377,-2.8060296,-0.7351378,-0.6764519,-1.0683588981628418,-1.251713514328003,-0.18335461616516113
39,0.43275994,0.60808504,"('right', 'wrong')",-0.5961485,-0.25985566,0.8434676,0.5695472,0.14657833,-0.09296888,0.2066643387079239,0.2062019258737564,-0.00046241283416748047
54,0.4247272,0.39479703,"('smart', 'stupid')",-0.028870568,-0.026734024,0.16202152,-0.041401595,-0.01389572,-0.10104403,0.13599559664726257,0.056404344737529755,-0.07959125190973282
21,0.4136504,0.47613168,"('nice', 'nasty')",0.5521833,0.29863632,1.1461601,1.1663074,1.4526287,1.2755688,0.8911556005477905,0.8041610717773438,-0.08699452877044678
110,0.39503592,0.5731836,"('narrow-minded', 'open-minded')",0.088891804,-0.1724645,0.8821335,1.0731729,0.08914617,0.10470104,0.36380183696746826,0.3946482539176941,0.03084641695022583
59,0.39180082,0.33309868,"('skillful', 'clumsy')",0.100670874,0.48807508,1.6375923,1.6963688,-0.2354245,-0.1336245,0.473659873008728,0.5959795117378235,0.12231963872909546
98,-0.38061783,-0.4834886,"('prestigious', 'insignificant')",-0.8259005,-0.7745422,1.4779594,1.4258554,0.7154747,0.57334507,0.24672895669937134,0.18529242277145386,-0.06143653392791748
62,-0.3644421,-0.18406591,"('creative', 'uncreative')",-0.8175609,-0.72546685,-0.20487088,-0.35905707,0.39807373,-0.0946874,-0.24720005691051483,-0.3408192992210388,-0.09361924231052399
91,0.3572067,0.0070444047,"('resilient', 'nonresilient')",0.52782774,0.4576759,0.9297041,0.9460351,0.8750088,0.658242,0.6724368333816528,0.517249345779419,-0.1551874876022339
19,0.31546742,0.6366824,"('funny', 'boring')",-1.4305985,-1.2679979,0.7785131,0.84001815,0.67689764,0.83438575,0.08506989479064941,0.26077210903167725,0.17570221424102783
5,-0.31211802,-0.46376657,"('pleasant', 'repellent')",1.0545914,0.5860113,-1.2296656,-1.1659217,-0.69853914,-0.8357544,-0.29643285274505615,-0.4698578417301178,-0.17342498898506165
4,-0.30758646,-0.14763376,"('likable', 'unlikable')",-0.45212102,-0.6106485,-0.66830665,-0.8788309,-0.56125057,-0.8316274,-0.4973161518573761,-0.6171851754188538,-0.11986902356147766
55,-0.30313736,-0.47683746,"('intelligent', 'unintelligent')",-1.2502909,-1.1089591,-0.6338624,-0.22821698,-0.47255418,-0.6987828,-0.6649612188339233,-0.6281991004943848,0.036762118339538574
10,0.26774937,0.3766536,"('affectionate', 'unaffectionate')",-1.9637886,-1.6500349,1.6428863,1.6034757,0.52453375,0.6304163,0.11784520745277405,0.24012768268585205,0.122282475233078
90,0.2167381,0.2828471,"('motivated', 'unmotivated')",1.5587366,1.1360126,-1.1591833,-1.1820934,0.38541716,-0.052462608,0.25042712688446045,0.046075932681560516,-0.20435119420289993
79,-0.20823175,0.025863573,"('determined', 'doubtful')",-0.76953506,-0.58278805,-0.7657546,-0.92598265,-0.45614573,-0.40717286,-0.5499168038368225,-0.47251999378204346,0.07739681005477905
20,0.20088854,0.24801329,"('popular', 'unpopular')",0.14345285,0.44971585,1.6991166,1.727745,1.3291681,1.2776327,0.8431565165519714,0.9257767200469971,0.08262020349502563
17,0.19003294,0.60133827,"('social', 'antisocial')",-0.30748576,-0.099422336,-0.95123863,-0.74907947,0.6561543,0.5846459,-0.10313430428504944,0.08437059819698334,0.18750490248203278
69,0.17127736,0.43287638,"('wise', 'foolish')",-0.6732781,-0.48895305,1.9058268,1.7315936,-0.101890445,-0.047340095,0.32548388838768005,0.4070442318916321,0.08156034350395203
105,-0.16633677,-0.47486946,"('conventional', 'modern')",-0.7035279,-0.69707894,-0.31124938,-0.30116037,-0.59832597,-0.5531179,-0.4448600113391876,-0.5065566301345825,-0.0616966187953949
16,-0.14815167,0.112886816,"('social', 'antisocial')",0.060450286,-0.12179761,-2.0152223,-1.572377,-1.0001824,-1.0348802,-0.7757765054702759,-0.6540420055389404,0.12173449993133545
84,-0.09720141,-0.14959079,"('self-confident', 'diffident')",-1.386315,-1.3537285,0.64814425,0.5741106,0.3904076,0.20356548,-0.11124115437269211,-0.1814107894897461,-0.07016963511705399
18,-0.07284788,0.06645634,"('social', 'asocial')",-0.6806414,-0.6357219,-1.5364506,-1.6570859,-1.0890799,-1.1454866,-0.8447549343109131,-0.8429595232009888,0.0017954111099243164
96,-0.068911076,0.121362105,"('powerful', 'powerless')",-0.21227038,-0.12066835,-0.37433007,-0.1524955,-0.25354373,-0.08763553,-0.22726380825042725,-0.059859320521354675,0.16740448772907257
107,0.059937626,0.123206735,"('conventional', 'modern')",0.2821933,0.4037388,-0.69938254,-0.51100975,-0.54939365,-0.4645816,-0.2266613245010376,-0.11216145753860474,0.11449986696243286
94,0.049819067,0.43938452,"('aggressive', 'submissive')",0.39861935,0.37204516,-2.010531,-1.816149,-0.27254725,-0.30876815,-0.45865994691848755,-0.3283718526363373,0.13028809428215027
44,-0.047652185,-0.23427165,"('truthful', 'untruthful')",-1.03776,-0.9530117,0.24718451,-0.19281152,-0.4066184,-0.47376528,-0.3112115263938904,-0.46346500515937805,-0.15225347876548767
102,-0.03395839,0.033870928,"('eminent', 'low')",-0.5074123,-0.5697854,0.5883938,0.38121095,0.83894145,0.68364894,0.22149114310741425,0.13223636150360107,-0.08925478160381317
26,-0.020446181,0.2838789,"('trustworthy', 'untrustworthy')",0.59621656,0.31301898,-0.9247599,-0.77977335,-0.3122963,-0.39174068,-0.1653214693069458,-0.14365404844284058,0.021667420864105225
